Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H02S1V001,H02S1V002,H02S1V003,H02S1V004,H02S1V005,H02S1V006,H02S1V007,H02S1V008,H02S1V009,H02S1V010,H02S1V011,H02S1V012,H02S1V013,H02S1V014,H02S1V015,H02S1V016,H02S1V017,H02S1V018,H02S1V019,H02S1V020,H02S1V021,H02S1V022,H02S1V023,H02S1V024,H02S1V025,H02S1V026,H02S1V027,H02S1V028,H02S1V029,H02S1V030,H02S1V031,H02S1V032,H02S1V033,H02S1V034,H02S1V035,H02S1V036,H02S1V037,H02S1V038,H02S1V039
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,03.07.1873,03.07.1873,03.19.1873,03.24.1873,03.27.1873,03.27.1873,04.02.1873,04.09.1873,04.18.1873,04.18.1873,04.18.1873,04.21.1873,04.24.1873,04.24.1873,04.30.1872,04.30.1873,05.02.1873,05.02.1873,05.03.1873,05.03.1873,05.05.1873,05.05.1873,05.07.1873,05.07.1873,05.07.1873,05.08.1873,05.12.1873,05.15.1873,05.16.1873,05.16.1873,05.17.1873,05.17.1873,05.17.1873,05.19.1873,05.21.1873,05.21.1873,05.21.1873,05.21.1873,05.23.1873
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",5,5,3,3,5,5,3,1,5,5,3,1,5,3,5,1,5,1,5,5,5,5,5,3,3,3,3,5,5,3,5,5,5,5,5,1,5,5,3
3,ADDINGTON,Ontario,1867 - 1903,2,1872.10.12,2829,cacfe892-e12e-41a2-9161-616c5910e184,"SHIBLEY, Schuyler",1495,0.6378,Liberal-Conservative,Farmer,Protestant,0,1,,,,,,,,,,,,,2,1,2,9,9,9,2,1,9,9,9,1,2,1,2,1,9,9,2,2,2,1,2,1,9,9,9,1,9,9,9,9,9,9,2,1,2,1,1
5,ALBERT,New Brunswick,1867 - 1903,2,1872.10.12,467,222566cd-5fa7-4813-ab0c-e0a53784224c,"WALLACE, John",847,0.531,Liberal Party of Canada,Farmer,Protestant,0,2,,,,,,,,,,,,,9,9,2,2,2,2,2,1,9,9,9,1,2,1,2,1,2,1,1,2,9,9,2,1,9,9,1,2,2,1,9,9,9,9,9,9,9,9,9
8,ALGOMA,Ontario,1867 - 1903,2,1872.10.12,2629,bca0c763-99e3-423d-ba38-8a0820aef95d,"ROBINSON, Hon. John Beverly",300,0.578,Conservative (1867-1942),"Barrister, lawyer",Protestant,0,1,,,,,,,,,,,,,9,9,2,9,2,1,2,2,2,2,1,1,2,1,2,1,2,1,2,9,2,1,2,1,9,1,9,2,2,1,2,2,2,1,2,1,2,1,9
12,ANNAPOLIS,Nova Scotia,1867 - 1914,2,1872.10.12,699,333ee861-b0f6-4f0a-9457-8b4be74a5bfd,"RAY, William Hallett",1129,0.5256,Liberal Party of Canada,"Farmer, merchant",Protestant,0,2,,,,,,,,,,,,,1,2,2,1,2,2,2,9,2,2,1,9,9,9,9,9,2,1,2,9,2,1,2,1,9,1,2,2,2,1,9,9,9,2,2,1,2,9,1
18,ARGENTEUIL,Quebec,1867 - 1947,2,1872.10.12,2081,959f168d-f7ee-466d-b436-7b270c318fe1,"ABBOTT, Hon. John Joseph Cal",accl.,,Liberal-Conservative,"Dean, lawyer",Protestant,0,2,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
29,BAGOT,Quebec,1867 - 1933,2,1872.10.12,92,078fa3be-0dc1-4adb-b5b2-bb8040ca4f5a,"GENDRON, Pierre-Samuel",1184,0.9966,Conservative (1867-1942),Notary,Fr.Catholic,1,2,,,,,,,,,,,,,2,1,2,1,1,1,2,9,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,9,9,2,9,9
36,BEAUCE,Quebec,1867 - ,2,1872.10.12,104,08f7401c-83f1-4f24-97d5-36a5b429c7dc,"POZER, Christian Henry",1885,0.7094,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,1,2,9,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,9,9,9,2,1,9,1,2,2
37,BEAUHARNOIS,Quebec,1867 - 1933,2,1872.10.12,2240,a0e89fb7-a031-44eb-bc33-e222f6f04105,"ROBILLARD, Ulysse-Janvier",854,0.5278,Independent Conservative,Grain merchant,Fr.Catholic,1,1,,,,,,,,,,,,,2,1,1,9,1,1,9,2,2,2,1,1,1,2,1,2,1,2,2,9,2,1,2,1,9,9,2,1,2,1,2,2,2,9,2,1,2,1,9
