Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H03S1V001,H03S1V002,H03S1V003,H03S1V004,H03S1V005,H03S1V006,H03S1V007,H03S1V008,H03S1V009,H03S2V001,H03S2V002,H03S2V003,H03S2V004,H03S2V005,H03S2V006,H03S2V007,H03S2V008,H03S2V009,H03S2V010,H03S2V011,H03S2V012,H03S2V013,H03S2V014,H03S2V015,H03S2V016,H03S2V017,H03S2V018,H03S2V019,H03S2V020,H03S2V021,H03S2V022,H03S2V023,H03S2V024,H03S2V025,H03S2V026,H03S2V027,H03S2V028,H03S2V029,H03S2V030,H03S2V031,H03S2V032,H03S2V033,H03S2V034,H03S2V035,H03S3V001,H03S3V002,H03S3V003,H03S3V004,H03S3V005,H03S3V006,H03S3V007,H03S3V008,H03S3V009,H03S3V010,H03S3V011,H03S3V012,H03S3V013,H03S4V001,H03S4V002,H03S4V003,H03S4V004,H03S4V005,H03S4V006,H03S4V007,H03S4V008,H03S4V009,H03S4V010,H03S4V011,H03S4V012,H03S4V013,H03S4V014,H03S4V015,H03S4V016,H03S4V017,H03S4V018,H03S4V019,H03S4V020,H03S4V021,H03S4V022,H03S4V023,H03S4V024,H03S4V025,H03S4V026,H03S4V027,H03S4V028,H03S4V029,H03S4V030,H03S4V031,H03S4V032,H03S4V033,H03S4V034,H03S4V035,H03S4V036,H03S5V001,H03S5V002,H03S5V003,H03S5V004,H03S5V005,H03S5V006,H03S5V007,H03S5V008,H03S5V009,H03S5V010,H03S5V011,H03S5V012,H03S5V013,H03S5V014,H03S5V015,H03S5V016,H03S5V017,H03S5V018,H03S5V019,H03S5V020,H03S5V021,H03S5V022,H03S5V023,H03S5V024,H03S5V025,H03S5V026,H03S5V027,H03S5V028,H03S5V029,H03S5V030,H03S5V031,H03S5V032,H03S5V033,H03S5V034
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,04.16.1874,04.16.1874,04.16.1874,05.13.1874,05.15.1874,05.15.1874,05.20.1874,05.20.1874,05.21.1874,02.13.1875,02.13.1875,02.24.1875,02.24.1875,02.24.1875,03.01.1875,03.10.1875,03.11.1875,03.11.1875,03.11.1875,03.13.1875,03.13.1875,03.13.1875,03.17.1875,03.17.1875,03.19.1875,03.22.1875,03.25.1875,03.25.1875,03.25.1875,03.25.1875,03.25.1875,03.27.1875,03.29.1875,03.29.1875,03.29.1875,03.30.1875,03.30.1875,03.30.1875,03.30.1875,03.30.1875,03.30.1875,04.01.1875,04.02.1875,04.02.1875,02.29.1876,03.02.1876,03.07.1876,03.15.1876,03.22.1876,03.23.1876,03.28.1876,03.30.1876,03.31.1876,04.07.1876,04.07.1876,04.07.1876,04.10.1876,02.28.1877,03.16.1877,03.16.1877,03.16.1877,03.19.1877,03.21.1877,03.23.1877,03.23.1877,03.23.1877,03.24.1877,03.24.1877,03.24.1877,03.26.1877,03.28.1877,03.28.1877,03.29.1877,04.03.1877,04.03.1877,04.03.1877,04.04.1877,04.05.1877,04.06.1877,04.06.1877,04.06.1877,04.09.1877,04.10.1877,04.11.1877,04.12.1877,04.13.1877,04.14.1877,04.17.1877,04.25.1877,04.26.1877,04.27.1877,04.27.1877,04.27.1877,02.07.1878,03.13.1878,03.22.1878,03.22.1878,03.27.1878,03.27.1878,03.27.1878,03.29.1878,04.03.1878,04.03.1878,04.03.1878,04.03.1878,04.09.1878,04.09.1878,04.09.1878,04.09.1878,04.10.1878,04.10.1878,04.12.1878,04.15.1878,04.16.1878,04.17.1878,04.23.1878,04.26.1878,04.26.1878,05.01.1878,05.01.1878,05.02.1878,05.03.1878,05.06.1878,05.07.1878,05.07.1878,05.07.1878,05.07.1878
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",5,5,3,5,5,5,3,5,3,5,3,5,3,3,3,3,5,5,3,1,5,5,5,1,1,3,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3,3,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,3,1,1,5,1,1,1,5,5,3,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,5,5,3,3,5,5,5,1,1,5,1,5,1,3,1,5,5,1,5,1,1,1,5,5,1,5,5,5,3,5,5,5,3,5,5,3,5
211,ESSEX,Ontario,1867 - 1882,3,1874.01.22- and 1874.10.22,1,000f52b0-3fd0-40ec-807b-ef179712b11b,"MCGREGOR, William",2508,0.5872,Liberal Party of Canada,"Banker, broker, rancher",Protestant,0,1,,,,,,,,,,Unseated on petition: „,,,2,2,1,2,1,2,1,2,1,2,1,2,1,1,9,2,1,1,1,1,2,2,2,1,1,2,2,2,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,2,2,2,2,9,1,2,2,1,9,9,9,9,9,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,1,2,2,2,1,1,1,9,2,1,1,2,1,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2
370,LANARK SOUTH,Ontario,1867 - 1914,3,1874.01.22,11,0161da2d-c63a-468c-a51e-070c1f9ee40f,"HAGGART, John Graham",1318,0.5972,Conservative (1867-1942),Mill owner,Protestant,0,2,,,,,,,,,,,,,2,2,1,9,1,1,9,9,1,2,2,9,9,9,9,1,2,2,2,1,1,1,2,1,1,9,9,9,9,1,9,9,1,1,2,1,1,1,2,2,9,1,1,1,2,2,1,1,9,9,2,9,1,1,1,1,1,2,1,1,9,1,1,1,9,1,1,1,2,9,9,1,1,1,1,1,9,1,1,2,1,1,9,2,9,9,2,1,1,9,1,2,9,2,1,9,9,9,9,9,9,1,9,9,9,1,1,2,9,1,9,9,1,9,9,1,1,9,9,1,9,1,9,9,9,9,1
614,RIMOUSKI,Quebec,1867 - 1980,3,1874.01.22,18,01fac06e-b85e-40c1-bfc7-2225fe38f576,"FISET, J.B. Romuald",1728,0.83,Liberal Party of Canada,Physician,Fr.Catholic,1,2,,,,,,,,,,,,,2,1,2,2,1,1,1,2,1,2,1,2,1,1,9,1,1,1,1,2,2,2,1,2,2,2,9,1,1,2,2,2,2,2,1,2,2,2,2,1,2,1,9,2,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2,2,9,2,2,2,9,9,2,2,1,9,2,2,2,2,2,2,1,9,9,2,1,2,2,9,2,2,1,2,2,1,9,9,9,1,2,1,1,9,9,2,2,2,2,1,1,2,9,9,9,2,1,2,2,9,2,1,2,2,2,2,2,9,1,2,2,1,2
847,YORK WEST,Ontario,1867 - 1903,3,1874.01.22,19,020201b3-733e-4827-b4e3-261206539334,"BLAIN, David",983,0.6831,Liberal Party of Canada,"Lawyer, teacher",Protestant,0,2,,,,,,,,,Scotland,,,,2,2,1,1,2,2,1,9,2,2,1,2,1,1,2,2,1,1,1,9,9,9,2,1,1,9,2,2,2,2,2,2,2,9,9,2,2,2,1,9,9,1,2,2,2,1,1,9,9,9,2,2,2,2,9,9,2,9,2,2,1,1,1,1,9,1,9,9,9,1,1,1,2,2,2,2,9,2,2,2,2,9,9,9,9,2,1,2,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,9,9,2,2,1,2,9,9,1,2,2,1,2,2,2,2,9,9,1,1,2,2,1,9
490,NORFOLK NORTH,Ontario,1867 - 1903,3,1874.01.22,31,03119541-a274-44e2-ab4a-6d6f6b3c6d5a,"CHARLTON, John",1434,0.5315,Liberal Party of Canada,"Businessman, lumber merchant",Protestant,0,2,,,,,,,,,United States,,,,2,2,1,9,9,9,9,9,9,2,1,2,1,1,9,2,1,1,1,1,2,2,2,1,1,2,2,2,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,9,2,2,2,9,2,2,1,2,9,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,9,9,9,9,9,9,1,2,1,1,1,9,1,1,2,1,1,9,2,2,1,2,1,2,9,2,2,9,2,2,2,1,9,9,9,9,9,9,9,9
298,HUNTINGDON,Quebec,1867 - 1914,3,1874.01.22,34,036de5c8-7511-43b9-a55d-8a5c5ec1b773,"SCRIVER, Julius",876,0.9481,Liberal Party of Canada,"Miller, tanner",Protestant,0,3,,,,,,,,,,,,,2,2,1,2,2,2,1,9,2,2,1,2,1,1,1,2,1,1,1,9,2,2,2,1,9,2,2,2,2,2,2,2,2,2,1,2,2,9,2,1,2,9,9,9,2,1,2,2,9,2,2,1,2,2,1,2,9,9,2,2,1,1,2,1,1,1,2,2,1,1,9,9,9,2,2,2,2,2,2,2,2,1,2,1,2,9,9,2,2,1,9,9,9,9,2,2,2,1,1,1,1,2,9,2,2,2,2,1,2,1,2,1,2,2,9,2,2,2,2,2,2,2,1,9,2,1,2
401,LONDON,Ontario,1867 - 1966,3,1875.02.18,58,05027226-4f77-495b-ae20-802a7507fb86,"FRASER, James Harshaw",1228,0.5275,Liberal-Conservative,Lawyer,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,9,9,9,2,1,2,2,2,2,1,1,9,9,9,9,2,2,2,2,2,2,1,1,2,2,2,9,2,2,2,9,9,9,2,2,1,1,2,2,2,2,1,2,9,9,9,1,1,1,9,9,1,1,9,9,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,9,9,1,1,1,1,1,2,1,1,1,9,2,1,9,9,9,1,2,1,1,1,1,1,2,1,9,9,9,9,9,9,9,9,9
