Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H04S1V001,H04S1V002,H04S1V003,H04S1V004,H04S1V005,H04S1V006,H04S1V007,H04S1V008,H04S1V009,H04S1V010,H04S1V011,H04S1V012,H04S1V013,H04S1V014,H04S1V015,H04S1V016,H04S1V017,H04S1V018,H04S2V001,H04S2V002,H04S2V003,H04S2V004,H04S2V005,H04S2V006,H04S2V007,H04S2V008,H04S2V009,H04S2V010,H04S2V011,H04S2V012,H04S2V013,H04S2V014,H04S2V015,H04S2V016,H04S2V017,H04S2V018,H04S2V019,H04S2V020,H04S2V021,H04S2V022,H04S3V001,H04S3V002,H04S3V003,H04S3V004,H04S3V005,H04S3V006,H04S3V007,H04S3V008,H04S3V009,H04S3V010,H04S3V011,H04S3V012,H04S3V013,H04S3V014,H04S3V015,H04S3V016,H04S3V017,H04S3V018,H04S3V019,H04S3V020,H04S3V021,H04S3V022,H04S3V023,H04S3V024,H04S3V025,H04S3V026,H04S3V027,H04S3V028,H04S3V029,H04S3V030,H04S3V031,H04S3V032,H04S3V033,H04S3V034,H04S3V035,H04S3V036,H04S3V037,H04S3V038,H04S3V039,H04S3V040,H04S3V041,H04S3V042,H04S3V043,H04S3V044,H04S3V045,H04S3V046,H04S3V047,H04S3V048,H04S3V049,H04S3V050,H04S4V001,H04S4V002,H04S4V003,H04S4V004,H04S4V005,H04S4V006,H04S4V007,H04S4V008,H04S4V009,H04S4V010,H04S4V011,H04S4V012,H04S4V013,H04S4V014,H04S4V015,H04S4V016,H04S4V017,H04S4V018,H04S4V019,H04S4V020,H04S4V021,H04S4V022,H04S4V023,H04S4V024,H04S4V025,H04S4V026,H04S4V027,H04S4V028,H04S4V029,H04S4V030,H04S4V031,H04S4V032,H04S4V033,H04S4V034,H04S4V035,H04S4V036,H04S4V037,H04S4V038,H04S4V039,H04S4V040,H04S4V041,H04S4V042,H04S4V043,H04S4V044,H04S4V045,H04S4V046,H04S4V047,H04S4V048,H04S4V049,H04S4V050,H04S4V051
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,03.13.1879,03.13.1879,04.9.1879,04.16.1879,04.18.1879,04.18.1879,04.18.1879,04.21.1879,04.22.1879,04.28.1879,04.29.1879,04.29.1879,05.05.1879,05.05.1879,05.08.1879,05.09.1879,05.12.1879,05.13.1879,02.19.1880,02.25.1880,02.26.1880,03.04.1880,03.22.1880,03.30.1880,03.31.1880,04.05.1880,04.07.1880,04.14.1880,04.14.1880,04.14.1880,04.20.1880,04.27.1880,04.28.1880,04.29.1880,04.30.1880,05.03.1880,05.04.1880,05.04.1880,05.04.1880,05.05.1880,12.13.1880,12.13.1880,12.15.1880,01.13.1881,01.25.1881,01.26.1881,01.26.1881,01.26.1881,01.26.1881,01.26.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.27.1881,01.31.1881,02.01.1881,02.01.1881,02.04.1881,02.10.1881,02.10.1881,02.15.1881,02.15.1881,02.23.1881,02.28.1881,03.07.1881,03.07.1881,03.08.1881,03.10.1881,03.11.1881,03.11.1881,03.16.1881,03.16.1881,03.17.1881,03.18.1881,03.18.1881,02.23.1882,03.02.1882,03.13.1882,03.20.1882,03.22.1882,03.22.1882,03.22.1882,03.27.1882,03.28.1882,03.30.1882,04.03.1882,04.04.1882,04.05.1882,04.12.1882,04.14.1882,04.17.1882,04.17.1882,04.21.1882,04.21.1882,04.26.1882,04.28.1882,05.06.1882,05.08.1882,05.08.1882,05.08.1882,05.10.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.12.1882,05.15.1882,05.15.1882
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",3,3,5,1,5,5,5,5,5,5,5,1,5,5,3,3,5,5,3,1,5,5,3,5,1,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,3,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,5,1,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
370,LANARK SOUTH,Ontario,1867 - 1914,4,1878.09.17,11,0161da2d-c63a-468c-a51e-070c1f9ee40f,"HAGGART, J. H.",1585,0.5569,Conservative (1867-1942),Mill owner,Protestant,0,3,,,,,,,,,,,,,1,1,2,9,2,2,2,2,2,9,9,9,2,2,1,9,2,9,1,9,9,9,9,2,9,1,1,2,2,2,2,2,2,9,9,9,9,9,9,2,9,9,2,2,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,2,9,9,9,1,2,2,2,9,2,9,2,2,2,2,1,9,9,1,2,9,9,2,9,9,1,1,2,2,2,1,1,2,2,2,2,9,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
574,PROVENCHER,Manitoba,1871 - ,4,1878.09.17-1879.11.12,12,01877778-b7ea-40f7-b647-ca0d97b8f8c8,"DUBUC, Joseph",accl.,,Conservative (1867-1942),"Correspondent, lawyer",Catholic,1,1,,,,,,,,,,"Resignation, appointed Puisne Judge of the Court of Queen's Bench for Manitoba: 1879.11.12",,,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
614,RIMOUSKI,Quebec,1867 - 1980,4,1878.09.17,18,01fac06e-b85e-40c1-bfc7-2225fe38f576,"FISET, J.B.R.",2003,0.5631,Liberal Party of Canada,Physician,Fr.Catholic,1,3,,,,,,,,,,,,,2,2,1,9,1,1,1,2,1,2,1,1,1,2,2,9,9,9,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,1,2,1,2,1,1,1,2,1,1,9,1,2,2,9,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
796,WELLINGTON NORTH,Ontario,1867 - 1952,4,1878.09.17,30,030a3859-f091-4acd-a296-ac500d1d9018,"DREW, Geo. A.",1713,0.5163,Liberal-Conservative,Lawyer,Protestant,0,2,,,,,,,,,,,,,1,1,2,1,9,9,9,2,2,1,1,1,2,2,1,1,2,2,1,1,1,9,1,9,9,1,1,9,9,9,2,2,2,1,9,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,1,1,2,2,1,9,2,2,2,2,2,2,9,9,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,9,2,2,9,9,2,2,2,2,9,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
490,NORFOLK NORTH,Ontario,1867 - 1903,4,1878.09.17,31,03119541-a274-44e2-ab4a-6d6f6b3c6d5a,"CHARLTON, John",1492,0.5254,Liberal Party of Canada,"Businessman, lumber merchant",Protestant,0,3,,,,,,,,,United States,,,,2,2,1,9,1,1,1,1,1,1,2,2,9,9,9,9,9,9,2,9,1,1,2,1,2,2,9,2,1,1,1,1,1,9,9,1,2,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,1,1,1,1,1,2,1,9,9,9,9,2,2,1,1,9,1,9,1,1,1,2,2,1,1,1,1,9,9,1,1,9,1,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
298,HUNTINGDON,Quebec,1867 - 1914,4,1878.09.17,34,036de5c8-7511-43b9-a55d-8a5c5ec1b773,"SCRIVER, Julius",accl.,,Liberal Party of Canada,"Miller, tanner",Protestant,0,4,,,,,,,,,,,,,2,2,1,9,1,1,1,9,1,1,2,2,1,1,2,2,1,9,2,2,1,2,2,9,9,2,9,2,2,2,1,1,1,2,9,9,2,1,1,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,9,2,9,1,1,1,1,2,1,9,9,1,1,1,2,1,1,1,2,1,1,1,1,2,9,1,1,1,1,2,2,1,1,1,9,1,1,2,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1
497,NORTHUMBERLAND,New Brunswick,1867 - 1955,4,1878.09.17,47,0423d8e6-6e7e-4c6a-a827-ad174486cd21,"SNOWBALL, Jabez B.",1585,0.5338,Liberal Party of Canada,"Exporter, lumber merchant, shipowner",Protestant,0,1,,,,,,,,,,,,,9,9,1,2,1,1,1,9,1,1,2,2,2,1,9,9,9,9,2,1,1,2,2,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,2,9,1,9,1,1,9,9,1,1,1,2,9,1,1,1,2,2,1,9,9,2,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
846,YORK NORTH,Ontario,1867 - 2003,4,1878.09.17,56,04f5e027-8c50-4d71-a426-bffe867eecd4,"STRANGE, F.W.",1792,0.502,Liberal-Conservative,"Coroner, physician, surgeon",Protestant,0,1,,,,,,,,,England,,,,1,1,2,9,2,2,2,2,9,9,2,2,2,1,2,1,2,2,9,9,9,2,1,9,1,1,1,2,2,2,2,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,1,9,2,1,9,1,2,2,2,9,1,9,9,9,2,9,9,9,2,9,2,2,1,9,1,9,1,2,1,2,2,2,1,1,9,9,9,9,9,9,9,9,2,9,2,2,1,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9
530,OXFORD SOUTH,Ontario,1867 - 1933,4,1878.09.17,59,0507d7d7-7d82-4bfb-90e0-e4a9ffa82e35,"SKINNER, James A.",1915,0.552,Liberal Party of Canada,Farmer,Protestant,0,2,,,,,,,,,Scotland,,,,2,2,1,9,1,1,1,1,1,9,9,9,9,9,9,1,1,2,2,1,1,2,2,1,2,2,1,9,2,2,2,1,1,2,2,9,2,1,1,1,1,1,1,1,1,9,9,9,9,1,1,1,9,9,9,9,1,1,1,1,9,9,9,9,9,9,9,9,9,2,2,2,2,2,1,1,1,2,9,2,2,1,1,9,9,1,1,2,9,1,1,2,9,9,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,9,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9
479,NEW WESTMINSTER,British Columbia,1872 - 1976,4,1882.03.09,74,06043dca-d4ec-4689-b9ef-aea35867e396,"HOMER, Joshua Attwood Reynolds",accl.,,Liberal-Conservative,Merchant,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
485,NICOLET,Quebec,1867 - 1933,4,1878.09.17,91,0783363b-5802-4641-bbd2-1ff04f487e0c,"METHOT, Francois Xavier Ovide",1759,0.6334,Independent Conservative,Farmer,Fr.Catholic,1,2,,,,,,,,,,,,,1,1,2,9,1,2,1,2,1,2,1,1,2,2,1,9,9,9,1,1,1,2,9,2,1,9,1,1,2,2,2,2,2,1,1,2,2,2,2,9,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,9,1,9,1,9,9,1,2,9,9,2,2,2,9,2,1,9,1,1,2,2,2,2,2,2,9,1,2,2,2,2,1,9,9,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9
340,KINGSTON,Ontario,1867 - 1924,4,1878.09.17,98,0877d04e-0687-4b30-af8d-dded24cd96a6,"GUNN, Alexander",991,0.5374,Liberal Party of Canada,Grocery wholesaler,Protestant,0,1,,,,,,,,,Scotland,,,,2,2,1,9,1,1,1,1,1,1,2,2,2,1,2,2,1,9,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2,1,9,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,2,2,1,2,1,1,1,2,1,9,9,1,1,1,9,1,9,9,9,9,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9
783,VICTORIA NORTH,Ontario,1867 - 1903,4,1878.09.17,110,0985b2c0-0ef0-464a-813d-d25a716466ff,"CAMERON, Hector",917,0.5531,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,,,,,1,1,2,9,2,2,2,2,2,1,2,2,2,9,9,9,2,2,1,2,1,2,1,9,2,1,1,2,2,2,2,9,9,9,1,2,1,2,2,9,9,2,2,2,9,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,9,9,2,2,9,2,2,1,9,2,2,1,2,9,2,2,2,9,2,2,9,1,2,2,2,2,2,2,9,9,1,1,2,2,2,2,9,2,2,9,9,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
235,GASPE,Quebec,1867 - 1996,4,1878.09.17,120,0a0c948f-dd65-4b69-b1d0-3f8a3366d907,"FORTIN, Hon. Pierre",913,0.8873,Conservative (1867-1942),"Physician, surgeon",Fr.Catholic,1,3,,,,,,,,,,,,,1,1,2,9,9,9,2,2,2,9,1,1,2,9,1,1,2,9,1,9,2,9,1,2,1,1,1,2,2,2,2,2,2,9,1,2,1,2,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,9,9,9,2,2,2,2,2,9,9,9,9,2,2,1,9,9,9,2,2,1,2,2,2,1,1,2,2,2,9,9,1,9,2,9,2,2,2,1,9,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
107,CAPE BRETON,Nova Scotia,1867 - 1903,4,1878.09.17-1879.08.05,149,0bfc2f4b-40d1-4ab8-9cfc-286c19ad7220,"MCLEOD, Hugh",2056,0.3452,Liberal-Conservative,Lawyer,Protestant,0,1,,,,,,,,,Scotland,Died in office: 1879.08.05,,,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
