Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H05S1V001,H05S1V002,H05S1V003,H05S1V004,H05S1V005,H05S1V006,H05S1V007,H05S1V008,H05S1V009,H05S1V010,H05S1V011,H05S1V012,H05S1V013,H05S1V014,H05S1V015,H05S1V016,H05S1V017,H05S1V018,H05S1V019,H05S1V020,H05S1V021,H05S1V022,H05S1V023,H05S1V024,H05S1V025,H05S1V026,H05S2V001,H05S2V002,H05S2V003,H05S2V004,H05S2V005,H05S2V006,H05S2V007,H05S2V008,H05S2V009,H05S2V010,H05S2V011,H05S2V012,H05S2V013,H05S2V014,H05S2V015,H05S2V016,H05S2V017,H05S2V018,H05S2V019,H05S2V020,H05S2V021,H05S2V022,H05S2V023,H05S2V024,H05S2V025,H05S2V026,H05S2V027,H05S2V028,H05S2V029,H05S2V030,H05S2V031,H05S2V032,H05S2V033,H05S2V034,H05S2V035,H05S2V036,H05S2V037,H05S2V038,H05S2V039,H05S2V040,H05S2V041,H05S2V042,H05S2V043,H05S2V044,H05S2V045,H05S2V046,H05S2V047,H05S2V048,H05S2V049,H05S2V050,H05S2V051,H05S3V001,H05S3V002,H05S3V003,H05S3V004,H05S3V005,H05S3V006,H05S3V007,H05S3V008,H05S3V009,H05S3V010,H05S3V011,H05S3V012,H05S3V013,H05S3V014,H05S3V015,H05S3V016,H05S3V017,H05S3V018,H05S3V019,H05S3V020,H05S3V021,H05S3V022,H05S3V023,H05S3V024,H05S3V025,H05S3V026,H05S3V027,H05S3V028,H05S3V029,H05S3V030,H05S3V031,H05S3V032,H05S3V033,H05S3V034,H05S3V035,H05S3V036,H05S3V037,H05S3V038,H05S3V039,H05S3V040,H05S3V041,H05S3V042,H05S3V043,H05S3V044,H05S3V045,H05S3V046,H05S3V047,H05S3V048,H05S3V049,H05S3V050,H05S3V051,H05S3V052,H05S3V053,H05S3V054,H05S3V055,H05S3V056,H05S3V057,H05S3V058,H05S3V059,H05S3V060,H05S3V061,H05S3V062,H05S3V063,H05S3V064,H05S3V065,H05S3V066,H05S3V067,H05S3V068,H05S3V069,H05S3V070,H05S3V071,H05S3V072,H05S3V073,H05S3V074,H05S3V075,H05S3V076,H05S3V077,H05S3V078,H05S3V079,H05S3V080,H05S3V081,H05S3V082,H05S3V083,H05S3V084,H05S3V085,H05S3V086,H05S3V087,H05S3V088,H05S3V089,H05S3V090,H05S4V001,H05S4V002,H05S4V003,H05S4V004,H05S4V005,H05S4V006,H05S4V007,H05S4V008,H05S4V009,H05S4V010,H05S4V011,H05S4V012,H05S4V013,H05S4V014,H05S4V015,H05S4V016,H05S4V017,H05S4V018,H05S4V019,H05S4V020,H05S4V021,H05S4V022,H05S4V023,H05S4V024,H05S4V025,H05S4V026,H05S4V027,H05S4V028,H05S4V029,H05S4V030,H05S4V031,H05S4V032,H05S4V033,H05S4V034,H05S4V035,H05S4V036,H05S4V037,H05S4V038,H05S4V039,H05S4V040,H05S4V041,H05S4V042,H05S4V043
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,03.12.1883,03.13.1883,03.14.1883,03.16.1883,03.19.1883,03.20.1883,03.28.1883,03.28.1883,03.30.1883,04.02.1883,04.11.1883,04.16.1883,04.25.1883,04.25.1883,04.25.1883,04.26.1883,05.02.1883,05.19.1883,05.22.1883,05.22.1883,05.22.1883,05.22.1883,05.22.1883,05.22.1883,05.22.1883,05.22.1883,02.04.1884,02.06.1884,02.07.1884,02.07.1884,02.13.1884,02.15.1884,02.15.1884,02.19.1884,02.20.1884,02.20.1884,02.22.1884,02.22.1884,02.26.1884,02.26.1884,02.28.1884,02.28.1884,03.04.1884,03.05.1884,03.05.1884,03.05.1884,03.07.1884,03.11.1884,03.12.1884,03.13.1884,03.13.1884,03.14.1884,03.17.1884,03.18.1884,03.19.1884,03.19.1884,03.21.1884,03.24.1884,03.26.1884,03.26.1884,03.27.1884,03.28.1884,03.28.1884,03.31.1884,04.02.1884,04.03.1884,04.04.1884,04.09.1884,04.14.1884,04.14.1884,04.14.1884,04.14.1884,04.16.1884,04.16.1884,04.17.1884,04.17.1884,04.17.1884,02.10.1885,02.13.1885,02.19.1885,02.20.1885,02.23.1885,02.24.1885,02.26.1885,02.26.1885,02.27.1885,03.05.1885,03.09.1885,03.11.1885,03.23.1885,03.26.1885,04.08.1885,04.08.1885,04.08.1885,04.10.1885,04.13.1885,04.13.1885,04.13.1885,04.17.1885,04.18.1885,04.22.1885,04.22.1885,04.22.1885,04.22.1885,04.22.1885,04.23.1885,04.23.1885,04.23.1885,04.23.1885,04.24.1885,04.24.1885,05.01.1885,05.18.1885,06.18.1885,06.18.1885,06.18.1885,06.18.1885,06.20.1885,06.22.1885,06.22.1885,06.22.1885,06.25.1885,06.25.1885,06.25.1885,06.25.1885,06.25.1885,06.26.1885,06.26.1885,07.01.1885,07.01.1885,07.03.1885,07.03.1885,07.03.1885,07.03.1885,07.03.1885,07.03.1885,07.03.1885,07.03.1885,07.03.1885,07.03.1885,07.03.1885,07.03.1885,07.04.1885,07.04.1885,07.04.1885,07.04.1885,07.04.1885,07.04.1885,07.04.1885,07.04.1885,07.04.1885,07.04.1885,07.04.1885,07.04.1885,07.04.1885,07.09.1885,07.11.1885,07.11.1885,07.11.1885,07.11.1885,07.14.1885,07.14.1885,07.14.1885,07.15.1885,07.15.1885,07.15.1885,07.16.1885,03.15.1886,03.17.1886,03.25.1886,03.25.1886,04.01.1886,04.01.1886,04.05.1886,04.05.1886,04.05.1886,04.13.1886,04.14.1886,04.15.1886,04.16.1886,04.21.1886,04.21.1886,04.28.1886,04.28.1886,05.04.1886,05.04.1886,05.05.1886,05.07.1886,05.07.1886,05.07.1886,05.07.1886,05.07.1886,05.07.1886,05.10.1886,05.10.1886,05.12.1886,05.12.1886,05.12.1886,05.13.1886,05.14.1886,05.17.1886,05.18.1886,05.18.1886,05.18.1886,05.20.1886,05.25.1886,05.29.1886,05.31.1886,05.31.1886,06.02.1886
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",5,5,5,3,5,3,5,5,3,5,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,1,5,3,5,5,5,5,5,5,5,3,1,5,5,5,1,5,3,3,5,3,3,5,1,1,5,1,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,3,5,5,1,5,3,1,5,1,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,3,3,1,5,3,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5
370,LANARK SOUTH,Ontario,1867 - 1914,5,1882.06.20,11,0161da2d-c63a-468c-a51e-070c1f9ee40f,"HAGGART, John Graham",accl.,,Conservative (1867-1942),Mill owner,Protestant,0,4,,,,,,,,,,,,,2,1,9,1,2,2,2,1,2,9,9,2,2,2,1,2,9,9,2,1,2,2,1,9,1,9,1,9,9,9,2,9,9,2,2,2,2,2,9,9,1,2,9,9,9,9,2,9,2,9,9,2,1,1,1,9,2,2,9,2,9,9,9,9,1,1,9,9,2,2,9,9,2,1,2,1,9,9,9,9,9,1,2,2,9,9,2,9,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,2,9,9,9,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,2,1,1,2,2,9,2,1,1,1,2,2,9,2,2,1,2,9,2,2,2,9,9,9,9,9,2,2,1,2,2,1,1,1,9,9,1,1,9,2,9,9,9,2,2,2,9,9,9,9
490,NORFOLK NORTH,Ontario,1867 - 1903,5,1882.06.20,31,03119541-a274-44e2-ab4a-6d6f6b3c6d5a,"CHARLTON, John",1940,0.554,Liberal Party of Canada,"Businessman, lumber merchant",Protestant,0,4,,,,,,,,,United States,,,,1,2,2,2,1,1,1,2,1,9,1,1,1,1,2,1,1,9,9,9,9,9,9,9,9,9,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,9,1,1,1,1,2,2,9,2,1,1,9,9,1,1,1,2,2,2,1,1,1,1,1,2,1,2,9,9,9,1,2,2,9,9,1,9,9,9,1,1,2,9,1,9,9,9,1,1,2,2,1,9,2,1,1,1,9,1,9,9,9,9,9,2,2,9,9,9,2,1,9,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,9,1,1,2,1,1,1,1,9,9,2,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,1,1,9,1,1,1
298,HUNTINGDON,Quebec,1867 - 1914,5,1882.06.20,34,036de5c8-7511-43b9-a55d-8a5c5ec1b773,"SCRIVER, Julius",1206,0.6711,Liberal Party of Canada,"Miller, tanner",Protestant,0,5,,,,,,,,,,,,,9,2,2,2,2,1,1,2,1,9,1,2,1,1,2,9,9,9,1,1,1,1,2,2,2,1,9,1,2,1,1,1,1,1,1,1,1,9,2,2,2,1,1,1,1,2,9,9,1,1,1,1,1,2,1,2,9,9,1,9,1,2,1,9,2,2,1,1,1,1,1,2,1,2,1,2,2,1,9,2,9,9,1,1,2,9,1,9,2,9,1,1,2,1,9,9,2,2,1,9,2,1,1,1,9,1,1,1,1,1,1,9,9,1,1,1,2,9,9,9,1,1,1,1,1,9,1,1,1,9,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,9,9,2,2,2,2,2,1,1,1,9,2,2,2,1,9,9,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,9,9,9,9,2,1,2,2,1,1,1,9,1,2,9,9,1,1,1,9
369,LANARK NORTH,Ontario,1867 - 1914,5,1882.06.20,63,05364d3e-12f0-40ac-acd3-44c84cf700d3,"JAMIESON, Joseph",1382,0.5128,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,2,1,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,9,1,1,1,2,9,9,9,9,2,1,1,1,2,2,2,1,1,2,2,2,9,2,1,9,2,2,2,2,1,2,2,1,2,1,2,1,2,1,1,2,1,9,2,9,1,2,9,2,1,2,1,2,1,2,2,9,9,9,9,2,2,2,1,2,2,2,2,2,1,9,1,1,1,2,2,9,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,9,1,1,1,2,9,2,9,2,1,2,2,2,2,2,2,1,1,2,2,9,2,1,2,2,1,1,9,1,1,2,2,2,2,2,2,2,2,2,9,9,2,2,2
479,NEW WESTMINSTER,British Columbia,1872 - 1976,5,1882.06.20-1886.09.20,74,06043dca-d4ec-4689-b9ef-aea35867e396,"HOMER, Joshua A.R.",accl.,,Liberal-Conservative,Merchant,Protestant,0,2,,,,,,,,,,Died in office: 1886.09.20,,,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,9,2,1,2,2,1,2,2,2,2,9,2,2,1,2,2,2,2,2,2,2,1,9,1,2,2,1,1,1,1,9,2,2,2,2,1,1,1,2,2,2,2,1,2,1,2,9,9,1,9,2,2,2,2,1,2,2,1,9,9,2,1,2,2,1,2,1,2,2,2,9,9,1,2,9,2,1,2,2,1,2,2,9,1,2,2,2,2,1,2,2,2,2,2,1,9,2,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,1,9,9,2,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,1,9,9,2,2,2,2,1,2,2,1,1,1,1,2,2,9,2,2,2,9,2,2,2,2,2,2,9,9
485,NICOLET,Quebec,1867 - 1933,5,1882.06.20-1884.03.26,91,0783363b-5802-4641-bbd2-1ff04f487e0c,"METHOT, Frs. Xavier Octave",accl.,,Independent Conservative,Farmer,Fr.Catholic,1,3,,,,,,,,,,Resignation. Appointed to the Legislative Council of Quebec: 1884.03.26,,,2,1,2,1,1,9,2,1,9,2,2,1,2,2,1,9,9,9,9,1,1,2,2,2,2,2,9,2,1,9,2,2,2,2,2,2,9,9,1,9,1,2,2,2,2,1,2,9,2,2,2,9,2,1,2,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
340,KINGSTON,Ontario,1867 - 1924,5,1882.06.20,98,0877d04e-0687-4b30-af8d-dded24cd96a6,"GUNN, Alexander",889,0.5273,Liberal Party of Canada,Grocery wholesaler,Protestant,0,2,,,,,,,,,Scotland,,,,1,2,2,2,2,1,1,2,1,2,9,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,9,1,1,1,1,1,2,2,2,1,9,2,1,9,2,1,2,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,1,1,2,1,1,2,2,2,1,1,9,9,1,2,2,9,1,1,2,1,1,1,1,1,1,1,1,9,9,2,2,1,1,1,2,9,1,1,1,1,1,1,1,1,9,1,9,9,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,1,1,1,2,2,2,2,1,9,1,1,2,1,1,1,1,1,1,2,2,1,9,9,1,2,2,1,2,1,1,2,1,2,2,1,1,1,9,1,1,1,1,1,1,1,1
