Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H06S1V001,H06S1V002,H06S1V003,H06S1V004,H06S1V005,H06S1V006,H06S1V007,H06S1V008,H06S1V009,H06S1V010,H06S1V011,H06S1V012,H06S1V013,H06S1V014,H06S1V015,H06S1V016,H06S1V017,H06S1V018,H06S1V019,H06S1V020,H06S1V021,H06S2V001,H06S2V002,H06S2V003,H06S2V004,H06S2V005,H06S2V006,H06S2V007,H06S2V008,H06S2V009,H06S2V010,H06S2V011,H06S2V012,H06S2V013,H06S2V014,H06S2V015,H06S2V016,H06S2V017,H06S2V018,H06S2V019,H06S3V001,H06S3V002,H06S3V003,H06S3V004,H06S3V005,H06S3V006,H06S3V007,H06S3V008,H06S3V009,H06S3V010,H06S3V011,H06S3V012,H06S3V013,H06S3V014,H06S3V015,H06S3V016,H06S3V017,H06S3V018,H06S3V019,H06S3V020,H06S3V021,H06S3V022,H06S3V023,H06S3V024,H06S3V025,H06S3V026,H06S3V027,H06S3V028,H06S3V029,H06S3V030,H06S3V031,H06S3V032,H06S3V033,H06S3V034,H06S3V035,H06S3V036,H06S3V037,H06S3V038,H06S3V039,H06S3V040,H06S3V041,H06S3V042,H06S3V043,H06S3V044,H06S3V045,H06S3V046,H06S4V001,H06S4V002,H06S4V003,H06S4V004,H06S4V005,H06S4V006,H06S4V007,H06S4V008,H06S4V009,H06S4V010,H06S4V011,H06S4V012,H06S4V013,H06S4V014,H06S4V015,H06S4V016,H06S4V017,H06S4V018,H06S4V019,H06S4V020,H06S4V021,H06S4V022,H06S4V023,H06S4V024,H06S4V025,H06S4V026,H06S4V027,H06S4V028,H06S4V029,H06S4V030,H06S4V031,H06S4V032,H06S4V033,H06S4V034,H06S4V035,H06S4V036
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,04.26.1887,04.26.1887,04.26.1887,04.27.1887,04.29.1887,05.05.1887,05.10.1887,05.10.1887,05.27.1887,05.30.1887,05.30.1887,06.02.1887,06.02.1887,06.10.1887,06.13.1887,06.13.1887,06.13.1887,06.13.1887,06.15.1887,06.20.1887,06.20.1887,03.06.1888,04.07.1888,04.07.1888,04.12.1888,04.18.1888,04.19.1888,04.20.1888,04.26.1888,05.01.1888,05.12.1888,05.12.1888,05.14.1888,05.14.1888,05.17.1888,05.17.1888,05.18.1888,05.18.1888,05.18.1888,05.19.1888,02.13.1889,02.14.1889,02.15.1889,02.15.1889,02.18.1889,02.20.1889,02.21.1889,02.21.1889,02.21.1889,02.25.1889,02.28.1889,02.28.1889,03.01.1889,03.13.1889,03.20.1889,03.20.1889,03.21.1889,03.29.1889,04.03.1889,04.03.1889,04.09.1889,04.10.1889,04.15.1889,04.15.1889,04.15.1889,04.15.1889,04.16.1889,04.16.1889,04.17.1889,04.22.1889,04.24.1889,04.26.1889,04.26.1889,04.26.1889,04.27.1889,04.27.1889,04.27.1889,04.27.1889,04.27.1889,04.27.1889,04.27.1889,04.29.1889,04.29.1889,04.29.1889,04.30.1889,04.30.1889,01.29.1890,02.03.1890,02.10.1890,02.10.1890,02.11.1890,02.18.1890,02.21.1890,02.24.1890,02.26.1890,02.27.1890,02.27.1890,03.03.1890,03.03.1890,03.03.1890,03.06.1890,03.11.1890,03.14.1890,03.19.1890,03.21.1890,04.09.1890,04.14.1890,04.14.1890,04.15.1890,04.16.1890,04.16.1890,04.16.1890,04.21.1890,04.21.1890,04.22.1890,04.25.1890,04.25.1890,05.01.1890,05.05.1890,05.05.1890,05.07.1890,05.13.1890
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",5,5,5,3,5,3,5,5,3,5,3,5,5,1,5,5,5,3,1,5,1,5,5,5,5,1,1,5,3,5,5,3,5,1,5,5,5,5,5,5,3,5,5,3,3,5,5,5,5,5,5,3,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,3,3,3,5,5,5,3,5,3,5,5,5,3,5,3,5,5,3,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5
370,LANARK SOUTH,Ontario,1867 - 1914,6,1887.02.22-1888.08.02 and 1888.08.15,11,0161da2d-c63a-468c-a51e-070c1f9ee40f,"HAGGART, John Graham",1762,0.6669,Conservative (1867-1942),Mill owner,Protestant,0,5,,1,,,,,,,,Resignation. Appointed Postmaster General: 1888.08.02,,,1,1,1,2,1,2,2,1,2,2,1,2,1,9,1,1,2,2,9,9,9,2,2,1,1,9,9,2,1,2,2,1,2,2,9,9,2,2,2,2,2,2,2,2,2,9,9,9,9,2,2,1,2,1,2,9,2,2,1,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,9,2,2,1,2,1,2,1,1,2,2,1,2,9,9,9,9,9,9,9,9,2,9,9,2,2
614,RIMOUSKI,Quebec,1867 - 1980,6,1887.02.22,18,01fac06e-b85e-40c1-bfc7-2225fe38f576,"FISET, J.B.R.",2228,0.573,Liberal Party of Canada,Physician,Fr.Catholic,1,4,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,1,1,1,2,9,2,1,1,2,2,2,2,9,1,2,2,1,2,2,1,1,1,2,9,9,1,1,1,9,1,9,1,1,1,1,1,1,2,2,1,1,1,2,1,2,9,9,1,2,2,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,1,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,9,1,2,1,1,2,2,1,9,1,1,1,1,2,2,9,1,1
490,NORFOLK NORTH,Ontario,1867 - 1903,6,1887.02.22,31,03119541-a274-44e2-ab4a-6d6f6b3c6d5a,"CHARLTON, John",2139,0.5347,Liberal Party of Canada,"Businessman, lumber merchant",Protestant,0,5,,,,,,,,,United States,,,,2,2,2,1,2,1,1,2,9,1,1,1,2,1,2,2,1,1,2,1,2,9,1,2,9,2,2,9,2,1,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,2,9,1,9,1,2,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,9,9,1,9,9,9,1,1,1,1,1,1,1,1,1,2,1,1,1,9,1,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,9,9,2,2,9,2,2,1,9,9,1,1,1,1,2,2,1,1
298,HUNTINGDON,Quebec,1867 - 1914,6,1887.02.22,34,036de5c8-7511-43b9-a55d-8a5c5ec1b773,"SCRIVER, Julius",accl.,,Liberal Party of Canada,"Miller, tanner",Protestant,0,6,,,,,,,,,,,,,2,2,2,1,2,1,1,2,1,2,1,1,2,9,2,2,1,1,1,1,9,1,1,2,9,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,9,1,1,1,9,2,2,2,2,1,2,1,9,1,1,2,1,1,1,1,1,1,2,1,1,9,9,1,1,1,9,9,1,1,9,9,9,9,9,9,9,1,1,2,1,1,1,1,9,1,9,2,2,1,2,1,2,2,2,1,1,2,1,2,9,1,2,1,1,2,2,1,1,1,1,9,9,1,2,2,1,1
369,LANARK NORTH,Ontario,1867 - 1914,6,1887.02.22,63,05364d3e-12f0-40ac-acd3-44c84cf700d3,"JAMIESON, Jos.",1739,0.5156,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,,,,,1,1,1,2,1,2,9,9,2,2,1,2,1,1,2,2,1,1,1,9,9,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,1,2,1,2,9,9,9,1,2,9,2,2,2,2,2,2,2,1,9,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,1,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,1,2,9,2,2,2,9,9,2,9
518,OTTAWA (CITY OF),Ontario,,6,1887.02.22,76,065129f8-f705-4478-8f85-d67b33b7a9fd,"ROBILLARD, Honore",3207,0.2837,Liberal-Conservative,Contractor,Fr.Catholic,1,1,,,,,,,,,,,,,2,2,2,1,1,2,2,1,2,2,1,2,1,9,9,9,1,2,9,9,9,2,2,1,1,2,9,2,9,2,2,1,2,9,2,2,2,2,2,9,9,2,2,2,9,9,9,9,9,2,1,2,2,9,2,9,2,2,9,2,9,2,1,2,9,9,9,2,9,2,2,2,9,2,2,2,2,2,2,2,2,2,2,1,2,9,1,2,2,2,2,1,1,9,1,2,1,1,9,9,2,1,2,1,9,2,9,9,9,2,1,9,9,9,9,2,2,2,1,1,2,2
134,CHARLEVOIX,Quebec,1867 - 1914,6,1887.09.28,88,0753deee-abe6-44a6-b2c9-51a7e66564e1,"CIMON, Simon-Xavier (Jr.)",1436,0.5835,Conservative (1867-1942),Civil engineer,Fr.Catholic,1,1,,,,,,,,,,Elected at a by-election following the death of his father,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,9,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,9,9,9,9,9,9,9,9,9,2,2,1,2,2,1,2,9,9,9,1,1,9,1,1,1,9,9,9,2,1,2,1,2,2,1,1,1,1,1,1,2,1,2,9,9,2,9,9,2,2
