Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H07S1V001,H07S1V002,H07S1V003,H07S1V004,H07S1V005,H07S1V006,H07S1V007,H07S1V008,H07S1V009,H07S1V010,H07S1V011,H07S1V012,H07S1V013,H07S1V014,H07S1V015,H07S1V016,H07S1V017,H07S1V018,H07S1V019,H07S1V020,H07S1V021,H07S1V022,H07S1V023,H07S1V024,H07S1V025,H07S1V026,H07S1V027,H07S1V028,H07S2V001,H07S2V002,H07S2V003,H07S2V004,H07S2V005,H07S2V006,H07S2V007,H07S2V008,H07S2V009,H07S2V010,H07S2V011,H07S2V012,H07S2V013,H07S3V001,H07S3V002,H07S3V003,H07S3V004,H07S3V005,H07S3V006,H07S3V007,H07S3V008,H07S3V009,H07S3V010,H07S3V011,H07S3V012,H07S4V001,H07S4V002,H07S4V003,H07S4V004,H07S4V005,H07S4V006,H07S4V007,H07S4V008,H07S4V009,H07S4V010,H07S4V011,H07S4V012,H07S4V013,H07S4V014,H07S4V015,H07S4V016,H07S4V017,H07S4V018,H07S4V019,H07S4V020,H07S4V021,H07S4V022,H07S4V023,H07S4V024,H07S4V025,H07S4V026,H07S4V027,H07S4V028,H07S4V029,H07S4V030,H07S4V031,H07S4V032,H07S5V001,H07S5V002,H07S5V003,H07S5V004,H07S5V005,H07S5V006,H07S5V007,H07S5V008,H07S5V009,H07S5V010,H07S5V011,H07S5V012,H07S5V013,H07S5V014,H07S5V015,H07S5V016,H07S5V017,H07S5V018,H07S5V019,H07S5V020,H07S5V021,H07S5V022,H07S6V001,H07S6V002,H07S6V003,H07S6V004,H07S6V005,H07S6V006,H07S6V007,H07S6V008,H07S6V009,H07S6V010,H07S6V011,H07S6V012,H07S6V013
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,05.20.1891,05.20.1891,05.21.1891,05.21.1891,06.01.1891,06.04.1891,06.05.1891,06.22.1891,06.24.1891,06.24.1891,07.01.1891,07.07.1891,07.20.1891,07.28.1891,08.04.1891,08.05.1891,08.12.1891,08.18.1891,08.20.1891,08.25.1891,08.27.1891,09.03.1891,09.10.1891,09.17.1891,09.23.1891,09.24.1891,09.24.1891,09.24.1891,04.06.1892,04.07.1892,04.26.1892,04.26.1892,04.27.1892,04.28.1892,05.05.1892,05.05.1892,05.05.1892,05.10.1892,05.11.1892,05.16.1892,05.27.1892,01-30-1893,02-02-1893,03.01.1893,03.01.1893,03.01.1893,03.09.1893,03.13.1893,03.13.1893,03.17.1893,03.22.1893,03.23.1893,03.30.1893,04.13.1894,04.16.1894,04.19.1894,05.09.1894,05.17.1894,06.07.1894,06.08.1894,06.11.1894,06.11.1894,06.12.1894,06.14.1894,06.15.1894,06.21.1894,06.26.1894,07.03.1894,07.03.1894,07.05.1894,07.11.1894,07.11.1894,07.11.1894,07.11.1894,07.13.1894,07.13.1894,07.13.1894,07.16.1894,07.17.1894,07.17.1894,07.18.1894,07.19.1894,07.19.1894,07.19.1894,07.20.1894,05.30.1895,06.04.1895,06.05.1895,06.05.1895,06.12.1895,06.14.1895,06.14.1895,06.17.1895,06.17.1895,06.20.1895,06.25.1895,07.02.1895,07.04.1895,07.05.1895,07.08.1895,07.09.1895,07.10.1895,07.11.1895,07.12.1895,07.16.1895,07.16.1895,07.19.1895,02.11.1896,02.24.1896,03.02.1896,03.09.1896,03.20.1896,03.20.1896,03.26.1896,03.26.1896,04.02.1896,04.02.1896,04.04.1896,04.09.1896,04.23.1896
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",5,1,3,3,3,5,5,3,5,5,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,3,5,5,5,5,3,3,1,1,5,5,3,5,3,3,5,1,3,5,5,5,5,5,5,5,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,3,5,5,5,5,5,5,5,5,5,3,5,3,3,5,3,5,5,5,5,5,5,5,3,3,5,3,5,5,5,1,3,3,3,1,5,1,3,1,5,5,5,3,5
215,ESSEX NORTH,Ontario,1882 - 1924,7,1891.03.05,1,000f52b0-3fd0-40ec-807b-ef179712b11b,"MCGREGOR, William",2892,0.586,Liberal Party of Canada,"Banker, broker, rancher",Protestant,0,2,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,1,9,1,1,2,1,9,9,1,1,1,9,1,9,1,2,2,9,2,1,1,1,2,1,1,1,9,9,1,1,1,1,1,1,2,9,1,2,9,9,9,9,9,2,1,1,1,2,1,1,1,1,2,9,9,1,1,9,1,1,2,1,2,1,1,9,9,9,9,1,1,2,1,2,2,1,2,9,9,9,1
370,LANARK SOUTH,Ontario,1867 - 1914,7,1891.03.05,11,0161da2d-c63a-468c-a51e-070c1f9ee40f,"HAGGART, J. H.",1804,0.6058,Conservative (1867-1942),Mill owner,Protestant,0,6,,1,,,,,,,,,,,1,1,9,1,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,9,2,2,1,1,2,9,9,9,9,2,1,1,2,2,1,2,2,2,2,2,9,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,9,2,2,9,9,2,2,2,2,2,2,2,1,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,9,9,2,9,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1,2,1,2,1,1,2
490,NORFOLK NORTH,Ontario,1867 - 1903,7,1891.03.05,31,03119541-a274-44e2-ab4a-6d6f6b3c6d5a,"CHARLTON, John",2370,0.5548,Liberal Party of Canada,"Businessman, lumber merchant",Protestant,0,6,,,,,,,,,United States,,,,2,2,2,2,2,2,9,1,2,2,1,1,9,1,2,1,1,9,9,1,1,1,1,9,9,9,9,9,2,1,1,2,1,1,9,9,9,1,1,1,9,1,1,9,1,1,2,9,1,1,9,1,9,1,2,2,9,2,1,1,9,2,1,1,1,9,9,1,1,1,1,1,1,2,2,1,2,2,1,1,2,9,1,9,9,1,2,1,1,9,9,9,9,9,9,1,9,9,1,2,1,9,9,1,9,1,9,9,9,9,9,1,2,9,9,9,9,2,9,1
518,OTTAWA (CITY OF),Ontario,,7,1893.12.07,32,032a31d3-2422-458e-bc65-8568eeffe417,"GRANT, James Alexander",accl.,,Conservative (1867-1942),Physician,Protestant,0,3,,,,,,,,,Scotland,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,1,1,1,2,9,2,9,2,9,9,2,2,2,2,2,9,2,2,1,1,2,1,2,2,2,2,2,2,9,9,2,9,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,9,2,9,9,9,2,1,1,9,1,2,9,9,2
298,HUNTINGDON,Quebec,1867 - 1914,7,1891.03.05,34,036de5c8-7511-43b9-a55d-8a5c5ec1b773,"SCRIVER, Julius",1408,0.5559,Liberal Party of Canada,"Miller, tanner",Protestant,0,7,,,,,,,,,,,,,9,9,9,9,9,2,1,9,2,2,2,9,9,1,2,1,1,1,1,1,1,1,9,1,9,2,1,2,2,1,9,9,9,1,1,2,2,9,9,1,1,1,9,9,1,1,2,1,1,1,9,1,9,1,9,2,1,2,9,9,9,9,1,1,1,1,1,1,1,9,1,1,1,2,9,9,9,9,9,1,2,1,1,1,1,9,2,1,2,2,9,9,2,2,1,1,9,1,9,9,1,9,1,1,1,1,9,1,2,9,2,1,2,2,1,9,9,9,9,9
544,PERTH NORTH,Ontario,1867 - 1933,7,1891.03.05- and 1892.05.19,53,04dcddf8-0ce3-4a5f-8983-fd1765822f3b,"GRIEVE, James Nicol",2520,0.5071,Liberal Party of Canada,Farmer,Protestant,0,1,,,,,,,,,,Election declared void: ó,,,2,2,2,2,2,2,1,1,2,2,9,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,1,1,1,9,1,9,1,9,2,9,2,1,1,9,9,1,1,9,9,9,1,1,1,1,1,9,2,2,1,2,9,9,9,2,9,9,9,9,1,2,2,1,1,1,2,2,2,1,9,9,9,1,2,1,2,1,1,1,9,9,9,9,1,9,1,2,2,1,2,1,1,2,1
369,LANARK NORTH,Ontario,1867 - 1914,7,1891.03.05-1891.12.07,63,05364d3e-12f0-40ac-acd3-44c84cf700d3,"JAMIESON, Joseph",1723,0.5479,Conservative (1867-1942),Lawyer,Protestant,0,3,,,,,,,,,,Resignation. Appointed Junior County Judge of Wellington County: 1891.12.07,,,1,1,2,2,1,1,2,2,2,2,9,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
518,OTTAWA (CITY OF),Ontario,,7,1891.03.05,76,065129f8-f705-4478-8f85-d67b33b7a9fd,"ROBILLARD, Honore",2363,0.2501,Liberal-Conservative,Contractor,Fr.Catholic,1,2,,,,,,,,,,,,,9,1,1,1,1,1,2,2,2,1,9,2,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,9,2,2,1,9,2,2,1,1,9,2,2,2,2,9,9,2,2,1,2,2,2,2,2,2,2,9,1,9,1,2,2,2,9,2,2,2,2,2,2,9,9,2,2,2,1,1,2,1,2,2,2,9,9,2,9,9,2,1,2,2,1,2,1,1,1,2,2,2,2,9,9,2,9,2,2,2,2,1,2,9,9,9,2,1,1,2,1,2,1,1,2
843,YORK EAST,Ontario,1867 - 1903,7,1892.05.11,80,06cf61a5-7c95-4155-ab94-d0d4156924b9,"MCLEAN, William Findlay",accl.,,Conservative (1867-1942),"Farmer, gentleman, journalist",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,2,2,2,2,1,1,2,2,9,2,9,2,2,9,1,9,1,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,9,9,1,2,2,1,9,9,9,9,2,2,9,2,2,1,2,1,2,2,2,2,9,1,9,9,9,1,2,9,9,9,9,9,1,9
278,HASTINGS NORTH,Ontario,1867 - 1903,7,1892.12.20,112,09b5fa03-e37e-4560-ad97-6ba5639de2b9,"CARSCALLEN, Alexander Augustus W",accl.,,Conservative (1867-1942),Banker,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,9,9,2,2,2,2,2,2,2,1,1,1,9,2,2,9,1,2,2,9,9,9,9,2,2,2,2,2,1,2,9,9,9,1,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,2,2,2,2,9,9,9,2,1,9,9,1,2,9,2,9,9,9,1,2
172,DIGBY,Nova Scotia,1867 - 1914,7,1891.03.05 and 1892.02.13,126,0a774cae-41fc-4fae-b977-e4766409acd9,"BOWERS, Edward Charles",1503,0.5124,Liberal Party of Canada,"Teacher, trader",Protestant,0,1,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,9,9,1,2,2,1,2,9,9,1,9,1,1,1,2,2,1,2,1,1,1,9,9,1,1,9,1,1,1,9,1,9,1,9,9,1,2,9,9,9,9,9,1,1,2,1,1,1,9,9,9,9,9,2,1,2,9,9,9,9,9,9,9,9,9,9,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,9,9,9,2,2,2,1,2,9,9,9,9,9,9,1
144,CHICOUTIMI--SAGUENAY,Quebec,1867 - 1924,7,1892.08.16,132,0acd8e5a-af4a-4000-9bb2-85f38333bb6c,"BELLEY, Louis de Gonzague",accl.,,Conservative (1867-1942),Lawyer,Fr.Catholic,1,1,,1,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,9,1,2,2,2,2,2,2,2,9,1,2,1,2,2,2,1,2,9,9,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,9,2,2,9,2,2,1,9,1,9,9,9,2,9,1,2,1,1,2,1,2,1,1,2
805,WENTWORTH SOUTH,Ontario,1867 - 1903,7,1891.03.05,151,0c141eac-6741-4958-b45b-6edcb8e6d104,"CARPENTER, F.M.",1773,0.5001,Conservative (1867-1942),Farmer,Protestant,0,2,,,,,,,,,,,,,1,1,1,1,9,1,2,2,2,1,9,2,9,2,9,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,9,9,2,2,2,1,1,9,2,9,9,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,9,9,2,2,2,2,9,9,9,9,9,9,9,9,1,2,1,9,9,9,9,9,9,9,9,2,1,2,1,2,2,1,9,9,2,2,2,2,2,9,2,1,2,2,2,2,1,2,2,1,9,2,1,1,9,1,2,1,9,2
766,VAUDREUIL,Quebec,1867 - 1914,7,1892.02.29- and 1893.04.12,161,0cc41825-896c-4e1a-8082-ff790da9909e,"MCMILLAN, Hugh",accl.,,Conservative (1867-1942),Merchant,Catholic,0,3,,,,,,,,,,Election declared void: ó,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,1,2,2,2,1,1,2,2,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
