Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H08S1V001,H08S1V002,H08S1V003,H08S2V001,H08S2V002,H08S2V003,H08S2V004,H08S3V001,H08S3V002,H08S3V003,H08S3V004,H08S3V005,H08S3V006,H08S3V007,H08S3V008,H08S3V009,H08S3V010,H08S3V011,H08S3V012,H08S3V013,H08S3V014,H08S3V015,H08S3V016,H08S3V017,H08S4V001,H08S4V002,H08S4V003,H08S4V004,H08S4V005,H08S4V006,H08S4V007,H08S4V008,H08S4V009,H08S4V010,H08S4V011,H08S4V012,H08S4V013,H08S4V014,H08S4V015,H08S4V016,H08S4V017,H08S4V018,H08S4V019,H08S4V020,H08S4V021,H08S4V022,H08S4V023,H08S4V024,H08S4V025,H08S5V001,H08S5V002,H08S5V003,H08S5V004,H08S5V005,H08S5V006,H08S5V007,H08S5V008,H08S5V009,H08S5V010,H08S5V011,H08S5V012,H08S5V013,H08S5V014,H08S5V015,H08S5V016,H08S5V017,H08S5V018,H08S5V019,H08S5V020,H08S5V021,H08S5V022,H08S5V023,H08S5V024,H08S5V025,H08S5V026,H08S5V027,H08S5V028,H08S5V029,H08S5V030,H08S5V031,H08S5V032,H08S5V033,H08S5V034,H08S5V035,H08S5V036,H08S5V037,H08S5V038
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,09.08.1896,09.24.1896,09.30.1896,05.12.1897,06.16.1897,06.17.1897,06.28.1897,03.11.1898,03.11.1898,03.22.1898,03.23.1898,03.24.1898,03.25.1898,03.28.1898,03.28.1898,03.30.1898,04.06.1898,04.15.1898,04.19.1898,05.09.1898,05.17.1898,05.25.1898,05.27.1898,06.09.1898,04.18.1899,04.18.1899,04.24.1899,04.27.1899,05.09.1899,05.10.1899,05.10.1899,05.31.1899,06.07.1899,06.09.1899,06.13.1899,06.13.1899,06.17.1899,06.21.1899,06.30.1899,07.06.1899,07.20.1899,08.05.1899,08.08.1899,08.08.1899,08.08.1899,08.10.1899,08.10.1899,08.10.1899,08.11.1899,03.09.1900,03.13.1900,03.21.1900,03.22.1900,03.26.1900,03.26.1900,04.09.1900,05.04.1900,05.11.1900,05.18.1900,05.30.1900,05.30.1900,05.31.1900,06.04.1900,06.04.1900,06.11.1900,06.12.1900,06.14.1900,06.15.1900,06.15.1900,06.16.1900,06.18.1900,06.19.1900,06.20.1900,06.20.1900,06.21.1900,06.29.1900,07.03.1900,07.04.1900,07.05.1900,07.06.1900,07.06.1900,07.06.1900,07.06.1900,07.10.1900,07.10.1900,07.11.1900,07.13.1900
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",5,5,5,5,3,3,5,5,1,3,5,3,5,3,5,5,3,1,5,5,5,3,5,1,5,5,3,5,3,1,5,5,3,5,1,5,3,3,5,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,3,5,5,5,5,5,5
215,ESSEX NORTH,Ontario,1882 - 1924,8,1896.06.23,1,000f52b0-3fd0-40ec-807b-ef179712b11b,"MCGREGOR, William",2511,0.4807,Liberal Party of Canada,"Banker, broker, rancher",Protestant,0,3,,,,,,,,,,,,,2,2,9,2,1,1,9,2,1,2,2,9,9,1,2,2,1,1,2,2,2,2,9,1,2,1,9,1,1,1,9,2,1,2,1,1,9,9,2,1,2,2,2,9,2,2,2,1,2,9,9,1,2,9,9,9,9,2,2,2,1,2,9,9,2,2,2,2,1,9,9,9,9,9,2,2,1,1,9,9,9,9,9,9,9,9,9
370,LANARK SOUTH,Ontario,1867 - 1914,8,1896.06.23,11,0161da2d-c63a-468c-a51e-070c1f9ee40f,"HAGGART, J. H.",1939,0.5542,Conservative (1867-1942),Mill owner,Protestant,0,7,,,,,,,,,,,,,1,1,2,9,9,2,9,1,2,9,9,9,2,2,2,9,9,2,9,9,1,9,9,2,2,2,9,9,2,2,2,9,9,2,2,2,9,9,9,2,9,9,9,9,1,9,9,9,9,1,9,9,9,2,2,2,1,1,1,9,1,1,9,9,9,9,9,1,2,1,9,1,9,9,9,1,9,9,9,1,2,2,2,1,9,1,2
614,RIMOUSKI,Quebec,1867 - 1980,8,1896.06.23-1897.10.19 ,18,01fac06e-b85e-40c1-bfc7-2225fe38f576,"FISET, J.B.R.",2443,0.5288,Liberal Party of Canada,Physician,Fr.Catholic,1,5,,,,,,,,,,Resignation. Called to the Senate: 1897.10.19 ,,,9,2,9,9,1,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
820,WINNIPEG,Manitoba,1882 - 1914,8,1897.04.27,29,0309a6f2-5411-458f-8264-3ca094c7617f,"JAMESON, R.W.",2326,0.658,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,South Africa,Died in office 1899.02.03,,,99,99,99,2,1,1,2,2,1,2,9,9,1,1,2,9,9,1,9,9,2,1,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
490,NORFOLK NORTH,Ontario,1867 - 1903,8,1896.06.23,31,03119541-a274-44e2-ab4a-6d6f6b3c6d5a,"CHARLTON, John",2142,0.5727,Liberal Party of Canada,"Businessman, lumber merchant",Protestant,0,7,,,,,,,,,United States,,,,2,2,9,9,9,9,9,9,9,9,2,1,9,9,9,9,1,9,2,2,9,9,9,9,2,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,9,9,9,9,9,9,9,9,9,2,9,9
298,HUNTINGDON,Quebec,1867 - 1914,8,1896.06.23,34,036de5c8-7511-43b9-a55d-8a5c5ec1b773,"SCRIVER, Julius",1546,0.6515,Liberal Party of Canada,"Miller, tanner",Protestant,0,8,,,,,,,,,,,,,2,2,2,2,1,1,1,2,1,2,9,1,1,1,9,9,9,9,2,2,2,2,9,9,2,1,1,1,1,9,9,2,1,9,1,1,9,9,2,9,2,9,2,9,9,9,9,9,2,9,9,9,9,9,9,2,9,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,2,2,2,9,2,9
743,WEST TORONTO,Ontario,1867 - 1903,8,1896.06.23,68,0584c1e1-b6cf-4b4b-bb53-943e8168b396,"CLARKE, E.F.",5147,0.2643,Conservative (1867-1942),"Editor, journalist",Protestant,0,1,,,,,,,,,Ireland,,,,1,1,2,9,1,9,9,1,2,9,1,2,2,9,1,1,9,1,1,1,1,1,9,2,9,2,2,2,2,1,1,9,9,2,2,2,9,2,1,2,1,9,1,1,1,9,9,9,9,1,9,2,1,2,1,9,1,9,1,1,9,1,1,9,1,1,1,1,9,9,1,1,9,9,9,1,1,9,9,1,2,1,2,9,1,1,2
