Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H09S1V001,H09S1V002,H09S1V003,H09S1V004,H09S1V005,H09S1V006,H09S1V007,H09S1V008,H09S1V009,H09S1V010,H09S1V011,H09S1V012,H09S1V013,H09S1V014,H09S1V015,H09S1V016,H09S1V017,H09S1V018,H09S2V001,H09S2V002,H09S2V003,H09S2V004,H09S2V005,H09S2V006,H09S2V007,H09S2V008,H09S2V009,H09S2V010,H09S2V011,H09S2V012,H09S2V013,H09S2V014,H09S2V015,H09S2V016,H09S3V001,H09S3V002,H09S3V003,H09S3V004,H09S3V005,H09S3V006,H09S3V007,H09S3V008,H09S3V009,H09S3V010,H09S3V011,H09S3V012,H09S3V013,H09S3V014,H09S3V015,H09S3V016,H09S3V017,H09S3V018,H09S3V019,H09S3V020,H09S3V021,H09S3V022,H09S3V023,H09S3V024,H09S3V025,H09S3V026,H09S3V027,H09S3V028,H09S3V029,H09S3V030,H09S3V031,H09S3V032,H09S3V033,H09S3V034,H09S3V035,H09S3V036,H09S4V001,H09S4V002,H09S4V003,H09S4V004,H09S4V005,H09S4V006,H09S4V007,H09S4V008,H09S4V009,H09S4V010,H09S4V011,H09S4V012,H09S4V013,H09S4V014,H09S4V015,H09S4V016,H09S4V017,H09S4V018,H09S4V019,H09S4V020,H09S4V021,H09S4V022
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,02.25.1901,02.28.1901,02.28.1901,03.02.1901,03.07.1901,03.12.1901,03.29.1901,03.29.1901,04.01.1901,04.02.1901,04.10.1901,04.24.1901,05.07.1901,05.09.1901,05.14.1901,05.14.1901,05.17.1901,05.22.1901,02.27.1902,03.05.1902,03.06.1902,03.19.1902,04.03.1902,04.09.1902,04.22.1902,04.22.1902,04.28.1902,04.28.1902,04.29.1902,04.30.1902,05.07.1902,05.07.1902,05.12.1902,05.13.1902,03.26.1903,03.30.1903,04.01.1903,04.01.1903,04.14.1903,05.01.1903,05.13.1903,05.15.1903,05.18.1903,06.09.1903,06.11.1903,06.16.1903,06.17.1903,06.17.1903,06.25.1903,07.14.1903,07.27.1903,07.28.1903,08.05.1903,08.10.1903,08.10.1903,09.02.1903,09.02.1903,09.02.1903,09.02.1903,09.04.1903,09.25.1903,09.29.1903,09.29.1903,09.29.1903,09.29.1903,09.30.1903,10.12.1903,10.14.1903,10.17.1903,10.21.1903,04.21.1904,04.26.1904,04.27.1904,05.19.1904,05.19.1904,05.25.1904,05.27.1904,06.02.1904,06.06.1904,06.13.1904,06.16.1904,06.21.1904,06.25.1904,07.13.1904,07.18.1904,07.21.1904,07.26.1904,07.26.1904,07.26.1904,07.28.1904,07.29.1904,08.03.1904
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",3,5,3,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,3,3,5,5,5,5,5,3,3,5,3,5,5,5,5,1,5,5,5,5,5,5,3,1,5,5,5,3,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5
93,BURRARD,British Columbia,1892 - 1903,9,1903.02.04,7,00f35bd1-e0be-472e-b64b-abb6af97e652,"MACPHERSON, R.G.",2108,0.484,Liberal Party of Canada,"Insurance executive, pharmacist",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,9,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,9,9,2,2,2,1,1,2,2,2,2,2,2,9,2,2,2,2,9,1,2,2,2,2,2,2,1,2,2,2,2,2,2,9,9,9,2,2,2
370,LANARK SOUTH,Ontario,1867 - 1914,9,1900.11.07,11,0161da2d-c63a-468c-a51e-070c1f9ee40f,"HAGGART, Hon. John",2010,0.5528,Conservative (1867-1942),Mill owner,Protestant,0,8,,,,,,,,,,,,,9,9,9,1,9,9,1,2,9,9,9,9,9,1,9,9,2,1,1,9,1,1,1,1,9,1,9,9,9,1,1,9,9,1,2,1,9,2,1,1,1,9,9,1,1,9,9,1,9,1,9,9,9,9,9,1,2,1,2,2,1,1,9,9,9,9,9,1,1,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9
79,BRUCE EAST,Ontario,1882 - 1903,9,1904.02.16,26,02e1edd1-1f85-483e-ba21-e0fc1a217151,"DONNELLY, James J.",1821,0.5246,Conservative (1867-1942),"Lumberman, president / manager, rancher",Catholic,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,2,1,1,1,1,1,9,9,1,9,1,1,9,1,9,9,9,9,9,1
635,ST. HYACINTHE,Quebec,1867 - 1914,9,1904.02.16-1904.08.31,27,02e76ac1-b48e-423b-b0ce-00c4d13c8cb2,"BLANCHET, J.B.",1841,0.5281,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,Died in office: 1904.08.31,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,2,2,2,2,9,2,1,2,9,2,2,9,2,2,2,2,2,2,2
490,NORFOLK NORTH,Ontario,1867 - 1903,9,1900.11.07,31,03119541-a274-44e2-ab4a-6d6f6b3c6d5a,"CHARLTON, John",accl.,,Liberal Party of Canada,"Businessman, lumber merchant",Protestant,0,8,,,,,,,,,United States,,,,9,9,9,9,9,9,9,9,1,9,9,9,9,9,1,2,9,9,9,1,9,2,9,9,1,9,9,9,9,9,9,9,2,9,9,2,2,1,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9
743,WEST TORONTO,Ontario,1867 - 1903,9,1900.11.07,68,0584c1e1-b6cf-4b4b-bb53-943e8168b396,"CLARKE, Edward F.",7024,0.287,Conservative (1867-1942),"Editor, journalist",Protestant,0,2,,,,,,,,,Ireland,,,,9,1,1,2,9,2,1,2,2,9,1,1,2,1,2,1,2,1,9,1,1,1,1,1,2,9,1,2,9,1,1,2,2,1,2,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,9,9,9,9,9,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,9,1,1,1,9,9,9,1,1,1
810,WESTMORLAND,New Brunswick,1867 - 1966,9,1900.11.07-1904.01.14 and 1904.01.30,73,05ffcd85-4168-4656-82c4-05a0c40faaae,"EMMERSON, Henry R.",4420,0.5291,Liberal Party of Canada,Lawyer,Protestant,0,1,,1,,,,,,,,Resignation. Appointed Minister of Railways and Canals: 1904.01.14,,,1,1,1,1,9,9,2,1,1,2,9,9,9,2,2,2,2,2,9,9,2,9,9,2,1,9,2,1,1,2,9,9,9,9,1,2,1,1,9,2,2,9,2,9,9,2,9,9,2,2,1,2,2,9,9,2,2,2,1,9,9,2,2,2,2,2,2,9,2,2,2,9,1,9,9,9,9,9,9,9,9,2,9,2,9,2,9,9,9,2,2,9
