Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H10S1V001,H10S1V002,H10S1V003,H10S1V004,H10S1V005,H10S1V006,H10S1V007,H10S1V008,H10S1V009,H10S1V010,H10S1V011,H10S1V012,H10S1V013,H10S1V014,H10S1V015,H10S1V016,H10S1V017,H10S1V018,H10S1V019,H10S1V020,H10S2V001,H10S2V002,H10S2V003,H10S2V004,H10S2V005,H10S2V006,H10S2V007,H10S2V008,H10S2V009,H10S2V010,H10S2V011,H10S2V012,H10S2V013,H10S2V014,H10S2V015,H10S2V016,H10S2V017,H10S2V018,H10S2V019,H10S2V020,H10S2V021,H10S2V022,H10S2V023,H10S2V024,H10S2V025,H10S3V001,H10S3V002,H10S3V003,H10S3V004,H10S3V005,H10S3V006,H10S3V007,H10S3V008,H10S3V009,H10S3V010,H10S3V011,H10S3V012,H10S3V013,H10S3V014,H10S3V015,H10S3V016,H10S3V017,H10S3V018,H10S3V019,H10S3V020,H10S3V021,H10S3V022,H10S3V023,H10S3V024,H10S3V025,H10S3V026,H10S3V027,H10S3V028,H10S3V029,H10S3V030,H10S3V031,H10S3V032,H10S4V001,H10S4V002,H10S4V003,H10S4V004,H10S4V005,H10S4V006,H10S4V007,H10S4V008,H10S4V009,H10S4V010,H10S4V011,H10S4V012,H10S4V013,H10S4V014,H10S4V015,H10S4V016,H10S4V017,H10S4V018,H10S4V019,H10S4V020,H10S4V021,H10S4V022,H10S4V023,H10S4V024,H10S4V025,H10S4V026,H10S4V027,H10S4V028,H10S4V029,H10S4V030,H10S4V031,H10S4V032,H10S4V033,H10S4V034,H10S4V035,H10S4V036,H10S4V037,H10S4V038
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,01.30.1905,02.28.1905,03.29.1905,05.04.1905,05.22.1905,07.04.1905,07.05.1905,07.05.1905,07.05.1905,07.05.1905,07.05.1905,07.05.1905,07.05.1905,07.06.1905,07.06.1905,07.06.1905,07.06.1905,07.06.1905,07.13.1905,07.17.1905,03.21.1906,03.26.1906,04.03.1906,05.02.1906,05.08.1906,05.10.1906,05.17.1906,05.18.1906,05.18.1906,06.04.1906,06.06.1906,06.11.1906,06.14.1906,06.19.1906,06.21.1906,06.27.1906,06.29.1906,07.04.1906,07.05.1906,07.05.1906,07.06.1906,07.06.1906,07.07.1906,07.07.1906,07.11.1906,12.10.1906,01.15.1907,01.28.1907,02.07.1907,02.22.1907,02.25.1907,02.25.1907,02.28.1907,03.06.1907,03.15.1907,03.15.1907,03.15.1907,03.15.1907,03.15.1907,03.15.1907,03.19.1907,03.19.1907,03.19.1907,03.19.1907,03.21.1907,03.25.1907,03.26.1907,04.02.1907,04.03.1907,04.04.1907,04.12.1907,04.15.1907,04.17.1907,04.17.1907,04.23.1907,04.24.1907,04.26.1907,12.05.1907,12.10.1907,12.11.1907,01.13.1908,01.24.1908,01.29.1908,02.07.1908,02.11.1908,02.14.1908,02.19.1908,02.28.1908,02.29.1908,03.03.1908,03.06.1908,03.10.1908,03.13.1908,03.16.1908,03.30.1908,03.30.1908,03.31.1908,04.24.1908,05.01.1908,05.20.1908,05.22.1908,05.26.1908,06.10.1908,06.30.1908,06.30.1908,06.30.1908,07.04.1908,07.07.1908,07.08.1908,07.08.1908,07.09.1908,07.09.1908,07.15.1908,07.16.1908,07.17.1908
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",3,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,3,5,5,5,5,5,5,3,5,5,3,3,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,3,1,1,5,5,3,5,5,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,5,5,5
758,VANCOUVER CITY,British Columbia,1903 - 1914,10,1904.11.03,7,00f35bd1-e0be-472e-b64b-abb6af97e652,"MACPHERSON, R.G.",2938,0.5058,Liberal Party of Canada,"Insurance executive, pharmacist",Protestant,0,2,,,,,,,,,,,,,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,9,9,1,9,2,1,2,2,2,2,2,2,2,1,2,2,2,9,9,9,9,2,9,1,1,9,2,2,9,1,2,2,2,2,2,2,2,9,9,2,9,1,2,9,2,9,9,2,1,2,2,2,2,2,2,2,2,9,9,9,9,9,9,1,2,2,1,9,9,1,2,2,2,2,9,2,2,2,9,2,2,2,2,2,1,2,2,2
370,LANARK SOUTH,Ontario,1867 - 1914,10,1904.11.03,11,0161da2d-c63a-468c-a51e-070c1f9ee40f,"HAGGART, John Graham",2075,0.6365,Conservative (1867-1942),Mill owner,Protestant,0,9,,,,,,,,,,,,,1,9,9,1,9,1,1,9,9,9,9,9,9,9,9,1,9,9,1,1,1,9,1,1,9,9,9,9,9,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,1,9,9,9,9,9,9,9,1,9,9,2,9,9,9,9,9,9,1,9,9,9,2,1,1,1,1,9,1,9,9,9,9,2,9,9,9,1,9,9,9,9,9,9,9,1,9,9,9,1,9,9,9,9,1,9,9,9,9,9,1,1
736,TORONTO CENTRE,Ontario,1872 - 1924,10,1904.11.03-1905.03.03,68,0584c1e1-b6cf-4b4b-bb53-943e8168b396,"CLARKE, E.F.",4321,0.5234,Conservative (1867-1942),"Editor, journalist",Protestant,0,3,,,,,,,,,Ireland,Died in office: 1905.03.03.,,,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
810,WESTMORLAND,New Brunswick,1867 - 1966,10,1904.11.03,73,05ffcd85-4168-4656-82c4-05a0c40faaae,"EMMERSON, Henry Robert",4693,0.556,Liberal Party of Canada,Lawyer,Protestant,0,2,,1,,,,,,,,,,,1,9,9,2,1,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,2,2,1,2,9,2,1,9,9,2,1,2,2,2,9,2,2,2,1,2,2,2,1,1,2,1,9,9,1,1,9,2,9,9,1,2,2,9,2,2,2,2,1,2,2,9,9,9,9,9,9,9,9,9,9,2,2,2,9,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,2,2,9,9,9,9,2,9,2,9,9,9,2,2,2
853,YORK SOUTH,Ontario,1903 - 1976,10,1904.11.03,80,06cf61a5-7c95-4155-ab94-d0d4156924b9,"MACLEAN, William F.",2418,0.5746,Independent Conservative,"Farmer, gentleman, journalist",Protestant,0,4,,,,,,,,,,,,,2,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,9,9,1,9,9,9,9,9,1,9,9,9,1,9,1,1,1,2,9,9,9,9,9,9,2,1,9,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,9,9,2,9,9,1,9,9,9,9,9,9,9,9,9,9,9,1,1,9,2,9,9,2,9,9,9,9,9,1
630,ST. ANTOINE,Quebec,1892 - 1933,10,1904.11.03,82,072c16bb-5aeb-404d-8b40-c80115fe3038,"AMES, H.B.",3342,0.5539,Conservative (1867-1942),"Author, businessman",Protestant,0,1,,,,,,,,,,,,,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,2,2,1,9,9,2,1,1,2,1,1,2,9,9,9,9,9,9,9,9,9,2,1,9,1,1,2,2,1,1,1,2,2,1,1,9,9,1,1,1,2,1,1,9,9,1,9,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,9,9,9,1,9,1,1,9,1,2,2,9,1,1,9,9,1,9,1,1,9,9,9,9,9,9,9,9,9
580,QUEBEC-CENTRE,Quebec,1867 - 1914,10,1904.11.03-1905.01.06 ,140,0b1b55a6-2e4a-42aa-8439-bbc60857db89,"MALOUIN, Albert",1809,0.6413,Liberal Party of Canada,Lawyer,Fr.Catholic,1,3,,,,,,,,,,Resignation. Appointed Puisne Judge of the Superior Court of Quebec for the Arthabaska District: 1905.01.06 ,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
