Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H12S1V001,H12S1V002,H12S1V003,H12S1V004,H12S1V005,H12S1V006,H12S1V007,H12S1V008,H12S1V009,H12S1V010,H12S1V011,H12S1V012,H12S1V013,H12S1V014,H12S1V015,H12S1V016,H12S2V001,H12S2V002,H12S2V003,H12S2V004,H12S2V005,H12S2V006,H12S2V007,H12S2V008,H12S2V009,H12S2V010,H12S2V011,H12S2V012,H12S2V013,H12S2V014,H12S2V015,H12S2V016,H12S2V017,H12S2V018,H12S2V019,H12S2V020,H12S2V021,H12S2V022,H12S2V023,H12S2V024,H12S2V025,H12S2V026,H12S2V027,H12S2V028,H12S2V029,H12S2V030,H12S2V031,H12S2V032,H12S2V033,H12S2V034,H12S2V035,H12S2V036,H12S2V037,H12S2V038,H12S2V039,H12S2V040,H12S2V041,H12S2V042,H12S2V043,H12S2V044,H12S2V045,H12S2V046,H12S2V047,H12S3V001,H12S3V002,H12S3V003,H12S3V004,H12S3V005,H12S3V006,H12S3V007,H12S3V008,H12S3V009,H12S3V010,H12S3V011,H12S3V012,H12S3V013,H12S3V014,H12S3V015,H12S3V016,H12S5V001,H12S6V001,H12S6V002,H12S6V003,H12S6V004,H12S6V005,H12S6V006,H12S6V007,H12S6V008,H12S6V009,H12S6V010,H12S6V011,H12S6V012,H12S7V001,H12S7V002,H12S7V003,H12S7V004,H12S7V005,H12S7V006,H12S7V007,H12S7V008,H12S7V009,H12S7V010,H12S7V011,H12S7V012,H12S7V013,H12S7V014,H12S7V015,H12S7V016,H12S7V017,H12S7V018,H12S7V019,H12S7V020,H12S7V021,H12S7V022,H12S7V023,H12S7V024,H12S7V025,H12S7V026,H12S7V027,H12S7V028,H12S7V029
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,11.29.1911,01.23.1912,01.24.1912,02.08.1912,02.29.1912,02.29.1912,03.01.1912,03.01.1912,03.01.1912,03.05.1912,03.06.1912,03.11.1912,03.11.1912,03.12.1912,03.13.1912,03.13.1912,12.03.1912,12.04.1912,02.13.1913,02.13.1913,02.14.1913,02.17.1913,02.28.1913,02.28.1913,02.28.1913,03.15.1913,03.15.1913,03.15.1913,03.15.1913,03.15.1913,03.15.1913,03.15.1913,03.15.1913,03.18.1913,03.28.1913,04.04.1913,04.09.1913,04.18.1913,04.24.1913,04.24.1913,04.29.1913,04.29.1913,04.29.1913,04.30.1913,04.30.1913,05.08.1913,05.08.1913,05.08.1913,05.12.1913,05.13.1913,05.15.1913,05.15.1913,05.15.1913,05.15.1913,05.15.1913,05.15.1913,05.27.1913,06.02.1913,06.04.1913,06.04.1913,06.04.1913,06.04.1913,06.06.1913,01.27.1914,01.29.1914,02.10.1914,03.04.1914,03.12.1914,03.25.1914,04.03.1914,04.24.1914,05.06.1914,05.19.1914,05.28.1914,05.28.1914,05.28.1914,06.02.1914,06.02.1914,06.04.1914,03.17.1915,02.14.1916,02.23.1916,03.21.1916,03.28.1916,03.30.1916,04.04.1916,04.17.1916,05.02.1916,05.05.1916,05.10.1916,05.12.1916,05.13.1916,04.23.1917,05.02.1917,05.11.1917,05.29.1917,06.15.1917,07.06.1917,07.06.1917,07.06.1917,07.06.1917,07.17.1917,07.17.1917,07.24.1917,08.09.1917,08.16.1917,08.27.1917,08.30.1917,08.31.1917,09.08.1917,09.08.1917,09.08.1917,09.08.1917,09.10.1917,09.11.1917,09.11.1917,09.14.1917,09.15.1917,09.15.1917,09.15.1917,09.17.1917
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",5,3,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,3,5,5,5,1,3,3,3,3,3,3,3,3,3,5,5,3,5,3,3,5,5,5,5,1,3,3,3,3,3,5,5,5,5,5,1,5,3,5,5,3,1,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,3,3,5,3,3,5,5,3,3,5,5,3,1,5,5,3,5,5,5,1,5,3,1,5,5,3,3,5,3,3,3,5,3,5,5,3,5,1,3,5
370,LANARK SOUTH,Ontario,1867 - 1914,12,1911.09.21-1913.03.13 ,11,0161da2d-c63a-468c-a51e-070c1f9ee40f,"HAGGART, Hon. John Graham",2234,0.6768,Conservative (1867-1942),Mill owner,Protestant,0,11,,,,,,,,,,Died in office: 1913.03.13 ,,,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
82,BRUCE SOUTH,Ontario,1903 - 1933,12,1911.09.21-1913.05.26,26,02e1edd1-1f85-483e-ba21-e0fc1a217151,"DONNELLY, James J.",2878,0.5091,Conservative (1867-1942),"Lumberman, president / manager, rancher",Catholic,0,3,,,,,,,,,,Resignation. Called to the Senate: 1913.05.26,,,2,9,9,2,2,2,2,2,2,2,1,9,9,9,2,2,2,2,2,2,1,9,2,2,1,9,9,9,1,1,1,1,1,2,9,2,1,2,1,1,9,9,9,9,9,1,1,1,9,2,2,2,2,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
304,HURON SOUTH,Ontario,1867 - 1933,12,1911.09.21,60,050c11f9-57db-4211-b14c-bb515ffc716b,"MERNER, Jonathan Joseph",2360,0.5124,Conservative (1867-1942),"Farmer, merchant",Protestant,0,1,,,,,,,,,,,,,2,1,2,2,9,9,9,9,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,9,2,2,2,2,2,1,2,2,9,2,2,2,2,2,2,2,2,9,2,9,9,1,2,2,2,2,1,2,2,9,2,2,2,1,2,2,2,1,9,9,1,9,2,9,1,2,9,9,9,9,9,9,9,1,2,1,1,9
810,WESTMORLAND,New Brunswick,1867 - 1966,12,1911.09.21-1914.07.09,73,05ffcd85-4168-4656-82c4-05a0c40faaae,"EMMERSON, Hon. Henry Robertson",4452,0.5036,Liberal Party of Canada,Lawyer,Protestant,0,4,,,,,,,,,,Died in office: 1914.07.09,,,1,2,1,9,9,9,9,9,9,9,2,9,9,9,2,9,1,2,1,1,2,1,2,1,2,2,9,9,9,9,9,2,2,9,1,9,2,1,2,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,2,9,9,9,9,1,9,1,9,9,1,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
853,YORK SOUTH,Ontario,1903 - 1976,12,1911.09.21,80,06cf61a5-7c95-4155-ab94-d0d4156924b9,"MACLEAN, William Findlay",7194,0.791,Independent Conservative,"Farmer, gentleman, journalist",Protestant,0,6,,,,,,,,,,,,,9,2,9,9,9,9,9,9,9,2,9,9,9,9,2,2,9,9,2,2,1,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,1,1,2,1,1,1,1,9,2,1,9,9,9,9,2,9,9,2,2,2,1,9,9,9,2,9,1,9,9,9,1,9,9,9,9,2,9,2,9,9,2,9,2,2,2,1,9,9,1,9,9,1,9,9,9,9,9,9,1,2,2,1,9,9,9,9
630,ST. ANTOINE,Quebec,1892 - 1933,12,1911.09.21,82,072c16bb-5aeb-404d-8b40-c80115fe3038,"AMES, Herbert Brown",4677,0.6368,Conservative (1867-1942),"Author, businessman",Protestant,0,3,,,,,,,,,,,,,2,1,2,2,2,9,9,9,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,9,9,9,9,9,9,9,9,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,9,9,2,2,1,1,1,2,9,2,2,9,1,2,2,2,2,9,2,2,9,9,9,2,9,9,9,9,9,2,2,9,9,1,2,9,9,9,2,2,9,2,2,2,1,2,1,1,2,2,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9
513,ONTARIO NORTH,Ontario,1867 - 1924,12,1911.09.21,90,077a85df-b524-4323-8a0b-571dff9142bd,"SHARPE, Samuel Simpson",2130,0.5754,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,,,,,2,1,2,2,9,2,9,9,9,2,1,2,9,9,2,2,2,2,2,2,1,9,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,9,1,1,2,2,2,9,1,1,1,1,1,2,2,2,2,2,2,1,9,9,2,2,1,1,9,2,2,2,9,2,1,2,2,9,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
370,LANARK SOUTH,Ontario,1867 - 1914,12,1913.12.13,113,09bd8638-d2d1-4216-bce2-1df81c2298f8,"HANNA, Adelbert Edward",1907,0.5092,Conservative (1867-1942),"Physician, surgeon",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,9,2,9,1,1,2,2,9,2,1,2,9,2,9,2,9,1,2,2,2,1,2,1,1,2,2,1,1,2,9,9,9,9,1,2,2,1,2,1,9,9
287,HOCHELAGA,Quebec,1867 - 1978,12,1911.09.21-1912.10.28 and 1912.11.19-1915.10.15,131,0ab51853-0c16-4851-8612-217f9ea51a3c,"CODERRE, Hon. Louis",7178,0.5529,Conservative (1867-1942),Lawyer,Fr.Catholic,1,1,,1,,,,,,,,Resignation. Appointed Secretary of State for Canada: 1912.10.28 & Resignation. Appointed Puisne Judge of the Superior Court of Quebec: 1915.10.15,,,2,1,2,2,2,9,9,9,9,9,1,9,2,9,2,2,2,2,2,2,1,2,2,2,1,9,9,9,9,9,9,9,9,9,2,2,1,2,1,1,2,2,2,2,1,9,9,9,9,2,2,2,2,2,2,1,9,1,2,2,1,9,1,9,9,2,9,2,1,9,2,2,9,9,9,9,9,9,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
164,CUMBERLAND,Nova Scotia,1867 - 1966,12,1911.09.21,134,0ad88e35-0ebb-4dd8-9601-b39a599b36d1,"RHODES, Edgar Nelson",4780,0.5183,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,,,,,2,1,9,9,9,9,9,9,9,2,1,9,9,9,2,9,2,2,2,2,1,2,2,2,1,9,9,9,9,1,1,1,9,2,2,9,9,9,1,1,2,2,2,9,9,9,9,9,1,9,9,9,2,2,2,1,9,1,9,2,1,9,1,2,9,9,2,9,1,9,9,9,2,2,2,2,9,2,9,2,9,9,2,1,1,2,2,2,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
626,RUSSELL,Ontario,1867 - 1966,12,1911.09.21,141,0b215cfb-8aa4-42c6-a549-7025e2aec83c,"MURPHY, Hon. Charles",3812,0.5734,Liberal Party of Canada,Lawyer,Catholic,0,2,,,,,,,,,,,,,1,2,1,1,9,9,9,9,1,9,2,9,9,9,1,1,1,2,1,1,2,9,2,1,2,9,9,9,9,9,2,2,2,1,9,1,2,9,9,2,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,2,1,9,1,1,2,2,9,1,1,1,9,9,2,9,9,9,1,1,9,9,1,9,9,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,2,1,1,2,1,2,2,1,1,2,2,1,2,2,2,1,2,1,1,2,9,9,2,9
549,PETERBOROUGH WEST,Ontario,1867 - 1952,12,1911.09.21,143,0b65ff12-9c90-415b-937f-308e67da151a,"BURNHAM, John Hampden",2944,0.5036,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,9,9,9,9,9,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,9,9,9,9,9,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,9,2,9,2,9,1,1,2,9,2,2,1,2,9,2,9,9,2,9,2,2,2,1,2,1,1,2,2,9,1,9,9,9,9,9,1,9,9,1,9,9,9,9
594,REGINA,Saskatchewan,1907 - 1933,12,1911.09.21-1916.10.20,166,0d105fac-7cfa-4e90-8130-9904481a8b80,"MARTIN, William Melville",5811,0.5463,Liberal Party of Canada,"Lawyer, teacher",Protestant,0,2,,,,,,,,,,Resignation. Enters provincial politics in Saskatchewan: 1916.10.20,,,1,9,9,1,1,9,9,9,9,9,2,1,1,1,9,9,9,9,1,1,2,9,9,9,9,9,9,9,9,9,2,2,2,1,9,9,9,9,2,2,1,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,2,9,1,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
247,GRENVILLE,Ontario,1903 - 1924,12,1911.09.21- and 1911.10.27,183,0e4f9dca-5c4f-43d7-af07-16546fe9215d,"REID, Hon. John Dowsley",2286,0.6248,Conservative (1867-1942),Physician,Protestant,0,6,,1,,,,,,,,No reason giving for the by-election.,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,9,1,1,1,2,2,9,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1,9,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,1,1,2,2,2,9,1,2,9,2,2,9,2,9,2,2,2,1,2,1,1,9,9,1,9,2,9,9,9,9,1,9,9,1,2,1,9,2
393,LENNOX AND ADDINGTON,Ontario,1903 - 1924,12,1911.09.21,186,0e8d9412-d4c1-4e24-b2c8-50d0cc490afe,"PAUL, William James",2580,0.5641,Conservative (1867-1942),"Cheese maker, industrialist",Protestant,0,1,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,9,2,2,2,2,2,2,1,2,9,2,2,1,9,9,2,2,2,9,2,1,2,2,2,2,2,2,2,2,2,2,2,9,2,9,1,9,2,2,9,9,1,2,9,9,9,2,2,9,2,2,2,1,2,1,1,2,2,1,9,2,9,9,9,9,1,2,2,9,2,1,9,9
791,WATERLOO SOUTH,Ontario,1867 - 1966,12,1911.09.21-1915.01.09,203,0fb4a9ee-ace2-43d5-9360-713037a9e146,"CLARE, George Adam",3492,0.5696,Conservative (1867-1942),"Businessman, manufacturer",Protestant,0,4,,,,,,,,,,Died in office: 1915.01.09,,,2,9,2,2,9,9,2,2,2,2,1,2,2,2,2,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,1,1,9,9,9,9,9,9,1,1,9,9,9,2,2,2,2,1,9,1,2,2,1,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
130,CHAMBLY--VERCHERES,Quebec,1893 - 1933,12,1911.09.21,226,11365bcc-9743-4215-a89d-b99714a0eac4,"RAINVILLE, Joseph Hormisdas",2712,0.5129,Conservative (1867-1942),Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,2,9,2,9,2,9,9,9,9,2,1,2,2,2,2,2,2,2,2,2,1,9,2,2,1,9,9,9,9,9,9,9,9,2,2,2,9,2,1,1,2,2,2,2,1,1,1,1,9,2,2,2,2,2,2,1,9,9,9,9,9,9,9,2,9,2,9,9,9,2,9,9,2,9,9,9,2,9,9,2,9,2,9,1,9,9,9,9,9,1,1,9,2,9,9,2,1,2,2,2,1,2,1,1,2,2,1,1,2,9,9,9,9,9,2,2,1,9,9,1,9
551,PONTIAC,Quebec,1867 - 1947,12,1911.09.21,269,13beb615-dfd3-4fe4-ab7b-1cc76b8972c0,"BRABAZON, Gerald Hugh",2059,0.4459,Conservative (1867-1942),Land surveyor,Protestant,0,2,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,9,2,2,1,1,1,1,9,9,1,1,1,2,2,9,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,9,2,2,1,1,1,2,2,2,2,9,1,2,2,2,9,2,2,2,2,2,2,2,9,2,9,1,1,2,2,2,2,1,2,9,9,9,9,2,1,2,2,2,1,2,1,1,2,2,1,1,2,9,9,9,9,9,2,2,1,2,1,9,9
840,YORK,New Brunswick,1867 - 1914,12,1911.09.21-1913.12.10 ,270,141251da-0bcf-4479-a271-f2e446d6cfc5,"CROCKET, Oswald Smith",4143,0.6261,Conservative (1867-1942),"Author, barrister, correspondent",Protestant,0,3,,,,,,,,,,Resignation. Appointed Puisne Judge of the New Brunswick Court of King's Bench: 1913.12.10 ,,,9,1,2,2,2,9,2,2,2,2,1,2,2,2,2,2,9,9,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,9,9,2,1,1,2,2,2,2,1,1,1,1,9,9,2,2,2,2,2,1,9,9,2,2,1,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
383,LAVAL,Quebec,1867 - 1914,12,1911.09.21,272,145ee724-8129-4bb1-9823-80b4720ad97a,"WILSON, Charles-Avila",2648,0.5195,Liberal Party of Canada,Lawyer,Fr.Catholic,0,2,,,,,,,,,,,,,1,2,9,1,1,1,9,9,9,9,9,9,9,9,9,9,1,2,1,1,2,9,2,1,2,9,9,9,9,9,9,9,2,1,1,9,2,1,2,2,1,1,1,9,9,9,9,9,9,1,1,1,1,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,1,9,9,9,1,1,9,9,9,9,1,9,2,1,1,2,1,2,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
146,CITY AND COUNTY OF ST. JOHN,New Brunswick,1867 - 1914,12,1911.10.27,291,15b270da-620f-48bb-be53-9255fee3838d,"HAZEN, Hon. J.D.",accl.,,Conservative (1867-1942),Lawyer,Protestant,0,2,,1,,,,,,,,,,,2,1,2,9,9,2,2,2,2,2,1,2,2,2,2,2,9,2,2,2,1,2,2,2,1,9,9,9,9,1,1,1,1,9,2,2,1,9,9,9,2,2,2,9,9,1,9,9,9,2,9,2,2,2,2,1,9,1,9,9,9,9,9,2,2,2,2,2,1,2,9,2,2,2,2,9,2,2,9,2,2,9,9,1,1,2,9,9,9,1,2,2,9,9,9,9,9,2,2,2,1,2,1,9,2,9,1,1,9,1,1,1,2,1,2,2,1,2,1,9,9
131,CHAMPLAIN,Quebec,1867 - 2003,12,1911.09.21-1914.10.19 and 1914.11.07,308,16ce500b-a94a-497d-a6d8-216f81209b13,"BLONDIN, Hon. Pierre Edouard",3811,0.5253,Conservative (1867-1942),"Lawyer, notary",Fr.Catholic,1,2,,1,,,,,,,,Resignation. Appointed Minister of Inland Revenue: 1914.10.19,,,2,9,2,2,2,9,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,9,9,9,9,9,9,9,9,2,2,1,2,1,1,2,2,2,2,1,9,1,1,1,9,9,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,9,2,2,1,1,2,9,9,9,1,2,9,9,9,9,9,9,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9
440,MIDDLESEX EAST,Ontario,1867 - 1966,12,1913.10.21,315,173a947c-154b-45f1-8a2c-0a9d2d992309,"GLASS, S.F.",2068,0.5513,Conservative (1867-1942),"Insurance broker, real estate agent",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,2,9,9,2,9,2,2,2,2,9,2,2,2,9,2,9,1,1,2,2,2,9,1,2,9,9,9,2,9,9,2,2,2,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,2
280,HASTINGS WEST,Ontario,1867 - 1924,12,1911.09.21,336,185cfc9f-0de6-4492-8cdf-b36fb5308b50,"PORTER, Edward Guss",3623,0.6617,Conservative (1867-1942),Barrister,Protestant,0,4,,,,,,,,,,,,,2,9,2,9,2,2,9,9,9,2,1,2,2,2,2,2,2,2,2,2,1,9,2,2,1,9,1,1,9,9,9,9,1,2,9,9,1,9,1,1,9,9,9,9,9,1,1,1,9,2,2,2,2,2,2,1,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,2,2,2,9,2,2,9,1,2,9,9,1,2,9,2,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
