Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H13S1V001,H13S1V002,H13S1V003,H13S1V004,H13S1V005,H13S1V006,H13S1V007,H13S1V008,H13S1V009,H13S1V010,H13S1V011,H13S1V012,H13S1V013,H13S2V001,H13S2V002,H13S2V003,H13S2V004,H13S2V005,H13S2V006,H13S2V007,H13S2V008,H13S2V009,H13S2V010,H13S2V011,H13S2V012,H13S2V013,H13S2V014,H13S2V015,H13S2V016,H13S2V017,H13S2V018,H13S3V001,H13S3V002,H13S3V003,H13S3V004,H13S3V005,H13S3V006,H13S3V007,H13S3V008,H13S3V009,H13S3V010,H13S3V011,H13S3V012,H13S3V013,H13S3V014,H13S3V015,H13S4V001,H13S4V002,H13S4V003,H13S4V004,H13S4V005,H13S4V006,H13S4V007,H13S4V008,H13S4V009,H13S4V010,H13S4V011,H13S4V012,H13S4V013,H13S5V001,H13S5V002,H13S5V003,H13S5V004,H13S5V005,H13S5V006,H13S5V007,H13S5V008,H13S5V009,H13S5V010,H13S5V011,H13S5V012,H13S5V013,H13S5V014
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,04.19.1918,04.19.1918,04.19.1918,05.16.1918,05.16.1918,05.17.1918,05.17.1918,05.21.1918,05.21.1918,05.21.1918,05.21.1918,05.23.1918,05.23.1918,03.25.1919,03.27.1919,04.14.1919,04.23.1919,05.06.1919,05.06.1919,05.06.1919,05.22.1919,06.06.1919,06.19.1919,06.19.1919,06.20.1919,06.25.1919,06.26.1919,06.27.1919,06.27.1919,07.01.1919,07.01.1919,09.12.1919,09.18.1919,09.25.1919,09.25.1919,10.02.1919,10.15.1919,10.24.1919,11.04.1919,11.04.1919,11.05.1919,11.05.1919,11.05.1919,11.05.1919,11.07.1919,11.08.1919,03.10.1920,04.16.1920,04.21.1920,04.23.1920,05.18.1920,06.02.1920,06.16.1920,06.25.1920,06.28.1920,06.28.1920,06.28.1920,06.28.1920,06.28.1920,03.04.1921,03.08.1921,03.22.1921,03.29.1921,04.09.1921,04.09.1921,04.13.1921,04.28.1921,05.02.1921,05.20.1921,05.25.1921,05.30.1921,05.31.1921,06.01.1921
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,HAMILTON EAST,Ontario,1903 - 2003,13,1917.12.17,38,03a43e36-d9db-4e99-be91-529783d83478,"MEWBURN, Hon. Sydney Chilton",11340,1,Unionist,Lawyer,Protestant,0,1,,1,,,,,,,,,,,2,2,1,2,2,2,9,2,2,1,1,2,2,2,2,1,2,2,2,1,1,9,2,1,9,2,1,1,1,2,2,2,1,1,1,2,9,9,9,9,9,9,9,9,9,9,2,9,2,9,9,2,9,2,9,9,9,9,9,2,2,9,9,9,9,9,2,2,9,2,9,2,9
304,HURON SOUTH,Ontario,1867 - 1933,13,1917.12.17,60,050c11f9-57db-4211-b14c-bb515ffc716b,"MERNER, Jonathan Joseph",3932,0.5371,Unionist,"Farmer, merchant",Protestant,0,2,,,,,,,,,,,,,2,2,9,2,2,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,1,2,2,1,2,2,9,9,9,2,2,9,9,9,9,9,9,2,2,2,2,2,2,2,9,9,2,9,9,2,9,2,9,9,2,2,2,2,2,2,2,2,2,2,1,2,2,9,9,9,9,2,9
853,YORK SOUTH,Ontario,1903 - 1976,13,1917.12.17,80,06cf61a5-7c95-4155-ab94-d0d4156924b9,"MACLEAN, William Findlay",16088,0.7945,Unionist,"Farmer, gentleman, journalist",Protestant,0,7,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,2,9,9,9,9,2,1,9,9,9,2,2,2,2,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,2,2,9,9,9
630,ST. ANTOINE,Quebec,1892 - 1933,13,1917.12.17-1921.02.14,82,072c16bb-5aeb-404d-8b40-c80115fe3038,"AMES, Sir Herbert Brown",5663,0.6896,Unionist,"Author, businessman",Protestant,0,4,,,,,,,,,,Resignation: 1921.02.14,,,9,9,9,9,9,9,9,9,9,9,1,2,9,2,9,1,2,2,2,1,1,9,2,1,2,2,9,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99
513,ONTARIO NORTH,Ontario,1867 - 1924,13,1917.12.17-1918.05.25,90,077a85df-b524-4323-8a0b-571dff9142bd,"SHARPE, Samuel Simpson",3123,0.6657,Unionist,Lawyer,Protestant,0,3,,,,,,,,,,Died in office: 1918.05.25,,,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
813,WESTMOUNT--ST. HENRI,Quebec,1914 - 1924,13,1917.12.17,93,07a9068c-2c99-49d3-8a80-d945bfc9c44f,"LEDUC, Hon. Joseph Pierre Albert",7987,0.5338,Laurier Liberal,"Meat packer, merchant",Fr.Catholic,1,1,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,9,9,1,2,9,9,2,9,9,1,9,1,2,9,9,1,2,9,9,9,9,9,9,9,9,9,1,9,9,1,1,1,9,9,1,1,1,1,1,1,9,1,1,9,9,1,9,9,1,2,9,9,9
487,NIPISSING,Ontario,1892 - 2003,13,1917.12.17,97,0864c0f2-c66d-473e-950b-e0567d34461b,"HARRISON, Charles Robert",6411,0.5017,Unionist,Train conductor,Protestant,0,1,,,,,,,,,England,,,,2,2,1,2,2,2,2,2,2,1,1,2,9,2,1,1,9,9,9,9,9,9,2,1,2,9,9,9,9,2,2,2,1,2,1,9,1,2,2,2,2,2,2,2,2,1,2,1,2,9,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
367,LANARK,Ontario,1914 - 1966,13,1917.12.17-1918.02.27,113,09bd8638-d2d1-4216-bce2-1df81c2298f8,"HANNA, Adelbert Edward",5816,0.6401,Unionist,"Physician, surgeon",Protestant,0,2,,,,,,,,,,Died in office: 1918.02.27,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
164,CUMBERLAND,Nova Scotia,1867 - 1966,13,1917.12.17,134,0ad88e35-0ebb-4dd8-9601-b39a599b36d1,"RHODES, Hon. Edgar Nelson",6655,0.5494,Unionist,Lawyer,Protestant,0,3,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
626,RUSSELL,Ontario,1867 - 1966,13,1917.12.17,141,0b215cfb-8aa4-42c6-a549-7025e2aec83c,"MURPHY, Hon. Charles",5895,0.6101,Laurier Liberal,Lawyer,Catholic,0,3,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,2,2,1,9,1,9,9,9,1,1,9,9,9,1,2,1,9,2,9,9,1,9,9,9,1,2,9,2,1,1,1,1,1,9,1,1,9,9,2,1,1,1,9,9,9,9,9,9,9,9,1,9,1,1,1,2,9,1,1,1,9,1,9,9
549,PETERBOROUGH WEST,Ontario,1867 - 1952,13,1917.12.17-1920.07.15,143,0b65ff12-9c90-415b-937f-308e67da151a,"BURNHAM, John Hampden",6382,0.6829,Unionist,Lawyer,Protestant,0,2,,,,,,,,,,Resignation: 1920.07.15,,,2,2,1,2,2,9,9,2,2,1,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,9,9,9,9,2,9,1,2,9,9,2,2,2,1,2,2,2,2,2,9,1,2,2,2,2,1,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99
240,GLENGARRY AND STORMONT,Ontario,1914 - 1924,13,1919.10.27,167,0d163d4c-12df-46ba-bc01-b1c27f30d6d5,"KENNEDY, John Wilfred",7581,0.5929,United Farmers of Ontario-Labour,Farmer,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,2,2,1,9,2,1,1,1,1,9,1,2,1,1,1,9,9,1,1,9,9,1,1,1,1,2,9,1,1
648,ST. LAWRENCE--ST. GEORGE,Quebec,1914 - 1947,13,1917.12.17,182,0e29d17a-80d6-43a8-89b0-55c3664f17a0,"BALLANTYNE, Hon. Charles Colquhoun",5806,0.7073,Unionist,Manufacturer,Protestant,0,1,,1,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1,1,2,2,9,9,9,2,2,2,1,9,2,2,1,9,2,1,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,2,2,2,1,2,2,2,2,2,2,2,2,9,2,2,1,2,2,2,2,2,9,2,2
247,GRENVILLE,Ontario,1903 - 1924,13,1917.12.17-1921.09.21,183,0e4f9dca-5c4f-43d7-af07-16546fe9215d,"REID, Hon. John Dowsley",3011,0.6346,Unionist,Physician,Protestant,0,7,,1,,,,,,,,Resignation. Called to the Senate: 1921.09.21,,,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,9,9,2,1,9,2,1,1,1,2,2,9,9,2,1,2,1,2,9,2,2,2,2,2,2,1,2,1,2,9,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,9,2,9
