Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H14S1V001,H14S1V002,H14S1V003,H14S1V004,H14S1V005,H14S1V006,H14S1V007,H14S1V008,H14S1V009,H14S1V010,H14S1V011,H14S1V012,H14S1V013,H14S2V001,H14S2V002,H14S2V003,H14S2V004,H14S2V005,H14S2V006,H14S2V007,H14S2V008,H14S2V009,H14S2V010,H14S2V011,H14S2V012,H14S2V013,H14S2V014,H14S2V015,H14S2V016,H14S2V017,H14S2V018,H14S2V019,H14S2V020,H14S2V021,H14S2V022,H14S2V023,H14S2V024,H14S3V001,H14S3V002,H14S3V003,H14S3V004,H14S3V005,H14S3V006,H14S3V007,H14S3V008,H14S3V009,H14S3V010,H14S3V011,H14S3V012,H14S3V013,H14S3V014,H14S3V015,H14S3V016,H14S3V017,H14S3V018,H14S3V019,H14S3V020,H14S4V001,H14S4V002,H14S4V003,H14S4V004,H14S4V005,H14S4V006,H14S4V007,H14S4V008,H14S4V009,H14S4V010,H14S4V011,H14S4V012,H14S4V013,H14S4V014,H14S4V015,H14S4V016,H14S4V017,H14S4V018,H14S4V019,H14S4V020,H14S4V021,H14S4V022,H14S4V023,H14S4V024,H14S4V025,H14S4V026,H14S4V027,H14S4V028
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,03.28.1922,04.10.1922,04.25.1922,04.25.1922,05.04.1922,05.04.1922,05.09.1922,05.16.1922,06.06.1922,06.14.1922,06.14.1922,06.22.1922,06.26.1922,02.09.1923,02.09.1923,02.12.1923,02.19.1923,02.22.1923,03.01.1923,03.14.1923,03.19.1923,04.26.1923,04.27.1923,05.01.1923,05.08.1923,05.23.1923,05.23.1923,06.06.1923,06.06.1923,06.20.1923,06.20.1923,06.20.1923,06.20.1923,06.20.1923,06.21.1923,06.26.1923,06.26.1923,03.19.1924,03.28.1924,03.31.1924,03.31.1924,04.11.1924,05.15.1924,05.15.1924,06.04.1924,06.16.1924,06.26.1924,06.26.1924,06.26.1924,06.26.1924,07.01.1924,07.02.1924,07.09.1924,07.11.1924,07.11.1924,07.16.1924,07.18.1924,02.26.1925,03.02.1925,03.02.1925,03.02.1925,03.03.1925,03.09.1925,03.12.1925,03.16.1925,03.17.1925,03.21.1925,03.21.1925,03.23.1925,03.26.1925,03.31.1925,05.01.1925,05.01.1925,05.14.1925,06.02.1925,06.04.1925,06.04.1925,06.04.1925,06.04.1925,06.09.1925,06.18.1925,06.23.1925,06.23.1925,06.23.1925,06.26.1925
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ARGENTEUIL,Quebec,1867 - 1947,14,1922.02.28,21,022a8c13-6073-4481-8b89-af00b63bd91b,"STEWART, Hon. Charles",accl.,,Liberal Party of Canada,Farmer,Protestant,0,1,,1,,,,,,,,,,,2,9,2,9,2,1,1,9,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,1,2,2,1,1,9,9,2,2,2,9,2,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,2,2,2,2,2,1,9,2,2,1,1,2
269,HAMILTON EAST,Ontario,1903 - 2003,14,1921.12.06,38,03a43e36-d9db-4e99-be91-529783d83478,"MEWBURN, Hon. Sydney Chilton",6320,0.419,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,,,,,9,9,9,9,9,9,9,9,1,1,2,9,1,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,1,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9
201,EDMONTON WEST,Alberta,1914 - 1987,14,1921.12.06,42,03da0b4c-77ad-4cb8-9e3f-da86c8a69182,"KENNEDY, Donald Macbeth",10011,0.4342,Progressive,Farmer,Protestant,0,1,,,,,,,,,Scotland,,,,2,9,1,1,2,2,1,2,2,2,2,9,2,1,1,1,1,2,1,1,9,1,2,9,9,1,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,9,9,9,9,2,1,1,1,1,9,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,9,9,1,2,2,2,2,1,1,1,1,1,9,1
440,MIDDLESEX EAST,Ontario,1867 - 1966,14,1921.12.06,54,04eff4be-145e-4982-9981-f7d9bc33bffe,"HODGINS, Archie Latimier",4414,0.4133,Progressive,Farmer,Protestant,0,1,,,,,,,,,,,,,2,2,1,1,2,2,1,1,2,2,1,9,2,1,1,9,9,9,9,2,2,9,9,1,1,9,9,2,1,9,9,9,9,9,1,1,9,2,1,2,2,9,2,1,9,1,2,2,9,1,2,2,9,2,1,9,9,1,2,1,2,1,2,1,1,2,9,9,1,2,1,2,2,9,2,1,2,2,1,1,9,2,1,9,1
413,MACKENZIE,Saskatchewan,1905 - 1996,14,1921.12.06,79,06b3ede1-7cd7-46e9-87f5-23c426b95e96,"CAMPBELL, Milton N.",5381,0.4623,Progressive,"Farmer, station agent, telegrapher",Protestant,0,1,,,,,,,,,,,,,2,9,1,1,2,2,1,9,2,2,2,9,2,1,1,1,9,2,1,9,9,9,2,1,1,1,2,1,1,1,1,1,1,1,9,1,2,2,1,2,1,9,1,1,2,1,9,9,9,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,9,2,2,9,9,1,9,9,1,2,2,2,2,1,1,1,1,1,2,1
853,YORK SOUTH,Ontario,1903 - 1976,14,1921.12.06,80,06cf61a5-7c95-4155-ab94-d0d4156924b9,"MACLEAN, William Findlay",10368,0.4787,Independent Conservative,"Farmer, gentleman, journalist",Protestant,0,8,,,,,,,,,,,,,9,2,2,1,1,2,9,9,9,1,2,9,2,9,9,9,1,2,9,9,2,9,9,1,1,2,2,1,1,1,1,1,1,1,9,2,1,1,9,9,9,9,2,2,1,2,1,2,2,2,2,1,1,9,9,9,9,1,9,9,9,9,1,2,2,2,9,9,2,1,1,1,2,2,1,9,9,9,9,9,2,2,1,9,1
556,PORT ARTHUR AND KENORA,Ontario,1914 - 1924,14,1921.12.06,99,08925093-1315-4937-95a3-cd33c6ed9956,"KENNEDY, Dougald",3681,0.3432,Progressive,Farmer,Protestant,0,1,,,,,,,,,,,,,2,9,1,1,2,2,1,2,2,2,2,1,2,1,1,9,1,1,1,1,2,1,9,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,2,9,2,2,1,1,2,2,9,1,1,9,2,1,2,1,2,1,2,1,1,9,2,1,2,2,1,2,1,9,2,9,2,2,1,1,2,9,1,2,9
154,COMOX--ALBERNI,British Columbia,1914 - 1976,14,1921.12.06,107,090c4da7-b949-45d0-b63f-39854ba32056,"NEILL, Alan Webster",4170,0.5427,Progressive,"Farmer, merchant",Protestant,0,1,,,,,,,,,Scotland,,,,2,1,2,1,2,1,2,1,9,2,1,1,2,2,2,1,1,1,9,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,9,1,9,2,1,2,1,2,2,1,2,2,9,9,9,1,2,9,9,2,2,9,2,1,2,1,2,1,9,2,1,9,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,9,2
