Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H15S1V001,H15S1V002,H15S1V003,H15S1V004,H15S1V005,H15S1V006,H15S1V007,H15S1V008,H15S1V009,H15S1V010,H15S1V011,H15S1V012,H15S1V013,H15S1V014,H15S1V015,H15S1V016,H15S1V017,H15S1V018,H15S1V019,H15S1V020,H15S1V021,H15S1V022,H15S1V023,H15S1V024,H15S1V025,H15S1V026,H15S1V027
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,01.15.1926,02.01.1926,02.02.1926,02.03.1926,02.05.1926,02.05.1926,02.08.1926,02.16.1926,03.02.1926,03.02.1926,03.03.1926,05.06.1926,05.19.1926,05.19.1926,05.19.1926,06.01.1926,06.16.1926,06.16.1926,06.25.1926,06.26.1926,06.26.1926,06.26.1926,06.29.1926,06.30.1926,06.30.1926,06.30.1926,07.02.1926
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,
201,EDMONTON WEST,Alberta,1914 - 1987,15,1925.10.29,21,022a8c13-6073-4481-8b89-af00b63bd91b,"STEWART, Hon. Charles",6394,0.4878,Liberal Party of Canada,Farmer,,0,2,,1,,,,,,,,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,9,2,9,1,1,1,1,1,1,2,1,1
353,LAKE ST. JOHN,Quebec,1924 - 1933,15,1925.10.29,23,0268c461-10f2-407e-ada5-f5675ccceb6c,"SYLVESTRE, Armand",7579,0.5794,Liberal Party of Canada,"Crown prosecutor, lawyer",,1,1,,,,,,,,,,,,,2,2,2,2,2,1,9,2,1,1,1,1,2,1,1,9,9,2,1,1,1,1,1,1,2,1,1
269,HAMILTON EAST,Ontario,1903 - 2003,15,1925.10.29,38,03a43e36-d9db-4e99-be91-529783d83478,"MEWBURN, Hon. Sydney Chilton",15669,0.7772,Conservative (1867-1942),Lawyer,,0,3,,,,,,,,,,,,,1,1,1,1,9,9,9,1,9,2,2,2,1,2,9,9,1,9,2,2,2,2,9,9,9,9,9
537,PEACE RIVER,Alberta,1924 - ,15,1925.10.29,42,03da0b4c-77ad-4cb8-9e3f-da86c8a69182,"KENNEDY, Donald MacBeth",3986,0.335,Progressive,Farmer,,0,2,,,,,,,,,Scotland,,,,2,2,2,2,2,1,1,2,1,1,1,9,2,1,1,9,2,9,2,2,2,9,1,2,1,2,9
718,SWIFT CURRENT,Saskatchewan,1914 - 1953,15,1925.10.29,71,05ccb288-83b1-4501-8392-1c0eec567fc0,"BOTHWELL, Charles Edward",4555,0.5539,Liberal Party of Canada,Barrister,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,1,9,1,2,2,1,1,1,1,1,1,2,1,1
413,MACKENZIE,Saskatchewan,1905 - 1996,15,1925.10.29,79,06b3ede1-7cd7-46e9-87f5-23c426b95e96,"CAMPBELL, Milton Neil",3609,0.5912,Progressive,"Farmer, station agent, telegrapher",,0,2,,,,,,,,,,,,,1,2,2,1,2,1,1,2,9,9,1,1,2,1,1,9,2,2,2,2,2,2,2,2,1,2,9
853,YORK SOUTH,Ontario,1903 - 1976,15,1925.10.29,80,06cf61a5-7c95-4155-ab94-d0d4156924b9,"MACLEAN, William Findlay",7762,0.765,Independent Conservative,"Farmer, gentleman, journalist",,0,9,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,9,1,1,2,2,2,2,2,2,1,2,2
154,COMOX--ALBERNI,British Columbia,1914 - 1976,15,1925.10.29,107,090c4da7-b949-45d0-b63f-39854ba32056,"NEILL, Alan Webster",4794,0.6809,Independent,"Farmer, merchant",,0,2,,,,,,,,,Scotland,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,9,2,2,1,1,1,1,1,1,2,1,1
36,BEAUCE,Quebec,1867 - ,15,1925.10.29,108,0935db8e-e304-41df-8612-5d1292addc8f,"LACROIX, Edouard",12765,0.776,Liberal Party of Canada,"Industrialist, lumber merchant",,1,1,,,,,,,,,,,,,2,2,2,2,9,9,9,9,9,9,9,9,2,1,9,9,9,2,9,9,9,9,9,9,9,9,9
169,DAUPHIN,Manitoba,1903 - 1983,15,1925.10.29,181,0e1575e1-8782-4de1-8bdb-742a2019685e,"WARD, William John",5102,0.511,Progressive,"Farmer, insurance agent, real estate agent",,0,2,,,,,,,,,,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,9,2,2,1,1,1,1,1,9,9,9,9
279,HASTINGS SOUTH,Ontario,1924 - 1966,15,1925.10.29,187,0e8eefdf-f526-4817-bcf3-87059e3cae42,"TUMMON, William Ernest",10448,0.5714,Conservative (1867-1942),"Contractor, farmer",,0,1,,,,,,,,,,,,,1,1,1,1,1,2,9,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2
518,OTTAWA (CITY OF),Ontario,,15,1925.10.29,195,0f44b049-6a43-4a2d-abfe-265823e07909,"MCCLENAGHAN, Stewart",21604,0.2642,Conservative (1867-1942),Merchant,,0,1,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2
815,WEYBURN,Saskatchewan,1914 - 1947,15,1925.10.29,199,0f69931c-5158-425e-825a-70935470915d,"YOUNG, Edward James",4807,0.5385,Liberal Party of Canada,Farmer,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1
733,TIMISKAMING SOUTH,Ontario,1924 - 1933,15,1925.10.29,207,0fcd48dc-c8cd-4df7-810f-c1c29b9cb6e3,"ARMSTRONG, Ernest Frederick",5362,0.4543,Conservative (1867-1942),Dental surgeon,,0,1,,,,,,,,,,,,,1,1,1,1,1,2,9,1,2,2,2,2,1,2,2,9,1,1,2,2,2,2,2,2,1,2,2
747,TORONTO--SCARBOROUGH,Ontario,1924 - 1933,15,1925.10.29,232,11a54902-a69c-44f3-b960-cbb6e4ebbddc,"HARRIS, Joseph Henry",18481,0.8119,Conservative (1867-1942),"Businessman, director, manager, manufacturer",,0,2,,,,,,,,,,,,,1,1,1,1,1,2,9,1,9,2,2,9,1,2,2,2,1,9,2,2,2,2,2,2,1,2,2
263,HALIFAX,Nova Scotia,1867 - ,15,1925.10.29,235,11b8208d-6fb2-42a6-b579-9d51a881cd80,"BLACK, William Anderson",18796,0.3229,Conservative (1867-1942),"Businessman, shipper",,0,2,,1,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,9,9,9,2,1,1,2,2,2,2,2,2,1,9,9
704,STANSTEAD,Quebec,1867 - 1966,15,1925.10.29,236,11c1de4a-fa81-4eed-a5ee-c2cb0f060d6c,"BALDWIN, Willis Keith",5520,0.5606,Liberal Party of Canada,"Lumber merchant, merchant",,0,3,,,,,,,,,,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,9,2,2,1,1,1,1,9,1,2,1,9
125,CARTIER,Quebec,1924 - 1966,15,1925.10.29,247,1267c565-8771-4162-a16e-56bf229c71fa,"JACOBS, Samuel William",7934,0.6187,Liberal Party of Canada,Lawyer,,1,3,,,,,,,,,,,,,2,2,2,2,2,1,9,9,1,1,1,1,2,1,1,1,9,9,1,1,9,9,1,1,2,9,9
333,KINDERSLEY,Saskatchewan,1914 - 1966,15,1925.10.29,251,12d60483-a079-4161-ac90-f451a1581cfc,"CARMICHAEL, Archibald M.",3631,0.4865,Progressive,"Farmer, minister, teacher",,0,2,,,,,,,,,,,,,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,9,2,2,9,9,9,9,9,9,9,9,9
208,ELGIN WEST,Ontario,1867 - 1933,15,1925.10.29,286,152f3f43-79b0-40eb-8f51-21682a9a9b9f,"MCKILLOP, Hugh C.",8360,0.5613,Conservative (1867-1942),"Industrialist, lumberman",,0,2,,,,,,,,,,,,,1,1,1,1,1,2,2,1,9,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2
152,COLCHESTER,Nova Scotia,1867 - 1933,15,1925.10.29,294,15d50b80-abbc-4331-a609-a57c74e93cb9,"MACNUTT, George T.",6405,0.6536,Conservative (1867-1942),"Contractor, lumber merchant",,0,1,,,,,,,,,,,,,1,1,9,9,9,9,2,1,2,2,2,2,1,2,2,2,9,9,2,2,2,2,2,2,1,2,2
479,NEW WESTMINSTER,British Columbia,1872 - 1976,15,1925.10.29,309,16dc5348-21c1-425b-aab3-26e16d448fdb,"MCQUARRIE, William Garland",7714,0.4278,Conservative (1867-1942),"Barrister, lawyer",,0,3,,,,,,,,,,,,,1,1,1,1,1,2,2,9,2,2,2,2,1,2,2,9,1,9,2,2,2,2,2,2,1,2,2
111,CAPE BRETON SOUTH,Nova Scotia,1924 - 1966,15,1925.10.29,321,177a65fd-a518-4af6-ae02-6b1b29546f4f,"MACDONALD, Finlay",9551,0.5403,Conservative (1867-1942),Barrister,,0,1,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,9,1,1,2,2,2,2,2,2,1,2,2
343,KINGSTON CITY,Ontario,1924 - 1952,15,1925.10.29,331,17d9fbdf-1bc5-4137-ac59-4e782464990f,"ROSS, Arthur Edward",6765,0.5748,Conservative (1867-1942),"Physician, professor",,0,2,,,,,,,,,,,,,1,1,1,1,1,2,9,1,2,2,2,2,1,2,2,2,1,9,2,2,2,2,2,2,1,2,2
