Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H16S1V001,H16S1V002,H16S1V003,H16S1V004,H16S1V005,H16S1V006,H16S1V007,H16S1V008,H16S1V009,H16S1V010,H16S1V011,H16S1V012,H16S1V013,H16S1V014,H16S1V015,H16S1V016,H16S1V017,H16S2V001,H16S2V002,H16S2V003,H16S2V004,H16S2V005,H16S2V006,H16S2V007,H16S2V008,H16S2V009,H16S2V010,H16S2V011,H16S2V012,H16S2V013,H16S2V014,H16S2V015,H16S2V016,H16S2V017,H16S2V018,H16S2V019,H16S2V020,H16S2V021,H16S2V022,H16S2V023,H16S2V024,H16S3V001,H16S3V002,H16S3V003,H16S3V004,H16S3V005,H16S3V006,H16S3V007,H16S3V008,H16S3V009,H16S3V010,H16S3V011,H16S3V012,H16S3V013,H16S3V014,H16S3V015,H16S3V016,H16S3V017,H16S3V018,H16S3V019,H16S3V020,H16S3V021,H16S3V022,H16S3V023,H16S3V024,H16S3V025,H16S3V026,H16S3V027,H16S3V028,H16S4V001,H16S4V002,H16S4V003,H16S4V004,H16S4V005,H16S4V006,H16S4V007,H16S4V008,H16S4V009,H16S4V010,H16S4V011,H16S4V012,H16S4V013,H16S4V014,H16S4V015,H16S4V016,H16S4V017,H16S4V018,H16S4V019,H16S4V020,H16S4V021,H16S4V022,H16S4V023,H16S4V024,H16S4V025
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,02.14.1927,03.02.1927,03.02.1927,03.07.1927,03.15.1927,03.17.1927,03.17.1927,03.23.1927,03.28.1927,03.28.1927,04.05.1927,04.11.1927,04.13.1927,04.13.1927,04.13.1927,04.13.1927,04.14.1927,03.13.1928,03.13.1928,03.14.1928,03.14.1928,03.20.1928,03.27.1928,03.29.1928,04.26.1928,04.26.1928,04.27.1928,05.02.1928,05.09.1928,05.09.1928,05.09.1928,05.11.1928,05.15.1928,05.16.1928,05.16.1928,05.18.1928,05.21.1928,05.22.1928,05.23.1928,05.26.1928,06.09.1928,02.14.1929,02.19.1929,02.21.1929,02.21.1929,02.26.1929,02.28.1929,03.06.1929,04.11.1929,04.11.1929,04.11.1929,04.15.1929,04.15.1929,04.15.1929,04.16.1929,04.16.1929,04.23.1929,05.01.1929,05.14.1929,05.14.1929,05.16.1929,05.22.1929,05.23.1929,05.31.1929,06.10.1929,06.11.1929,06.11.1929,06.14.1929,06.14.1929,03.03.1930,03.04.1930,03.10.1930,03.11.1930,03.13.1930,03.18.1930,03.18.1930,03.25.1930,03.25.1930,03.27.1930,03.27.1930,04.01.1930,04.01.1930,04.08.1930,04.28.1930,04.28.1930,05.06.1930,05.06.1930,05.06.1930,05.06.1930,05.13.1930,05.15.1930,05.15.1930,05.15.1930,05.28.1930
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,EDMONTON WEST,Alberta,1914 - 1987,16,1926.09.14-1926.10.04  and 1926.11.02,21,022a8c13-6073-4481-8b89-af00b63bd91b,"STEWART, Hon. Charles",7223,0.5558,Liberal Party of Canada,Farmer,,0,3,,1,,,,,,,,Resignation. Acceptance of an office of emolument under the Crown: 1926.10.04 ,,,2,2,1,2,1,2,2,2,2,1,2,1,9,9,2,2,2,2,2,1,1,1,9,9,2,2,2,1,2,9,9,2,1,2,2,2,2,2,2,2,2,9,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,9,9,9,2,2,1,1,1,9,9,9,9,9,9,9,2,1,1,1,2,2,2,2,1,2,2,2,9,9,1,1,9,2,2,1,2
353,LAKE ST. JOHN,Quebec,1924 - 1933,16,1926.09.14,23,0268c461-10f2-407e-ada5-f5675ccceb6c,"SYLVESTRE, Joseph-Ernest-Armand",8090,0.5853,Liberal Party of Canada,"Crown prosecutor, lawyer",,1,2,,,,,,,,,,,,,9,2,1,9,9,2,2,2,9,9,2,9,9,9,9,9,9,2,2,2,1,9,9,1,2,2,2,2,2,2,1,2,9,2,2,9,9,2,2,9,9,2,2,2,2,2,1,2,2,2,1,9,9,9,9,2,2,2,1,1,2,2,2,9,9,1,1,9,9,9,1,9,2,1,2,1,1,1,2,2,1,2,2,9,9,9,9,9,9,2,9,9,9,2
537,PEACE RIVER,Alberta,1924 - ,16,1926.09.14,42,03da0b4c-77ad-4cb8-9e3f-da86c8a69182,"KENNEDY, Donald MacBeth",5323,0.4306,United Farmers of Alberta,Farmer,,0,3,,,,,,,,,Scotland,,,,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,9,1,2,1,2,1,1,2,9,9,9,1,1,1,2,1,2,9,9,1,2,1,2,9,9,2,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,9,9,1,2,9,1,2,2,2,1,9,9,9,1,9,1,2,2,1,9,9,1,9,9,9,2,1,1,1,1,2,2,1
718,SWIFT CURRENT,Saskatchewan,1914 - 1953,16,1926.09.14,71,05ccb288-83b1-4501-8392-1c0eec567fc0,"BOTHWELL, Charles Edward",5788,0.5272,Liberal Party of Canada,Barrister,,0,2,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,1,2,1,1,1,2,9,2,2,2,1,1,1,2,9,2,2,9,9,9,9,9,9,9,9,9,2,2,9,9,9,2,9,2,9,9,1,1,2,2,2,1,1,1,1,1,2,2,2,2,9,2,2,9,9,9,9,9,9,9,9,2,2,1,9,9,9,9,9,2,2,2,1,2,9,9,9,9,9,9,9,2,2,1,9
413,MACKENZIE,Saskatchewan,1905 - 1996,16,1926.09.14,79,06b3ede1-7cd7-46e9-87f5-23c426b95e96,"CAMPBELL, Milton Neil",5701,0.55,Progressive,"Farmer, station agent, telegrapher",,0,3,,,,,,,,,,,,,1,1,2,1,2,1,1,1,1,2,1,2,9,1,1,1,9,1,2,1,2,1,1,9,1,1,9,1,1,1,2,1,2,1,2,1,2,9,2,1,9,2,1,1,1,1,2,1,1,2,2,1,2,1,9,9,1,1,9,2,9,9,9,1,2,1,1,2,2,2,1,1,9,2,1,9,1,2,9,9,2,1,1,1,2,2,2,1,1,1,1,2,2,1
154,COMOX--ALBERNI,British Columbia,1914 - 1976,16,1926.09.14,107,090c4da7-b949-45d0-b63f-39854ba32056,"NEILL, Alan Webster",4307,0.5881,Independent,"Farmer, merchant",,0,3,,,,,,,,,Scotland,,,,9,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,9,1,9,2,2,9,1,2,2,1,1,9,2,1,1,2,1,2,9,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,2,9,2,9,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,9,2,2,1,1,9,2,2,1,9
36,BEAUCE,Quebec,1867 - ,16,1926.09.14,108,0935db8e-e304-41df-8612-5d1292addc8f,"LACROIX, Edouard",11176,0.8142,Liberal Party of Canada,"Industrialist, lumber merchant",,1,2,,,,,,,,,,,,,2,9,9,9,9,9,9,9,2,1,2,9,9,9,9,9,9,2,2,1,1,1,9,9,9,9,9,9,9,9,9,9,1,2,2,9,9,9,9,9,9,2,9,9,9,2,1,9,2,2,1,9,9,9,9,9,9,9,1,9,9,2,9,9,9,9,9,9,9,1,9,9,2,1,2,1,9,9,9,9,1,2,2,9,9,1,1,2,2,2,2,2,1,9
