Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H17S1V001,H17S1V002,H17S1V003,H17S1V004,H17S1V005,H17S1V006,H17S2V001,H17S2V002,H17S2V003,H17S2V004,H17S2V005,H17S2V006,H17S2V007,H17S2V008,H17S2V009,H17S2V010,H17S2V011,H17S2V012,H17S2V013,H17S2V014,H17S2V015,H17S2V016,H17S2V017,H17S2V018,H17S2V019,H17S2V020,H17S2V021,H17S2V022,H17S2V023,H17S2V024,H17S2V025,H17S3V001,H17S3V002,H17S3V003,H17S3V004,H17S3V005,H17S3V006,H17S3V007,H17S3V008,H17S3V009,H17S3V010,H17S3V011,H17S3V012,H17S3V013,H17S3V014,H17S3V015,H17S3V016,H17S3V017,H17S3V018,H17S3V019,H17S3V020,H17S3V021,H17S3V022,H17S3V023,H17S3V024,H17S4V001,H17S4V002,H17S4V003,H17S4V004,H17S4V005,H17S4V006,H17S4V007,H17S4V008,H17S4V009,H17S4V010,H17S4V011,H17S4V012,H17S4V013,H17S4V014,H17S4V015,H17S4V016,H17S4V017,H17S4V018,H17S4V019,H17S4V020,H17S4V021,H17S4V022,H17S4V023,H17S4V024,H17S4V025,H17S4V026,H17S4V027,H17S4V028,H17S4V029,H17S4V030,H17S4V031,H17S4V032,H17S4V033,H17S4V034,H17S4V035,H17S4V036,H17S4V037,H17S4V038,H17S4V039,H17S4V040,H17S5V001,H17S5V002,H17S5V003,H17S5V004,H17S5V005,H17S5V006,H17S5V007,H17S5V008,H17S5V009,H17S5V010,H17S5V011,H17S5V012,H17S5V013,H17S5V014,H17S5V015,H17S5V016,H17S5V017,H17S5V018,H17S5V019,H17S5V020,H17S5V021,H17S5V022,H17S5V023,H17S5V024,H17S5V025,H17S5V026,H17S5V027,H17S6V001,H17S6V002,H17S6V003,H17S6V004,H17S6V005,H17S6V006,H17S6V007,H17S6V008,H17S6V009,H17S6V010,H17S6V011,H17S6V012,H17S6V013,H17S6V014,H17S6V015,H17S6V016,H17S6V017,H17S6V018,H17S6V019,H17S6V020,H17S6V021,H17S6V022,H17S6V023,H17S6V024,H17S6V025,H17S6V026,H17S6V027
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,09.15.1930,09.16.1930,09.19.1930,09.19.1930,09.19.1930,09.22.1930,04.17.1931,04.21.1931,04.21.1931,04.21.1931,04.24.1931,04.27.1931,04.27.1931,04.27.1931,05.07.1931,05.14.1931,05.19.1931,06.08.1931,06.08.1931,06.10.1931,06.10.1931,06.18.1931,06.18.1931,06.18.1931,06.23.1931,06.24.1931,06.29.1931,06.29.1931,07.08.1931,07.09.1931,08.01.1931,02.19.1932,02.22.1932,02.22.1932,03.04.1932,03.07.1932,03.08.1932,03.15.1932,03.16.1932,03.29.1932,03.30.1932,03.30.1932,03.30.1932,04.01.1932,04.04.1932,04.04.1932,04.25.1932,04.26.1932,04.27.1932,04.27.1932,05.03.1932,05.12.1932,05.24.1932,05.24.1932,05.25.1932,11.02.1932,11.02.1932,11.03.1932,11.04.1932,11.04.1932,11.09.1932,11.22.1932,11.22.1932,11.22.1932,11.22.1932,11.22.1932,11.24.1932,01.30.1933,02.16.1933,02.22.1933,02.23.1933,02.23.1933,02.27.1933,03.01.1933,03.10.1933,03.16.1933,03.17.1933,03.22.1933,03.23.1933,03.27.1933,03.28.1933,04.07.1933,04.11.1933,04.11.1933,04.11.1933,04.18.1933,04.21.1933,05.09.1933,05.09.1933,05.09.1933,05.10.1933,05.11.1933,05.16.1933,05.18.1933,05.27.1933,02.12.1934,02.13.1934,02.13.1934,02.15.1934,02.19.1934,02.20.1934,02.26.1934,02.26.1934,03.06.1934,03.14.1934,04.16.1934,04.16.1934,04.17.1934,04.24.1934,05.02.1934,05.04.1934,05.07.1934,05.15.1934,05.15.1934,05.22.1934,06.07.1934,06.07.1934,06.21.1934,06.27.1934,06.28.1934,06.30.1934,06.30.1934,01.29.1935,02.04.1935,02.18.1935,02.22.1935,02.27.1935,03.12.1935,03.12.1935,03.21.1935,03.26.1935,03.27.1935,04.03.1935,04.03.1935,04.03.1935,04.09.1935,04.15.1935,04.16.1935,05.21.1935,05.22.1935,06.13.1935,06.14.1935,06.14.1935,06.14.1935,06.18.1935,06.20.1935,06.26.1935,06.27.1935,07.02.1935
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,EDMONTON WEST,Alberta,1914 - 1987,17,1930.07.28,21,022a8c13-6073-4481-8b89-af00b63bd91b,"STEWART, Hon. Charles",9223,0.5072,Liberal Party of Canada,Farmer,,0,4,,,,,,,,,,,,,1,9,2,1,2,1,9,9,1,2,2,9,9,2,1,2,9,1,2,9,9,2,1,2,2,1,2,1,9,9,1,2,1,9,2,1,9,1,1,2,9,9,9,9,9,1,2,2,1,2,1,9,9,2,9,9,1,2,9,9,9,2,1,2,2,2,9,2,2,9,1,9,2,2,9,9,9,1,2,9,1,9,2,1,9,9,2,9,2,9,9,2,9,9,2,9,9,1,1,2,9,1,2,9,9,1,2,9,2,9,9,1,9,9,2,9,2,1,2,2,1,9,1,9,1,9,9,9,9,9,9,9,9,1,2,9,2,9,9,9,9,9,9,9,2,9,1,1,2
537,PEACE RIVER,Alberta,1924 - ,17,1930.07.28,42,03da0b4c-77ad-4cb8-9e3f-da86c8a69182,"KENNEDY, Donald MacBeth",10204,0.5488,United Farmers of Alberta,Farmer,,0,4,,,,,,,,,Scotland,,,,1,2,1,9,9,1,2,1,9,2,9,9,2,2,2,2,1,9,2,1,9,1,2,9,9,9,1,2,2,9,2,2,1,1,1,9,9,9,2,1,1,1,2,9,9,9,9,1,9,2,1,9,2,9,9,2,1,1,9,9,1,2,1,1,1,1,2,2,9,1,9,2,2,9,1,1,1,1,1,1,2,9,1,2,2,1,1,9,1,1,1,1,9,9,9,9,2,2,1,2,2,1,2,2,1,9,9,2,1,1,2,2,1,1,1,2,1,1,9,1,1,1,2,1,1,9,9,9,9,9,9,9,9,9,9,2,1,2,9,9,2,1,1,1,1,1,2,2,9
551,PONTIAC,Quebec,1867 - 1947,17,1930.07.28,70,058f57be-ef24-4098-82a3-34e4c8512ad3,"BELEC, Charles",8884,0.4082,Conservative (1867-1942),Farmer,,1,1,,,,,,,,,,,,,2,2,2,2,1,2,9,2,2,1,9,9,2,1,2,1,9,2,9,2,2,2,2,1,1,2,1,2,1,2,9,1,2,1,1,2,1,2,9,1,1,1,2,1,2,2,1,2,2,1,2,2,9,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,9,9,1,1,2,9,2,2,1,9,1,1,9,2,1,1,1,1,1,9,1,2,2,1,9,2,1,2,2,9,9,1,1,1,1,1,1,2,2,9,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,1,2,2,1,2,1,9,2,1,1,1,1,1,1,1,2,2,1
718,SWIFT CURRENT,Saskatchewan,1914 - 1953,17,1930.07.28,71,05ccb288-83b1-4501-8392-1c0eec567fc0,"BOTHWELL, Charles Edward",6382,0.4582,Liberal Party of Canada,Barrister,,0,3,,,,,,,,,,,,,1,1,2,1,2,1,2,1,1,2,2,9,9,9,1,9,2,9,9,9,9,9,9,9,9,9,9,9,2,9,9,2,1,2,9,9,9,2,1,9,2,2,1,9,1,1,2,2,1,2,1,1,2,9,9,2,1,2,9,1,2,2,1,2,2,2,2,2,2,2,1,2,9,2,2,2,9,9,9,2,1,9,2,1,2,9,9,9,9,9,9,9,9,9,9,1,2,1,1,9,2,9,9,1,1,1,2,2,2,2,9,1,2,2,9,9,9,9,2,9,9,9,1,2,9,9,1,1,1,9,9,1,2,1,2,1,9,9,1,9,9,2,2,9,2,9,9,1,2
413,MACKENZIE,Saskatchewan,1905 - 1996,17,1930.07.28-1933.02.05,79,06b3ede1-7cd7-46e9-87f5-23c426b95e96,"CAMPBELL, Milton Neil",6578,0.4868,Progressive,"Farmer, station agent, telegrapher",,0,4,,,,,,,,,,Resignation. To serve as Vice Chairman of the Tariff Board of Canada: 1933.02.05,,,9,2,1,9,9,9,2,1,9,9,9,1,2,9,2,9,1,2,2,9,9,1,2,2,1,2,9,2,9,2,2,1,1,9,1,1,9,1,9,1,1,1,2,1,9,9,9,1,9,9,9,9,9,9,9,2,9,1,9,9,1,9,9,1,1,1,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
154,COMOX--ALBERNI,British Columbia,1914 - 1976,17,1930.07.28,107,090c4da7-b949-45d0-b63f-39854ba32056,"NEILL, Alan Webster",5651,0.6334,Independent,"Farmer, merchant",,0,4,,,,,,,,,Scotland,,,,1,2,1,1,2,9,2,1,1,1,2,9,1,2,9,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1,9,9,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,9,2,1,2,1,1,2,2,1,2,2,2,2,9,2,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,2,2,2,1,9,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,1,1,1,2,1,9,9,2,2,1,9,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,1,1,2
36,BEAUCE,Quebec,1867 - ,17,1930.07.28,108,0935db8e-e304-41df-8612-5d1292addc8f,"LACROIX, Edouard",12093,0.6481,Liberal Party of Canada,"Industrialist, lumber merchant",,1,3,,,,,,,,,,,,,9,9,9,9,9,9,9,1,1,2,1,9,9,9,1,1,9,9,9,9,9,2,1,2,2,1,9,9,9,9,9,9,9,9,9,9,2,9,9,9,2,2,1,9,9,9,9,2,1,2,9,1,2,9,9,2,1,2,9,9,2,9,9,9,9,9,2,9,1,2,1,1,9,2,2,9,9,9,9,9,9,9,2,1,2,9,9,9,9,9,9,2,9,9,9,9,1,1,1,9,9,9,9,1,9,9,9,9,2,9,9,9,9,9,1,9,9,1,2,2,9,9,9,2,9,9,9,1,9,2,1,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9
