Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H18S1V001,H18S1V002,H18S1V003,H18S1V004,H18S1V005,H18S1V006,H18S1V007,H18S1V008,H18S1V009,H18S1V010,H18S1V011,H18S2V001,H18S2V002,H18S2V003,H18S2V004,H18S2V005,H18S2V006,H18S3V001,H18S3V002,H18S3V003,H18S3V004,H18S3V005,H18S3V006,H18S3V007,H18S3V008,H18S3V009,H18S3V010,H18S3V011,H18S4V001,H18S4V002,H18S4V003,H18S4V004,H18S4V005,H18S4V006,H18S4V007,H18S4V008,H18S4V009,H18S4V010,H18S4V011,H18S4V012,H18S4V013,H18S4V014,H18S5V001
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,02.13.1936,02.20.1936,02.27.1936,03.10.1936,05.12.1936,05.12.1936,06.01.1936,06.16.1936,06.16.1936,06.17.1936,06.18.1936,02.02.1937,02.19.1937,03.09.1937,03.12.1937,03.18.1937,03.19.1937,02.11.1938,02.16.1938,03.31.1938,03.31.1938,05.24.1938,05.31.1938,06.13.1938,06.14.1938,06.23.1938,06.23.1938,06.23.1938,02.02.1939,02.02.1939,02.07.1939,02.13.1939,02.13.1939,03.13.1939,03.16.1939,03.29.1939,04.11.1939,04.26.1939,05.03.1939,05.11.1939,05.23.1939,06.03.1939,09.12.1939
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,CARLETON,Ontario,1867 - 1966,18,1935.10.14,17,01d898df-8bae-4da4-8a09-a3829090c7d1,"HYNDMAN, Alonzo Bowen",6872,0.4236,Conservative (1867-1942),Physician,,0,1,,,,,,,,,,,,,2,1,2,2,2,2,1,2,1,1,2,1,2,1,9,1,1,1,1,1,1,1,1,9,2,2,9,9,2,1,2,1,1,9,1,2,1,9,9,2,9,9,2
355,LAKE ST-JOHN--ROBERVAL,Quebec,1933 - 1947,18,1935.10.14,23,0268c461-10f2-407e-ada5-f5675ccceb6c,"SYLVESTRE, Armand",9231,0.4733,Liberal Party of Canada,"Crown prosecutor, lawyer",,1,3,,,,,,,,,,,,,2,9,2,1,2,2,9,2,2,9,1,2,2,2,1,2,2,2,2,2,2,9,2,1,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,9,2
472,NANAIMO,British Columbia,1903 - 1962,18,1935.10.14-1937.02.01,36,0379a002-131b-4a7c-8daf-0ad5909f8252,"TAYLOR, James Samuel",7053,0.3484,Co-operative Commonwealth Federation,"Printer, publisher",,0,1,1,,,1,,,,,England,,,,1,2,1,1,2,1,2,2,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
472,NANAIMO,British Columbia,1903 - 1962,18,1937.02.01-,36.1,0379a002-131b-4a7c-8daf-0ad5909f8252,"TAYLOR, James Samuel",7053,0.3484,Independent,,,0,1,,,,,,,,,England,,,,99,99,99,99,99,99,99,99,99,99,99,1,1,1,2,9,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,9,9,1,2,1,9,9,2,9,2,1,2
181,DORCHESTER,Quebec,1867 - 1966,18,1935.10.14,65,055d7c35-7ddf-4f01-a2a6-7d3a77420eba,"TREMBLAY, Leonard-David",5186,0.4968,Liberal Party of Canada,"Journalist, public servant",,1,1,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,9,9,2,9,9,9,9,2,9,2,2,9,9,9,9,2,2,1,9,9,9,2,1,1,9,1,9,9,9,1,2,9,2
718,SWIFT CURRENT,Saskatchewan,1914 - 1953,18,1935.10.14,71,05ccb288-83b1-4501-8392-1c0eec567fc0,"BOTHWELL, Charles Edward",5682,0.3865,Liberal Party of Canada,Barrister,,0,4,,,,,,,,,,,,,2,9,2,1,2,2,1,2,2,1,1,9,2,2,9,2,1,2,2,2,2,9,2,1,2,2,2,1,2,2,1,2,1,1,2,1,9,9,9,1,2,1,2
428,MATAPEDIA--MATANE,Quebec,1933 - 1966,18,1935.10.14,83,073412d5-f06d-4109-82a1-fb311c3559ce,"LAPOINTE, Arthur-Joseph",4987,0.3488,Liberal Party of Canada,Station agent,,1,1,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,9,1,2,2,9,9,2,1,2,2,2,2,9,2,9,1,2,2,1,2,2,1,2,1,1,9,9,9,9,9,1,9,9,2
