Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H19S1V001,H19S1V002,H19S1V003,H19S1V004,H19S1V005,H19S1V006,H19S2V001,H19S2V002,H19S2V003,H19S2V004,H19S2V005,H19S2V006,H19S2V007,H19S3V001,H19S3V002,H19S3V003,H19S3V004,H19S3V005,H19S3V006,H19S3V007,H19S3V008,H19S3V009,H19S3V010,H19S3V011,H19S3V012,H19S3V013,H19S3V014,H19S3V015,H19S3V016,H19S4V001,H19S4V002,H19S4V003,H19S4V004,H19S4V005,H19S4V006,H19S4V007,H19S4V008,H19S4V009,H19S4V010,H19S4V011,H19S4V012,H19S4V013,H19S4V014,H19S4V015,H19S4V016,H19S4V017,H19S4V018,H19S4V019,H19S4V020,H19S5V001,H19S5V002,H19S5V003,H19S5V004,H19S5V005,H19S5V006,H19S5V007,H19S5V008,H19S5V009,H19S5V010,H19S5V011,H19S5V012,H19S5V013,H19S5V014,H19S5V015,H19S5V016,H19S5V017,H19S5V018,H19S5V019,H19S5V020,H19S5V021,H19S5V022,H19S5V023,H19S5V024,H19S5V025,H19S5V026,H19S5V027,H19S5V028,H19S6V001,H19S6V002
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,06.03.1940,06.18.1940,06.19.1940,07.05.1940,07.05.1940,07.05.1940,12.03.1940,12.03.1940,12.05.1940,03.25.1941,05.01.1941,05.01.1941,05.22.1941,02.18.1942,02.19.1942,02.19.1942,02.19.1942,02.19.1942,03.04.1942,03.04.1942,03.17.1942,04.20.1942,07.02.1942,07.07.1942,07.07.1942,07.16.1942,07.23.1942,07.23.1942,07.28.1942,02.02.1943,02.18.1943,02.23.1943,02.23.1943,02.25.1943,03.01.1943,03.08.1943,03.25.1943,03.25.1943,03.25.1943,03.30.1943,05.06.1943,05.10.1943,05.10.1943,05.19.1943,05.20.1943,06.07.1943,06.30.1943,07.05.1943,07.19.1943,02.08.1944,02.10.1944,02.10.1944,02.10.1944,02.10.1944,02.21.1944,02.22.1944,03.10.1944,03.20.1944,03.27.1944,05.08.1944,05.11.1944,05.11.1944,05.15.1944,06.13.1944,06.29.1944,07.11.1944,07.25.1944,07.28.1944,07.31.1944,07.31.1944,08.09.1944,12.07.1944,12.07.1944,12.07.1944,12.07.1944,12.07.1944,12.07.1944,03.25.1945,04.13.1945
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,MEGANTIC--FRONTENAC,Quebec,1933 - 1947,19,1940.03.26,4,00c17079-36dc-46eb-a604-2005766e7fd3,"LAFONTAINE, Joseph",10477,0.6252,Liberal Party of Canada,"Gentleman, merchant",,1,1,,,,,,,,,,,,,9,1,1,2,2,1,2,2,2,2,2,2,9,2,1,2,2,1,2,2,2,9,1,2,9,2,1,2,2,1,2,2,2,2,9,9,2,2,1,2,1,9,9,1,2,9,1,9,9,2,2,2,2,1,9,2,9,9,1,2,1,2,9,1,2,2,1,1,9,9,9,1,2,9,1,2,2,1,9
123,CARLETON,Ontario,1867 - 1966,19,1940.03.26-1940.04.09,17,01d898df-8bae-4da4-8a09-a3829090c7d1,"HYNDMAN, Alonzo Bowen",7736,0.539,National Government,Physician,,0,2,,,,,,,,,,Died in office: 1940.04.09,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
355,LAKE ST-JOHN--ROBERVAL,Quebec,1933 - 1947,19,1940.03.26,23,0268c461-10f2-407e-ada5-f5675ccceb6c,"SYLVESTRE, Armand",10057,0.4707,Liberal Party of Canada,"Crown prosecutor, lawyer",,1,4,,,,,,,,,,,,,2,1,1,9,9,9,2,2,2,2,2,2,9,2,1,2,2,1,2,2,2,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,2,2,9,9
785,VICTORIA--CARLETON,New Brunswick,1914 - 1966,19,1940.03.26,43,03eca6e3-c9b0-41b0-b629-acdef1b2c676,"HATFIELD, Heber Harold",7974,0.5226,National Government,"Farmer, produce dealer",,0,1,,,,,,,,,,,,,1,9,9,9,1,1,2,1,9,9,9,9,2,2,9,2,1,2,9,9,9,1,9,1,2,1,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,1,2,9,1,2,2,2,1,1,9,9,9,1,9,9,1,9,9,9,9,9,9,1,9,9,9,2,1,9,9,9,9,9,2
675,SELKIRK,Manitoba,1871 - 1976,19,1943.08.09,45,040a15b2-afa7-4a8f-94a1-f838f850daa7,"BRYCE, William",9396,0.6707,Co-operative Commonwealth Federation,Farmer,,0,1,,,,,,,,,Scotland,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,1,2,2,1,1,1,2,1,1,9,9,1,1,1,1,1,1,1,9,2,2,2,2,1,1,1,2
413,MACKENZIE,Saskatchewan,1905 - 1996,19,1940.03.26,49,043d4584-7dd8-4eff-b97a-e5b8349d44d6,"NICHOLSON, Alexander Malcolm",10207,0.5044,Co-operative Commonwealth Federation,"Clergyperson, farmer",,0,1,,,,,,,,,,,,,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,9,9,9,1,2,2,9,2,1,2,2,1,1,9,1,2,9,1,9,2,2,2,1,1,9,9,9,1,2,2,1,2,1,1,9,1,9,1,1,1,2,9,1,9,1,1,1,1,9,2,2,2,2,1,1,1,2
123,CARLETON,Ontario,1867 - 1966,19,1940.08.19,64,0546967c-76fd-436b-84bb-357010213b7f,"BOUCHER, George Russell",6045,0.803,Conservative (1867-1942),Barrister,,0,1,,,,,,,,,,,,,99,99,99,99,99,99,2,1,2,2,1,1,2,2,9,2,1,2,2,9,1,9,9,1,2,1,2,1,1,9,2,2,2,1,1,2,2,2,9,9,1,2,2,2,1,1,9,1,1,2,2,2,1,1,2,1,9,1,9,2,1,9,9,1,2,1,2,9,2,2,9,2,1,1,2,2,2,1,2
