Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H21S1V001,H21S1V002,H21S1V003,H21S1V004,H21S1V005,H21S1V006,H21S1V007,H21S1V008,H21S1V009,H21S1V010,H21S1V011,H21S1V012,H21S1V013,H21S1V014,H21S1V015,H21S1V016,H21S1V017,H21S1V018,H21S1V019,H21S1V020,H21S2V001,H21S2V002,H21S2V003,H21S2V004,H21S2V005,H21S2V006,H21S2V007,H21S2V008,H21S2V009,H21S2V010,H21S2V011,H21S2V012,H21S2V013,H21S2V014,H21S2V015,H21S2V016,H21S2V017,H21S2V018,H21S2V019,H21S2V020,H21S2V021,H21S2V022,H21S2V023,H21S2V024,H21S2V025,H21S2V026,H21S2V027,H21S2V028,H21S2V029,H21S2V030,H21S2V031,H21S2V032,H21S2V033,H21S2V034,H21S2V035,H21S2V036,H21S2V037,H21S2V038,H21S2V039,H21S2V040,H21S2V041,H21S2V042,H21S3V001,H21S3V002,H21S3V003,H21S3V004,H21S3V005,H21S3V006,H21S3V007,H21S3V008,H21S3V009,H21S3V010,H21S3V011,H21S3V012,H21S3V013,H21S4V001,H21S4V002,H21S4V003,H21S4V004,H21S4V005,H21S4V006,H21S4V007,H21S4V008,H21S4V009,H21S4V010,H21S4V011,H21S4V012,H21S4V013,H21S4V014,H21S4V015,H21S4V016,H21S4V017,H21S4V018,H21S4V019,H21S4V020,H21S4V021,H21S4V022,H21S4V023,H21S4V024,H21S4V025,H21S4V026,H21S4V027,H21S4V028,H21S4V029,H21S5V001,H21S5V002,H21S5V003,H21S5V004,H21S5V005,H21S5V006,H21S5V007,H21S5V008,H21S5V009,H21S5V010,H21S5V011,H21S5V012,H21S5V013,H21S5V014,H21S5V015,H21S5V016,H21S5V017,H21S5V018,H21S5V019,H21S5V020,H21S5V021,H21S5V022,H21S5V023,H21S5V024,H21S5V025,H21S5V026,H21S5V027,H21S5V028,H21S6V001,H21S6V002,H21S6V003,H21S6V004,H21S6V005,H21S6V006,H21S6V007,H21S6V008,H21S6V009,H21S6V010,H21S6V011,H21S6V012,H21S6V013,H21S6V014,H21S6V015,H21S6V016,H21S6V017,H21S6V018,H21S6V019,H21S6V020,H21S6V021,H21S6V022,H21S6V023,H21S6V024,H21S6V025,H21S6V026,H21S6V027,H21S6V028,H21S6V029,H21S6V030,H21S6V031,H21S6V032,H21S6V033,H21S6V034,H21S7V001,H21S7V002,H21S7V003,H21S7V004,H21S7V005,H21S7V006,H21S7V007,H21S7V008,H21S7V009,H21S7V010,H21S7V011,H21S7V012,H21S7V013,H21S7V014,H21S7V015,H21S7V016,H21S7V017,H21S7V018,H21S7V019,H21S7V020,H21S7V021,H21S7V022,H21S7V023,H21S7V024,H21S7V025,H21S7V026,H21S7V027,H21S7V028,H21S7V029,H21S7V030,H21S7V031,H21S7V032,H21S7V033,H21S7V034,H21S7V035,H21S7V036,H21S7V037,H21S7V038,H21S7V039
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,09.19.1949,10.03.1949,10.06.1949,10.14.1949,10.19.1949,10.27.1949,10.27.1949,10.27.1949,11.03.1949,11.07.1949,11.18.1949,11.21.1949,11.21.1949,11.22.1949,11.22.1949,11.23.1949,11.23.1949,11.28.1949,11.29.1949,12.02.1949,02.21.1950,02.28.1950,03.14.1950,03.15.1950,03.16.1950,03.16.1950,03.16.1950,03.17.1950,03.27.1950,03.28.1950,04.03.1950,04.03.1950,04.03.1950,04.17.1950,04.17.1950,04.17.1950,04.17.1950,04.18.1950,04.19.1950,04.20.1950,04.20.1950,04.20.1950,04.24.1950,04.27.1950,04.27.1950,05.09.1950,05.15.1950,05.15.1950,05.15.1950,05.15.1950,05.23.1950,05.29.1950,05.29.1950,05.30.1950,05.30.1950,05.30.1950,05.30.1950,06.02.1950,06.05.1950,06.09.1950,06.14.1950,06.21.1950,08.30.1950,08.30.1950,08.30.1950,08.30.1950,09.02.1950,09.02.1950,09.05.1950,09.07.1950,09.08.1950,09.08.1950,09.11.1950,09.13.1950,09.13.1950,02.13.1951,02.16.1951,02.16.1951,02.19.1951,02.21.1951,02.22.1951,02.26.1951,02.28.1951,03.06.1951,03.15.1951,03.16.1951,04.24.1951,04.25.1951,04.26.1951,04.30.1951,05.02.1951,05.03.1951,05.03.1951,05.03.1951,05.17.1951,05.22.1951,05.22.1951,06.04.1951,06.05.1951,06.06.1951,06.12.1951,06.19.1951,06.20.1951,06.26.1951,10.30.1951,11.02.1951,11.07.1951,11.08.1951,11.27.1951,11.28.1951,12.03.1951,12.04.1951,12.05.1951,12.10.1951,12.12.1951,12.12.1951,12.12.1951,12.12.1951,12.12.1951,12.14.1951,12.17.1951,12.17.1951,12.20.1951,12.20.1951,12.21.1951,12.27.1951,12.27.1951,12.27.1951,12.28.1951,12.28.1951,12.28.1951,12.28.1951,03.05.1952,03.06.1952,03.06.1952,03.14.1952,03.18.1952,03.24.1952,03.25.1952,03.28.1952,03.28.1952,03.28.1952,03.28.1952,03.31.1952,04.02.1952,04.04.1952,04.04.1952,04.04.1952,04.21.1952,04.22.1952,04.28.1952,04.28.1952,05.02.1952,05.05.1952,05.27.1952,05.12.1952,05.19.1952,06.09.1952,06.12.1952,06.12.1952,06.16.1952,06.16.1952,06.26.1952,06.27.1952,06.28.1952,07.03.1952,12.10.1952,12.16.1952,12.17.1952,12.17.1952,01.12.1953,01.19.1953,01.19.1953,01.21.1953,01.22.1953,01.22.1953,01.30.1953,01.30.1953,02.02.1953,02.10.1953,02.10.1953,02.19.1953,02.23.1953,02.23.1953,02.27.1953,03.04.1953,03.09.1953,03.11.1953,03.11.1953,03.16.1953,03.16.1953,03.16.1953,03.26.1953,03.26.1953,03.31.1953,04.07.1953,04.08.1953,04.21.1953,04.21.1953,04.22.1953,04.29.1953,05.04.1953,05.05.1953,05.06.1953,05.11.1953
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,WATERLOO NORTH,Ontario,1867 - 1966,21,1952.05.26,3,00a1dc2c-da1b-4b28-a2dc-3075c37ac7a9,"SCHNEIDER, Norman C.",12436,0.4437,Liberal Party of Canada,"Business executive, industrialist, manager",,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,2,9,9,1,9,9,9,2,2,2,2,1,1,2,1,2,1,9,9,9,2,2,1,9,9,9,2,9,2,2,2,2,1,1,1,9,9,2,1,2,2,9,9,2,2,9
433,MEGANTIC,Quebec,1947 - 1966,21,1949.06.27,4,00c17079-36dc-46eb-a604-2005766e7fd3,"LAFONTAINE, Joseph",13273,0.5845,Liberal Party of Canada,"Gentleman, merchant",,1,3,,,,,,,,,,,,,2,9,2,1,1,9,9,9,2,2,2,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,9,9,9,9,2,1,2,2,1,2,2,2,2,2,2,2,2,2,9,9,2,2,2,2,1,2,2,1,2,2,2,1,2,1,9,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,9,2,1,1,2,2,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,9,9,9,9,9,9,2,9,9,9,2,2,1,1,2,2,2,2,9,9,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2
613,RICHMOND--WOLFE,Quebec,1867 - 1966,21,1949.06.27,14,01a97ec4-cb06-4172-b5fb-50e0994f8225,"GINGRAS, Ernest-O.",13621,0.6775,Liberal Party of Canada,"Clerk, merchant",,1,1,,,,,,,,,,,,,9,9,2,9,1,1,2,1,2,9,9,9,9,9,9,1,1,1,1,9,1,2,2,2,2,2,1,9,9,2,9,9,9,9,9,9,9,2,1,2,2,1,9,2,2,2,9,9,9,9,9,9,9,2,2,2,2,9,9,9,9,9,2,2,1,2,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,9,9,9,2,1,2,9,2,2,9,2,2,1,2,9,2,1,1,2,9,1,1,9,2,1,2,1,1,9,9,9,2,2,2,2,2,2,1,1,2,1,9,9,9,2,2,1,9,9,9,9,9,9,2,9,9,9,2,2,1,1,9,9,2,9,9,9,9,9,9,9,1,1,9,2,2,2,2,2,1,1,2,2,2,1,1,1,9,2,2,1,2,2,9,2,9,2,2,2,2,1,1,1,1,9,2,1,2,2,9,9,2,2,9
749,TRINITY--CONCEPTION,Newfoundland and Labrador,1949 - 1966,21,1949.06.27,33,0357832a-5d30-485e-81b3-cf546c249b50,"STICK, Leonard T.",10929,0.7763,Liberal Party of Canada,"Accountant, businessman, clerk, gentleman, manager",,0,1,,,,,,,,,,,,,2,2,2,9,1,1,2,1,2,2,9,1,1,2,2,9,1,1,1,2,1,2,9,2,9,9,9,1,2,2,1,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,2,2,9,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,9,1,9,9,2,9,9,9,1,1,9,9,2,1,1,1,9,2,2,9,2,2,9,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,9,2,2,2,9
785,VICTORIA--CARLETON,New Brunswick,1914 - 1966,21,1949.06.27-1952.01.03,43,03eca6e3-c9b0-41b0-b629-acdef1b2c676,"HATFIELD, Heber Harold",10429,0.5498,Progressive Conservative Party,"Farmer, produce dealer",,0,3,,,,,,,,,,Died in office: 1952.01.03,,,1,9,9,2,9,9,9,9,2,1,1,2,9,1,1,2,2,2,2,9,9,1,1,1,9,1,2,9,1,1,2,1,1,9,9,9,9,9,9,1,1,2,1,9,9,9,9,9,9,9,1,9,9,9,9,9,9,2,1,9,9,9,2,1,9,9,2,9,1,1,1,9,9,9,1,1,1,1,1,1,1,9,9,9,9,1,1,1,2,9,1,2,9,2,1,2,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
675,SELKIRK,Manitoba,1871 - 1976,21,1949.06.27,45,040a15b2-afa7-4a8f-94a1-f838f850daa7,"BRYCE, William",7819,0.3625,Co-operative Commonwealth Federation,Farmer,,0,3,,,,,,,,,Scotland,,,,1,1,9,2,1,9,9,9,9,9,9,9,2,1,1,2,2,9,9,1,2,1,1,1,1,2,2,2,1,1,2,1,1,9,9,9,9,9,2,1,1,2,1,1,1,2,9,9,2,9,1,1,1,1,2,1,1,9,9,1,2,9,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,9,9,1,1,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,9,9,1,1,1,2,1,1,2,1,1,2,1,9,1,1,1,1,1,1,2,2,1,1,1,2,2,9,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,9,9,2,1,1,1,1,2,1,1
181,DORCHESTER,Quebec,1867 - 1966,21,1949.06.27-1953.06.11,65,055d7c35-7ddf-4f01-a2a6-7d3a77420eba,"TREMBLAY, Leonard-David",6983,0.4729,Liberal Party of Canada,"Journalist, public servant",,1,4,,,,,,,,,,Resignation. Called to the Senate: 1953.06.11,,,9,9,2,1,1,1,2,1,9,2,9,9,9,2,2,1,1,1,1,2,1,2,2,2,2,2,1,9,2,2,9,9,9,9,9,9,9,2,9,2,2,1,2,2,2,2,2,2,2,2,9,9,9,2,2,2,2,1,9,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,9,9,2,2,2,2,2,2,9,2,9,9,9,1,2,2,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,9,2,1,9,9,9,9,9,9,9,9,9,9,2,2,1,1,9,9,9,9,9,9,2,2,9,9,1,1,9,9,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,1,2,2,9,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,9,2,2,9,9
