Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H22S1V001,H22S1V002,H22S1V003,H22S1V004,H22S1V005,H22S1V006,H22S1V007,H22S1V008,H22S1V009,H22S1V010,H22S1V011,H22S1V012,H22S1V013,H22S1V014,H22S1V015,H22S1V016,H22S1V017,H22S1V018,H22S1V019,H22S1V020,H22S1V021,H22S1V022,H22S1V023,H22S1V024,H22S1V025,H22S1V026,H22S1V027,H22S1V028,H22S1V029,H22S1V030,H22S1V031,H22S1V032,H22S1V033,H22S1V034,H22S1V035,H22S1V036,H22S1V037,H22S1V038,H22S1V039,H22S1V040,H22S1V041,H22S1V042,H22S1V043,H22S1V044,H22S1V045,H22S1V046,H22S1V047,H22S1V048,H22S1V049,H22S1V050,H22S1V051,H22S1V052,H22S2V001,H22S2V002,H22S2V003,H22S2V004,H22S2V005,H22S2V006,H22S2V007,H22S2V008,H22S2V009,H22S2V010,H22S2V011,H22S2V012,H22S2V013,H22S2V014,H22S2V015,H22S2V016,H22S2V017,H22S2V018,H22S2V019,H22S2V020,H22S2V021,H22S2V022,H22S2V023,H22S2V024,H22S2V025,H22S2V026,H22S2V027,H22S2V028,H22S2V029,H22S2V030,H22S2V031,H22S2V032,H22S2V033,H22S2V034,H22S2V035,H22S2V036,H22S2V037,H22S2V038,H22S2V039,H22S2V040,H22S2V041,H22S2V042,H22S2V043,H22S2V044,H22S2V045,H22S2V046,H22S2V047,H22S3V001,H22S3V002,H22S3V003,H22S3V004,H22S3V005,H22S3V006,H22S3V007,H22S3V008,H22S3V009,H22S3V010,H22S3V011,H22S3V012,H22S3V013,H22S3V014,H22S3V015,H22S3V016,H22S3V017,H22S3V018,H22S3V019,H22S3V020,H22S3V021,H22S3V022,H22S3V023,H22S3V024,H22S3V025,H22S3V026,H22S3V027,H22S3V028,H22S3V029,H22S3V030,H22S3V031,H22S3V032,H22S3V033,H22S3V034,H22S3V035,H22S3V036,H22S3V037,H22S3V038,H22S3V039,H22S3V040,H22S3V041,H22S3V042,H22S3V043,H22S3V044,H22S3V045,H22S3V046,H22S3V047,H22S3V048,H22S3V049,H22S3V050,H22S3V051,H22S3V052,H22S3V053,H22S3V054,H22S3V055,H22S3V056,H22S3V057,H22S3V058,H22S3V059,H22S3V060,H22S3V061,H22S3V062,H22S3V063,H22S3V064,H22S3V065,H22S3V066,H22S3V067,H22S3V068,H22S3V069,H22S3V070,H22S3V071,H22S3V072,H22S3V073,H22S3V074,H22S3V075,H22S3V076,H22S3V077,H22S3V078,H22S3V079,H22S3V080,H22S3V081,H22S3V082,H22S3V083,H22S3V084,H22S3V085,H22S3V086,H22S3V087,H22S3V088,H22S3V089,H22S3V090,H22S3V091,H22S3V092,H22S3V093,H22S3V094,H22S3V095,H22S3V096,H22S3V097,H22S3V098,H22S3V099,H22S3V100,H22S3V101,H22S3V102,H22S3V103,H22S3V104,H22S3V105,H22S3V106,H22S3V107,H22S3V108,H22S3V109,H22S3V110,H22S3V111,H22S3V112,H22S3V113,H22S3V114,H22S3V115,H22S3V116,H22S3V117,H22S4V001,H22S4V002,H22S5V001,H22S5V002,H22S5V003,H22S5V004,H22S5V005,H22S5V006,H22S5V007,H22S5V008,H22S5V009,H22S5V010,H22S5V011,H22S5V012,H22S5V013,H22S5V014,H22S5V015,H22S5V016,H22S5V017,H22S5V018,H22S5V019,H22S5V020,H22S5V021,H22S5V022,H22S5V023,H22S5V024,H22S5V025,H22S5V026,H22S5V027,H22S5V028,H22S5V029,H22S5V030,H22S5V031,H22S5V032,H22S5V033,H22S5V034,H22S5V035,H22S5V036,H22S5V037,H22S5V038,H22S5V039,H22S5V040,H22S5V041,H22S5V042,H22S5V043,H22S5V044,H22S5V045
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,11.26.1953,12.03.1953,12.03.1953,12.04.1953,12.07.1953,12.09.1953,12.16.1953,01.14.1954,01.15.1954,01.18.1954,01.20.1954,01.25.1954,01.27.1954,01.28.1954,02.02.1954,02.04.1954,02.05.1954,02.05.1954,02.09.1954,02.09.1954,02.09.1954,02.22.1954,02.23.1954,03.01.1954,03.01.1954,03.08.1954,03.09.1954,03.23.1954,04.06.1954,04.08.1954,04.08.1954,04.12.1954,04.27.1954,05.05.1954,05.17.1954,05.25.1954,05.25.1954,05.26.1954,05.26.1954,05.26.1954,05.31.1954,05.31.1954,05.31.1954,06.01.1954,06.07.1954,06.08.1954,06.09.1954,06.10.1954,06.14.1954,06.14.1954,06.16.1954,06.16.1954,01.26.1955,02.02.1955,02.03.1955,02.04.1955,02.08.1955,02.11.1955,02.11.1955,02.14.1955,02.14.1955,02.15.1955,02.18.1955,02.21.1955,02.24.1955,02.24.1955,03.15.1955,03.18.1955,03.21.1955,03.22.1955,03.22.1955,03.28.1955,03.29.1955,03.29.1955,04.05.1955,04.26.1955,04.27.1955,05.03.1955,05.12.1955,05.16.1955,05.24.1955,05.25.1955,05.30.1955,06.01.1955,06.01.1955,06.06.1955,06.14.1955,06.14.1955,06.17.1955,06.27.1955,07.04.1955,07.05.1955,07.05.1955,07.07.1955,07.08.1955,07.12.1955,07.13.1955,07.19.1955,07.27.1955,01.19.1956,01.24.1956,01.24.1956,01.25.1956,01.26.1956,01.30.1956,02.01.1956,02.01.1956,02.02.1956,02.02.1956,02.03.1956,02.03.1956,02.06.1956,02.06.1956,02.07.1956,02.13.1956,02.16.1956,02.21.1956,02.21.1956,02.23.1956,02.23.1956,02.28.1956,02.28.1956,02.28.1956,02.28.1956,02.29.1956,03.06.1956,03.13.1956,03.13.1956,03.14.1956,03.15.1956,03.21.1956,03.21.1956,03.26.1956,03.26.1956,04.10.1956,04.12.1956,04.13.1956,04.17.1956,04.17.1956,04.17.1956,04.17.1956,04.18.1956,04.19.1956,04.25.1956,05.01.1956,05.01.1956,05.10.1956,05.10.1956,05.10.1956,05.10.1956,05.14.1956,05.14.1956,05.14.1956,05.15.1956,05.15.1956,05.15.1956,05.15.1956,05.15.1956,05.15.1956,05.17.1956,05.22.1956,05.22.1956,05.22.1956,05.22.1956,05.22.1956,05.23.1956,05.23.1956,05.23.1956,05.24.1956,05.24.1956,05.24.1956,05.24.1956,05.24.1956,05.24.1956,05.25.1956,05.25.1956,05.25.1956,05.25.1956,05.28.1956,05.28.1956,05.31.1956,05.31.1956,05.31.1956,05.31.1956,06.01.1956,06.01.1956,06.01.1956,06.01.1956,06.01.1956,06.01.1956,06.01.1956,06.01.1956,06.04.1956,06.05.1956,06.05.1956,06.05.1956,06.05.1956,06.05.1956,06.05.1956,06.05.1956,06.08.1956,06.08.1956,06.12.1956,06.18.1956,06.26.1956,07.10.1956,07.11.1956,07.24.1956,07.25.1956,07.27.1956,07.30.1956,07.31.1956,08.01.1956,08.03.1956,08.08.1956,08.10.1956,11.29.1956,11.29.1956,01.16.1957,01.22.1957,01.22.1957,01.23.1957,01.23.1957,01.28.1957,01.29.1957,01.31.1957,02.08.1957,02.12.1957,02.12.1957,02.14.1957,02.19.1957,02.19.1957,02.25.1957,02.26.1957,03.04.1957,03.04.1957,03.11.1957,03.12.1957,03.12.1957,03.12.1957,03.19.1957,03.19.1957,03.19.1957,03.22.1957,03.22.1957,03.26.1957,03.26.1957,03.26.1957,03.26.1957,03.28.1957,04.01.1957,04.02.1957,04.02.1957,04.02.1957,04.03.1957,04.03.1957,04.03.1957,04.08.1957,04.09.1957,04.09.1957,04.10.1957,04.10.1957,04.10.1957
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,WATERLOO NORTH,Ontario,1867 - 1966,22,1953.08.10,3,00a1dc2c-da1b-4b28-a2dc-3075c37ac7a9,"SCHNEIDER, Norman C.",16139,0.501,Liberal Party of Canada,"Business executive, industrialist, manager",,0,2,,,,,,,,,,,,,2,2,2,9,9,1,2,1,9,2,2,2,9,9,1,2,9,9,1,2,1,1,2,2,2,9,2,2,9,2,2,2,2,1,9,2,2,2,9,9,2,2,2,2,9,1,1,2,2,1,2,2,1,2,2,9,2,9,9,9,9,9,2,9,2,1,2,9,2,2,2,9,9,9,2,2,9,2,2,2,2,2,9,2,2,9,2,2,9,9,1,1,1,2,9,2,2,2,9,2,2,2,1,1,2,2,2,1,2,9,9,2,2,2,2,9,9,9,9,9,2,2,1,2,2,1,2,2,2,9,1,2,9,9,2,2,9,2,1,1,1,2,1,2,2,2,1,2,2,1,9,9,9,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,9,9,9,9,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,9,9,2,1,9,2,1,1,2,2,2,1,2,9,1,1,1,2,2,2,2,2,1,2,2,9,9,2,2,1,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,9,9,9,2,2,1
433,MEGANTIC,Quebec,1947 - 1966,22,1953.08.10,4,00c17079-36dc-46eb-a604-2005766e7fd3,"LAFONTAINE, Joseph",13951,0.6236,Liberal Party of Canada,"Gentleman, merchant",,1,4,,,,,,,,,,,,,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,9,2,2,2,1,2,2,1,2,2,9,2,2,2,1,1,2,9,9,2,2,2,2,1,1,1,2,1,2,2,2,9,9,9,9,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,9,9,2,2,1,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,9,9,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,1,2,2,9,9,9,2,2,2,2,2,2,2,2,1
613,RICHMOND--WOLFE,Quebec,1867 - 1966,22,1953.08.10,14,01a97ec4-cb06-4172-b5fb-50e0994f8225,"GINGRAS, Ernest-Omer",13006,0.6378,Liberal Party of Canada,"Clerk, merchant",,1,2,,,,,,,,,,,,,9,2,2,9,9,1,2,9,9,9,2,2,2,1,9,2,9,9,1,2,1,1,2,2,2,9,2,2,2,2,2,2,2,1,9,9,9,9,9,9,9,9,9,2,9,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,9,9,2,2,9,9,9,9,2,2,9,9,9,1,1,2,9,2,2,9,2,2,2,2,9,1,2,2,2,1,2,9,9,2,2,2,2,2,2,2,2,1,2,2,1,2,2,9,2,2,2,1,1,2,9,9,2,9,2,9,9,9,1,2,1,2,2,2,9,9,9,9,9,9,9,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,9,2,9,9,2,1,9,9,2,2,9,9,9,1,9,1,2,2,9,9,9,9,2,2,2,1,9,9,1,9,9,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,2,2,2,9,2,2,2,2,1
749,TRINITY--CONCEPTION,Newfoundland and Labrador,1949 - 1966,22,1953.08.10,33,0357832a-5d30-485e-81b3-cf546c249b50,"STICK, Leonard T.",8814,0.721,Liberal Party of Canada,"Accountant, businessman, clerk, gentleman, manager",,0,2,,,,,,,,,,,,,9,2,2,2,1,1,2,1,2,2,2,2,9,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,9,2,1,9,2,2,2,2,1,2,2,2,2,9,9,1,9,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,2,1,2,2,2,9,2,2,9,1,9,9,9,9,9,9,9,9,2,2,2,1,1,2,2,2,9,9,2,1,2,2,2,2,9,2,2,2,1,2,2,1,2,2,1,2,2,2,1,9,9,9,9,2,2,9,2,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,1,2,2,1,9,9,9,2,9,2,2,1,9,1,2,9,9,9,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,9,9,2,2,2,9,2,2,2,2,2,9,2,2,2,2,2,2,2,1
164,CUMBERLAND,Nova Scotia,1867 - 1966,22,1953.08.10,35,0376505a-8e11-4dcd-8fbd-72e043ef4d5d,"LUSBY, Azel Randolph",8860,0.5174,Liberal Party of Canada,Barrister,,0,1,,,,,,,,,,,,,2,2,2,2,1,1,2,9,9,9,2,2,2,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,9,9,9,2,1,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,9,1,2,2,2,2,2,2,1,1,1,9,2,9,2,2,9,9,2,2,2,1,1,9,2,2,1,2,9,9,2,2,2,2,2,9,9,9,9,9,9,9,9,9,1,2,2,2,1,1,2,1,1,2,2,2,9,9,9,1,2,1,2,2,2,1,2,2,1,1,1,1,9,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,9,9,9,1,2,1,9,1,1,2,1,1,2,1,1,2,1,1,1,2,9,9,1,9,2,1,1,2,2,2,1,2,2,9,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,9,9,9,9,9,2,2,2,2,2,2,9,9,9,9,9,1,2,2,9,9,9,9,9,9,2,2,2,2,9,9
225,FRASER VALLEY,British Columbia,1919 - 1966,22,1953.08.10,39,03bdeb92-5e2c-42ef-87e7-af2178b73f74,"PATTERSON, Alexander Bell",9618,0.4164,Social Credit,Minister,,0,1,,,,,,,,,,,,,1,1,1,1,2,2,2,2,1,1,1,1,1,9,1,1,1,2,9,1,2,9,9,1,1,1,9,1,1,1,1,9,9,2,1,1,1,1,2,1,9,9,1,1,1,9,2,1,1,2,1,1,1,2,1,1,1,1,1,9,9,1,1,1,1,2,2,1,2,2,2,1,1,1,9,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,9,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,9,9,9,1,1,1,2,2,2,2,1,9,9,9,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9,1,1,1,2,1,2,9,9,9,9,9,9,9,9,1,2,1,1,2,1,1,1,9,9,9,9,2,1,2,2,1,1,9,2,1,1,1,9,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,9,1,2,2,2,9,9,9,1,1,1,1,1,1,1,1,9,1,9,1,1,1,1,1,1,1,9,9,9,1,1
675,SELKIRK,Manitoba,1871 - 1976,22,1954.11.08,45,040a15b2-afa7-4a8f-94a1-f838f850daa7,"BRYCE, W. Scottie",8462,0.5083,Co-operative Commonwealth Federation,Farmer,,0,4,,,,,,,,,Scotland,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,1,1,1,1,1,2,1,1,1,9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,9,1,1,2,2,1,1,1,2,1,1,1,1,9,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,9,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,9,2,2,2,1,2,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,9,1,1,1,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
