Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H23S1V001,H23S1V002,H23S1V003,H23S1V004,H23S1V005,H23S1V006,H23S1V007,H23S1V008,H23S1V009,H23S1V010,H23S1V011,H23S1V012,H23S1V013,H23S1V014,H23S1V015,H23S1V016,H23S1V017,H23S1V018
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.17.1957,10.29.1957,11.11.1957,11.14.1957,11.15.1957,11.15.1957,11.19.1957,12.02.1957,12.10.1957,12.12.1957,12.13.1957,01.07.1958,01.21.1958,01.21.1958,01.23.1958,01.24.1958,01.29.1958,01.31.1958
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,
790,WATERLOO NORTH,Ontario,1867 - 1966,23,1957.06.10,3,00a1dc2c-da1b-4b28-a2dc-3075c37ac7a9,"SCHNEIDER, Norman C.",15972,0.4232,Liberal Party of Canada,"Business executive, industrialist, manager",,0,3,,,,,,,,,,,,,9,1,9,9,9,9,9,9,2,1,9,2,2,1,2,9,2,9
433,MEGANTIC,Quebec,1947 - 1966,23,1957.06.10,4,00c17079-36dc-46eb-a604-2005766e7fd3,"LAFONTAINE, Joseph",15378,0.6495,Liberal Party of Canada,"Gentleman, merchant",,1,5,,,,,,,,,,,,,1,1,9,9,9,9,2,9,2,1,9,2,2,1,2,1,9,1
613,RICHMOND--WOLFE,Quebec,1867 - 1966,23,1957.06.10,14,01a97ec4-cb06-4172-b5fb-50e0994f8225,"GINGRAS, Ernest-Omer",10300,0.4671,Liberal Party of Canada,"Clerk, merchant",,1,3,,,,,,,,,,,,,9,9,9,9,9,9,2,9,2,1,9,2,2,1,9,9,9,1
765,VANCOUVER--BURRARD,British Columbia,1924 - 1966,23,1957.06.10,22,02652523-4292-4ed4-b1d2-d1f5a084fb7e,"TAYLOR, John",13721,0.4657,Progressive Conservative Party,Lawyer,,0,1,,,,,,,,,,,,,1,1,2,2,2,2,2,9,2,1,2,9,9,9,9,1,9,9
143,CHICOUTIMI,Quebec,1924 - 2000,23,1957.06.10,28,02f0f4b7-39f8-4cfb-9850-29344f7892c5,"GAUTHIER, Rosaire",15124,0.5241,Liberal Party of Canada,"Businessman, industrialist",,1,1,,,,,,,,,,,,,9,9,9,2,9,9,9,9,2,9,9,9,9,9,2,9,9,9
749,TRINITY--CONCEPTION,Newfoundland and Labrador,1949 - 1966,23,1957.06.10,33,0357832a-5d30-485e-81b3-cf546c249b50,"STICK, Leonard T.",8360,0.6928,Liberal Party of Canada,"Accountant, businessman, clerk, gentleman, manager",,0,3,,,,,,,,,,,,,1,9,2,9,2,2,2,1,2,9,9,9,2,1,2,9,9,9
225,FRASER VALLEY,British Columbia,1919 - 1966,23,1957.06.10,39,03bdeb92-5e2c-42ef-87e7-af2178b73f74,"PATTERSON, Alexander Bell",11091,0.3869,Social Credit,Minister,,0,2,,,,,,,,,,,,,1,1,1,2,2,2,1,1,2,1,1,2,2,2,1,2,1,9
