Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H24S1V001,H24S1V002,H24S1V003,H24S1V004,H24S1V005,H24S1V006,H24S1V007,H24S1V008,H24S1V009,H24S1V010,H24S1V011,H24S1V012,H24S1V013,H24S1V014,H24S1V015,H24S1V016,H24S1V017,H24S1V018,H24S1V019,H24S1V020,H24S1V021,H24S1V022,H24S1V023,H24S1V024,H24S1V025,H24S1V026,H24S1V027,H24S1V028,H24S1V029,H24S1V030,H24S1V031,H24S1V032,H24S1V033,H24S1V034,H24S1V035,H24S1V036,H24S1V037,H24S1V038,H24S1V039,H24S1V040,H24S1V041,H24S1V042,H24S1V043,H24S2V001,H24S2V002,H24S2V003,H24S2V004,H24S2V005,H24S2V006,H24S2V007,H24S2V008,H24S2V009,H24S2V010,H24S2V011,H24S2V012,H24S2V013,H24S2V014,H24S2V015,H24S2V016,H24S2V017,H24S2V018,H24S2V019,H24S2V020,H24S2V021,H24S2V022,H24S2V023,H24S2V024,H24S2V025,H24S2V026,H24S2V027,H24S2V028,H24S2V029,H24S2V030,H24S2V031,H24S2V032,H24S2V033,H24S2V034,H24S2V035,H24S2V036,H24S2V037,H24S3V001,H24S3V002,H24S3V003,H24S3V004,H24S3V005,H24S3V006,H24S3V007,H24S3V008,H24S3V009,H24S3V010,H24S3V011,H24S3V012,H24S3V013,H24S3V014,H24S3V015,H24S3V016,H24S3V017,H24S3V018,H24S3V019,H24S3V020,H24S3V021,H24S3V022,H24S3V023,H24S3V024,H24S3V025,H24S3V026,H24S3V027,H24S3V028,H24S3V029,H24S3V030,H24S3V031,H24S3V032,H24S3V033,H24S3V034,H24S3V035,H24S3V036,H24S3V037,H24S3V038,H24S3V039,H24S3V040,H24S3V041,H24S3V042,H24S3V043,H24S3V044,H24S3V045,H24S3V046,H24S3V047,H24S3V048,H24S3V049,H24S3V050,H24S3V051,H24S3V052,H24S3V053,H24S3V054,H24S3V055,H24S4V001,H24S4V002,H24S4V003,H24S4V004,H24S4V005,H24S4V006,H24S4V007,H24S4V008,H24S4V009,H24S4V010,H24S4V011,H24S4V012,H24S4V013,H24S4V014,H24S4V015,H24S4V016,H24S4V017,H24S4V018,H24S4V019,H24S4V020,H24S4V021,H24S4V022,H24S4V023,H24S4V024,H24S4V025,H24S4V026,H24S4V027,H24S4V028,H24S4V029,H24S4V030,H24S4V031,H24S4V032,H24S4V033,H24S4V034,H24S4V035,H24S4V036,H24S4V037,H24S4V038,H24S4V039,H24S4V040,H24S4V041,H24S4V042,H24S4V043,H24S4V044,H24S4V045,H24S4V046,H24S4V047,H24S4V048,H24S4V049,H24S4V050,H24S4V051,H24S4V052,H24S4V053,H24S4V054,H24S4V055,H24S4V056,H24S4V057,H24S4V058,H24S4V059,H24S4V060,H24S4V061,H24S4V062,H24S4V063,H24S4V064,H24S4V065,H24S4V066,H24S4V067,H24S4V068,H24S4V069,H24S4V070,H24S4V071,H24S4V072,H24S4V073,H24S4V074,H24S4V075,H24S4V076,H24S4V077,H24S4V078,H24S4V079,H24S4V080,H24S4V081,H24S4V082,H24S4V083,H24S4V084,H24S5V001,H24S5V002,H24S5V003,H24S5V004,H24S5V005,H24S5V006,H24S5V007,H24S5V008,H24S5V009,H24S5V010,H24S5V011,H24S5V012,H24S5V013,H24S5V014,H24S5V015,H24S5V016,H24S5V017,H24S5V018,H24S5V019,H24S5V020,H24S5V021,H24S5V022,H24S5V023,H24S5V024
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,05.23.1958,05.28.1958,05.28.1958,05.28.1958,06.03.1958,06.09.1958,06.12.1958,06.19.1958,06.19.1958,06.26.1958,07.01.1958,07.02.1958,07.03.1958,07.08.1958,07.08.1958,07.14.1958,07.15.1958,07.18.1958,07.22.1958,07.24.1958,07.30.1958,07.30.1958,08.04.1958,08.04.1958,08.05.1958,08.05.1958,08.12.1958,08.15.1958,08.18.1958,08.19.1958,08.20.1958,08.22.1958,08.25.1958,08.25.1958,08.25.1958,08.26.1958,09.01.1958,09.01.1958,09.02.1958,09.02.1958,09.02.1958,09.05.1958,09.05.1958,01.26.1959,01.29.1959,01.30.1959,02.10.1959,02.10.1959,02.13.1959,02.16.1959,02.25.1959,02.25.1959,03.03.1959,03.03.1959,03.04.1959,03.05.1959,03.09.1959,03.23.1959,04.13.1959,04.17.1959,04.20.1959,04.21.1959,04.21.1959,04.22.1959,04.28.1959,05.12.1959,05.13.1959,05.14.1959,05.20.1959,05.25.1959,05.27.1959,05.28.1959,05.28.1959,06.04.1959,06.08.1959,06.09.1959,06.19.1959,06.22.1959,07.07.1959,07.15.1959,01.21.1960,01.27.1960,02.01.1960,02.02.1960,02.03.1960,02.03.1960,02.10.1960,02.15.1960,02.15.1960,02.15.1960,02.23.1960,02.23.1960,03.07.1960,03.08.1960,03.08.1960,03.17.1960,03.18.1960,03.22.1960,03.22.1960,04.08.1960,04.12.1960,04.13.1960,04.26.1960,04.28.1960,05.03.1960,05.03.1960,05.10.1960,05.11.1960,05.12.1960,05.12.1960,05.13.1960,05.13.1960,05.18.1960,05.24.1960,05.30.1960,05.30.1960,06.06.1960,06.14.1960,06.27.1960,07.05.1960,07.07.1960,07.14.1960,07.14.1960,07.20.1960,07.21.1960,07.29.1960,08.01.1960,08.01.1960,08.01.1960,08.01.1960,08.01.1960,08.03.1960,08.04.1960,08.04.1960,08.04.1960,11.21.1960,11.21.1960,11.21.1960,11.24.1960,11.29.1960,11.29.1960,11.30.1960,11.30.1960,12.01.1960,12.01.1960,12.02.1960,12.02.1960,12.12.1960,12.13.1960,12.15.1960,12.16.1960,01.16.1961,01.20.1961,01.24.1961,01.26.1961,01.30.1961,01.31.1961,02.01.1961,02.10.1961,02.13.1961,02.13.1961,02.21.1961,02.21.1961,02.27.1961,02.27.1961,02.27.1961,03.08.1961,03.13.1961,03.15.1961,03.20.1961,03.21.1961,03.22.1961,03.27.1961,04.11.1961,04.17.1961,04.17.1961,04.18.1961,04.18.1961,04.21.1961,04.25.1961,04.25.1961,05.03.1961,05.08.1961,05.09.1961,05.09.1961,05.10.1961,05.10.1961,05.10.1961,05.15.1961,05.15.1961,05.17.1961,05.24.1961,05.25.1961,05.31.1961,06.06.1961,06.06.1961,06.07.1961,06.13.1961,06.19.1961,06.20.1961,06.21.1961,06.21.1961,06.23.1961,06.26.1961,06.28.1961,06.29.1961,07.04.1961,07.04.1961,07.06.1961,07.07.1961,07.10.1961,07.11.1961,07.18.1961,09.20.1961,09.25.1961,09.26.1961,09.26.1961,09.27.1961,09.27.1961,01.18.1962,01.23.1962,01.25.1962,02.08.1962,02.14.1962,02.14.1962,02.14.1962,02.20.1962,02.27.1962,02.27.1962,03.05.1962,03.07.1962,03.12.1962,03.16.1962,03.27.1962,04.02.1962,04.04.1962,04.09.1962,04.09.1962,04.11.1962,04.12.1962,04.12.1962,04.12.1962,04.12.1962
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ACADIA,Alberta,1924 - 1966,24,1958.03.31,2,00163189-b2e2-4300-9100-81f7d68a7930,"HORNER, Jack H.",9669,0.5035,Progressive Conservative Party,"Farmer, rancher",,0,1,,,,,,,,,,,,,2,2,2,1,2,1,2,1,1,9,9,9,9,2,2,2,2,9,1,1,2,2,2,1,2,2,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,2,2,1,2,2,2,2,2,1,1,1,9,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,9,9,1,2,9,9,9,9,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,9,9,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,9,9,9,9,2,9,9,1,2,2,2,1,1,2,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,9,2,2,2,1,1,9,9,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,9,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,9,9,9,9,9,9,9,9,9,1,2,2,1,2,1,9,2,2,2,2,2,1,9,2,2,9,2,9,9,9,2,2,9,9,9,9,9,9,9
675,SELKIRK,Manitoba,1871 - 1976,24,1958.03.31,8,0121a695-494e-4869-8cc3-e6a46388c899,"STEFANSON, Eric",8878,0.4764,Progressive Conservative Party,"Insurance agent, merchant",,0,1,,,,,,,,,,,,,2,2,2,1,9,1,9,1,1,2,9,9,1,2,2,2,2,2,1,1,9,2,9,9,9,9,1,9,9,2,2,1,2,2,1,1,9,9,9,9,9,9,9,2,2,1,2,2,9,9,2,2,2,2,1,1,1,9,2,2,2,9,2,1,2,2,9,9,9,2,2,2,1,1,2,1,1,2,9,1,1,2,9,1,2,2,2,9,9,9,2,2,1,2,2,2,1,2,2,2,2,1,9,9,2,2,1,2,1,2,1,9,9,2,2,2,1,9,1,2,1,2,1,9,9,1,9,9,9,9,9,9,9,9,9,2,1,2,1,1,1,2,1,2,1,9,9,1,1,2,1,2,2,2,1,1,2,1,9,9,9,2,2,2,2,1,2,2,2,2,9,9,9,1,9,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,9,2,1,1,9,9,9,9,9,9,9,9,2,1,9,2,2,2,2,2,1,9,2,2,9,2,2,9,1,9,2,1,1,2,1,1,9,9
49,BERTHIER--MASKINONGE--DELANAUDIERE,Quebec,1952 - 1966,24,1958.03.31,9,01245d17-8749-4393-a294-c31fbd956d8b,"PAUL, Remi",12702,0.5924,Progressive Conservative Party,Lawyer,,1,1,,,,,,,,,,,,,2,2,2,1,9,1,2,1,1,2,2,2,1,2,2,9,9,2,1,1,2,2,2,1,2,2,9,1,2,9,2,9,2,2,1,1,9,9,1,2,9,9,9,2,2,9,9,9,1,2,9,9,9,9,9,1,9,1,9,2,2,2,2,1,9,2,9,9,2,9,9,2,1,9,9,1,1,2,1,1,1,2,2,9,9,9,2,9,9,9,2,2,9,9,9,9,1,2,2,2,2,1,9,1,9,9,9,9,1,2,1,9,2,2,9,9,1,9,9,2,1,2,1,2,1,1,1,2,2,2,1,1,2,2,1,2,1,2,1,1,1,2,1,2,1,2,1,9,1,2,1,2,9,2,9,1,2,1,1,9,9,2,2,9,9,9,2,9,9,2,2,2,2,1,9,9,9,9,1,2,2,9,2,2,2,2,2,2,9,9,9,1,1,9,9,9,9,1,2,1,2,2,2,2,2,1,2,1,1,1,1,9,9,1,2,2,1,2,1,1,9,9,9,2,2,1,2,2,2,9,9,2,9,1,9,9,1,1,2,1,9,9,9
765,VANCOUVER--BURRARD,British Columbia,1924 - 1966,24,1958.03.31,22,02652523-4292-4ed4-b1d2-d1f5a084fb7e,"TAYLOR, John",18001,0.6054,Progressive Conservative Party,Lawyer,,0,2,,,,,,,,,,,,,2,2,2,1,2,1,2,9,9,2,9,2,1,2,2,9,9,9,9,9,2,2,2,9,9,9,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,9,9,1,2,2,2,2,2,1,1,9,9,2,2,2,2,2,1,2,2,2,1,9,9,9,9,9,9,2,1,9,2,1,9,1,2,2,1,2,2,2,2,2,1,9,9,9,2,2,2,1,9,9,9,9,9,9,1,2,2,1,9,9,2,1,9,2,9,9,9,1,9,1,2,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2,1,2,1,9,9,1,1,9,9,9,9,2,1,9,2,1,9,2,1,9,9,9,9,1,9,9,2,2,2,9,9,1,2,2,2,1,9,9,9,9,2,2,2,9,9,9,2,2,9,9,9,9,2,1,2,9,2,9,2,2,9,9,9,9,9,9,9,9,9,2,9,1,9,9,9,9,9,9,2,9,2,2,2,1,2,2,2,9,9,2,1,9,9,9,1,1,2,9,1,1,1
466,MOOSE JAW--LAKE CENTRE,Saskatchewan,1952 - 1966,24,1958.03.31,24,027c5b6d-20e5-4745-aeac-691ab4f89809,"PASCOE, J. Ernest",18736,0.5958,Progressive Conservative Party,"Farmer, grain grower, journalist",,0,1,,,,,,,,,,,,,2,2,2,1,2,1,2,1,9,2,2,2,1,2,2,2,2,2,1,1,9,9,2,1,2,2,9,1,2,2,2,9,2,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,9,2,2,2,2,2,1,2,2,2,1,2,2,9,2,1,1,2,1,1,2,1,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,9,1,2,2,1,2,1,2,1,9,2,9,9,9,1,2,1,2,1,2,1,2,1,1,1,2,2,2,1,9,2,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,9,9,2,1,2,1,2,1,2,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,1,1,1,1
576,QU'APPELLE,Saskatchewan,1905 - 1966,24,1958.03.31,87,074f5c93-b513-42b6-9ad6-39c7c659fcf4,"HAMILTON, Hon. Alvin",10514,0.5903,Progressive Conservative Party,Teacher,,0,2,,1,,,,,,,,,,,2,2,2,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,9,9,2,1,2,2,1,9,2,9,9,9,9,9,9,9,1,9,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,9,9,9,1,2,1,1,2,1,1,1,2,2,1,9,9,2,2,2,9,2,2,1,2,2,2,1,2,2,9,2,1,2,1,2,2,9,2,1,2,1,9,2,2,9,9,9,9,1,2,1,2,1,2,1,1,1,2,2,2,1,1,2,2,1,2,9,9,1,1,9,9,9,9,9,9,9,1,1,2,1,9,2,9,1,1,9,9,9,2,1,9,9,2,2,9,2,9,2,2,9,2,2,1,2,2,2,1,9,9,9,9,9,9,9,2,2,2,9,9,9,1,1,1,2,1,2,1,2,1,2,2,9,2,2,1,2,1,1,9,9,9,1,1,2,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,1,9,2,1,9,9,9
359,LAFONTAINE,Quebec,1947 - 1975,24,1958.03.31,96,08240c1b-8b7a-453a-9ec5-76d6f046cf0f,"RATELLE, J.-Georges",12195,0.5135,Liberal Party of Canada,Insurance broker,,1,4,,,,,,,,,,,,,9,1,9,9,9,9,9,2,9,1,1,1,2,1,1,2,1,9,2,9,1,1,2,2,1,1,9,9,9,1,1,9,9,1,2,2,9,9,9,1,1,9,9,1,1,9,1,1,9,9,9,2,1,1,1,1,2,2,9,9,9,2,1,2,9,1,2,9,1,9,2,2,1,1,1,1,9,1,1,2,2,1,1,2,1,9,1,9,9,2,1,1,1,1,1,1,2,9,9,9,1,2,9,9,2,1,1,1,2,1,1,9,1,1,9,1,9,1,9,9,9,1,1,1,2,9,9,9,9,9,9,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,9,9,1,9,2,2,1,1,2,9,9,1,1,1,9,9,2,1,9,2,9,9,2,9,9,9,9,9,9,9,2,1,1,9,1,1,1,1,1,9,9,2,2,9,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
