Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H25S1V001,H25S1V002,H25S1V003,H25S1V004,H25S1V005,H25S1V006,H25S1V007,H25S1V008,H25S1V009,H25S1V010,H25S1V011,H25S1V012,H25S1V013,H25S1V014,H25S1V015,H25S1V016,H25S1V017
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.02.1962,10.04.1962,10.04.1962,10.09.1962,10.11.1962,10.16.1962,10.17.1962,10.17.1962,10.25.1962,11.06.1962,11.06.1962,11.29.1962,12.04.1962,12.12.1962,01.31.1963,02.05.1963,02.05.1963
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,
2,ACADIA,Alberta,1924 - 1966,25,1962.06.18,2,00163189-b2e2-4300-9100-81f7d68a7930,"HORNER, Jack H.",8440,0.4289,Progressive Conservative Party,"Farmer, rancher",,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,9,1,1,2,2
675,SELKIRK,Manitoba,1871 - 1976,25,1962.06.18,8,0121a695-494e-4869-8cc3-e6a46388c899,"STEFANSON, Eric",8797,0.4358,Progressive Conservative Party,"Insurance agent, merchant",,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,9,1,2,2
49,BERTHIER--MASKINONGE--DELANAUDIERE,Quebec,1952 - 1966,25,1962.06.18,9,01245d17-8749-4393-a294-c31fbd956d8b,"PAUL, Remi",9211,0.4544,Progressive Conservative Party,Lawyer,,1,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,9,1,1,2,2
466,MOOSE JAW--LAKE CENTRE,Saskatchewan,1952 - 1966,25,1962.06.18,24,027c5b6d-20e5-4745-aeac-691ab4f89809,"PASCOE, J. Ernest",19456,0.5196,Progressive Conservative Party,"Farmer, grain grower, journalist",,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,9,2,2
225,FRASER VALLEY,British Columbia,1919 - 1966,25,1962.06.18,39,03bdeb92-5e2c-42ef-87e7-af2178b73f74,"PATTERSON, A.B.",9970,0.2786,Social Credit,Minister,,0,3,,,,,,,,,,,,,1,2,2,2,1,1,1,1,9,1,2,9,1,9,9,9,9
561,PORTAGE--NEEPAWA,Manitoba,1947 - 1966,25,1962.06.18,40,03cab084-4b6e-4ac1-bdb6-88f6666817e5,"ENNS, Siegfried J.",11125,0.4715,Progressive Conservative Party,Social worker,,0,1,,,,,,,,,Russia,,,,2,2,2,2,1,1,1,1,9,2,2,2,1,1,1,2,2
605,RESTIGOUCHE--MADAWASKA,New Brunswick,1914 - 1966,25,1962.06.18,72,05f27042-0864-4a1d-9615-33d1398ba07b,"DUBE, Jean-Eudes",13525,0.4574,Liberal Party of Canada,"Barrister, lawyer",,1,1,,,,,,,,,,,,,2,1,1,1,2,9,2,2,9,1,1,9,9,2,2,1,1
576,QU'APPELLE,Saskatchewan,1905 - 1966,25,1962.06.18,87,074f5c93-b513-42b6-9ad6-39c7c659fcf4,"HAMILTON, Alvin",10680,0.5845,Progressive Conservative Party,Teacher,,0,3,,1,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,9,1,9,2,2
23,ASSINIBOIA,Saskatchewan,1907 - 1987,25,1962.06.18,177,0daa460f-b2c1-447e-abbe-c4bd1f237b32,"ARGUE, Hazen",7739,0.3636,Liberal Party of Canada,Farmer,,0,6,,,,,,,,,,,,,2,1,1,1,2,1,2,2,9,1,1,2,9,2,2,1,1
562,PORTNEUF,Quebec,1867 - 2004,25,1962.06.18,192,0f2f7ad6-f74f-4f3f-8269-9b1702a37aeb,"FRENETTE, Jean-Louis",12089,0.5501,Social Credit,Architectural draftsman,,1,1,,,,,,,,,,,,,1,2,2,2,1,1,1,1,9,9,9,1,9,9,2,1,1
89,BURNABY--COQUITLAM,British Columbia,1952 - 1966,25,1962.06.18-1962.08.20,200,0f707426-6e3c-403c-94d9-40582b5df2f4,"REGIER, Erhart",19050,0.4991,New Democratic Party,Teacher,,0,4,,,,,,,,,,Resignation: 1962.08.20,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
787,VILLENEUVE,Quebec,1947 - 1976,25,1962.06.18,212,100b1ca5-ed42-4c99-9d57-5ad648bd8c96,"CAOUETTE, Real",21022,0.6722,Social Credit,"Automobile dealer, businessman, garage owner / operator, insurance agent, manager",,1,2,,,,,,,,,,,,,1,9,9,2,1,9,1,1,1,1,9,9,9,9,2,1,1
823,WINNIPEG NORTH CENTRE,Manitoba,1924 - 1996,25,1962.06.18,215,103e48f0-b6bb-43eb-9c06-7ceffaf3ea78,"KNOWLES, Stanley H.",12797,0.4415,New Democratic Party,"Clergyperson, minister, printer",,0,6,,,,,,,,,United States,,,,2,1,1,1,2,2,1,2,2,2,1,1,9,2,2,1,1
457,MONTMAGNY--L'ISLET,Quebec,1933 - 1966,25,1962.06.18,243,124c06a8-954e-4586-94e5-28572da783c6,"COOK, Jean-Paul",7629,0.4682,Social Credit,"Interior decorator, merchant",,0,1,,,,,,,,,,,,,1,2,2,2,1,1,1,1,1,1,9,2,9,9,2,1,1
593,RED DEER,Alberta,1907 - ,25,1962.06.18,244,124d5348-2f63-4e80-910e-78d16dfc5b72,"THOMPSON, Robert N.",12645,0.5104,Social Credit,"Chiropractor, educator",,0,1,,,,,,,,,United States,,,,1,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1
333,KINDERSLEY,Saskatchewan,1914 - 1966,25,1962.06.18,264,1364dfb5-6050-4e58-af99-d4545b32320e,"HANBIDGE, Robert L.",9170,0.4149,Progressive Conservative Party,Barrister,,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,9,9,9
484,NICKEL BELT,Ontario,1952 - ,25,1962.06.18,296,1618bab0-8e4a-4cc6-9007-84a03ed129ea,"GODIN, O.-J.",16440,0.5692,Liberal Party of Canada,"Barrister, lawyer",,1,2,,,,,,,,,,,,,2,1,1,1,2,1,2,2,9,1,1,9,9,2,2,1,1
1125,SAINT-DENIS,Quebec,1952 - 1996,25,1962.06.18,298,1647b84c-1764-48b8-a6af-5e29cbded7d7,"DENIS, Azellus",11728,0.4773,Liberal Party of Canada,Lawyer,,1,8,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,9,9,2,2,1,1
359,LAFONTAINE,Quebec,1947 - 1975,25,1962.06.18,300,1661530f-99fc-4f18-b268-71c6e2d0459c,"LACHANCE, Georges-C.",10000,0.4841,Liberal Party of Canada,Lawyer,,1,1,,,,,,,,,,,,,2,1,1,1,2,1,9,9,9,1,1,9,9,9,9,1,1
702,ST. JOHN--ALBERT,New Brunswick,1914 - 1966,25,1962.06.18,317,175a30ca-697f-4e88-925e-3ffebf19ea5f,"BELL, Thomas M.",22586,0.5177,Progressive Conservative Party,"Barrister, lawyer",,0,4,,,1,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
336,KING'S,Prince Edward Island,1892 - 1966,25,1962.06.18,323,178367d4-befe-498d-adb1-6b69d2fff5de,"MACDONALD, Margaret Mary",4548,0.4839,Progressive Conservative Party,"Secretary, teacher",,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,9,1,1,2,2
1253,ST. BONIFACE,Manitoba,1952 - 1996,25,1962.06.18,325,1792c581-80bc-4163-a582-1b384f53ab67,"TEILLET, Roger-J.",12084,0.3794,Liberal Party of Canada,"Business manager, businessman, insurance agent, manager",,1,1,,,,,,,,,,,,,2,1,1,1,2,9,2,2,1,1,1,9,9,9,2,1,1
433,MEGANTIC,Quebec,1947 - 1966,25,1962.06.18,335,184bb42b-3d9a-445d-a741-c2acec461ffd,"LANGLOIS, Raymond",15395,0.5341,Social Credit,Professor,,1,1,,,,,,,,,,,,,1,2,2,2,1,1,1,1,1,9,9,2,9,9,2,9,9
