Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H26S1V001,H26S1V002,H26S1V003,H26S1V004,H26S1V005,H26S1V006,H26S1V007,H26S1V008,H26S1V009,H26S1V010,H26S1V011,H26S1V012,H26S1V013,H26S1V014,H26S1V015,H26S1V016,H26S1V017,H26S1V018,H26S1V019,H26S1V020,H26S1V021,H26S1V022,H26S1V023,H26S1V024,H26S1V025,H26S1V026,H26S1V027,H26S1V028,H26S1V029,H26S1V030,H26S1V031,H26S1V032,H26S1V033,H26S1V034,H26S1V035,H26S1V036,H26S1V037,H26S1V038,H26S1V039,H26S1V040,H26S1V041,H26S1V042,H26S1V043,H26S1V044,H26S1V045,H26S2V001,H26S2V002,H26S2V003,H26S2V004,H26S2V005,H26S2V006,H26S2V007,H26S2V008,H26S2V009,H26S2V010,H26S2V011,H26S2V012,H26S2V013,H26S2V014,H26S2V015,H26S2V016,H26S2V017,H26S2V018,H26S2V019,H26S2V020,H26S2V021,H26S2V022,H26S2V023,H26S2V024,H26S2V025,H26S2V026,H26S2V027,H26S2V028,H26S2V029,H26S2V030,H26S2V031,H26S2V032,H26S2V033,H26S2V034,H26S2V035,H26S2V036,H26S2V037,H26S2V038,H26S2V039,H26S2V040,H26S2V041,H26S2V042,H26S2V043,H26S2V044,H26S2V045,H26S2V046,H26S2V047,H26S2V048,H26S2V049,H26S2V050,H26S2V051,H26S2V052,H26S2V053,H26S2V054,H26S2V055,H26S2V056,H26S2V057,H26S2V058,H26S3V001,H26S3V002,H26S3V003,H26S3V004,H26S3V005,H26S3V006,H26S3V007,H26S3V008,H26S3V009,H26S3V010,H26S3V011,H26S3V012,H26S3V013,H26S3V014,H26S3V015,H26S3V016,H26S3V017,H26S3V018,H26S3V019,H26S3V020,H26S3V021
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,05.21.1963,05.23.1963,06.05.1963,06.17.1963,06.24.1963,06.26.1963,06.26.1963,07.02.1963,07.02.1963,07.11.1963,07.23.1963,07.29.1963,07.30.1963,08.02.1963,08.02.1963,10.01.1963,10.01.1963,10.02.1963,10.07.1963,10.09.1963,10.09.1963,10.11.1963,10.15.1963,10.15.1963,10.17.1963,10.18.1963,10.18.1963,10.21.1963,10.22.1963,10.23.1963,10.28.1963,10.29.1963,10.29.1963,10.29.1963,10.30.1963,11.05.1963,11.05.1963,11.07.1963,11.12.1963,11.12.1963,11.13.1963,11.29.1963,12.03.1963,12.04.1963,12.12.1963,02.21.1964,02.24.1964,02.25.1964,02.25.1964,02.27.1964,02.27.1964,03.04.1964,03.19.1964,03.20.1964,03.24.1964,04.06.1964,04.07.1964,04.21.1964,05.01.1964,05.05.1964,05.05.1964,05.14.1964,05.26.1964,05.28.1964,06.04.1964,06.05.1964,06.18.1964,06.19.1964,06.19.1964,07.16.1964,07.20.1964,07.24.1964,08.17.1964,08.17.1964,09.01.1964,09.03.1964,09.08.1964,09.17.1964,09.28.1964,09.29.1964,10.29.1964,11.12.1964,11.18.1964,12.03.1964,12.08.1964,12.09.1964,12.10.1964,12.14.1964,12.14.1964,12.14.1964,12.14.1964,12.17.1964,12.17.1964,12.17.1964,12.17.1964,02.24.1965,03.09.1965,03.26.1965,03.29.1965,03.29.1965,03.29.1965,03.29.1965,03.30.1965,04.07.1965,04.09.1965,04.12.1965,04.12.1965,04.13.1965,04.29.1965,04.29.1965,05.03.1965,05.03.1965,05.05.1965,05.05.1965,05.07.1965,05.11.1965,05.17.1965,05.18.1965,06.03.1965,06.04.1965,06.11.1965,06.22.1965,06.22.1965,06.28.1965
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ACADIA,Alberta,1924 - 1966,26,1963.04.08,2,00163189-b2e2-4300-9100-81f7d68a7930,"HORNER, Jack H.",10616,0.5186,Progressive Conservative Party,"Farmer, rancher",,0,3,,,,,,,,,,,,,1,1,9,2,1,2,2,9,9,9,2,9,9,9,9,2,9,1,2,1,1,9,9,9,1,1,2,1,1,2,9,1,2,1,1,1,1,9,9,9,9,9,1,2,1,1,1,1,1,2,1,2,2,2,9,9,1,9,9,2,1,9,1,2,9,9,1,1,2,9,1,9,9,9,1,1,1,9,2,1,2,2,9,9,1,1,1,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,1,1,1,2,2,1,9,1,2,2,9,9,9,9,9,9,9,9,2,9
675,SELKIRK,Manitoba,1871 - 1976,26,1963.04.08,8,0121a695-494e-4869-8cc3-e6a46388c899,"STEFANSON, Eric",10096,0.5058,Progressive Conservative Party,"Insurance agent, merchant",,0,3,,,,,,,,,,,,,1,1,2,9,1,2,2,1,1,1,9,1,2,1,1,2,1,1,2,1,1,9,2,1,1,1,2,1,1,2,9,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,2,2,1,9,1,1,2,2,1,1,1,2,1,1,1,1,2,9,1,1,2,2,1,9,1,9,9,9,2,9,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,9,1,9,1,1,9,9,2,2,1
49,BERTHIER--MASKINONGE--DELANAUDIERE,Quebec,1952 - 1966,26,1963.04.08-1965.02.17,9,01245d17-8749-4393-a294-c31fbd956d8b,"PAUL, Remi",8471,0.4157,Progressive Conservative Party,Lawyer,,1,3,1,,,1,,,,,,,,,1,1,9,9,1,2,2,9,9,1,2,1,2,9,9,2,1,1,9,1,1,9,2,1,9,1,2,9,1,2,9,1,2,1,1,1,1,1,9,9,9,9,9,9,1,9,1,1,1,2,1,2,2,2,9,9,9,1,2,2,9,1,1,2,1,9,1,1,9,2,2,2,9,9,2,9,1,9,9,1,2,9,1,2,2,2,2,1,2,9,1,2,9,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
49,BERTHIER--MASKINONGE--DELANAUDIERE,Quebec,1952 - 1966,26,1965.02.18-,9.1,01245d17-8749-4393-a294-c31fbd956d8b,"PAUL, Remi",8471,0.4157,Independent,Lawyer,,1,3,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,1,9,2,1,1,1,2,2,2,9,9,9,2,1,2,2,1,1,1,9,1,9,9,1,9,2,1,2
466,MOOSE JAW--LAKE CENTRE,Saskatchewan,1952 - 1966,26,1963.04.08,24,027c5b6d-20e5-4745-aeac-691ab4f89809,"PASCOE, J. Ernest",20958,0.5478,Progressive Conservative Party,"Farmer, grain grower, journalist",,0,3,,,,,,,,,,,,,1,1,2,2,1,2,2,1,1,9,2,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,2,2,1,9,9,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,9,9,1,1,9,2,2,1,9,2,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,9,1,9,9,1,2,2,2,2,1
225,FRASER VALLEY,British Columbia,1919 - 1966,26,1963.04.08,39,03bdeb92-5e2c-42ef-87e7-af2178b73f74,"PATTERSON, Alex B.",11500,0.3011,Social Credit,Minister,,0,4,,,,,,,,,,,,,2,2,1,1,2,1,9,9,9,2,1,1,1,9,9,1,9,2,1,1,1,1,1,2,2,9,9,9,9,1,1,2,9,9,2,2,2,9,9,9,9,9,1,9,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,9,9,9,9,9,9,2,1,1,2,1,9,9,9,9,1,2,9,9,9,2,2,2,1,2,1,2,2,1,1,2,1,2,1,9,9,9,9,9,2,2,1,1,2,1,1,2,1,2,1,1,1,2,2,2,2,1,1,2,1,9
561,PORTAGE--NEEPAWA,Manitoba,1947 - 1966,26,1963.04.08,40,03cab084-4b6e-4ac1-bdb6-88f6666817e5,"ENNS, Sig J.",12532,0.5055,Progressive Conservative Party,Social worker,,0,2,,,,,,,,,Russia,,,,1,1,9,2,9,9,2,9,9,1,9,9,9,9,9,2,9,1,9,1,1,9,2,1,9,9,9,9,9,9,9,1,2,1,1,1,1,1,9,9,9,9,1,2,1,1,9,9,1,2,1,9,9,2,1,9,1,1,9,9,9,9,1,9,1,1,1,9,9,9,9,9,9,9,1,9,9,9,9,9,2,9,1,1,9,1,1,2,1,9,2,2,1,1,1,9,2,9,9,9,9,9,1,9,9,1,1,2,9,9,2,1,2,2,9,1,9,9,9,9,9,9,9,9
