Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H28S1V001,H28S1V002,H28S1V003,H28S1V004,H28S1V005,H28S1V006,H28S1V007,H28S1V008,H28S1V009,H28S1V010,H28S1V011,H28S1V012,H28S1V013,H28S1V014,H28S1V015,H28S1V016,H28S1V017,H28S1V018,H28S1V019,H28S1V020,H28S1V021,H28S1V022,H28S1V023,H28S1V024,H28S1V025,H28S1V026,H28S1V027,H28S1V028,H28S1V029,H28S1V030,H28S1V031,H28S1V032,H28S1V033,H28S1V034,H28S1V035,H28S1V036,H28S1V037,H28S1V038,H28S1V039,H28S1V040,H28S1V041,H28S1V042,H28S1V043,H28S1V044,H28S1V045,H28S1V046,H28S1V047,H28S1V048,H28S1V049,H28S1V050,H28S1V051,H28S1V052,H28S1V053,H28S1V054,H28S1V055,H28S1V056,H28S1V057,H28S1V058,H28S1V059,H28S1V060,H28S1V061,H28S1V062,H28S1V063,H28S1V064,H28S1V065,H28S1V066,H28S1V067,H28S1V068,H28S1V069,H28S1V070,H28S1V071,H28S1V072,H28S1V073,H28S1V074,H28S1V075,H28S1V076,H28S1V077,H28S1V078,H28S1V079,H28S1V080,H28S1V081,H28S1V082,H28S1V083,H28S1V084,H28S2V001,H28S2V002,H28S2V003,H28S2V004,H28S2V005,H28S2V006,H28S2V007,H28S2V008,H28S2V009,H28S2V010,H28S2V011,H28S2V012,H28S2V013,H28S2V014,H28S2V015,H28S2V016,H28S2V017,H28S2V018,H28S2V019,H28S2V020,H28S2V021,H28S2V022,H28S2V023,H28S2V024,H28S2V025,H28S2V026,H28S2V027,H28S2V028,H28S2V029,H28S2V030,H28S2V031,H28S2V032,H28S2V033,H28S2V034,H28S2V035,H28S2V036,H28S2V037,H28S2V038,H28S2V039,H28S2V040,H28S2V041,H28S2V042,H28S2V043,H28S2V044,H28S2V045,H28S2V046,H28S2V047,H28S2V048,H28S2V049,H28S2V050,H28S2V051,H28S2V052,H28S2V053,H28S2V054,H28S2V055,H28S2V056,H28S2V057,H28S2V058,H28S2V059,H28S2V060,H28S2V061,H28S2V062,H28S2V063,H28S2V064,H28S2V065,H28S2V066,H28S2V067,H28S2V068,H28S2V069,H28S2V070,H28S2V071,H28S2V072,H28S2V073,H28S2V074,H28S2V075,H28S2V076,H28S2V077,H28S2V078,H28S3V001,H28S3V002,H28S3V003,H28S3V004,H28S3V005,H28S3V006,H28S3V007,H28S3V008,H28S3V009,H28S3V010,H28S3V011,H28S3V012,H28S3V013,H28S3V014,H28S3V015,H28S3V016,H28S3V017,H28S3V018,H28S3V019,H28S3V020,H28S3V021,H28S3V022,H28S3V023,H28S3V024,H28S3V025,H28S3V026,H28S3V027,H28S3V028,H28S3V029,H28S3V030,H28S3V031,H28S3V032,H28S3V033,H28S3V034,H28S3V035,H28S3V036,H28S3V037,H28S3V038,H28S3V039,H28S3V040,H28S3V041,H28S3V042,H28S3V043,H28S3V044,H28S3V045,H28S3V046,H28S3V047,H28S3V048,H28S3V049,H28S3V050,H28S3V051,H28S3V052,H28S3V053,H28S3V054,H28S3V055,H28S3V056,H28S3V057,H28S3V058,H28S3V059,H28S3V060,H28S3V061,H28S3V062,H28S3V063,H28S3V064,H28S3V065,H28S3V066,H28S3V067,H28S3V068,H28S3V069,H28S3V070,H28S3V071,H28S3V072,H28S3V073,H28S3V074,H28S3V075,H28S3V076,H28S3V077,H28S3V078,H28S3V079,H28S3V080,H28S3V081,H28S3V082,H28S3V083,H28S3V084,H28S3V085,H28S3V086,H28S3V087,H28S3V088,H28S3V089,H28S3V090,H28S3V091,H28S3V092,H28S3V093,H28S3V094,H28S3V095,H28S3V096,H28S3V097,H28S3V098,H28S3V099,H28S3V100,H28S3V101,H28S3V102,H28S3V103,H28S3V104,H28S3V105,H28S3V106,H28S3V107,H28S3V108,H28S3V109,H28S3V110,H28S3V111,H28S3V112,H28S3V113,H28S3V114,H28S3V115,H28S3V116,H28S3V117,H28S3V118,H28S3V119,H28S3V120,H28S3V121,H28S3V122,H28S3V123,H28S3V124,H28S3V125,H28S3V126,H28S3V127,H28S3V128,H28S3V129,H28S3V130,H28S3V131,H28S3V132,H28S3V133,H28S3V134,H28S3V135,H28S3V136,H28S3V137,H28S3V138,H28S3V139,H28S3V140,H28S3V141,H28S3V142,H28S3V143,H28S3V144,H28S3V145,H28S3V146,H28S3V147,H28S3V148,H28S3V149,H28S4V001,H28S4V002,H28S4V003,H28S4V004,H28S4V005,H28S4V006,H28S4V007,H28S4V008,H28S4V009,H28S4V010,H28S4V011,H28S4V012,H28S4V013,H28S4V014,H28S4V015,H28S4V016,H28S4V017,H28S4V018,H28S4V019,H28S4V020,H28S4V021,H28S4V022,H28S4V023,H28S4V024,H28S4V025,H28S4V026,H28S4V027,H28S4V028,H28S4V029,H28S4V030,H28S4V031,H28S4V032,H28S4V033,H28S4V034,H28S4V035,H28S4V036,H28S4V037,H28S4V038,H28S4V039,H28S4V040,H28S4V041,H28S4V042,H28S4V043,H28S4V044,H28S4V045,H28S4V046,H28S4V047,H28S4V048,H28S4V049
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,09.17.1968,09.19.1968,09.19.1968,10.24.1968,10.24.1968,10.28.1968,10.28.1968,10.31.1968,10.31.1968,11.05.1968,11.06.1968,11.07.1968,11.26.1968,12.12.1968,01.30.1969,01.30.1969,02.03.1969,02.03.1969,02.10.1969,02.12.1969,02.12.1969,02.20.1969,02.20.1969,02.26.1969,03.24.1969,03.25.1969,03.25.1969,04.15.1969,04.22.1969,04.22.1969,04.22.1969,04.22.1969,04.22.1969,04.22.1969,04.24.1969,04.24.1969,04.24.1969,04.28.1969,04.28.1969,04.30.1969,04.30.1969,05.01.1969,05.01.1969,05.02.1969,05.05.1969,05.05.1969,05.08.1969,05.08.1969,05.09.1969,05.09.1969,05.09.1969,05.14.1969,05.14.1969,05.15.1969,05.15.1969,05.27.1969,06.03.1969,06.04.1969,06.05.1969,06.10.1969,06.12.1969,06.12.1969,06.13.1969,06.13.1969,06.26.1969,06.26.1969,06.27.1969,06.27.1969,06.27.1969,06.27.1969,07.03.1969,07.03.1969,07.03.1969,07.03.1969,07.03.1969,07.04.1969,07.04.1969,07.04.1969,07.23.1969,07.23.1969,07.24.1969,07.24.1969,07.24.1969,10.22.1969,10.27.1969,10.29.1969,10.29.1969,10.31.1969,11.13.1969,11.13.1969,11.18.1969,11.18.1969,11.19.1969,11.24.1969,12.04.1969,12.08.1969,12.08.1969,12.08.1969,12.11.1969,12.15.1969,12.16.1969,12.16.1969,12.17.1969,12.18.1969,12.18.1969,01.20.1970,01.20.1970,01.28.1970,01.29.1970,02.04.1970,02.09.1970,02.09.1970,02.09.1970,02.18.1970,02.18.1970,02.18.1970,02.25.1970,02.26.1970,02.26.1970,03.03.1970,03.04.1970,03.04.1970,03.05.1970,03.10.1970,03.17.1970,03.18.1970,03.19.1970,03.20.1970,03.20.1970,03.20.1970,03.20.1970,04.09.1970,04.09.1970,04.13.1970,04.21.1970,04.21.1970,04.22.1970,05.04.1970,05.05.1970,05.14.1970,05.21.1970,05.28.1970,06.03.1970,06.03.1970,06.03.1970,06.03.1970,06.03.1970,06.03.1970,06.04.1970,06.10.1970,06.11.1970,06.16.1970,06.18.1970,06.18.1970,06.18.1970,06.18.1970,06.22.1970,06.22.1970,06.22.1970,10.05.1970,10.05.1970,10.06.1970,10.13.1970,10.15.1970,10.15.1970,10.19.1970,10.29.1970,10.29.1970,10.29.1970,10.29.1970,10.29.1970,11.05.1970,11.13.1970,11.18.1970,11.19.1970,11.19.1970,11.24.1970,11.25.1970,11.25.1970,11.26.1970,12.01.1970,12.08.1970,12.14.1970,12.15.1970,12.15.1970,12.15.1970,12.17.1970,12.17.1970,12.18.1970,01.19.1971,01.21.1971,02.4.1971,02.11.1971,02.18.1971,02.25.1971,02.25.1971,03.01.1971,03.01.1971,03.02.1971,03.04.1971,03.10.1971,03.10.1971,03.11.1971,03.11.1971,03.15.1971,03.15.1971,03.17.1971,03.17.1971,03.17.1971,03.17.1971,03.23.1971,03.23.1971,03.23.1971,03.23.1971,03.23.1971,03.23.1971,03.24.1971,03.25.1971,04.06.1971,04.06.1971,04.22.1971,04.23.1971,04.26.1971,05.03.1971,05.06.1971,05.12.1971,05.12.1971,05.26.1971,05.26.1971,06.01.1971,06.01.1971,06.02.1971,06.02.1971,06.08.1971,06.08.1971,06.08.1971,06.08.1971,06.08.1971,06.08.1971,06.08.1971,06.08.1971,06.09.1971,06.10.1791,06.14.1971,06.14.1971,06.14.1971,06.14.1971,06.14.1971,06.14.1971,06.14.1971,06.16.1971,06.16.1971,06.17.1971,06.17.1971,06.17.1971,06.17.1971,06.17.1971,06.17.1971,06.21.1971,06.21.1971,06.21.1971,06.21.1971,06.21.1971,06.23.1971,06.28.1971,06.30.1971,09.10.1971,09.10.1971,09.21.1971,09.22.1971,09.23.1971,09.23.1971,09.27.1971,09.28.1971,09.28.1971,09.28.1971,09.29.1971,09.29.1971,10.04.1971,10.06.1971,10.06.1971,10.07.1971,10.15.1971,11.04.1971,11.04.1971,11.16.1971,12.02.1971,12.09.1971,12.09.1971,12.13.1971,12.13.1971,12.14.1971,12.16.1971,12.17.1971,12.17.1971,12.23.1971,12.28.1971,12.30.1971,12.30.1971,12.30.1971,12.30.1971,12.30.1971,12.30.1971,12.30.1971,12.30.1971,12.30.1971,12.30.1971,12.30.1971,12.30.1971,12.30.1971,12.31.1971,02.21.1972,02.23.1972,02.23.1972,02.28.1972,03.07.1972,03.07.1972,03.20.1972,03.23.1972,03.23.1972,04.18.1972,04.24.1972,04.24.1972,04.27.1972,04.27.1972,05.10.1972,05.10.1972,05.10.1972,05.15.1972,05.17.1972,05.24.1972,05.25.1972,06.01.1972,06.01.1972,06.06.1972,06.07.1972,06.08.1972,06.08.1972,06.08.1972,06.13.1972,06.22.1972,06.22.1972,06.22.1972,06.22.1972,06.22.1972,06.22.1972,06.22.1972,06.22.1972,06.22.1972,06.22.1972,06.22.1972,06.22.1972,06.23.1972,06.27.1972,06.27.1972,06.28.1972,06.30.1972,06.30.1972,06.30.1972,07.07.1972
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,CROWFOOT,Alberta,1966 - ,28,1968.06.25,2,00163189-b2e2-4300-9100-81f7d68a7930,"HORNER, Jack H.",16508,0.7345,Progressive Conservative Party,"Farmer, rancher",,0,5,,,,,,,,,,,,,1,9,9,1,2,1,2,1,2,9,9,1,9,9,9,9,9,2,9,1,1,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,2,1,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,1,2,1,1,2,1,1,1,1,1,1,1,1,1,9,1,2,1,2,9,9,2,1,1,1,1,9,9,1,9,1,9,9,9,1,9,9,9,9,9,9,9,9,2,1,9,9,9,9,1,1,2,1,2,9,1,1,2,1,1,1,1,9,9,9,9,9,9,9,9,9,9,1,9,9,1,9,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,9,9,9,1,1,1,9,9,9,1,9,9,9,9,9,9,9,1,1,2,9,1,2,1,1,9,1,9,9,9,1,1,9,1,9,9,9,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,9,9,2,9,1,1,1,1,1,9,9,9,9,1,2,2,2,2,2,1,2,2,1,9,9,9,9,9,9,9,2,1,2,1,1,1,1,2,2,1,1,2,1,9,1,2,9,9,1,2,1,1,9,9,9,9,9,9,1,1,1,1,1,2,1,9,2,9,9,1,1,2,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,1,1,9,1,1,9,1,1,1,1,2,1,1,9,2,1,1,1,1,9,1,2,2,1,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9
574,PROVENCHER,Manitoba,1871 - ,28,1968.06.25,13,01910c0a-6107-4f65-8d0e-b9b7034d4813,"SMERCHANSKI, Mark G.",9021,0.4164,Liberal Party of Canada,"Geologist, mining entrepreneur, professional engineer, professor of engineering",,0,1,,,,,,,,,,,,,2,2,2,2,1,9,9,2,1,2,2,2,2,9,2,2,2,1,9,2,2,9,9,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,9,9,9,9,9,9,9,9,2,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,9,9,9,9,9,9,9,9,2,9,9,9,9,2,2,2,2,2,9,2,9,9,9,2,9,2,2,2,9,9,2,2,1,2,2,9,9,9,9,9,9,2,9,9,2,2,1,9,9,2,2,9,9,9,9,9,9,9,9,2,2,1,9,2,2,9,2,9,9,9,9,9,9,9,2,2,9,1,1,1,1,9,9,9,2,2,1,9,2,2,9,9,9,9,9,9,9,9,2,2,1,9,2,2,2,9,2,9,9,9,9,9,9,9,2,2,2,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,2,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,2,2,9,9,9,1,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,9,9,9
9,ALGOMA,Ontario,1966 - 1997,28,1968.06.25,51,04c88469-fd47-40e9-b8ad-fbb8a173dcb9,"FOSTER, Maurice",9542,0.5057,Liberal Party of Canada,Veterinarian,,0,1,,,,,,,,,,,,,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,1,1,9,9,9,9,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,9,9,9,2,1,2,2,1,9,9,9,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,9,9,9,9,9,9,2,2,9,9,9,1,2,2,2,2,2,2,9,2,2,9,9,9,9,2,2,2,2,2,2,2,2,9,9,9,2,1,2,2,9,9,9,2,2,2,2,2,2,1,2,2,1,2,2,2,9,9,2,2,2,2,2,2,2,2,9,2,9,9,9,9,2,1,1,9,9,1,9,2,2,1,2,2,2,2,2,1,9,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,9,2,1,9,2,2,9,9,2,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,2,2,2,2,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,2,2,2,2,1,9,9,9,9,9,2,2,1,2,1,9,9,9,9,2,2,9,9,2,2,2,2,2,2,9,2,2,2,1,1,1,2,2,1,2,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,9,9,9,1,2,2,2,1,2,2,1,2,2,2,9,9,9,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,9,2,2,2,2,9
604,RESTIGOUCHE,New Brunswick,1966 - 1989,28,1968.06.25,72,05f27042-0864-4a1d-9615-33d1398ba07b,"DUBE, Jean-Eudes",9991,0.5109,Liberal Party of Canada,"Barrister, lawyer",,1,4,,1,,,,,,,,,,,2,2,2,2,1,9,9,2,1,9,9,2,2,9,2,2,2,1,9,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,2,2,9,9,2,2,2,2,2,9,9,9,2,1,2,2,1,2,1,1,2,2,1,9,2,9,9,2,2,2,2,2,2,2,2,2,9,9,9,2,2,1,2,1,2,2,2,2,2,2,2,9,9,2,9,2,1,2,2,2,2,2,2,2,9,9,9,9,9,9,2,2,2,2,9,9,9,2,2,9,2,9,9,9,2,2,2,2,9,9,9,9,2,2,9,2,2,1,9,9,9,9,2,2,2,2,2,2,2,9,2,9,2,9,9,9,9,9,9,9,9,9,1,2,2,2,1,2,2,2,2,2,9,2,9,2,1,9,2,2,2,1,9,2,9,9,9,2,9,2,2,9,2,1,2,2,2,2,2,2,2,9,9,9,9,2,1,2,2,2,2,9,9,9,9,9,9,2,1,2,1,9,2,1,9,2,2,2,2,2,9,9,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,9,9,9,2,1,2,2,2,2,2,2,2,9,2,1,2,2,2,2,9,2,9,9,2,2,9,2,2,2,9,2,2,9,1,1,1,9,9,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,9,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,2,9,9,9,9
36,BEAUCE,Quebec,1867 - ,28,1968.06.25,78,06b05986-f2b1-461f-b704-e3d8cf6cfe80,"RODRIGUE, Romuald",13428,0.4747,Ralliement Creditiste,"Accountant, administrator, manager",,1,1,,,,,,,,,,,,,1,1,9,9,9,9,9,9,9,1,1,1,1,1,1,1,9,9,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,9,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2,9,2,2,2,2,1,1,2,1,2,9,9,1,1,1,9,9,1,1,1,9,9,2,1,1,9,9,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,9,9,9,9,9,2,1,1,1,1,1,1,9,9,9,9,9,9,2,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,9,9,9,9,9,2,1,1,9,9,1,1,1,1,2,9,9,1,1,2,1,1,1,1,2,1,9,9,9,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,1,2,1,2,1,9,2,2,1,1,1,1,1,1,1,2,2,1,9,9,9,9,9,9,9,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,9,9,9,9,9,9,1,2,1,2,2,2,2,1,1,1,2,1,1,1,2,2,2,9,9,2,1,1,2,9,9,2,1,1,1,1,1,1,1,1,1,1,9,9,9,1,1,1,1,1,1,9,1,1,1,9,9,1,1,2,1,1,1,1,1,9,1,9,2,1,1,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,9,1,1,1,9,9,9,9
483,NIAGARA FALLS,Ontario,1952 - ,28,1968.06.25,81,06e93f09-b544-450d-a6ff-b7e13cb6e920,"GREENE, Joe",17183,0.5073,Liberal Party of Canada,Lawyer,,0,3,,1,,,,,,,,,,,2,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,1,9,9,9,9,2,9,9,9,9,9,9,2,2,2,2,9,2,2,2,9,9,1,2,1,2,9,9,9,9,2,2,9,9,9,2,9,1,9,9,9,2,2,2,2,9,9,9,9,9,9,2,9,9,9,2,2,2,9,2,9,9,9,9,2,2,2,9,2,9,9,9,9,2,2,1,9,9,9,9,2,2,9,9,2,2,2,2,2,2,2,9,9,2,9,9,9,9,9,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,9,2,1,2,2,9,9,9,2,2,2,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
203,EGLINTON,Ontario,1933 - 1976,28,1968.06.25,135,0ae975c1-8187-4ab9-b0ff-dfe9da639543,"SHARP, Mitchell",23215,0.5924,Liberal Party of Canada,"Businessman, economist",,0,3,,1,,,,,,,,,,,2,9,9,2,1,2,1,2,1,9,9,9,2,2,2,2,2,9,2,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,2,2,1,2,2,2,2,2,2,2,9,9,2,2,2,2,2,2,1,2,2,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,9,9,9,9,2,2,1,2,1,2,9,9,9,9,9,9,9,9,2,2,9,1,2,2,2,2,2,2,2,2,9,9,9,1,2,9,9,9,9,2,2,2,2,2,9,9,9,9,2,2,2,2,2,9,9,9,9,2,2,9,2,2,1,9,2,2,2,9,9,9,9,9,9,9,9,2,9,2,1,1,1,1,9,9,9,2,2,1,9,2,2,1,9,9,9,9,9,1,9,2,9,9,9,2,2,9,9,2,2,9,2,2,2,2,2,2,2,2,1,2,2,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,1,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,1,1,2,9,9,9,2,1,9,9,9,9,9,2,9,1,2,1,9,9,2,2,9,9,9,9,9,9,2,2,2,9,2,2,2,2,1,9,9,9,9,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,9,2,2,1,2,2,2,1,2,2,2,2,2,2,9,9,9,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,9,2,2,2,9
