Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H31S1V001,H31S1V002,H31S1V003,H31S1V004,H31S1V005,H31S1V006,H31S1V007,H31S1V008
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.09.1979,10.11.1979,10.15.1979,10.25.1979,11.06.1979,12.04.1979,12.10.1979,12.13.1979
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,
226,FRASER VALLEY EAST,British Columbia,1966 - 1996,31,1979.05.22,39,03bdeb92-5e2c-42ef-87e7-af2178b73f74,"PATTERSON, Alex",24363,0.5707,Progressive Conservative Party,Minister,,0,8,,,,,,,,,,,,,2,2,2,2,2,1,1,2
9,ALGOMA,Ontario,1966 - 1997,31,1979.05.22,51,04c88469-fd47-40e9-b8ad-fbb8a173dcb9,"FOSTER, Maurice",15277,0.4504,Liberal Party of Canada,Veterinarian,,0,4,,,,,,,,,,,,,2,2,1,1,1,2,2,1
156,COMOX--POWELL RIVER,British Columbia,1976 - 1987,31,1979.05.22,77,0662e97c-31c7-492e-ba34-622d26c31084,"SKELLY, Ray",22075,0.4428,New Democratic Party,Teacher,,0,1,,,,,,,,,,,,,9,1,1,1,1,9,2,1
431,MEDICINE HAT,Alberta,1907 - ,31,1979.05.22,84,074c5f79-285c-48cd-b661-069bf3c4d46f,"HARGRAVE, Bert",28893,0.7225,Progressive Conservative Party,Rancher,,0,3,,,1,,,,,,,,,,2,2,2,2,2,1,1,2
236,GATINEAU,Quebec,1947 - 1987,31,1979.05.22,85,074d431a-8e54-406a-b491-8414d671c4da,"COUSINEAU, Rene",34234,0.7189,Liberal Party of Canada,"Developer, notary, professor of notary law",,1,1,,,,,,,,,,,,,2,2,1,9,1,2,2,1
577,QU'APPELLE--MOOSE MOUNTAIN,Saskatchewan,1966 - 1987,31,1979.05.22,87,074f5c93-b513-42b6-9ad6-39c7c659fcf4,"HAMILTON, Alvin",16023,0.5383,Progressive Conservative Party,Teacher,,0,8,,,,,,,,,,,,,2,2,2,9,2,1,1,9
143,CHICOUTIMI,Quebec,1924 - 2000,31,1979.05.22,129,0a97b26d-233b-4a37-8f21-9f37b6a07822,"DIONNE, Marcel",16605,0.4946,Liberal Party of Canada,Businessman,,1,1,,,,,,,,,,,,,2,2,1,1,1,2,9,1
100,CALGARY EAST,Alberta,1976 - 1987,31,1979.05.22,145,0ba93196-a461-472a-84ac-f56fffe4fc2a,"KUSHNER, John",28320,0.6088,Progressive Conservative Party,Security officer,,0,1,,,,,,,,,Poland,,,,2,2,2,2,2,1,1,2
473,NANAIMO--ALBERNI,British Columbia,1976 - 1987,31,1979.05.22,162,0ccac6ee-dfdf-455d-a321-955696e7b3f1,"MILLER, Ted",21304,0.4398,New Democratic Party,"Guidance counsellor, teacher",,0,1,,,,,,,,,,,,,2,1,1,9,1,2,2,1
