Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H39S1V001,H39S1V002,H39S1V003,H39S1V004,H39S1V005,H39S1V006,H39S1V007,H39S1V008,H39S1V009,H39S1V010,H39S1V011,H39S1V012,H39S1V013,H39S1V014,H39S1V015,H39S1V016,H39S1V017,H39S1V018,H39S1V019,H39S1V020,H39S1V021,H39S1V022,H39S1V023,H39S1V024,H39S1V025,H39S1V026,H39S1V027,H39S1V028,H39S1V029,H39S1V030,H39S1V031,H39S1V032,H39S1V033,H39S1V034,H39S1V035,H39S1V036,H39S1V037,H39S1V038,H39S1V039,H39S1V040,H39S1V041,H39S1V042,H39S1V043,H39S1V044,H39S1V045,H39S1V046,H39S1V047,H39S1V048,H39S1V049,H39S1V050,H39S1V051,H39S1V052,H39S1V053,H39S1V054,H39S1V055,H39S1V056,H39S1V057,H39S1V058,H39S1V059,H39S1V060,H39S1V061,H39S1V062,H39S1V063,H39S1V064,H39S1V065,H39S1V066,H39S1V067,H39S1V068,H39S1V069,H39S1V070,H39S1V071,H39S1V072,H39S1V073,H39S1V074,H39S1V075,H39S1V076,H39S1V077,H39S1V078,H39S1V079,H39S1V080,H39S1V081,H39S1V082,H39S1V083,H39S1V084,H39S1V085,H39S1V086,H39S1V087,H39S1V088,H39S1V089,H39S1V090,H39S1V091,H39S1V092,H39S1V093,H39S1V094,H39S1V095,H39S1V096,H39S1V097,H39S1V098,H39S1V099,H39S1V100,H39S1V101,H39S1V102,H39S1V103,H39S1V104,H39S1V105,H39S1V106,H39S1V107,H39S1V108,H39S1V109,H39S1V110,H39S1V111,H39S1V112,H39S1V113,H39S1V114,H39S1V115,H39S1V116,H39S1V117,H39S1V118,H39S1V119,H39S1V120,H39S1V121,H39S1V122,H39S1V123,H39S1V124,H39S1V125,H39S1V126,H39S1V127,H39S1V128,H39S1V129,H39S1V130,H39S1V131,H39S1V132,H39S1V133,H39S1V134,H39S1V135,H39S1V136,H39S1V137,H39S1V138,H39S1V139,H39S1V140,H39S1V141,H39S1V142,H39S1V143,H39S1V144,H39S1V145,H39S1V146,H39S1V147,H39S1V148,H39S1V149,H39S1V150,H39S1V151,H39S1V152,H39S1V153,H39S1V154,H39S1V155,H39S1V156,H39S1V157,H39S1V158,H39S1V159,H39S1V160,H39S1V161,H39S1V162,H39S1V163,H39S1V164,H39S1V165,H39S1V166,H39S1V167,H39S1V168,H39S1V169,H39S1V170,H39S1V171,H39S1V172,H39S1V173,H39S1V174,H39S1V175,H39S1V176,H39S1V177,H39S1V178,H39S1V179,H39S1V180,H39S1V181,H39S1V182,H39S1V183,H39S1V184,H39S1V185,H39S1V186,H39S1V187,H39S1V188,H39S1V189,H39S1V190,H39S1V191,H39S1V192,H39S1V193,H39S1V194,H39S1V195,H39S1V196,H39S1V197,H39S1V198,H39S1V199,H39S1V200,H39S1V201,H39S1V202,H39S1V203,H39S1V204,H39S1V205,H39S1V206,H39S1V207,H39S1V208,H39S1V209,H39S1V210,H39S1V211,H39S1V212,H39S1V213,H39S1V214,H39S1V215,H39S1V216,H39S1V217,H39S1V218,H39S1V219,H39S2V001,H39S2V002,H39S2V003,H39S2V004,H39S2V005,H39S2V006,H39S2V007,H39S2V008,H39S2V009,H39S2V010,H39S2V011,H39S2V012,H39S2V013,H39S2V014,H39S2V015,H39S2V016,H39S2V017,H39S2V018,H39S2V019,H39S2V020,H39S2V021,H39S2V022,H39S2V023,H39S2V024,H39S2V025,H39S2V026,H39S2V027,H39S2V028,H39S2V029,H39S2V030,H39S2V031,H39S2V032,H39S2V033,H39S2V034,H39S2V035,H39S2V036,H39S2V037,H39S2V038,H39S2V039,H39S2V040,H39S2V041,H39S2V042,H39S2V043,H39S2V044,H39S2V045,H39S2V046,H39S2V047,H39S2V048,H39S2V049,H39S2V050,H39S2V051,H39S2V052,H39S2V053,H39S2V054,H39S2V055,H39S2V056,H39S2V057,H39S2V058,H39S2V059,H39S2V060,H39S2V061,H39S2V062,H39S2V063,H39S2V064,H39S2V065,H39S2V066,H39S2V067,H39S2V068,H39S2V069,H39S2V070,H39S2V071,H39S2V072,H39S2V073,H39S2V074,H39S2V075,H39S2V076,H39S2V077,H39S2V078,H39S2V079,H39S2V080,H39S2V081,H39S2V082,H39S2V083,H39S2V084,H39S2V085,H39S2V086,H39S2V087,H39S2V088,H39S2V089,H39S2V090,H39S2V091,H39S2V092,H39S2V093,H39S2V094,H39S2V095,H39S2V096,H39S2V097,H39S2V098,H39S2V099,H39S2V100,H39S2V101,H39S2V102,H39S2V103,H39S2V104,H39S2V105,H39S2V106,H39S2V107,H39S2V108,H39S2V109,H39S2V110,H39S2V111,H39S2V112,H39S2V113,H39S2V114,H39S2V115,H39S2V116,H39S2V117,H39S2V118,H39S2V119,H39S2V120,H39S2V121,H39S2V122,H39S2V123,H39S2V124,H39S2V125,H39S2V126,H39S2V127,H39S2V128,H39S2V129,H39S2V130,H39S2V131,H39S2V132,H39S2V133,H39S2V134,H39S2V135,H39S2V136,H39S2V137,H39S2V138,H39S2V139,H39S2V140,H39S2V141,H39S2V142,H39S2V143,H39S2V144,H39S2V145,H39S2V146,H39S2V147,H39S2V148,H39S2V149,H39S2V150,H39S2V151,H39S2V152,H39S2V153,H39S2V154,H39S2V155,H39S2V156,H39S2V157,H39S2V158,H39S2V159,H39S2V160,H39S2V161
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,2006.05.08,2006.05.08,2006.05.08,2006.05.08,2006.05.09,2006.05.10,2006.05.16,2006.05.16,2006.05.17,2006.05.30,2006.06.05,2006.06.06,2006.06.06,2006.06.06,2006.06.07,2006.06.13,2006.06.13,2006.06.13,2006.06.13,2006.06.20,2006.06.20,2006.06.20,2006.06.20,2006.06.20,2006.06.21,2006.06.21,2006.06.21,2006.06.21,2006.06.21,2006.06.21,2006.06.21,2006.06.21,2006.09.19,2006.09.20,2006.09.27,2006.10.03,2006.10.04,2006.10.04,2006.10.04,2006.10.16,2006.10.16,2006.10.18,2006.10.18,2006.10.18,2006.10.18,2006.10.24,2006.10.24,2006.10.25,2006.10.25,2006.10.25,2006.10.25,2006.11.01,2006.11.01,2006.11.01,2006.11.07,2006.11.07,2006.11.07,2006.11.07,2006.11.07,2006.11.08,2006.11.08,2006.11.08,2006.11.08,2006.11.21,2006.11.21,2006.11.21,2006.11.21,2006.11.22,2006.11.22,2006.11.22,2006.11.22,2006.11.27,2006.11.27,2006.11.27,2006.11.28,2006.11.28,2006.11.28,2006.11.28,2006.12.04,2006.12.04,2006.12.04,2006.12.04,2006.12.04,2006.12.04,2006.12.04,2006.12.04,2006.12.04,2006.12.04,2006.12.04,2006.12.04,2006.12.05,2006.12.05,2006.12.06,2006.12.07,2006.12.12,2006.12.12,2007.01.31,2007.02.05,2007.02.06,2007.02.06,2007.02.06,2007.02.06,2007.02.06,2007.02.13,2007.02.13,2007.02.13,2007.02.13,2007.02.14,2007.02.14,2007.02.14,2007.02.14,2007.02.14,2007.02.14,2007.02.20,2007.02.20,2007.02.20,2007.02.20,2007.02.20,2007.02.21,2007.02.21,2007.02.21,2007.02.21,2007.02.21,2007.02.21,2007.02.27,2007.02.27,2007.02.27,2007.02.28,2007.03.20,2007.03.21,2007.03.21,2007.03.21,2007.03.21,2007.03.21,2007.03.21,2007.03.21,2007.03.22,2007.03.26,2007.03.27,2007.03.27,2007.03.28,2007.03.28,2007.03.28,2007.03.28,2007.03.28,2007.03.28,2007.03.28,2007.03.28,2007.03.28,2007.03.28,2007.03.28,2007.04.17,2007.04.17,2007.04.17,2007.04.17,2007.04.18,2007.04.18,2007.04.18,2007.04.18,2007.04.24,2007.04.24,2007.04.24,2007.04.25,2007.04.25,2007.04.25,2007.04.30,2007.05.01,2007.05.01,2007.05.02,2007.05.02,2007.05.02,2007.05.07,2007.05.07,2007.05.07,2007.05.07,2007.05.07,2007.05.07,2007.05.07,2007.05.07,2007.05.08,2007.05.08,2007.05.09,2007.05.09,2007.05.09,2007.05.15,2007.05.15,2007.05.15,2007.05.15,2007.05.15,2007.05.29,2007.05.29,2007.05.30,2007.05.30,2007.06.04,2007.06.05,2007.06.05,2007.06.06,2007.06.06,2007.06.07,2007.06.12,2007.06.12,2007.06.12,2007.06.13,2007.06.13,2007.06.13,2007.06.14,2007.06.18,2007.06.18,2007.06.19,2007.06.20,2007.06.20,2007.06.20,2007.06.20,2007.06.20,2007.06.20,2007.06.20,2007.06.20,2007.06.20,2007.06.20,2007.10.18,2007.10.22,2007.10.24,2007.10.24,2007.10.30,2007.10.30,2007.10.31,2007.11.14,2007.11.14,2007.11.20,2007.11.21,2007.11.21,2007.11.21,2007.11.26,2007.11.26,2007.11.28,2007.11.28,2007.11.28,2007.12.04,2007.12.05,2007.12.06,2007.12.06,2007.12.10,2007.12.10,2007.12.11,2007.12.12,2007.12.12,2007.12.12,2007.12.12,2007.12.13,2008.01.30,2008.02.04,2008.02.04,2008.02.05,2008.02.05,2008.02.05,2008.02.06,2008.02.06,2008.02.06,2008.02.12,2008.02.13,2008.02.13,2008.02.28,2008.03.03,2008.03.03,2008.03.03,2008.03.04,2008.03.05,2008.03.05,2008.03.05,2008.03.05,2008.03.05,2008.03.05,2008.03.05,2008.03.05,2008.03.05,2008.03.05,2008.03.05,2008.03.05,2008.03.05,2008.03.06,2008.03.10,2008.03.11,2008.03.12,2008.03.12,2008.03.12,2008.03.12,2008.03.12,2008.03.12,2008.03.12,2008.03.12,2008.03.12,2008.03.12,2008.03.13,2008.03.13,2008.03.13,2008.03.31,2008.04.01,2008.04.02,2008.04.02,2008.04.08,2008.04.08,2008.04.09,2008.04.09,2008.04.09,2008.04.09,2008.04.09,2008.04.10,2008.04.10,2008.04.16,2008.04.16,2008.04.16,2008.04.29,2008.05.01,2008.05.01,2008.05.06,2008.05.06,2008.05.06,2008.05.06,2008.05.06,2008.05.06,2008.05.06,2008.05.06,2008.05.06,2008.05.06,2008.05.07,2008.05.07,2008.05.07,2008.05.12,2008.05.14,2008.05.15,2008.05.26,2008.05.27,2008.05.28,2008.05.28,2008.05.28,2008.05.28,2008.05.29,2008.06.02,2008.06.02,2008.06.02,2008.06.03,2008.06.04,2008.06.04,2008.06.04,2008.06.04,2008.06.04,2008.06.04,2008.06.04,2008.06.04,2008.06.05,2008.06.05,2008.06.05,2008.06.05,2008.06.05,2008.06.05,2008.06.05,2008.06.05,2008.06.05,2008.06.05,2008.06.09,2008.06.09,2008.06.10,2008.06.10,2008.06.10,2008.06.10,2008.06.10,2008.06.10,2008.06.12,2008.06.12,2008.06.12,2008.06.12,2008.06.12,2008.06.12,2008.06.12,2008.06.12,2008.06.17,2008.06.18,2008.06.18,2008.06.18,2008.06.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,SCARBOROUGH SOUTHWEST,Ontario,1996 - ,39,2006.01.23,266,1378dadc-ab8f-4ee8-8a3a-0482a143b646,"WAPPEL, Tom",19930,0.4783,Liberal Party of Canada,parliamentarian,,0,6,,,,,,,,,,,,,2,1,1,1,1,9,2,1,1,1,2,9,9,9,9,1,1,9,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,9,1,1,1,9,9,9,9,9,9,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,9,9,9,9,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,1,1,1,1,9,1,2,1,1,2,2,2,1,9,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,9,9,1,1,2,1,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,2,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,9,9,2,1,9,9,9,1,1,1,9,9,9,9,9,1,1,9,2,1,1,1,1,1,9,9,9,1,1,1,1,9,9,9,1,1,1,1,1,9,9,9,9,1,9,2,1,9,9,2,9,9,9,2,2,2,1,1,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
961,SCARBOROUGH--AGINCOURT,Ontario,1987 - ,39,2006.01.23,318,176fea8a-f126-4725-b119-187ba46a9413,"KARYGIANNIS, Jim",28065,0.6259,Liberal Party of Canada,parliamentarian,,0,6,,,,,,,,,Greece,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,9,1,1,1,9,9,9,9,9,9,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,9,9,9,1,9,9,1,9,9,9,9,9,9,9,9,9,9,2,1,9,1,1,2,9,9,2,1,1,1,1,9,9,9,9,9,9,2,1,9,9,9,1,9,1,2,1,9,1,9,9,9,9,9,9,9,9,9,9,9,2,9,1,1,9,2,1,1,1,1,1,1,1,1,2,1,1,1,9,9,2,1,1,1,1,1,9,9,9,9,1,9,2,1,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1,2,2,2,2,2,2,2,2,1,1,1,1,9,2,2,9,9,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,1,1,2,2,9,9,9,9,9,9,1,1,1,1,1,1,1,2,9,9,9,9,9
342,KINGSTON AND THE ISLANDS,Ontario,1966 - ,39,2006.01.23,443,206ef0b1-261c-4ea0-98c2-e8fae2209e2e,"MILLIKEN, Peter",28548,0.4586,Liberal Party of Canada,parliamentarian,,0,6,,,,,,,,,,Speaker,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
911,LASALLE--EMARD,Quebec,1987 - ,39,2006.01.23,521,26693a66-0030-4b80-bea6-f9b33e39e158,"MARTIN, Paul",22751,0.4841,Liberal Party of Canada,parliamentarian,,0,6,,,,,,,,,,,,,2,1,1,1,1,2,1,1,9,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,1,1,1,2,1,1,1,1,1,9,9,9,9,9,9,1,1,2,1,1,9,9,9,9,1,2,1,1,1,1,1,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,2,2,1,1,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,1,2,1,1,2,2,2,1,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,1,1,9,9,9,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,1,2,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1026,LONDON NORTH CENTRE,Ontario,1997 - ,39,2006.01.23-2006.09.20,530,271b9d41-1d28-4ac0-8a43-39773260f1a0,"FONTANA, Joe",24109,0.4012,Liberal Party of Canada,parliamentarian,,0,6,,,,,,,,,Italy,"Resignation. Enters municipal politics in London, Ontario: 2006.09.20",,,2,1,1,1,1,2,2,1,2,1,9,2,1,1,1,1,1,1,1,9,9,9,9,9,2,2,2,1,1,2,1,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
1405,NEW BRUNSWICK SOUTHWEST,New Brunswick,2004 - ,39,2006.01.23,712,33fc6fb3-2ed8-4500-8aa0-30fe0fc13f01,"THOMPSON, Greg",18155,0.548,Conservative Party of Canada,parliamentarian,,0,5,,1,,,,,,,,,,,2,2,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,2,3,3,9,9,9,9,2,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,9,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1,9,1,1,9,1,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,9,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,3,9,9,1,2,2,2,2,2,2,2,2,1,2,2,1,3,2,9,1,2,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,9
962,SCARBOROUGH--ROUGE RIVER,Ontario,1987 - ,39,2006.01.23,718,343f8a28-17d8-4230-9774-2805e41a7395,"LEE, Derek",30285,0.6562,Liberal Party of Canada,parliamentarian,,0,6,,,,,,,,,,,,,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,9,9,9,9,1,2,1,1,1,9,9,9,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,9,9,9,2,1,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,9,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,2,2,2,9,9,9,1,1,1,9,2,2,2,2,2,2,2,2,1,1,2,1,9,1,1,2,9,9,2,1,1,1,1,2,1,1,2,1,9,9,1,1,9,9,1,9,1,2,1,9,1,9,9,9,9,9,9,9,9,9,1,1,2,9,1,1,9,2,1,1,1,1,1,1,1,1,2,1,1,1,1,9,2,1,1,1,1,1,9,9,9,9,9,9,2,1,1,2,2,1,1,1,2,2,2,1,1,1,9,9,9,9,9,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,9,2,2,1,2,1,1,1,1,2,9,9,9,1,2,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,9,2,2,2,1,2
