Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H40S1V001,H40S2V001,H40S2V002,H40S2V003,H40S2V004,H40S2V005,H40S2V006,H40S2V007,H40S2V008,H40S2V009,H40S2V010,H40S2V011,H40S2V012,H40S2V013,H40S2V014,H40S2V015,H40S2V016,H40S2V017,H40S2V018,H40S2V019,H40S2V020,H40S2V021,H40S2V022,H40S2V023,H40S2V024,H40S2V025,H40S2V026,H40S2V027,H40S2V028,H40S2V029,H40S2V030,H40S2V031,H40S2V032,H40S2V033,H40S2V034,H40S2V035,H40S2V036,H40S2V037,H40S2V038,H40S2V039,H40S2V040,H40S2V041,H40S2V042,H40S2V043,H40S2V044,H40S2V045,H40S2V046,H40S2V047,H40S2V048,H40S2V049,H40S2V050,H40S2V051,H40S2V052,H40S2V053,H40S2V054,H40S2V055,H40S2V056,H40S2V057,H40S2V058,H40S2V059,H40S2V060,H40S2V061,H40S2V062,H40S2V063,H40S2V064,H40S2V065,H40S2V066,H40S2V067,H40S2V068,H40S2V069,H40S2V070,H40S2V071,H40S2V072,H40S2V073,H40S2V074,H40S2V075,H40S2V076,H40S2V077,H40S2V078,H40S2V079,H40S2V080,H40S2V081,H40S2V082,H40S2V083,H40S2V084,H40S2V085,H40S2V086,H40S2V087,H40S2V088,H40S2V089,H40S2V090,H40S2V091,H40S2V092,H40S2V093,H40S2V094,H40S2V095,H40S2V096,H40S2V097,H40S2V098,H40S2V099,H40S2V100,H40S2V101,H40S2V102,H40S2V103,H40S2V104,H40S2V105,H40S2V106,H40S2V107,H40S2V108,H40S2V109,H40S2V110,H40S2V111,H40S2V112,H40S2V113,H40S2V114,H40S2V115,H40S2V116,H40S2V117,H40S2V118,H40S2V119,H40S2V120,H40S2V121,H40S2V122,H40S2V123,H40S2V124,H40S2V125,H40S2V126,H40S2V127,H40S2V128,H40S2V129,H40S2V130,H40S2V131,H40S2V132,H40S2V133,H40S2V134,H40S2V135,H40S2V136,H40S2V137,H40S2V138,H40S2V139,H40S2V140,H40S2V141,H40S2V142,H40S2V143,H40S2V144,H40S2V145,H40S2V146,H40S2V147,H40S2V148,H40S2V149,H40S2V150,H40S2V151,H40S2V152,H40S2V153,H40S2V154,H40S2V155,H40S2V156,H40S2V157,H40S2V158,H40S3V001,H40S3V002,H40S3V003,H40S3V004,H40S3V005,H40S3V006,H40S3V007,H40S3V008,H40S3V009,H40S3V010,H40S3V011,H40S3V012,H40S3V013,H40S3V014,H40S3V015,H40S3V016,H40S3V017,H40S3V018,H40S3V019,H40S3V020,H40S3V021,H40S3V022,H40S3V023,H40S3V024,H40S3V025,H40S3V026,H40S3V027,H40S3V028,H40S3V029,H40S3V030,H40S3V031,H40S3V032,H40S3V033,H40S3V034,H40S3V035,H40S3V036,H40S3V037,H40S3V038,H40S3V039,H40S3V040,H40S3V041,H40S3V042,H40S3V043,H40S3V044,H40S3V045,H40S3V046,H40S3V047,H40S3V048,H40S3V049,H40S3V050,H40S3V051,H40S3V052,H40S3V053,H40S3V054,H40S3V055,H40S3V056,H40S3V057,H40S3V058,H40S3V059,H40S3V060,H40S3V061,H40S3V062,H40S3V063,H40S3V064,H40S3V065,H40S3V066,H40S3V067,H40S3V068,H40S3V069,H40S3V070,H40S3V071,H40S3V072,H40S3V073,H40S3V074,H40S3V075,H40S3V076,H40S3V077,H40S3V078,H40S3V079,H40S3V080,H40S3V081,H40S3V082,H40S3V083,H40S3V084,H40S3V085,H40S3V086,H40S3V087,H40S3V088,H40S3V089,H40S3V090,H40S3V091,H40S3V092,H40S3V093,H40S3V094,H40S3V095,H40S3V096,H40S3V097,H40S3V098,H40S3V099,H40S3V100,H40S3V101,H40S3V102,H40S3V103,H40S3V104,H40S3V105,H40S3V106,H40S3V107,H40S3V108,H40S3V109,H40S3V110,H40S3V111,H40S3V112,H40S3V113,H40S3V114,H40S3V115,H40S3V116,H40S3V117,H40S3V118,H40S3V119,H40S3V120,H40S3V121,H40S3V122,H40S3V123,H40S3V124,H40S3V125,H40S3V126,H40S3V127,H40S3V128,H40S3V129,H40S3V130,H40S3V131,H40S3V132,H40S3V133,H40S3V134,H40S3V135,H40S3V136,H40S3V137,H40S3V138,H40S3V139,H40S3V140,H40S3V141,H40S3V142,H40S3V143,H40S3V144,H40S3V145,H40S3V146,H40S3V147,H40S3V148,H40S3V149,H40S3V150,H40S3V151,H40S3V152,H40S3V153,H40S3V154,H40S3V155,H40S3V156,H40S3V157,H40S3V158,H40S3V159,H40S3V160,H40S3V161,H40S3V162,H40S3V163,H40S3V164,H40S3V165,H40S3V166,H40S3V167,H40S3V168,H40S3V169,H40S3V170,H40S3V171,H40S3V172,H40S3V173,H40S3V174,H40S3V175,H40S3V176,H40S3V177,H40S3V178,H40S3V179,H40S3V180,H40S3V181,H40S3V182,H40S3V183,H40S3V184,H40S3V185,H40S3V186,H40S3V187,H40S3V188,H40S3V189,H40S3V190,H40S3V191,H40S3V192,H40S3V193,H40S3V194,H40S3V195,H40S3V196,H40S3V197,H40S3V198,H40S3V199,H40S3V200,H40S3V201,H40S3V202,H40S3V203,H40S3V204
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,2008.11.24,2009.01.29,2009.02.02,2009.02.03,2009.02.05,2009.02.05,2009.02.12,2009.02.12,2009.02.12,2009.02.12,2009.02.12,2009.02.12,2009.02.24,2009.02.26,2009.03.03,2009.03.03,2009.03.03,2009.03.03,2009.03.03,2009.03.03,2009.03.03,2009.03.03,2009.03.03,2009.03.04,2009.03.04,2009.03.10,2009.03.10,2009.03.10,2009.03.12,2009.03.12,2009.03.23,2009.03.23,2009.03.24,2009.03.24,2009.03.24,2009.03.24,2009.03.24,2009.03.24,2009.03.24,2009.03.24,2009.03.24,2009.03.25,2009.03.26,2009.03.30,2009.03.30,2009.03.30,2009.03.31,2009.04.01,2009.04.22,2009.04.22,2009.04.22,2009.04.22,2009.04.23,2009.04.27,2009.04.27,2009.04.27,2009.04.29,2009.04.29,2009.04.29,2009.05.05,2009.05.06,2009.05.06,2009.05.06,2009.05.06,2009.05.06,2009.05.13,2009.05.13,2009.05.13,2009.05.25,2009.05.27,2009.05.27,2009.05.27,2009.06.01,2009.06.03,2009.06.03,2009.06.03,2009.06.03,2009.06.03,2009.06.03,2009.06.03,2009.06.03,2009.06.08,2009.06.08,2009.06.09,2009.06.10,2009.06.10,2009.06.10,2009.06.10,2009.06.10,2009.06.16,2009.06.16,2009.06.16,2009.06.17,2009.06.17,2009.06.17,2009.06.19,2009.06.19,2009.06.19,2009.06.19,2009.06.19,2009.06.19,2009.06.19,2009.06.19,2009.06.19,2009.09.18,2009.09.29,2009.09.30,2009.09.30,2009.09.30,2009.09.30,2009.10.01,2009.10.07,2009.10.07,2009.10.08,2009.10.20,2009.10.21,2009.10.21,2009.10.26,2009.10.26,2009.10.28,2009.10.28,2009.11.02,2009.11.02,2009.11.03,2009.11.04,2009.11.04,2009.11.04,2009.11.04,2009.11.17,2009.11.18,2009.11.18,2009.11.19,2009.11.23,2009.11.24,2009.11.25,2009.11.25,2009.11.25,2009.11.25,2009.11.30,2009.12.01,2009.12.02,2009.12.02,2009.12.02,2009.12.03,2009.12.03,2009.12.07,2009.12.07,2009.12.07,2009.12.08,2009.12.09,2009.12.09,2009.12.09,2009.12.09,2009.12.09,2009.12.10,2009.12.10,2009.12.10,2009.12.10,2009.12.10,2010.03.09,2010.03.09,2010.03.10,2010.03.16,2010.03.16,2010.03.17,2010.03.23,2010.03.23,2010.03.23,2010.03.23,2010.03.23,2010.03.23,2010.03.23,2010.03.23,2010.03.23,2010.03.23,2010.03.24,2010.03.24,2010.03.31,2010.03.31,2010.04.14,2010.04.14,2010.04.14,2010.04.14,2010.04.14,2010.04.16,2010.04.19,2010.04.19,2010.04.19,2010.04.21,2010.04.21,2010.04.21,2010.04.21,2010.04.21,2010.04.22,2010.04.27,2010.04.28,2010.04.28,2010.04.28,2010.04.28,2010.05.05,2010.05.05,2010.05.05,2010.05.05,2010.05.05,2010.05.05,2010.05.05,2010.05.11,2010.05.26,2010.05.26,2010.05.31,2010.06.01,2010.06.01,2010.06.02,2010.06.03,2010.06.07,2010.06.07,2010.06.07,2010.06.07,2010.06.07,2010.06.07,2010.06.07,2010.06.08,2010.06.09,2010.06.09,2010.06.09,2010.06.09,2010.06.09,2010.06.09,2010.06.09,2010.06.09,2010.06.09,2010.06.14,2010.06.14,2010.06.16,2010.06.16,2010.06.17,2010.06.17,2010.06.17,2010.06.17,2010.06.17,2010.06.17,2010.06.17,2010.06.17,2010.06.17,2010.06.17,2010.09.22,2010.09.22,2010.09.27,2010.09.29,2010.09.29,2010.09.29,2010.09.29,2010.09.29,2010.09.29,2010.10.06,2010.10.06,2010.10.06,2010.10.20,2010.10.20,2010.10.20,2010.10.20,2010.10.26,2010.10.26,2010.10.26,2010.10.26,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.10.27,2010.11.04,2010.11.16,2010.11.16,2010.11.23,2010.11.24,2010.11.24,2010.11.30,2010.12.01,2010.12.01,2010.12.01,2010.12.01,2010.12.01,2010.12.07,2010.12.07,2010.12.08,2010.12.08,2010.12.09,2010.12.09,2010.12.09,2010.12.09,2010.12.09,2010.12.14,2010.12.14,2010.12.14,2010.12.14,2010.12.15,2010.12.15,2011.02.02,2011.02.02,2011.02.02,2011.02.07,2011.02.07,2011.02.07,2011.02.07,2011.02.07,2011.02.07,2011.02.09,2011.02.09,2011.02.09,2011.02.09,2011.02.09,2011.02.09,2011.02.09,2011.02.09,2011.02.09,2011.02.09,2011.02.09,2011.02.09,2011.02.09,2011.02.09,2011.02.09,2011.02.09,2011.02.11,2011.02.14,2011.02.14,2011.02.14,2011.02.15,2011.02.16,2011.02.16,2011.02.16,2011.02.16,2011.02.28,2011.03.01,2011.03.02,2011.03.02,2011.03.02,2011.03.02,2011.03.02,2011.03.02,2011.03.08,2011.03.08,2011.03.08,2011.03.09,2011.03.09,2011.03.09,2011.03.09,2011.03.10,2011.03.23,2011.03.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,SCARBOROUGH--AGINCOURT,Ontario,1987 - ,40,2008.10.14,318,176fea8a-f126-4725-b119-187ba46a9413,"KARYGIANNIS, Jim",22795,0.5663,Liberal Party of Canada,parliamentarian,,0,7,,,,,,,,,Greece,,,,2,2,1,1,1,1,1,1,1,1,1,1,2,9,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,1,1,1,1,9,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9,1,1,1,2,1,1,1,1,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,1,1,1,9,9,1,1,9,9,2,9,9,9,9,2,9,9,2,9,1,2,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,9,9,9,9,2,2,1,1,2,9,9,1,1,1,1,1,1,2,1,1,1,1,2,9,9,9,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,1,1,1,1,1,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,1,1,2,2,2,1,1,1,9,9,1,2,1,1,1,1,1,2,2,2,1,1,1,9,9,9,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,9,2,2,1,1,2,2,1,1,1,9,1,1,1,1,2,1,1,2,2,2,1,1,1,1,9,1
342,KINGSTON AND THE ISLANDS,Ontario,1966 - ,40,2008.10.14,443,206ef0b1-261c-4ea0-98c2-e8fae2209e2e,"MILLIKEN, Peter",22734,0.3915,Liberal Party of Canada,lawyer,,0,7,,,,,,,,,,Speaker,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1405,NEW BRUNSWICK SOUTHWEST,New Brunswick,2004 - ,40,2008.10.14,712,33fc6fb3-2ed8-4500-8aa0-30fe0fc13f01,"THOMPSON, Greg",17474,0.5832,Conservative Party of Canada,parliamentarian,,0,6,,1,,,,,,,,,,,2,2,1,1,1,1,1,1,1,1,1,1,2,9,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,2,3,2,2,2,1,9,9,9,9,9,9,9,9,3,3,9,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,2,1,2,1,2,1,2,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,2,1,9,9,9,9,9,9,9,1,2,1,1,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,9,1,1,1,2,2,2,1,2,9,9,2,2,2,2,1,2,1,2,2,2,2,2,1,2,9,2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,3,2,2,1,1,1,2,1,1,1,1,2,2,2,9,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,9,9,2,1,1,9,9,9,9,9,9,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,9,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,2
962,SCARBOROUGH--ROUGE RIVER,Ontario,1987 - ,40,2008.10.14,718,343f8a28-17d8-4230-9774-2805e41a7395,"LEE, Derek",23718,0.5878,Liberal Party of Canada,parliamentarian,,0,7,,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,1,1,1,2,9,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,9,2,1,1,1,1,1,1,9,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,9,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,9,9,1,9,1,2,2,2,1,2,1,9,9,9,9,9,9,9,9,9,9,2,1,2,1,1,1,1,1,1,2,9,9,9,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,9,1,1,9,9,2,2,2,2,2,2,2,9,9,9,2,2,2,1,1,1,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,1,1,9,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,9,2,2,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,1
1334,MISSISSAUGA EAST--COOKSVILLE,Ontario,2003 - ,40,2008.10.14,907,41f6486b-f70f-461c-a0bc-599b50e4bbad,"GUARNIERI, Albina",20457,0.5016,Liberal Party of Canada,parliamentarian,,0,7,,,,,,,,,Italy,,,,9,2,1,1,1,1,9,9,9,9,9,9,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,9,1,1,1,1,1,9,9,9,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,9,9,9,9,1,2,1,1,9,9,9,9,2,9,1,1,1,2,9,9,2,9,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,9,9,9,9,9,2,2,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,1,1,1,1,9,1,1,2,2,2,1,1,2,2,9,1,1,1,1,1,1,2,1,1,1,1,9,1,1,2,1,1,9,9,2,2,2,2,2,2,2,9,9,2,2,2,2,1,1,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,2,9,9,9,9,9,2,1,1,1,9,9,9,9,9,9,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,1,1,1,1,1,2,2,9,9,9,9,9,2,1
1415,BAS-RICHELIEU--NICOLET--BECANCOUR,Quebec,2004 - ,40,2008.10.14,1029,4b9cf7c8-d5db-4efa-a24e-c26afde48cc3,"PLAMONDON, Louis",26821,0.5467,Bloc Quebecois,parliamentarian,,1,8,,,,,,,,,,,,,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,2,2,2,1,1,1,9,9,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,9,1,1,2,3,3,3,3,3,3,2,1,2,1,1,1,1,1,1,9,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,9,1,2,1,3,3,1,1,2,2,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,9,3,9,3,3,1,2,2,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,9,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,3,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1
1403,CUMBERLAND--COLCHESTER--MUSQUODOBOIT VALLEY,Nova Scotia,2004 - ,40,2008.10.14-2009.04.30,1317,6025d38f-3695-4037-8221-3f4cb652936b,"CASEY, Bill",27303,0.6901,Independent,business person,,0,6,,,,,,,,,,Resignation. Appointed Nova Scotia's Intergovernmental Affairs Department senior representative in Ottawa: 2009.04.30,,,9,9,9,9,9,9,1,1,1,1,1,1,9,9,1,2,2,2,2,2,2,2,1,1,1,2,1,1,9,9,9,9,1,1,1,1,1,9,9,9,9,1,1,9,9,9,9,9,2,1,1,9,1,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
