Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S1S1V01,S1S1V02,S1S1V03,S1S1V04,S1S1V05,S1S1V06,S1S1V07,S1S1V08,S1S1V09,S1S2V01,S1S2V02,S1S2V03,S1S2V04,S1S2V05,S1S2V06,S1S2V07,S1S2V08,S1S2V09,S1S3V01,S1S3V02,S1S3V03,S1S3V04,S1S3V05,S1S3V06,S1S4V01,S1S4V02,S1S4V03,S1S4V04,S1S4V05,S1S4V06,S1S5V01,S1S5V02,S1S5V03,S1S5V04,S1S5V05,S1S5V06
Date,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,11.27.1867,12.12.1868,03.26.1868,03.26.1868,04.24.1868,04.30.1868,05.13.1868,05.14.1868,05.16.1868,04.30.1869,05.14.1869,05.20.1869,05.29.1869,05.31.1869,06.04.1869,06.04.1869,06.04.1869,06.19.1869,03.28.1870,04.11.1870,05.09.1870,05.10.1870,05.11.1870,05.11.1870,04.04.1871,04.05.1871,04.05.1871,04.05.1871,04.05.1871,04.12.1871,05.17.1872,05.23.1872,05.28.1872,05.29.1972,06.10.1872,06.11.1872
Bill,,,,,,,,"That the Honorable the Speaker be allowes to make use of the Senate Chamber this Evening for an enternainment, on the occasion of the inauguration of the first meeting of the Parliament of the Dominion (p. 67/409).",Postponement of the consideration of the said Second Report of the Select Comittee on Contingent Accounts (p.136/409).,Adoption of the amended Second Report of the Sekect Committee on Contingent Accounts (p.186/409).,Adoption of the amended Second Report of the Sekect Committee on Contingent Accounts (p.186/409).,"Consideration of the Fifth Report of the Seleot Committee appointed to examine and report and report upon the Contingent Accounts of the Senate for the present Session, as amended (p.230/409).",Second reading of the Bill intituled :  An Act for the relief of Joseph Frederick Whiteaves as amended (p.250/409).,"Adoption of the second Report of the Select Committee, appointed to examine and report upon the causes of the recent Financial Crisis in the Province of Ontario, as amended (p.279/409).",Second reading of the Bill intituled :  An Act to fix the Salary of the Governor General (p.287/409).,"Seond reading of the Bill intituled : An Act respecting Offences against the Person, as amended (p.298/409).",Second reading of the Bill (Bill intituled: An Act respecting Cruelty to Animals) be committed to a Committee of the whole house (p.56/276),Second reading of a Bill for divorce (p.81/276).,Motion for adjournement (p.104/276). ,Second reading of the Bill intituled:  An Act ruspeeting the salary of the Governor General (p.117/276).,Second reading of the Bill: An Act for the relief of George W. Jones (divorce) (p. 129/276).,"Third reading of the Bill intituled An Act respecting offences against the Person, as amended (p.152/276).","Third reading of the Bill: An Act respecting offences against the Person, as amended (p.152/276).","Third reading of the Bill: An Act respecting offences against the Person, as amended (p.153/276).",Seond reading of the Bill intituled: An Act respecting Nova Scotia (p.226/276).,Second reading of the Bill for the relief of John Robert Martin (p. 82/279).,That a Select Committee be appointed o inquire into grievances complained of by the land owners in the Crown Seigniory of Sorel (p. 114/279).,"Second reading of the Bill : An Act to amend the Acts respecting Custom and Inland Revenue, and to make certain provisious respecting Vessels navigating in the Inland Water of Canada above Montreal, as amended (p.178 /279).","Third reading of the Bill : An Act to amend the Acts respecting Custom and Inland Revenue, and to make certain provisious respecting Vessels navigating in the Inland Water of Canada above Montreal (p.181/279).","Third reading of the Bill : An Act for ensuring the efficiency of the Civil Service of Canada by providing fot the superannuation of persons employed therein in certain cases, as amended (p. 184/279).","Seond reading of the Bill : An Act to amend and continue the Act 32 and 33 Victoria, Chapter 3, and to establish and provide for the Government of the Province of Manitoba, as amended (p192/279).","Third reading of the Bill : An Act to authorize the incorporated Village of Trenton to impose and collect Harbor Dues, and dor other purpises, as amended (p.105/198).",Adjournment debate on the motion in amendment respecting  the admission of British Columbia union with Canada (p. 109/198).,"Motion respecting  the admission of British Columbia union with Canada, as amended (p. 109/198).","Motion respecting  the admission of British Columbia union with Canada, as amended (p. 110/198).",Main motion respecting  the admission of British Columbia union with Canada (p. 111/198).,"Second reading of the Bill: An Act to make provision for validingcertain Prenium Notes taken or held by Mutual Fire Insurance Compagnies, as amended (p.148/198).",Second reading of the Bill for the relief of John Robert Martin (divorce) (p.91/272).,"Second reading of the Bill : An Act to repeal the Insolvency Law, as amended (p.117/272).",Bill for the relief of John Robert Martin (divroce) (p. 128/272).,Third reading of the Bill: An Act fo the relief of john Robert Martin (divorce) (p.135/272).,Second reading of the Bill: An Act to compel Members of the Local Legislature in any Province where dual representation is not alloewd to resign their seats before becoming candidates for seats in the Dominion Parliament (p.184/272).,That the Bill be again committed to a Committee of the whole House (Bill: An act to compel Members of the Local Legislature in any Province where dual representation is not alloewd to resign their seats before becoming candidates for seats in the Dominion Parliament (p. 194/272).
"Kaulback, Henry Adolphus Newman",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1872.03.27 - 1896.01.08 ,1872.03.27 , 1896.01.08 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,9,9,9,9
"Macdonald, William John",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1915.04.13 ,1871.12.13 , 1915.04.13 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,1,1,2
"Sutherland, John",Independent Conservative,Manitoba,"Macdonald, John Alexander",1871.12.13 - 1899.04.13 ,1871.12.13 , 1899.04.13 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,1,2,1
"Girard, Marc-Amable",Conservative (1867-1942),Manitoba,"Macdonald, John Alexander",1871.12.13 - 1892.09.12 ,1871.12.13 , 1892.09.12 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,9,2,1,9
"Cornwall, Clement Francis",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1881.07.01 ,1871.12.13 , 1881.07.01 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,9,1,1,9
"Carrall, Robert William Weir",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1879.09.19 ,1871.12.13 , 1879.09.19 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,9,9,1,9
"De Lery, Alexandre-Ren_ Chaussegros",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1871.12.13 - 1876.04.11 ,1871.12.13 , 1876.04.11 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9
"Read, Robert",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.24 - 1896.06.29 ,1871.02.24 , 1896.06.29 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,1,9,1,2,1,1,1,2
"Panet, Louis",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1871.02.10 - 1874.03.26 ,1871.02.10 , 1874.03.26 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,2,2,2,1,9,2,9,2,2,1,2
"Churchill, Ezra",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1871.02.03 - 1874.05.08 ,1871.02.03 , 1874.05.08 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,2,2,2,1,9,9,9,9,9,9,9
"Smith, Frank",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.02 - 1900.01.01 ,1871.02.02 , 1900.01.01 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,1,2,2,2,9,9,9,9
"Perry, Ebenezer",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.02 - 1876.05.01 ,1871.02.02 , 1876.05.01 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,2,2,2,1,2,1,1,1,1,1,2
"MacFarlane, Alexander",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1870.10.10 - 1898.12.14 ,1870.10.10 , 1898.12.14 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,2,2,2,1,9,1,1,9,9,9,9
"Northup, Jeremiah",Liberal Party of Canada,Nova Scotia,"Macdonald, John Alexander",1870.10.10 - 1879.04.10 ,1870.10.10 , 1879.04.10 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,2,2,2,2,1,9,9,1,1,1,9,9
"McLelan, Archibald Woodbury",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1869.06.21 - 1881.05.20 ,1869.06.21 , 1881.05.20 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,9,9,1,2,2,9,2,4,4,4,9,1,1,1,9,1,2
"Dever, James",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1904.05.07 ,1868.03.14 , 1904.05.07 ,(Death),99,99,2,1,1,2,2,1,1,9,2,2,1,9,2,2,2,2,2,1,9,9,9,9,1,2,2,2,1,9,2,1,1,2,9,9
"Glasier, John",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1868.03.14 - 1894.07.07 ,1868.03.14 , 1894.07.07 ,(Death),99,99,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,2,9,9,9,9,9,9,9
"Benson, James Rea",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1868.03.14 - 1885.03.18 ,1868.03.14 , 1885.03.18 ,(Death),99,99,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,9,9,9,2,2,2,1,9,1,1,1,1,1,2
"Chapais, Jean-Charles",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1868.01.30 - 1885.07.17 ,1868.01.30 , 1885.07.17 ,(Death),99,99,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,9,2,2,2,1,2,2,9,2,2,2,1,2,2,1,2,9,1,9
"Cauchon, Joseph Ûdouard",Conservative (1867-1942),Quebec,Royal Proclamation,1867.11.02 - 1872.06.30 ,1867.11.02 , 1872.06.30 ,(Resignation),1,1,1,2,1,2,2,2,2,2,2,9,1,2,2,2,2,2,2,9,9,9,2,9,9,9,9,9,9,9,2,1,2,2,9,9
"Miller, William",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1912.02.23 ,1867.10.23 , 1912.02.23 ,(Death),1,1,1,2,1,2,2,1,2,9,9,1,1,9,2,2,2,2,2,1,1,2,9,9,2,2,2,2,1,9,9,1,9,9,9,9
"Wark, David",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1905.08.20 ,1867.10.23 , 1905.08.20 ,(Death),1,2,2,1,2,1,2,1,1,2,1,2,1,1,2,2,2,2,1,9,1,2,1,9,2,1,1,1,2,9,1,1,1,1,2,9
"Dickey, Robert Barry",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1903.07.14 ,1867.10.23 , 1903.07.14 ,(Death),1,9,2,1,1,1,9,9,9,2,1,2,9,1,9,9,9,9,1,1,9,9,9,9,2,2,2,2,1,2,1,2,1,9,9,9
"Armand, Joseph François",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1903.01.01 ,1867.10.23 , 1903.01.01 ,(Death),1,1,1,2,2,2,2,1,2,2,2,1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2
"Allan, George William",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1901.07.24 ,1867.10.23 , 1901.07.24 ,(Death),2,1,1,2,1,1,1,2,2,2,1,9,1,1,2,2,2,2,9,9,1,9,9,9,2,2,2,2,1,2,9,9,1,1,9,9
"Reesor, David",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1901.01.01 ,1867.10.23 , 1901.01.01 ,(Resignation),9,2,2,1,1,1,1,1,1,9,9,9,9,9,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,9,2,1,1,2,9
"McClelan, Abner Reid",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1896.12.09 ,1867.10.23 , 1896.12.09 ,(Resignation),2,2,2,1,2,9,2,1,1,9,1,9,2,1,1,1,1,9,1,2,4,2,9,9,9,1,9,9,9,9,1,1,1,9,1,9
"Macpherson, David Lewis",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1896.08.16 ,1867.10.23 , 1896.08.16 ,(Death),2,1,2,1,1,1,1,2,9,9,9,9,1,1,2,2,2,2,9,2,1,2,9,9,9,2,2,2,1,2,1,1,1,1,9,2
"Guèvremont, Jean-Baptiste",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1896.06.14 ,1867.10.23 , 1896.06.14 ,(Resignation),1,1,2,1,1,2,2,1,2,2,9,1,1,2,2,2,2,2,2,1,1,2,2,9,9,2,2,2,1,9,2,2,2,2,2,1
"Chaffers, William Henry",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1894.07.19 ,1867.10.23 , 1894.07.19 ,(Death),1,1,9,9,9,9,9,9,1,2,2,1,2,2,1,1,1,1,2,1,1,2,9,2,9,1,1,1,2,1,2,2,2,2,2,1
"Flint, Billa",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1894.06.14 ,1867.10.23 , 1894.06.14 ,(Death),2,2,2,1,2,2,1,1,1,1,1,9,2,2,2,2,2,9,9,9,9,9,9,9,1,2,2,2,1,9,1,1,9,9,2,9
"Botsford, Amos Edwin",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1894.03.22 ,1867.10.23 , 1894.03.22 ,(Death),1,9,2,1,1,1,2,1,9,2,1,2,1,1,2,2,1,9,1,1,9,9,9,9,2,2,2,2,1,2,1,1,1,1,1,2
"Odell, William Hunter",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1891.07.25 ,1867.10.23 , 1891.07.25 ,(Death),1,1,2,1,1,1,9,9,9,1,1,1,1,1,2,2,2,2,1,1,9,9,9,9,9,1,1,1,2,2,1,1,1,1,1,2
"Leonard, Elijah",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1891.05.14 ,1867.10.23 , 1891.05.14 ,(Death),1,2,2,1,1,1,9,1,1,1,1,1,2,1,1,1,1,1,9,9,1,2,1,1,9,1,1,1,2,2,1,2,9,9,2,1
"Archibald, Thomas Dickson",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1890.10.18 ,1867.10.23 , 1890.10.18 ,(Death),9,9,2,1,1,9,9,9,9,2,1,9,9,9,9,9,9,9,1,9,9,9,9,9,9,2,2,2,1,9,9,9,9,9,9,9
"Ryan, Thomas",Liberal-Conservative,Quebec,Royal Proclamation,1867.10.23 - 1889.05.25 ,1867.10.23 , 1889.05.25 ,(Death),2,1,9,9,1,9,2,2,2,9,2,2,1,9,9,9,9,2,2,1,2,1,9,2,9,2,2,2,9,2,2,1,2,9,1,2
"Ferguson, John",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1888.08.21 ,1867.10.23 , 1888.08.21 ,(Death),1,9,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9
"Ferrier, James",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1888.05.30 ,1867.10.23 , 1888.05.30 ,(Death),1,1,1,2,9,1,2,2,2,9,9,1,1,1,9,9,9,9,9,1,9,9,9,9,9,2,2,2,1,9,1,1,1,1,1,2
"McMaster, William",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1887.09.22 ,1867.10.23 , 1887.09.22 ,(Death),9,2,2,1,2,1,1,1,1,2,1,9,1,1,2,2,2,9,1,2,2,1,2,1,2,1,1,1,2,2,1,9,1,1,2,1
"Cormier, Charles",Nationalist Liberal,Quebec,Royal Proclamation,1867.10.23 - 1887.05.07 ,1867.10.23 , 1887.05.07 ,(Death),1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,2,9,1,1,1,2,1,2,2,9,2,2,1
"Hamilton, John",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1887.05.01 ,1867.10.23 , 1887.05.01 ,(Resignation),1,1,2,1,9,1,2,2,9,9,9,9,1,1,2,2,2,9,1,9,9,2,9,9,9,2,2,2,1,9,9,1,1,9,9,9
"Campbell, Alexander",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1887.02.07 ,1867.10.23 , 1887.02.07 ,(Resignation),2,1,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2
"Simpson, John",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1885.03.21 ,1867.10.23 , 1885.03.21 ,(Death),2,2,2,1,2,1,1,1,9,1,9,1,9,9,9,9,9,1,1,1,1,2,1,1,1,1,1,1,2,9,2,2,9,9,2,1
"Dickson, Walter Hamilton",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1884.02.19 ,1867.10.23 , 1884.02.19 ,(Resignation),1,2,2,1,1,1,1,1,1,2,1,9,1,9,2,2,2,1,1,9,1,2,2,1,9,1,1,1,2,9,1,1,1,1,1,2
"Bourinot, John",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1884.01.21 ,1867.10.23 , 1884.01.21 ,(Death),1,1,2,1,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,2,2,2,1,9,9,9,9,9,9,9
