Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S3S1V01,S3S1V02,S3S1V03,S3S1V04,S3S2V01,S3S2V02,S3S2V03,S3S2V04,S3S2V05,S3S2V06,S3S2V07,S3S2V08,S3S2V09,S3S2V10,S3S2V11,S3S2V12,S3S2V13,S3S2V14,S3S2V15,S3S2V16,S3S2V17,S3S2V18,S3S2V19,S3S2V20,S3S2V21,S3S2V22,S3S2V23,S3S2V24,S3S2V25,S3S2V26,S3S2V27,S3S3V01,S3S3V02,S3S3V03,S3S3V04,S3S3V05,S3S3V06,S3S3V07,S3S3V08,S3S3V10,S3S3V11,S3S3V12,S3S4V01,S3S4V02,S3S4V03,S3S4V04,S3S4V05,S3S4V06,S3S4V07,S3S4V08,S3S4V09,S3S4V10,S3S4V11,S3S4V12,S3S4V13,S3S4V14,S3S4V15,S3S4V16,S3S4V17,S3S4V18,S3S4V19,S3S4V20,S3S4V21,S3S5V01,S3S5V02,S3S5V03,S3S5V04,S3S5V05,S3S5V06,S3S5V07,S3S5V08,S3S5V09,S3S5V10,S3S5V11,S3S5V12,S3S5V13,S3S5V14,S3S5V15,S3S5V16,S3S5V17,S3S5V18,S3S5V19,S3S5V20,S3S5V21,S3S5V22
Date,,,,,,,,05.06.1874,05.15.1874,05.16.1874,05.19.1874,02.15.1875,03.05.1875,03.20.1875,03.20.1875,03.20.1875,03.20.1875,03.20.1875,03.20.1875,03.20.1875,03.22.1875,03.27.1875,03.29.1875,03.30.1875,03.31.1875,04.01.1875,04.02.1875,04.02.1875,04.02.1875,04.03.1875,04.05.1875,05.06.1875,04.06.1875,04.06.1875,04.06.1875,04.06.1875,04.07.1875,04.07.1875,03.08.1876,03.22.1876,04.03.1876,04.05.1876,04.06.1876,04.06.1876,04.08.1876,04.10.1876,04.10.1876,04.10.1876,04.10.1876,03.01.1877,03.15.1877,03.19.1877,03.19.1877,03.20.1877,03.20.1877,03.21.1877,04.09.1877,04.11.1877,04.12.1877,04.12.1877,04.18.1877,04.19.1877,04.19.1877,04.19.1877,04.23.1877,04.23.1877,04.23.1877,04.23.1877,04.27.1877,04.27.1877,02.21.1878,03.07.1878,04.04.1878,04.04.1878,04.10.1878,04.11.1878,04.11.1878,04.16.1878,04.16.1878,04.16.1878,04.17.1878,04.26.1878,04.30.1878,05.02.1878,05.02.1878,05.03.1878,05.03.1878,05.03.1878,05.07.1878,05.08.1878,05.09.1878,05.09.1878
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Third reading of the Bill: An Act respecting the crime of Libel, as amended (p. 115/324).","Second of the Bill:  An Act to amend the Act 35 Victoria, chapter 13, intituled An Act to re-adjust the Representation in the House of Commons, as amended (p. 160/324).",Second reading of the Bill:  An Act respecting the appropriation of certain Dominion Lands in Manitoba  (p. 167/324),"Third reading Bill:  An Act to regulate the  construction and maintenance of Marine Electric Telegraphs, as amended (p. 175/324).",That the 84th Rule of this House be amended by leaving out One Hundred dollars and inserting Two hundred dollars/ in lieu thereof (p. 32/350).,"That the Bill for the relief of Henry William Peterson (divorce), be now read a second time (p. 88/350).","Third reading of the Bill:  An Act to regulate the construction and maintenance of Marine Electric Telegraph, as amended (p. 147/350).","Third reading of the Bill:  An Act to regulate the construction and maintenance of Marine Electric Telegraph, as amended (p. 148/350).","Third reading of the Bill:  An Act to regulate the construction and maintenance of Marine Electric Telegraph, as amended (p. 148/350).","Third reading of the Bill:  An Act to regulate the construction and maintenance of Marine Electric Telegraph, as amended (p. 149/350).","Third reading of the Bill:  An Act to regulate the construction and maintenance of Marine Electric Telegraph, as amended (p. 149/350).","Third reading of the Bill:  An Act to regulate the construction and maintenance of Marine Electric Telegraph, as amended (p. 150/350).","Third reading of the Bill:  An Act to regulate the construction and maintenance of Marine Electric Telegraph, as amended (p. 151/350).","Second reading of the Bill:  An Act further to amend the Act regulating the issue of Dominion Notes, as amended (p. 159/350).","That a Select Committe of seven Members be apponted, to whom shall be referred the Returns now before this House relating to dismissals from and appointments to the Civil Service of this Dominion in Nova Scotia, New Brunswick and Prince Edward Island since the first dau of May, 1874 (p. 186/350).","Second reading of the Bill:  An Act to provide for the salaries of County Court Judges, in the Province of Novia Scotia, and for other purposes, as amended (p. 196/350).","Third reading of the Bill: An Act respecting Penitentiaries and the Inspection thereof, and for other purposed, as amended (p. 206/350).","Third reading of the Bill: An Act to amend the Act respecting Controverted Elections, as amended (p. 215/350).","Motion for the consideration of the amendments proposed by the Committee of Banking, Commerce and Railways to the Bill:  An act to amend the Law relating to Bills of Exchanges, as amended (p. 241/350).",Adjournment of the House (p. 250/350).,"That it is premature to issue the contracts at he present timpe for an entire line, from Fort Garry to the Pacific Coast, involving the expenditure of upwards of one million of dollars of the oublic money, as amended (p. 253/350).","That it is premature to issue the contracts at he present timpe for an entire line, from Fort Garry to the Pacific Coast, involving the expenditure of upwards of one million of dollars of the oublic money, as amended (p. 253/350).","Third reading of the Bill: An Act for the better protection of Persons and Property conveyed by Railways, as amended (p. 259/350).",Second reading of the Bill: An Act respecting the Tricity House and Habor Commissioners of Quebec (p. 271/350).,"Third reading of the Bill: An Act to repeal the export duty on Stave Bolts and Oak Logs, as amended (p. 276/350).","Third reading of the Bill: An Act to establish a Suporior Court and Court of Exchequer for the Dominion Of Canada, as amended (p. 281/350).","Third reading of the Bill: An Act to establish a Suporior Court and Court of Exchequer for the Dominion Of Canada, as amended (p. 282/350).","Third reading of the Bill: An Act to establish a Suporior Court and Court of Exchequer for the Dominion Of Canada, as amended (p. 283/350).","Second reading of the Bill: An Act to provide for the construction of a Railway from Esquimault to Nanaimo, in British Columbia, as amended (p. 285/350).","Third reading of the Bill:  An Act further to amend the General Acts respecting Railways , as amended (p. 290/350).","Third reading of the Bill: An Act to amned and consolidate the Lwas respecting the North-West Territories , as amended (p. 291/350).",Second reading of the Bill for the relief of Robert Campbell (p.65/268).,"Second reading for the Bill: An Act to define and settle the duties, rights, and liability of Common Carriers in certain cases, as amended (p.107/268).",Amendment to Mr. Dickey's motion (p.152/268).,"That the Petition of Eliza Maria Campbell and evidence be referred back to the committee, with instructions to inquire into the truth of the material allegations conteined therein (p.163/268).","Third reading of the Bill: An Act respecting The Mechanics Bank, as amended (p.167/268).","Third reading of the Bill: An Act respecting The Mechanics Bank, as amended (p.168/268).","Third reading of the Bill: An Act to make further provision in reagrd to the Supreme Court and the Exchequer Court of Canada, as amended (p.185/268).","Consideration of the amendment make by the House of Commons to the Bill: An Act to remove doubts under the Acts therein mentioned respectig the Corporation of the Quebec Harbor Commissioners - Amendment be not now agreed to, but that it be taken into consideration this day three months (p.192/268).","Consideration of the fallow amendment proposed by the Committee on Banking, Commerce and Railways to the Bill: An Act to incorporate the Scottish Canadian Loan Compagny, as amended (p.193/268).","Consideration of the follow amendment proposed by the Committee on Banking, Commerce and Railways to the Bill: An Act to incorporate the Scottish Canadian Loan Compagny, as amended (p.194/268).","Consideration of the amendments proposed by the Committee on Banking Commerce and Rails ways to the Bill: An Acr to incorporate the London and Ontario Investment Compagy, as amended (p.199/268).",Adjournment of the House (p.83/363).,"Third reading of the Bill: An Act to make better provision respecting the Geological and Natural History Survey of Canada, and for the maintenance of the Museum in connection therewith (p.118/36).","That the Clerk go down to the House of Commons, and carry back the Bill: An Act to amend The Canadian Pacific Railway Act, 1874, and acquaint them that Senate doth insist on their amendments made to the said Bill to wich the Commons disagree for the following reasons: - (p.278/335)",,That an humble Address be presented to His Excellency the Governor General in the fallowing words: - (p.136/363).,"Consideration of the Fourth Report of the Select Committee appointed to examine and report upon the Contingent Accounts of the Senate for the present session, as amended (p.138/363).",Consideration of the Report of the Committee of the Whole on the Bill: An Act to amend the Act respecting offebces against the person. That the amendments make by the said Committee to the first clause of the said Bill be not agreed to  (p.145/363).,"That the Forty-ninth Rule of this House be dispensed with in so far as it relates to the Petition of D.B. Chisholm, and others, of the City of Hamiton in the Province of Ontario, Porvisional Directors of the Empire Fire and Marine Assurance Corporation ; praying for the passing Act changing the name of the said Empire Fire and MArine Assurance Corporation and that the time granted for the said Corporation to obtain form the Minister of Finance the License required by section 6 of the Act 38Vict., chap 20, be extended for two years - and further that the Fifty-first Rule of this House be dispensed with in so far as it interferes with Bill having the foregoing object in view (p.202/363).",,"For putting the House into a Committe of the Wholeon the Report of the Select Committee presented to the Senate on the 8th April, 1876, on the Bill: An Act for the reklief of Robert Campbell, as amended (p.221/363).","For putting the House into a Committe of the Wholeon the Report of the Select Committee presented to the Senate on the 8th April, 1876, on the Bill: An Act for the reklief of Robert Campbell, main motion (p.222/363).","That the Report of the Select Committee presented to the Senate, on the Bill: An Act for the relief of Robert Campbell be not now referred to a Committe of the Whole House presently (p.247/363).","That the Bill (Bill: An Act to amend abd consolidate certain Acts respecting Insurance) be referred to the Committe on Banking, Commerce and Railways (p.258/363).","Consideration of the amendments made in Committee of the Whole House to the Bill: An Act to amend and consolidate the Act repecting the Customs, as amended (p.260/363).","That the Bill be not now read a third time (Bill: An Act for the relief of Robert Cambell as amended by the Committee of the Whole House), but that the said Bill be referref to the Supreme Court for their examination and report (p.262/363).","Third reading of the Bill: An Act to amend and consolidate certain Act respecting Insurance, as amended (p.273/363).","The the Bill (Bill: An Act to amend and consolidate certain Act respecting Insurance) be not now read a third time, but that it be read a third time this day six months (p.273/363).","That the Bill:  An Act to amend the Law respecting the incorporation of Joint Stock Compagnies by Letters Patent, as amended by the Committe of the Whole, be not now read a third time, but that it be amended as follow: -  (p.274/363).",That the Bill:  An Act to amend the Law respecting the incorporation of Joint Stock Compagnies by Letters Patent be amended as follow: -  (p.275/363).,,"That the said Bill: An Act respecting the collevtion and management of the Revenue and auditing of Public Accounts and the liability of Public Accountants be not now read a second time, but thtat it be read a second time this day three months ; amendment to the second reading od the Bill (p.304/363).",Adjournment of the House (p.54/335).,Second reading of the Bill for the relief of George Frothingham (p.69/335).,"Third reading of the Bill: An Act to authorize and confirm the scheme of arrangement of the Canada Southern Railway Compagny, as amended (p.149/335).","Third reading of the Bill: An Act to incorporate the Missionary Society of the Bible Christian Church in Canada, as amended (p.150/335).","Consideration of the Bill: An Act respecting the Traffic in Intoxicating Liquoers, as amended by the Committee of the Whole and by this House (p.183/335).",Third reading of the Bill: An Act respecting the Traffic in Intoxicating Liquors (p.188/335).,"Putting the House into a Committee of the Whole on the Bill: An Act to amend An Act respecting conflicting claims to lands occupants in Manitoba, as amended (190/335).","That the Messages of His Excellency the General of the 26th March and 8th April, be now read, and that it be resolved that the course adopted by the Lieutenant Governor of the Province of Quebec towards his late Ministry was at variance with the constitutiona; principles upon wich Responsible Government should ne conducted, as amended (p.199/335).","That the Messages of His Excellency the General of the 26th March and 8th April, be now read, and that it be resolved that the course adopted by the Lieutenant Governor of the Province of Quebec towards his late Ministry was at variance with the constitutiona; principles upon wich Responsible Government should ne conducted, original motion (p.199/335).","Third reading of the Bill: An Act to provide that persons charged with common assault shall be competent as witnesses, as amended (p.200/335).","Second reading of the Bill: An Act respecting the offices of Receivor General and Attorney General of Canada, as amended (p.203/335).","That the fee paid to the Clerk of this House during last Session on presenting the petition of Robert Campbell, praying for an Act to dissolve his marriage with Eliza Maria Byrne, be refunded to the petitioner, provided all expenses are paid (p.301/363).","That the consideration of the Report of the Committee of the Whole on the Bill: An Act to amend The Canadian Pacific Railway Act, 1874  be reported from the said Committe, and be again referred to a Committee of the Whole  House (p.247/335).","Consideration of the Report of the Committe of the Whole on the Bill: An Act further securing the Independence of Parliament, as amended (p.261/335).","Consideration of the Report of the Committe of the Whole on the Bill: An Act further securing the Independence of Parliament, as amended(p.261/335).","Second reading of the Bill: An Act for the amendment of the Law of Evidence in certain cases of misdemeanour, as amended (p.266/335).",Consideration of the amendment make by the Committe of the Whole House to the Bill: An Act further securing the Independence of Praliament (p.267/335).,"Putting the House into a committee of the Whole on the Bill: An Act to amend the Act respecting the Elections of Members of the House of commons, as amended (p.269/335).",,That the Second Report of the Select Committee appointed to continue in the inquiry into the purchase of property at Fort William be adopted (p.284/335).,That the Bill: An Act further securing the Independence of Parliamant be return to the House of Commons with a Message to the effet that the Senate doth insist on their first amendment to the said Billm for the following reasons: - (p.292/335).,"That this House does not insist in their amendment to the Bill: An Act to amend the Act 38th Victoria, Chapter 11, intituled: An Act to establish a Supreme Cours and a Court of Exchequer for the Dominion of Canada, as amended (p.296/335)."
"Mills, Samuel",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1874.01.24 ,1867.10.23 , 1874.01.24 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Hazen, Robert Leonard",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1874.08.15 ,1867.10.23 , 1874.08.15 ,(Death),9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Malhiot, Charles",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1874.11.09 ,1867.10.23 , 1874.11.09 ,(Death),1,2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Kenny, Edward",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1876.04.11 ,1867.10.23 , 1876.04.11 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Holmes, John",Conservative (1867-1942),Nova Scotia,Royal Proclamation,1867.10.23 - 1876.06.03 ,1867.10.23 , 1876.06.03 ,(Death),2,1,9,1,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Robertson, John",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1876.08.03 ,1867.10.23 , 1876.08.03 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Letellier de St-Just, Luc",Nationalist Liberal,Quebec,Royal Proclamation,1867.10.23 - 1876.12.14 ,1867.10.23 , 1876.12.14 ,(Resignation),9,2,1,2,1,2,2,2,2,2,2,2,1,9,2,2,2,2,9,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Wilson, Charles",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1877.05.04 ,1867.10.23 , 1877.05.04 ,(Death),9,9,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,2,1,2,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
