Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S4S1V01,S4S1V02,S4S1V03,S4S1V04,S4S1V05,S4S1V06,S4S1V07,S4S1V08,S4S1V09,S4S1V10,S4S1V11,S4S1V12,S4S1V13,S4S1V14,S4S1V15,S4S1V16,S4S2V01,S4S2V02,S4S2V03,S4S2V04,S4S2V05,S4S2V06,S4S2V07,S4S2V08,S4S2V09,S4S2V10,S4S2V11,S4S2V12,S4S2V13,S4S3V01,S4S3V02,S4S3V03,S4S3V04,S4S3V05,S4S3V06,S4S3V07,S4S3V08,S4S3V09,S4S3V10,S4S3V11,S4S3V12,S4S3V13,S4S3V14,S4S3V15
Date,,,,,,,,04.02.1879,04.02.1879,04.18.1879,04.18.1879,04.23.1879,04.24.1879,04.25.1879,04.25.1879,05.02.1879,05.06.1879,05.07.1879,05.07.1879,05.09.1879,05.10.1879,05.12.1879,05.12.1879,03.11.1880,03.17.1880,03.31.1880,04.27.1880,04.28.1880,05.04.1880,05.04.1880,05.04.1880,05.04.1880,05.05.1880,05.05.1880,05.07.1880,05.07.1880,04.04.1882,04.05.1882,04.13.1882,04.14.1882,04.25.1882,05.01.1882,05.01.1882,05.03.1882,05.03.1882,05.04.1882,05.04.1882,05.04.1882,05.08.1882,05.16.1882,05.16.1882
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Bill:An Act to make the first day of July a public holiday by the name ofDominion DayŒéŒé as amended,Bill:An Act to make the first day of July a public holiday by the name ofDominion DayŒéŒé,Bill:An Act to provide for the liquidation of the affairs of Building Societies in the Provonce of QuebecŒé : first reading,Bill:An Act for the relief of Eliza Maria CampbellŒé: second reading as amanded,Bill: An Act respecting theOffices of Receiver-General and Minister of Public WorksŒé as amended,Bill: An Act for the relief of Eliza Maria CampbellŒé,Bill: An Act for the relief of Eliza Maria CampbellŒé as amended,Bill: An Act for the relief of Eliza Maria CampbellŒé : third reading,Bill: An Act to regulate the construction and maintenance of Marine Electric TelegrapheŒé: third reading,Bill: An Act to provide for the saleries of two additional Judges of the Supreme Court of British Colombia as amended,"Bill: An Act to amend the Acts incorporating theCíÇteau and Province Line Railway and Bridge CompanyŒé and theMontreal and City of Ottowa Junction Railway CompanyŒé and amending Atcs, and to amalgamate the said Compagnies","Bill: An Act to amend the Acts incorporating theCíÇteau and Province Line Railway and Bridge CompanyŒé and theMontreal and City of Ottowa Junction Railway CompanyŒé and amending Atcs, and to amalgamate the said Compagnies: third reading",Bill: An Act to repeat the Acts respecting Insolvency now in force in the Dominion as amended : second reding,Bill: An Act to provide for the payment of an additional temporary grant to the Province of Manitoba: third reading,Bill: An Act to provide for the salery of one additionalJudge of the Supreme Court of Nova ScotiaŒé as amended: second reading,Bill: An Act to provide for the salery of one additionalJudge of the Supreme Court of Nova ScotiaŒé as amended again: second reading,"Bill: An Act to Repeal the Act respecting Insolvency, now in force in Canada as amended: second reading",Motion,Bill: An Act respecting Dorchester Penitentiary as amended,Motion,Bill: An Act to legalize marriage with the sister of a deceased wife: second reading,Bill: An Act relating to interest on Moneys secured by Mortgage of Real Estate as amended: third reading,Bill: An Act relating to interest on Moneys secured by Mortgage of Real Estate as amended again,Bill: An Act relating to interest on Moneys secured by Mortgage of Real Estate as amended again,Bill: An Act relating to interest on Moneys secured by Mortgage of Real Estate as amended again,Consideration of the Fourth Report of the Select Committee appointed to examine and report upon the Contigent Accounts of the Senate for the present Session (p.257),"Bill: An act to remove doubts as to the true intent and meaning of Sub-section 2 of the Section 9 ofThe Canada Temperance ActŒé, 1878, and to further amend the said Act.",Bill: An Act to confirm a certain Order of the Governor in Council respecting the Graving Dock at Esquimalt : first reading,Bill: An Act relating to Interest on Moneys secured by Mortgage of Real Estate as amended,Motion for the second reading of the Bill intituled:An Act concerning  marriage with a deceaded wife's sisterŒé,"Bill: An Act to incorporate the Synod of the Diocese od Saskatchewan, and for other purposes connected therewith as amended",Bill: An Act concerning marriage with a deceased wife's sister as amended,Bill: An Act concerning marriage with a deceased wife's sister as amended: third reading,Bill: An Act to incorporate theWinnipeg and Springfield Bridge CompanyŒé as amanded,Motion,Bill: An Act of late Province of Canada intituled: An Act to incorporate the Board for the management of the Temporalities Fund of the Presbyterian Church of Canada in connection with the Church of Scotland and the Acts amending the same as amended: third reading,Motion to change some words,Motion to change some words,Bill: An Act to incorporate the Great Eastern Railway Company as amended,Motion to change some words in the Bill: An Act to incorporate the Great Eastern Railway Company ,Bill: An Act  to consolidate and amend the Acts relating to the Montreal Telegraph Company as amended,Bill: An Act to incorporate the Qu'Appelle Land Company as amended,Bill: An Act to read just the Representation in the House of Commons and  and for other purposes as amended,Bill: An Act to read just the Representation in the House of Commons and  and for other purposes as amended: third reading
"Lacoste, Louis",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1878.11.26 ,1867.10.23 , 1878.11.26 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"McDonald, Donald",Liberal Party of Canada,Ontario (Division),Royal Proclamation,1867.10.23 - 1879.01.20 ,1867.10.23 , 1879.01.20 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Northup, Jeremiah",Liberal Party of Canada,Nova Scotia,"Macdonald, John Alexander",1870.10.10 - 1879.04.10 ,1870.10.10 , 1879.04.10 ,(Death),9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Haviland, Thomas Heath",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1879.07.01 ,1873.10.18 , 1879.07.01 ,(Resignation),2,1,1,2,9,9,1,1,1,2,2,1,2,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Carrall, Robert William Weir",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1879.09.19 ,1871.12.13 , 1879.09.19 ,(Death),2,1,1,9,9,9,1,1,9,1,2,1,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Wilmot, Robert Duncan",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1880.02.10 ,1867.10.23 , 1880.02.10 ,(Resignation),2,1,1,2,2,9,1,1,2,2,2,1,1,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Seymour, Benjamin",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1880.03.23 ,1867.10.23 , 1880.03.23 ,(Death),1,2,1,2,2,1,1,1,1,9,9,2,1,2,2,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Brown, George",Liberal Party of Canada,Ontario,"Mackenzie, Alexander",1873.12.16 - 1880.05.09 ,1873.12.16 , 1880.05.09 ,(Death),9,9,9,9,9,9,9,9,9,1,1,1,1,2,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
