Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S5S1V01,S5S1V02,S5S1V03,S5S1V04,S5S1V05,S5S1V06,S5S2V01,S5S2V02,S5S2V03,S5S2V04,S5S2V05,S5S2V06,S5S2V07,S5S2V08,S5S3V01,S5S3V02,S5S3V03,S5S3V04,S5S3V05,S5S3V06,S5S3V07,S5S3V08,S5S3V09,S5S3V10,S5S3V11,S5S3V12,S5S3V13,S5S3V14,S5S3V15,S5S3V16,S5S3V17,S5S3V18,S5S3V19,S5S3V20,S5S3V21,S5S3V22,S5S3V23,S5S4V01,S5S4V02,S5S4V03,S5S4V04,S5S4V05,S5S4V06,S5S4V07,S5S4V08,S5S4V09,S5S4V10,S5S4V11,S5S4V12,S5S4V13,S5S4V14,S5S4V15,S5S4V16,S5S4V17,S5S4V18,S5S4V19,S5S4V20,S5S4V21,S5S4V22
Date,,,,,,,,04.17.1883,04.27.1883,04.30.1883,05.08.1883,05.11.1883,05.23.1883,03.03.1884,03.19.1884,03.21.1884,04.02.1884,04.04.1884,04.04.1884,04.04.1884,04.17.1884,02.23.1885,03.19.1885,03.20.1885,04.30.1885,05.01.1885,05.01.1885,05.07.1885,05.08.1885,05.26.1885,05.26.1885,05.26.1885,05.27.1885,05.27.1885,07.06.1885,07.06.1885,07.10.1885,07.14.1885,07.14.1885,07.14.1885,07.14.1885,07.14.1885,07.14.1885,07.16.1885,04.07.1886,04.07.1886,04.07.1886,04.12.1886,04.15.1886,04.30.1886,05.03.1886,05.04.1886,05.07.1886,05.07.1886,05.17.1886,05.18.1886,05.18.1886,05.20.1886,05.26.1886,05.26.1886,05.26.1886,05.27.1886,05.27.1886,05.27.1886,05.27.1886,05.29.1886
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"That the Bill: An Act further to amaned an Act intituled: An Act relating to Banks and Banking and the several Act amending the same , as amended be not not now read a third time, but that it be referred back to a Committee of the Whole House (p.175/348).","That the amendments made by the Committee on Railways, Telegraphs and Harbors to the Bill: An Act to incorporate the Canadian Rapid Telegraph Compagny(Limited), be not now agreed to, but that the Bill be committed to a Committee of the Whole Houses presently, for further consideraion (p.191/348).","That the Bill: An Act to amend the Criminal Law, and to extend the provisions of the Act respecting offences against the persons be not now read a third time, but that it be read a third time this day six months (p.194/348).",Motion that the Bill (An Act to authorize the Grand Trunk Railway Company of Canada to extend their traffic arrangement) be read a second time six months hence,"Motion that the Bill (An Act to authorize the Grand Trunk Railway Company of Canada to extend their traffic arrangement) be not now read a third time, but be committed to a Committee of the Whole House","Motion that the Bill (An Act respecting the sale of Intoxicating Liquors and the issue of licenses therefor) be not now read a third time, but that it's consideration be deferred",Second reading of the Bill: An Act amend to amend the Act intituled An Act respecting the Canadian Pacific Railway and for other purposes  (p.120/373).,Adjournment of the House.,Second reading of the Bill: An Act to incorpore The Roman Catholic Episcopal Corporation of Pontiac.,"Second reading of the Bill: An Act respecting the Cancouver Island Railway, the Esquimalt Graving Dock, and certain Railway lands of the Provinceof British Columbia, granted to the Dominion.","That the Bill: An Act to amend the Canada Temperance Act, 1878 be not now read a third time, but that it be re-committed to a Committee of the Whole House with instruction that follow: - (p.265/373).","Third reading of the Bill: An Act to maend tge Canada Temperance Act, 1878.(p.265/373).","Third reading of the Bill: An Act to amend the Canada Temperance Act,1878, as amended (p.266/373).","Third reading of the Bill: An Act further to amend The Consilidated Railway Act, 1879, and the Acts amending it, as amended (p.313/373).","That a Committee be appointed to enquire into and report from time to time to the House, the value of the remaining assets of the Bank of Upper Canada (p.83/475).","Third reading of the Bill: An Act for the relief of Alice Elvira Evans, as amended.","That the amendments contained in the the Report of the Committee on the Bill: An Act respecting Real Property in the North-West Territories be not now concurred in, but that the said Report be referred back to the said Committee (p.1873475).","That the Bill: An Act to amend an Act respecting offences against he Person be not now agreed to, but that the Bill be now recommitted to a Committee of the Whole House, as amended (p.281/475). ","That the Bill: An Act to amend an Act respecting Offences against the Person be not now read a third time, but that it be read a third time this day three months (p.287/475).",Third reading of the Bill: An Act to amend an Act respecting Offences against the Person (p.288/475).,"Consideration of the amendments made in the Committeee of the Whole to the Bill: An Act further to amend The Canada Temperance Act of 1878, and the Liquor License Act of 1883 (p.299/475).",Adjournment of the House (p.301/475).,"That the Bill: An Act further to amend the Canada Temperance Act, 1878 and The Liquor License Act 1883 be not now read a third time, but that it be further amended as follow: - ","That the Bill: An Act further to amend the Canada Temperance Act, 1878 and The Liquor License Act 1883 be not now read a third time, but that it be referred back to a Committee of the Whole House with instructions as follow:-  (p.319/475).","That the debate on the said motion in amendment be adjourned (Motion on the Bill: An Act further to amend the Canada Temperance Act, 1878 and The Liquor License Act 1883)(p.320/475).","That the Bill: An Act further to amend the Canada Temperance Act, 1878, and The Liquor License Act, 1883, be not now read a third time, but that it me amended as follow:- (p.324/475).","Third reading of the Bill An Act further to amend the Canada Temperance Act, 1878, and The Liquor License Act, 1883, (p.324/475).","That this House doth not insist upon its sixth amendment to the Bill (No. 92):  An Act further to amend The Canada Temperance Act 1878, and The Liquor License Act, 1883 to which the Commons disagree (p.360/475).","That this House doth not insist upon its eleventh amendment to the Bill (No. 92):  An Act further to amend The Canada Temperance Act 1878, and The Liquor License Act, 1883  to which the Commons disagree  (p.362/475).","That the Bill: An Act respecting the Electoral Franchise, be not now read a second time, but that it beread a second time this day six months (p.387/475).","That the Bill: An Act respecting the Electoral Franchise be not now read a third time, but that it be amended as follow(p.401/475).","That the Bill: An Act respecting the Electoral Franchise be not now read a third time, but that it be amended as follow(p.401/475).","That the Bill: An Act respecting the Electoral Franchise be not now read a third time, but that it be recommitted to a Committee of the Whole House (p.402/475).","That the Bill: An Act respecting the Electoral Franchise be not now read a third time, but that it be recommitted to a Committee of the Whole House(p.403/475).",That the Bill: An Act respecting the Electoral Franchise be amended (p.403/475).,"That the Bill: An Act respecting the Electoral Franchise be not now read a third time, but that it be amended as follow (p.404/475).","That the Bill: An Act further to amend the Acts respecting the Canadian Pacific Railway, and to provide for completion and successful operation thereof be not now read a third time but that the Bill be amended as follow (p.409/475).","Third reading of the Bill: An Act relating to Druggist, as amended (p.78/336).","That the Bill: An Act relating to Druggist be not now read a third time, but that it be referred back to a Committee of the Whole House (p.79/336).","That the Bill: An Act relating to Druggist be not now read a third time, but that it be referred back to a Committee of the Whole House (p.80/336).","That the Bill: An Act to amend An Act respecting Offences against the Person be not now read a second time, but that it be read a second time this day three months (p.89/336).",(p.106/336).,"That the Bill: An Act to incorporate the Northumberland Straits Tunnel Railway Compagny be not now read a third time, but that it be read a third time on Wednesday next (p.137/336).","That an humble Address be prensented to His Excellency the Governor General, expressing the opinion that it is not in the public interest that any more vancancies in the Senate, arising from death or any other case, should be filled, until the people of Dominion have had an opportunity, at the next general election, to express their views respecting the constitution of the Senate (p.141/336). ",Second reading of the Bill: An Act for the further amendment of the Law of Evidence in certain Cases (p.148/336).,"That the Bill : An Act respecting the extension of the Intercolonial Railway from a point at or near Stellarton to the Town of Pictou  be not now read a second time, but that it be amended as follow (p.165/336).","That the Bill: An Act to amend the Act to provide for the granting of a subsidy to the Chignecto Marine Transport Railway Compagny be not now read a second time, but that it be read a second time this day three months (p.165/336).","That this House wiil, on Tuesday next, the 18th May instant, resolve itself into a Committee of the Whole for the further consideration of the Bill from the House of Commons (No 3) intituled: An Act for the further amendment of the Law of Evidence in Certain Cases (p.198/336).","That the Bill: An Act respecting Experimental Farm Stations be not now read a thirs time, but that it be amended by adding thereto the following clause: - (p.207/336).","That the Bill: An Act further to amend An Act respecting Insolvent Banks, Insurance Companies, Loan Compagnies, Building Societies and Tradin Corporations  be not now read a second time, but that it be rea a second time this day six months (p.209/336).","That the Bill: An Act to incorporate the St.Gabriel Levee and Railway Compagny be not now read a third time, but that it me committted to a Committee of the Whole House (p.220/336).","That the Bill: An Act respecting the representation of the North-West Territories in the Parliament of Canada be not not read athird time, but that it be re-committed to a Committee of the Whole House (p.239/336).","That the Bill: An Act further to amend the Act respecting the Canadadian Pacific Railway be not now read a s third time, but that it be amended as follow:- (p.240/336).","That the Committee do not have to sit again to-morrow, but that it have leave to sit again this day six months (p.242/336).","That the amendments proposed by the Committee on Railways, Telegraph and Harbors, to the Bill: An Act respecting the Northern and Pacific Junction Railway Compagny be now agreed to (p.246/336).","That the Bill: An Act respecting the Northern and Pacific Junction Railway Compagny be not now read a third time, but amended as follow: -(p.246/336).","Third reading of the Bill: An Act respecting the Northern and Pacific Junction Railway Compagny, as amended  (p.247/336).",Third reading of the Bill: An Act respecting the Northern and Pacific Junction Railway Compagny (p.247/336).,Second reading of the Bill: An Act respecting the Department of Public Printing and Stationery (p.266/336).
"Fabre, Hector",Nationalist,Quebec,"Mackenzie, Alexander",1875.02.05 - 1882.07.12 ,1875.02.05 , 1882.07.12 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Hope, Adam",Liberal Party of Canada,Ontario,"Mackenzie, Alexander",1877.01.03 - 1882.08.07 ,1877.01.03 , 1882.08.07 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Dumouchel, Lí©andre",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1882.09.23 ,1867.10.23 , 1882.09.23 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Hamilton, John",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1882.10.10 ,1867.10.23 , 1882.10.10 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Chinic, EugíÂne",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.04.10 - 1882.11.03 ,1873.04.10 , 1882.11.03 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bureau, Jacques-Olivier",Liberal Party of Canada,Quebec,Royal Proclamation,1867.10.23 - 1883.02.07 ,1867.10.23 , 1883.02.07 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Gibbs, Thomas Nicholson",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1880.04.03 - 1883.04.07 ,1880.04.03 , 1883.04.07 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Price, David Edward",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1883.08.22 ,1867.10.23 , 1883.08.22 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
