Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S6S1V01,S6S1V02,S6S1V03,S6S1V04,S6S1V05,S6S2V01,S6S2V02,S6S2V03,S6S2V04,S6S2V05,S6S2V06,S6S2V07,S6S3V01,S6S3V02,S6S3V03,S6S3V04,S6S3V05,S6S3V06,S6S3V07,S6S3V08,S6S3V09,S6S3V10,S6S3V11,S6S3V12,S6S4V01,S6S4V02,S6S4V03,S6S4V04,S6S4V05,S6S4V06,S6S4V07,S6S4V08,S6S4V09,S6S4V10,S6S4V11,S6S4V12,S6S4V13,S6S4V14,S6S4V15,S6S4V16,S6S4V17
Date,,,,,,,,05.18.1887,06.01.1887,06.18.1887,06.18.1887,06.20.1887,03.19.1888,04.10.1888,04.10.1888,05.03.1888,05.09.1888,05.09.1888,05.18.1888,03.05.1889,03.19.1889,03.28.1889,04.01.1889,04.02.1889,04.03.1889,04.11.1889,04.29.1889,04.29.1889,04.29.1889,04.29.1889,05.01.1889,02.14.1890,02.14.1890,02.25.1890,03.03.1890,03.05.1890,03.17.1890,03.18.1890,03.19.1890,04.14.1890,04.16.1890,04.17.1890,04.18.1890,04.22.1890,05.01.1890,05.07.1890,05.14.1890,05.15.1890
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion to adjourn the Senate,Bill for the relief of Susan Ash - question of concurrence,An Act to amend the Chinese Immigration Act,Motion to read for a third time the Chinese Immigration Act,"Motion that the Fourth Report from the Select Committee be not now taken into consideration, but that it be taken into consideration this day three months",Motion that the Fourth Report be referred back to the Committee for further considertation,That the Report be now adopted,"That the Report be not now adopted, but that it be postponed",Motion of censure concerning George Alexander,That the Report be adopted,Motion that the Bill (An Act relative to the Upper Ottawa Improvement Company) be amended,Motion that the Bill (Dominion Elections Act) be amended,Motion that the motion to appoint the Select Committee to tinquire the expenditure of the Country in respect to Legislation be amended,Motion the the Bill (An Act for the Relief of William Gordon Lowry) be read a thrid time this day three months,Motion that the Bill (An Act to permit Foreign Vessels to aid Vessels wrecked or disabled in Canadian waters) be read a second time six months hence,Motion that the Bill (An Act to revive certain Regulations respecting Fisheries in Nova Scotia) be now read a second time,"Motion to refer the Bill (An Act to incorporate the Ottawa, Morrisburg and New York Railway Company) to the Committee for further consideration",Motion that the Bill (An Act to revive certain Regulations respecting Fisheries in Nova Scotia) be read a third time three months hence,Motion respecting duty fees and foreign trade,Motion that the Bill (An Act for the Preventation and Suppression of Combinations formed in Restraint of Trade) be amended,Motion that the Bill (An Act for the Preventation and Suppression of Combinations formed in Restraint of Trade) be amended,Motion that the Bill (An Act for the Preventation and Suppression of Combinations formed in Restraint of Trade) be amended,Motion that the Bill (An Act for the Preventation and Suppression of Combinations formed in Restraint of Trade) be amended,Motion that the Bill (An Act to provide for building and working of a line of railway from Harvey to Salisbury or Moncton in the Province of New Brunswick) be read a second time six months hence,Motion to adjourn the Senate,Motion that the Second Report of the Select Committee on Contingent Accounts of the Senate be amended,Motion that the Bill (An Act to amend to the Railway Act) be amended,Motion that the Second Report of the Select Committee be now adopted,"Motion that the Bill (An Act to incorporate the Ottawa, Morrisburg and New-York Railway Company) be not now read a third time but amended",Motion that the Bill (An Act to amend An Act concerning Marriage with a Deceased Wife's Sister) be now read a third time,Motion that the Bill (An Act to provide for the use of Gaelic language in official proceedings) be now read a second time,Motion that the Bill (An Act to incorporate the Grand Orange Lodge of British America) be now read a second time,Motion that the Bill (An Act respecting the Pontiac Pacific Junction Railway Company) be not now read a third time but that it be amended,Motion to adopt the Tenth Report from the Select Committee on Divorce,Motion that the Bill (An Act for the relief of Emily Walker) be now read a third time,Motion that the Bill (An Act for the Reckoning of Time) be now read a second time,Motion that the Eleventh Report from the Select Committee now be adopted,Motion that the Bill (An Act to amend the Acts respecting the North-West Territories) be not now read a third time but be amended,Motion that the Report of the Select Committee on Banking and Commerce be now adopted,"Motion that the Bill (An Act respecting Bansk and Banking) be not now read a third time, but that it be amended",Motion that the Sixth Report from the Select Committee be amended
"Nelson, Hugh",Liberal-Conservative,British Columbia,"Macdonald, John Alexander",1879.12.12 - 1887.03.01 ,1879.12.12 , 1887.03.01 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Hamilton, John",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1887.05.01 ,1867.10.23 , 1887.05.01 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Cormier, Charles",Nationalist Liberal,Quebec,Royal Proclamation,1867.10.23 - 1887.05.07 ,1867.10.23 , 1887.05.07 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"McMaster, William",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1887.09.22 ,1867.10.23 , 1887.09.22 ,(Death),9,1,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Sí©ní©cal, Louis Adí©lard",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1887.01.25 - 1887.10.11 ,1887.01.25 , 1887.10.11 ,(Death),9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Plumb, Josiah Burr",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1883.02.08 - 1888.03.12 ,1883.02.08 , 1888.03.12 ,(Death),2,1,1,2,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Rolland, Jean-Baptiste",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1887.10.22 - 1888.03.22 ,1887.10.22 , 1888.03.22 ,(Death),99,99,99,99,99,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Ferrier, James",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1888.05.30 ,1867.10.23 , 1888.05.30 ,(Death),9,1,9,9,9,1,1,2,1,1,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
