Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S8S1V01,S8S1V02,S8S2V01,S8S2V02,S8S2V03,S8S2V04,S8S2V05,S8S2V06,S8S2V07,S8S3V01,S8S3V02,S8S3V03,S8S3V04,S8S3V05,S8S3V06,S8S3V07,S8S3V08,S8S3V09,S8S3V10,S8S3V11,S8S4V01,S8S4V02,S8S4V03,S8S4V04,S8S4V05,S8S4V06,S8S4V07,S8S4V08,S8S4V09,S8S5V01,S8S5V02,S8S5V03,S8S5V04,S8S5V05,S8S5V06,S8S5V07,S8S5V08,S8S5V09,S8S5V10,S8S5V11,S8S5V12,S8S5V13,S8S5V14,S8S5V15,S8S5V16
Date,,,,,,,,09.30.1896,09.30.1896,05.05.1897,06.17.1897,06.19.1897,06.21.1897,06.23.1897,06.24.1897,06.28.1897,03.31.1898,04.29.1898,05.09.1898,05.09.1898,05.10.1898,05.12.1898,05.13.1898,06.03.1898,06.09.1898,06.10.1898,06.11.1898,06.16.1899,07.12.1899,07.12.1899,07.18.1899,07.18.1899,07.20.1899,07.20.1899,08.08.1899,08.11.1899,03.28.1900,05.10.1900,05.15.1900,06.13.1900,06.13.1900,06.19.1900,06.22.1900,06.28.1900,07.04.1900,07.04.1900,07.04.1900,07.09.1900,07.11.1900,07.11.1900,07.16.1900,07.18.1900
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Motion that the First Report of the Standing Committee on the Restaurant be not now adopted, but amended","Motion that the First Report of the Standing Committee on the Restaurant be not now adopted, but amended",Motion that the Third Report of the Committee of Selection be not adopted,Motion that the Third Report of the Standing Committee on Internal Economy and Contingent Accounts of the Senate be adopted as amended,Motion that the Bill (An Act to Amend An Act respecting certain Saving Banks in the Province of Quebec be committee to a Committee of the Whole House presently,Motion that the Senate do now adjourn,Motion that the Bill (An Act to confirm certain agreements entered into by Her Majesty with the Grand Trunk Railway Company of Canada and äó_) be read a second time three months hence,Motion that the amendments made by the Standing Committee to the Bill (An Act to incorporate the Yukon Mining and Transportation Company) be concurred with six months hence,Motion that the Bill (An Act to incorporate the Montreal and Southern Counties Railway Company) be read a third time three months hence,"Motion that further debate on amendment to the Bill (An Act to incorporate the Pacific and Yukon Railway, Navigation and Mining Company) be adjourned","Motion that Bill (An Act respecting the Canada Atlantic Railway Company) be not now read a third time, but amended","Motion that further debate on the amendment to the Bill (An Act to incorporate the Pacific and Yukon Railway, Navigation and Mining Company) be adjourned","Motion that the Bill (An Act to incorporate the Pacific and Yukon Railway, Navigation and Mining Company) be read a second time six months hence",Motion  that the Bill (An Act in further amendment of the Trade Mark and Design Act) be postponed sine die,Motion that the Bill (An Act to incorporate the Nakusp ans Slocan Railway Company) be read a third time six months hence,Motion that the Bill (An Act in further amendment of the Trade Mark and Design Act) be read a second time on Tuesday the 17th,"Motion that the Bill (An Act to repeal the Electoral Franchise Act, and to further amend the Dominion Elections Act) be amended",Motion that the Bill (An Act to amend and consolidate the North-West Irrigation Acts of 1894-1895) de amended,Motion that the Bill (An Act to incorporate the Lake Champlain and St. Lawrence Ship Canal Company) be read a third time six months hence,Motion that the Bill (An Act respecting the Manitoba School Fund) be now read a second time,Motion that the Senate be adjourned,Motion that the Bill be read a second time six months hence,Motion that the Bill (An Act to authorize the acquisition by the Dominion of the Drummond County Railway) be now read a second time,Motion that the Bill (An Act to confirm an agreement entered into by Her Majesty with the Grand Trunk Railway Company of Canada) be now read a third time as amended,Motion that the Bill (An Act to authorize the acquisition by the Dominion of the Drummond County Railway) be read a third time as amended six months hence,Motion that the Bill (An Act respecting Representation in the House of Commons) be amended,Motion that the Bill (An Act respecting Representation in the House of Commons) be read a second time as amended,Motion that the Bill ( An Act respecting the Departments of Customs and Inland Revenue) be read a second time three months hence,Motion that the Report of the Sub-Committee on Internal Economy and Contingent Accounts of the Senate be adopted six months hence,Motion that the Bill (An Act respecting Representation in the House of Commons) de read a second time six months hence,Motion that the Bill (An Act for the relief of Gertrude Bessie Patterson) be read a third time six months hence,Motion that the Bill (An Act to amend the General Inspection Act so as to provide a grade for Flax Seed) be amended,"Motion that the Report from the Standing Committee on Railways, Telegraphs and Harbours be referred back","Motion that the Bill (An Act further to amend the Criminal Code, 1892) de adopted as amended",Motion that the Bill (An Act respecting the Buffalo Railway Company) be read a third time six months hence,Motion that the Bill (An Act to incorporate the Canada National Railway and Transport Company) be referred back,Motion that the Bill (An Act respecting the Timagami Railway Company) be referred back to the Committee,Motion that the Bill (An Act respecting the Lake Timagami Railway Company) be amended,Motion that the Bill (An Act respecting the Lake Timagami Railway Company) be amended,Motion that the Bill (An Act respecting the Lake Timagami Railway Company) be amended,"Motion concerning the Bill (An Act further to amend the Criminal Code, 1892)",Motion that the Bill (An Act to amend the Act respecting the Judges of Provincial Courts) be referred back,"Motion that the Bill (An Act further to amend the Criminal Code, 1892) be amended",Motion that the Senate do not insist on their amendment to the Bill (An Act to amend the Act respecting the Judges of Provincial Courts),Motion that the Senate do not insist on some amendments to the Bill (An Act to consolidate and amend the law relating to the Election of Members of the Commons)
"Read, Robert",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.24 - 1896.06.29 ,1871.02.24 , 1896.06.29 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Macpherson, David Lewis",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1896.08.16 ,1867.10.23 , 1896.08.16 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Ferguson, John",Conservative (1867-1942),Ontario,"Abbott, John Joseph Caldwell",1892.10.01 - 1896.09.22 ,1892.10.01 , 1896.09.22 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"McClelan, Abner Reid",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1896.12.09 ,1867.10.23 , 1896.12.09 ,(Resignation),1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bí©chard, Franí_ois",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1896.07.17 - 1897.04.13 ,1896.07.17 , 1897.04.13 ,(Death),2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Robitaille, Thí©odore",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1885.01.29 - 1897.08.17 ,1885.01.29 , 1897.08.17 ,(Death),9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Mowat, Oliver",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1896.07.15 - 1897.11.17 ,1896.07.15 , 1897.11.17 ,(Resignation),1,1,9,1,1,1,9,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"McInnes, Thomas Robert",Independent,British Columbia,"Macdonald, John Alexander",1881.12.24 - 1897.11.18 ,1881.12.24 , 1897.11.18 ,(Resignation),9,9,1,9,2,9,2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
