Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S9S1V01,S9S1V02,S9S1V03,S9S2V01,S9S2V02,S9S2V03,S9S2V04,S9S3V01,S9S3V02,S9S3V03,S9S3V04,S9S3V05,S9S3V06,S9S3V07,S9S3V08,S9S3V09,S9S3V10,S9S3V11,S9S3V12,S9S3V13,S9S3V14,S9S4V01,S9S4V02,S9S4V03,S9S4V04,S9S4V05,S9S4V06,S9S4V07,S9S4V08,S9S4V09,S9S4V10,S9S4V11,S9S4V12,S9S4V13,S9S4V14,S9S4V15,S9S4V16,S9S4V17,S9S4V18,S9S4V19,S9S4V20,S9S4V21
Date,,,,,,,,03.13.1901,03.13.1901,05.03.1901,03.24.1902,04.16.1902,04.29.1902,05.14.1902,04.24.1903,04.30.1903,06.01.1903,06.01.1903,06.11.1903,06.15.1903,07.22.1903,08.20.1903,09.25.1903,09.25.1903,09.30.1903,10.07.1903,10.19.1903,10.23.1903,05.12.1904,05.12.1904,06.08.1904,06.10.1904,06.22.1904,06.22.1904,06.23.1904,06.23.1904,06.23.1904,06.23.1904,06.23.1904,06.24.1904,06.27.1904,06.28.1904,06.29.1904,07.19.1904,07.20.1904,07.20.1904,08.01.1904,08.04.1904,08.09.1904
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"That a Special Committee be appointed to inquire into the truth of the statements and allegations made in such telegrams, letters and affidavit, with power to send for persons and papers, to administer oaths, employ short-hand reporters, and, if deemed advisable, engage Counsel; and to report from time to time, as amended.(p.76/601).","That a Special Committee be appointed to inquire into the truth of the statements and allegations made in such telegrams, letters and affidavit, with power to send for persons and papers, to administer oaths, employ short-hand reporters, and, if deemed advisable, engage Counsel; and to report from time to time, main motion (p.76/601).","That the Report on Bill (H) &quot; An Act respecting the Dawson City Electric Company,&quot; be not now concurred in, but that the Report, and the said Bill be referred back to the Committee on Railways, Telegraphs and Harbours, (p.205/601).","That an Order of the Senate do issue ordering that the minutes of the meeting of the Special Committee appointed to strike the Standing Committees, held on the 21st February last, be laid upon the Table of the Senate.",Third Reading of the Bill (D) intituled: An Act for the relief of James Brown (p.127/343).,"That the Report of the Standing Committee on Internal Economy and Contingent Accounts of the 25th April, be not now adopted, but be referred back to the said Committee (p.174/343).","That the Bill (151) from the House of Commons, intituled : An  An Act for the remission of Penalties, as amended, be not now read a third time, but that it be read a third time this day three months (p.267/343).","Consideration of the Second Report of the Standing Committee on Internal Economy and Contingent Accounts of the Senate, as amended (p.87/613).",Adjournment of the House (p.105/613).,Adjournment of the debate (p.145/613).,"Third of the Bill (28) intituled : An Act respecting the Atlantic, Quebec and Western Railway Company (p.145/613).","Second Reading of the Bill (82) intituled : An Act respecting and restricting
Chinese Immigration (p.198/613).","That the said Bill (83) intituled : An Act to incorporate the New Canadian Company, Limited be referred to the Standing Committee on Kailways, Telegraphs and Harbours for further consideration (p.206/613).","Third Reading of the Bill (H) intituled: An Act to amend the Criminal Code, respecting Offences connected with Trade and Breaches of Contract (343/613).","Third Reading of the Bill (S) intituled : An Act to amend the Criminal Code, 1892, respecting Freedom of Labour (p.380/613).","That the said Bill (21) intituled : An Act to amend and consolidate the Law respecting Railways, be not now read a third time, but that it be further amended (p.441/613).","That the said Bill (21) intituled : An Act to amend and consolidate the Law respecting Railways, be not now read a third time, but that it be further amended (p.441/613).","That the said Bill (180) intituled : An Act to incorporate the Maritime Railway and Transportation Company, be not now read a second time, but that it be read a second time this day six months.","That this House does not concur in the ruling of His Honour the Speaker on the point of Order raised on the second section of the Bill (243) intituled : An Act to amend the Supreme and Exchequer Courts Act, the Exchequer Court Act, and the Act respecting the Judges of Provincial Courts (p.463/613).","That the Bill (235) intituled : An Act for the construction of a National Transcontinental Kailway,be now read
a second time, and the motion in amendment of the Honourable Mr. Ferguson thereto (p.491/613).",That the Senate does not further insist on its amendment No. 11 to section 44 of the Bill (21) intituled: An Act to amend and consolidate the law respecting Railways (p.519/613).,"That a Select Committee of five be appointed to investigate the position of the Mutual Eeserve Fund Life Association of New York in Canada, with power to end for papers persons, telegrams and records, to employ clerical services, and with Save to report from time to time, as amended (p.101/411).","That a Select Committee of five be appointed to investigate the position of the Mutual Eeserve Fund Life Association of New York in Canada, with power to end for papers persons, telegrams and records, to employ clerical services, and with Save to report from time to time (p.101/411).",Adjiournment of the debate (p.154/411).,"That the Report (Third Report
of the Standing Committee on Internal Economy and Contingent Accounts of
the Senate) be not now adopted, but that the same be referred back to
the Committee on Internal Economy and Contingent Accounts (p.162/411).","Second Reading of Bill (72) intituled: An Act to amend the National Transcon
tinental Railway Act and the proposed amendment of the Honourable Sir Mac
kenzie Bowell, K.C.M.G. (p.204/411).",The question being then put upon the main motion for the Second Heading of the (72) intituled: An Act to amend the National Transcontinental Railway Act (p.205/411).,"That said Bill (72) intituled:  An Act to amend the National Transcontinental Kailway Act. be not now read a third time, but that it be referred back to the Committee of the Whole House to be amended by adding the following to section 10 : (p.208/411).","That the said Bill (72) intituled:  An Act to amend the National Transcontinental Kailway Act., be not now read a third time, but that it be resolved, That it is not expedient to ratify the contract as , contained in the National Transcontinental Eailway Act, as amended by this Bill, until the people of Canada have had an oppor
tunity of expressing their opinion upon the same at the next general election. (p.208/411).","That the said Bill (72) intituled:  An Act to amend the National Transcontinental Kailway Act., be not now read a third time, but that it be referred back to a Committee of the Whole House with instructions as follow: - (p.209/411).","That the said Bill (72) intituled:  An Act to amend the National Transcontinental Kailway Act., be not now read a third time, but that it be referred back to a Committee of the Whole House with instructions as follow: - (p.209/411).",Third reading of the Bill (72) intituled:  An Act to amend the National Transcontinental Kailway Act. (p.210/411).,"That the amendments made in Committee affecting Bill (No. 94) intituled :
&quot; An
Act respecting the Timagimi Railway Company.&quot; be agreed to (p.216/411).",Second Reading of the Bill (119) intituled: An Act to amend the Canada Temperance Act (p.219/411).,"That an Order do issue for the attendance on Tuesday, the 28th inst,, at Three o clock in the afternoon, at the Bar of this House, of Mr. George D. Eldridge, of the City of New York, now in Ottawa, Vice-President and Actuary of the Mutual
Reserve Life Insurance Company, the witness named in the Report of the Select Committee appointed to investigate the position of the Mutual Reserve Fund Life Association of New York, in Canada (p.223/411).","That in the opinion of the Senate of Canada the Government should, during the present Session of Parliament, amend the Audit Act, and thereby retain the services of the Auditor General, whose mental vigour, courage, ability and long experience well qualify him to discharge the duties of his office, with advantage to the people of Canada (p.229/411).",Adjournement of the debate (p.262/411).,"That the consideraion of the Amendments make by the Standing Committee on Banking and Commerce to the Bill (H) intituled: An Act further to amend the Insurance Act be deferred until tue Committee of Investigation have completed their inquiry and presented their Final Report, as amended (p.264/411).",That the consideraion of the Amendments make by the Standing Committee on Banking and Commerce to the Bill (H) intituled: An Act further to amend the Insurance Act be deferred until tue Committee of Investigation have completed their inquiry and presented their Final Report (p.265/411).,"That the point of Order was well taken and that all that part of the said Report from paragraph 2 to paragraph 22, both inclusive, should not appear on the Journals of the Senate (292/411).","That the Fifth Report of the Standing Committee on Internal Economy and Contingent Accounts of the Senate be now adopted, as amended (p.303/411).","That the Bill (5) intituled : An Act respecting the Militia and Defence of Canada be not now read a third time, but that it be further amended (p.327/411)."
"MacInnes, Donald",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1881.12.24 - 1900.12.02 ,1881.12.24 , 1900.12.02 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Reesor, David",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1901.01.01 ,1867.10.23 , 1901.01.01 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Ogilvie, Alexander Walker",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1881.12.24 - 1901.01.18 ,1881.12.24 , 1901.01.18 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"McKindsey, George Crawford",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1884.01.11 - 1901.02.12 ,1884.01.11 , 1901.02.12 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Almon, William Johnston",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1879.04.15 - 1901.02.18 ,1879.04.15 , 1901.02.18 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Paquet, Joseph Arthur",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1898.06.27 - 1901.03.29 ,1898.06.27 , 1901.03.29 ,(Death),9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Ross, John Jones",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1887.04.12 - 1901.05.04 ,1887.04.12 , 1901.05.04 ,(Death),9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Villeneuve, Joseph Octave",Conservative (1867-1942),Quebec,"Bowell, Mackenzie",1896.01.02 - 1901.06.27 ,1896.01.02 , 1901.06.27 ,(Death),9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
