Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S10S1V01,S10S1V02,S10S1V03,S10S1V04,S10S1V05,S10S1V06,S10S1V07,S10S1V08,S10S1V09,S10S1V10,S10S1V11,S10S1V12,S10S1V13,S10S1V14,S10S1V15,S10S1V16,S10S1V17,S10S1V18,S10S1V19,S10S2V01,S10S2V02,S10S2V03,S10S2V04,S10S2V05,S10S2V06,S10S2V07,S10S2V08,S10S3V01,S10S3V02,S10S3V03,S10S3V04,S10S3V05,S10S3V06,S10S3V07,S10S3V08,S10S3V09,S10S4V01,S10S4V02,S10S4V03,S10S4V04,S10S4V05,S10S4V06,S10S4V07,S10S4V08,S10S4V09,S10S4V10,S10S4V11,S10S4V12,S10S4V13,S10S4V14,S10S4V15,S10S4V16,S10S4V17
Date,,,,,,,,03.30.1905,05.09.1905,06.15.1905,07.11.1905,07.15.1905,07.15.1905,07.18.1905,07.18.1905,07.18.1905,07.18.1905,07.18.1905,07.18.1905,07.18.1905,07.18.1905,07.18.1905,07.18.1905,07.18.1905,07.18.1905,07.18.1905,05.15.1906,05.31.1906,06.13.1906,06.15.1906,06.19.1906,06.22.1906,07.03.1906,07.11.1906,12.06.1906,02.21.1907,03.20.1907,04.09.1907,04.09.1907,04.16.1907,04.18.1907,04.23.1907,04.23.1907,01.28.1908,02.05.1908,02.27.1908,03.26.1908,03.31.1908,05.13.1908,05.19.1908,05.21.1908,06.02.1908,06.16.1908,06.17.1908,06.18.1908,06.18.1908,07.08.1908,07.10.1908,07.15.1908,07.17.1908
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Motion that the Bill (An Act to incorporate the Calgary, Red Deer and Battleford Railway Company) be amended",Motion that the Bill (An Act to incorporate the Brantford and Woodstock Railway Company) be read a third time six months hence,Motion that the Second Report of the Standing Committee on Internal Economy and Contingent Accounts of the Senate be amended,Motion that the Senate give instructions to pay the balance accounts of the Counsel-at-Law,Motion that the Bill (An Act to establish and provide for the Government of the Province of Alberta) be read a second time six months hence,Motion that the Bill (An Act to establish and provide for the Government of the Province of Saskatchewan) be read a second time six months hence,"Motion that the Bill (An Act to establish and provide for the Government of the Province of Alberta) be not now read a third time, but be amended","Motion that the Bill (An Act to establish and provide for the Government of the Province of Alberta) be not now read a third time, but be recommitted with instructions to amend it","Motion that the Bill (An Act to establish and provide for the Government of the Province of Alberta) be not now read a third time, but be recommitted with instructions to amend it","Motion that the Bill (An Act to establish and provide for the Government of the Province of Alberta) be not now read a third time, but be recommitted with instructions to amend it","Motion that the Bill (An Act to establish and provide for the Government of the Province of Alberta) be not now read a third time, but be recommitted with instructions to amend it","Motion that the Bill (An Act to establish and provide for the Government of the Province of Alberta) be not now read a third time, but be recommitted with instructions to amend it","Motion that the Bill (An Act to establish and provide for the Government of the Province of Saskatchewan) be not now read a third time, but be recommitted with instructions to amend it","Motion that the Bill (An Act to establish and provide for the Government of the Province of Saskatchewan) be not now read a third time, but be recommitted with instructions to amend it","Motion that the Bill (An Act to establish and provide for the Government of the Province of Saskatchewan) be not now read a third time, but be recommitted with instructions to amend it","Motion that the Bill (An Act to establish and provide for the Government of the Province of Saskatchewan) be not now read a third time, but be recommitted with instructions to amend it","Motion that the Bill (An Act to establish and provide for the Government of the Province of Saskatchewan) be not now read a third time, but be recommitted with instructions to amend it","Motion that the Bill (An Act to establish and provide for the Government of the Province of Saskatchewan) be not now read a third time, but be recommitted with instructions to amend it",Motion that the Bill (An Act respecting the South Shore Railway Company and the Quebec Southern Railway Company) be amended,Motion that the First Report of the Standing Committee on Divorce be adopted six months hence,"Motion that the Bill (An Act respecting the Vancouver Westminster and Yukon Railway Company) be not now read a third time, but amended",Motion that the Senate proceed to the consideration of the amendments made by the Standing Committee to Bill (An Act to incorporate the Brandon Transfer Railway Company),"Motion that the Bill (An Act to incorporate the Pacific and Eastern Railway Company) be not now read a third time, but amended",Motion that the Eighteenth Report of the Standing Committee on Divorce be now adopted,"Motion that the Bill (An Act respecting La Compagnie d'Assurance Mutuelle contre le feu des Comtí©s de Rimouski, Tí©miscouata et Kamouraska) be not now read a third time, but referred back to Committee","Motion that the Bill (An Act respecting Immigration and Immigrants) be not now read a third time, but be amended",Motion that the Senate do not insist on the ninth amendment to the Bill (An Act respecting the Lord's Day),"Motion that the Bill (An Act respecting the Revised Statues 1906, and to tprovide for the French version thereof) be not now read a third time, but referred back to the Committee of the Whole",Motion that First Report of the Standing Committee on Divorce be adopted six months hence,"Motion that the Bill (An Act to  amend the Conciliation Act, 1900) be read a second time six months hence",Motion that the amendment to the Bill (An Act respecting the Grand Trunk Railway Company of Canada) be amended,Motion to amend the Rules of the Proceedings of the Senate,Motion to respect the Section 92 of the Constitution (BNAA 1867),"Motion to consider the amendments made by the Standing Committee on Railways, Telegraphs and Harbours  to the Bill (An Act in further amendment of the Railway Act 1903)","Motion that the Report of the Standing Committee on Railways, Telegraphs and Harbours  to the Bill (An Act in further amendment of the Railway Act 1903) be referred back",Motion that the Third Report of the Standing Committee on Internal Economy and Contingent Accounts of the Senate be amended,Motion that the proposed Standing Rule of the Senate be amended,Motion to amend to Section 128 of the Rules and Orders of the Senate,Motion that the proposed amendment to Rule 128 be referred to the Standing Committee on Standing Orders,Motion that the Bill (An Act to amend the Railway Act) be recommitted,Motion that the Bill (An Act to restrict the Evils of Divorce) be read a second time,Motion to devise methods whereby a more equal division of the legislative initiative may be secured between the two branches of Parliament,"Motion that the Bill (An Act to incorporate the Dominion Lumbering and Power Development Company) be not now read a third time, but be amended","Motion that the Report of the Standing Committee on Railways, Telegraphs and Harbours be referred back",Motion that the resolution concerning legislative initiative passed the (05.19.1908) be fowarded to the Commons,Motion that the Bill (An Act respecting Juvenile Deliquents) be read a second time six months hence,"Motion the Report by the Standing Committee on Railways, Telegraphs and Harbours be considered six months hence",Motion to adjourn the Senate,"Motion that the Bill (An Act to incorporate the Shuswap and Thompson Rivers Boom Company) be not now read a third time, but referred to the Supreme Court",Motion that the amendment to the Bill (An Act to amend the Inspection and Sale Act as regards Grain) be amended,"Motion that the Bill (An Act to restrain the use of tabacco by young persons) be not now read a third time, but amended",Motion that the Report of the Standing Committee on Banking and Commerce be committed to the Whole House,Ruling of the Speaker
"Curry, Rufus",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1903.03.12 - 1905.03.30 ,1903.03.12 , 1905.03.30 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Wark, David",Liberal Party of Canada,New Brunswick,Royal Proclamation,1867.10.23 - 1905.08.20 ,1867.10.23 , 1905.08.20 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Black, Thomas Reuben",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1904.06.10 - 1905.09.14 ,1904.06.10 , 1905.09.14 ,(Death),2,2,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Fulford, George Taylor",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1900.01.29 - 1905.10.15 ,1900.01.29 , 1905.10.15 ,(Death),9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Church, Charles Edward",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1902.02.08 - 1906.01.03 ,1902.02.08 , 1906.01.03 ,(Death),9,9,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Templeman, William",Liberal Party of Canada,British Columbia,"Laurier, Wilfrid",1897.11.18 - 1906.02.16 ,1897.11.18 , 1906.02.16 ,(Resignation),2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Vidal, Alexander",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.01.15 - 1906.11.18 ,1873.01.15 , 1906.11.18 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,2,9,2,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Kerr, William",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1899.03.15 - 1906.11.22 ,1899.03.15 , 1906.11.22 ,(Death),2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
