Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S11S1V01,S11S1V02,S11S1V03,S11S1V04,S11S1V05,S11S1V06,S11S1V07,S11S1V08,S11S2V01,S11S2V02,S11S2V03,S11S2V04,S11S2V05
Date,,,,,,,,03.03.1909,04.01.1909,04.29.1909,05.13.1909,05.13.1909,05.14.1909,05.15.1909,05.15.1909,03.16.1910,03.17.1910,04.21.1910,04.26.1910,05.03.1910
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the (An Act to amend the Railway Act) be amended,"Motion that the Report by the Standing Committee on Railways, Telegraphs and Harbours be not now adopted, but amended","Motion that the Bill (An Act respecting the Manitoba and Northwestern Railway of Canada) but not now read a third time, but amended",Motion that the amendment to the Fifth Report of the Standing Committee on Internal Economy and Contingent Accounts of the Senate be amended,Motion that the Fifth Report of the Standing Committee on Internal Economy and Contingent Accounts of the Senate be amended,Motion that the Bill (An Act respecting the Canada Life Assurance Company) be read a third time six months hence,"Motion that the Bill (An Act to incorporate the Ontario and Michigan Power Company) be not now read a third time, but be amended","Motion that the Bill (An Act to incorporate the Ontario and Michigan Power Company) be not now read a third time, but be amended",Motion that the Bill (An Act to regulate the transportation of Intoxicating Liquors) be read a second time six months hence,Motion that the Senate do now adjourn,Motion that the Bill (An Act respecting the Guelph Junction Railway Company) be referred back to Committee,Motion that the Bill (An Act for the relief of Clifford Buell Lillie) be read a third time -- question whether this Bill shall pass,"Motion that the Senat do insist on amendments made to Bill (An Act toauthorize the Government of Canada to acquire, by lease, lines of railway connecting with Government Railways) notwithstanding disagreement by the Commons"
"Bernier, Thomas-Alfred",Conservative (1867-1942),Manitoba,"Abbott, John Joseph Caldwell",1892.10.27 - 1908.12.30 ,1892.10.27 , 1908.12.30 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99
"Thibaudeau, Joseph-Rosaire",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1878.01.04 - 1909.06.16 ,1878.01.04 , 1909.06.16 ,(Death),9,9,9,9,9,9,9,9,99,99,99,99,99
"Perley, William Dell",Conservative (1867-1942),Saskatchewan,"Macdonald, John Alexander",1888.08.03 - 1909.07.15 ,1888.08.03 , 1909.07.15 ,(Death),1,1,2,2,2,2,1,1,99,99,99,99,99
"Ferguson, Donald",Conservative (1867-1942),Prince Edward Island,"Thompson, John Sparrow David",1893.09.04 - 1909.09.03 ,1893.09.04 , 1909.09.03 ,(Death),2,1,2,9,9,2,9,9,99,99,99,99,99
"Drummond, George Alexander",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1888.12.01 - 1910.02.02 ,1888.12.01 , 1910.02.02 ,(Death),9,9,9,9,9,9,9,9,99,99,99,99,99
"Baker, George Barnard",Liberal-Conservative,Quebec,"Bowell, Mackenzie",1896.01.07 - 1910.02.09 ,1896.01.07 , 1910.02.09 ,(Death),9,9,9,1,1,9,1,1,99,99,99,99,99
"McGregor, James Drummond",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1903.04.24 - 1910.10.01 ,1903.04.24 , 1910.10.01 ,(Resignation),1,9,9,1,2,2,9,9,2,1,9,1,9
"Forget, Louis Joseph",Conservative (1867-1942),Quebec,"Tupper, Charles",1896.06.15 - 1911.04.07 ,1896.06.15 , 1911.04.07 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,1
