Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S13S1V01,S13S2V01,S13S2V02,S13S2V03,S13S2V04,S13S2V05,S13S2V06,S13S2V07,S13S2V08,S13S2V09,S13S2V10,S13S4V01,S13S4V02,S13S4V03,S13S4V04,S13S4V05,S13S4V06,S13S5V01,S13S5V02,S13S5V03
Date,,,,,,,,05.03.1918,05.13.1919,05.14.1919,05.22.1919,05.27.1919,05.27.1919,06.19.1919,06.27.1919,07.02.1919,07.03.1919,07.04.1919,04.14.1920,04.21.1920,04.28.1920,06.01.1920,06.01.1920,06.21.1920,04.26.1921,05.24.1921,05.24.1921
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Motion that the Bill (An Act to confer Electoral Franchise upon Women) be not now read a third time, but amended","Motion that the Bill (An Act to amend the Judges Act) be not now read a third time, but be amended",Ruling of the Speaker,Motion that a Standing Committee on Finance be appointed,"Motion that the Bill (An Act to incorporate Canadian National Railway Company and respecting Canadian National Railways) be not now read a third time, but be referred back for amendment","Motion that the Bill (An Act to incorporate Canadian National Railway Company and respecting Canadian National Railways) be not now read a third time, but be referred back for amendment","Motion that the Senate do not concur in the amendment of Bill (An Act to confirm the Order in Council of the 24th of February, 1919, prohibiting the Importation, Manufacture and Transportation of Intoxicating Liquors; and amendment thereof)",Motion that the Bill (An Act to amend the Criminal Code) be now read a second time,"Motion that the Senate do not insist on amendments made to Bill (An Act prohibiting the Importation, Manufacture and Transportation of Intoxicating Liquors), notwithstanding the Commons' opposition",Motion that the Fifty-seventh Reoprt of the Standing Committee on Divorce be adopted,Motion that the Bill (An Act to encourage the Construction and Improvement of Highways) be now read a second time,Motion that the Bill (An Act to provide Ontario and Prince Edward Island for the Dissolution and Annulment of Marriage) be now read a second time,Motion that the Bill (An Act respecting the Dissolution and Annulment of Marriage) be now read a second time,Motion that the Bill (An Act for the identification of Traders in German Goods) be read a third time six months hence,Motion that the Bill (An Act to amend the Immigration Act) be read a second time six months hence,Motion that the Bill (An Act to amend the Immigration Act) be now read a second time,Motion the reorganization of the various departments of the Government be taken care of by Canadian expertise,Motion that the Bill (An Act for the relief of Alphonse LeMoyne de Martigny) be read a third time six months hence,"Motion that the Senate do not insist on their second and third amendment to the Bill (An Act to amend the Judges Act), but that another amendment be substituted therefor",Motion that the Senate do not insist on their second and third amendment to the Bill (An Act to amend the Judges Act)
"Gillmor, Daniel",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1907.01.15 - 1918.02.22 ,1907.01.15 , 1918.02.22 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Shehyn, Joseph",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1900.02.05 - 1918.07.14 ,1900.02.05 , 1918.07.14 ,(Death),9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Mason, James",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1918.07.16 ,1913.05.26 , 1918.07.16 ,(Death),9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Richardson, Henry Westman",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.01.20 - 1918.10.27 ,1917.01.20 , 1918.10.27 ,(Death),1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Taylor, George",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1911.11.14 - 1919.03.26 ,1911.11.14 , 1919.03.26 ,(Death),2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"McLaren, Peter",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1890.02.21 - 1919.05.23 ,1890.02.21 , 1919.05.23 ,(Death),9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Talbot, Peter",Liberal Party of Canada,Alberta,"Laurier, Wilfrid",1906.03.08 - 1919.12.06 ,1906.03.08 , 1919.12.06 ,(Death),2,9,2,1,1,1,1,9,9,9,9,99,99,99,99,99,99,99,99,99
"Landry, Auguste-Charles-Philippe-Robert",Conservative (1867-1942),Quebec,"Abbott, John Joseph Caldwell",1892.02.23 - 1919.12.20 ,1892.02.23 , 1919.12.20 ,(Death),9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99
"Choquette, Philippe Auguste",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1904.09.30 - 1919.12.29 ,1904.09.30 , 1919.12.29 ,(Resignation),9,1,2,1,1,1,9,9,9,9,9,99,99,99,99,99,99,99,99,99
"Pringle, Roderick Harlold Clive",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.01.08 - 1920.05.02 ,1917.01.08 , 1920.05.02 ,(Death),9,2,1,2,2,2,2,9,2,1,9,9,9,9,99,99,99,99,99,99
"Dennis, William",Independent Conservative,Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1920.07.11 ,1912.11.20 , 1920.07.11 ,(Death),2,9,9,2,2,2,1,1,9,1,1,9,9,2,9,9,9,99,99,99
