Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S14S1V01,S14S1V02,S14S1V03,S14S2V01,S14S2V02,S14S2V03,S14S2V04,S14S2V05,S14S2V06,S14S2V07,S14S2V08,S14S3V01,S14S3V02,S14S3V03,S14S3V04,S14S3V05,S14S3V06,S14S3V07,S14S3V08,S14S4V01,S14S4V02,S14S4V03,S14S4V04,S14S4V05,S14S4V06
Date,,,,,,,,06.24.1922,06.26.1922,06.27.1922,03.01.1923,03.23.1923,05.17.1923,05.30.1923,06.27.1923,06.27.1923,06.27.1923,06.29.1923,06.24.1924,07.03.1924,07.03.1924,07.03.1924,07.09.1924,07.10.1924,07.14.1924,07.16.1924,06.16.1925,06.18.1925,06.24.1925,06.24.1925,06.24.1925,06.25.1925
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Third reading of the Bill 132, intituled: An Act to amend the Canada Temperance Act, as amended (p.402/497).","Second reading of the Bill 141, intituled: An Act to repeal The Lake of the Woods Regulation Act, 1921, as amended i.e. That the word now be left out and the following added at the end of the question: this day three months (p.414/497).","That the Senate do not insist on their second amendment to the Bill (132), intituled: An Act to amend the Canada Temperance Act (p.425/497).","Second Reading of the Bill C, intituled: An Act to amend The Dominion Elections Act (as regards the qualifications of Female Electors) (p.77/655).","Second Reading of the Bill A, intituled: An Act to amend Part IV of the Canada Temperance Act by providing for the abolition of licenses to manufacture Intoxicating Liquor in provinces wherein the sale thereof is prohibited, as amended i.e. that the word now be struck out and the following be added at the end of the question: this day six months (p.127/655).","Third Reading of the (Bill 24), intituled: An Act to amend The Copyright Act, as amended i.e. that the Bill be recommitted to a Committee of the Whole House forthwith (p.372/655).","Second reading of the Bill 43, intituled: An Act to amend the Canada Temperance Act (p.414/655).","Second Reading of the Bill 175, intituled: An Act to repeal The Lake of the Woods Regulation Act, 1921, as amended i.e. That the word now be struck out and the following added at the end of the question: this day six months (p.522/655).","That subclause five of clause one, as amended, be not concurred in ; amendment on the (Bill 43), intituled: An Act to amend The Canada Temperance Act (p.535/655).","That the Senate do not insist upon their third Amendment, and the question of concurrence being put thereupon, amendment on the Bill 84, An Act to amend The Industrial Disputes Investigation Act, 1907 (p538/655).","Second Reading of the (Bill 234), intituled: An Act respecting construction of Canadian National Railway Lines,and the Motion in Amendment (p.572/655).","Third Reading of the (Bill 7), intituled: An Act to amend The Industrial Disputes Investigation Act, 1907, as amended (p.368/629).","Third Reading of the Bill 48, An Act respecting the Construction of a Canadian National Railway Line from Turtleford to near Hafford in the province of Saskatchewan, as amended i.e. that the word now be struck out and the following be added at the end of the question: this day three months (p.430/629).","Third Reading of the Bill 46, An Act respecting the Construction of a Canadian National Railway Line from Lloydminster, in the province of Saskatchewan northwesterly 45 miles, as amended i.e. That the word now be struck out and the following be added at the end of the question: this day three months (p.431/629).","Adoption of the Amendments made by the Standing Committee on Railways, Telegraphs and Harbours to Bill 54, An Act respecting the Construction of a Canadian National Railway Line from or near Radville, Bengough or Ritchie, in the province of Saskatchewan (p.435/629).","Third Reading of the Bill 33, An Act respecting the Construction of a Canadian National Railway Line, Kamloops-Kelowna Division, province of British Columbia, as amended i.e. That the word now be struck out and the following be added at the end of the question: this day three months (p.457/629).","That the Bill: 47, An Act incorporating The United Church of Canada be committed to a Committee of the whole House presently, as amended (p.465/629).","That the Senate do not insist upon their amendments to Bill 7, An Act to amend The Industrial Disputes Investigation Act, 1907 (p.481/629).","Consideration of the third amendment made by the Standing Committee on Railways, Telegraphs and Harbours in the Schedule to Bill 64. An Act respecting the Construction of a Canadian National Railway Line from the end of the China Clay Branch to St. Remi d Amherst, in the province of Quebec (p.495/629).","Second reading of the Bill (4), intituled: An Act respecting Divorce (p.353/529).","Second reading of the Bill (160), intituled: An Act to provide for further advances to the Quebec Harbour Commissioners (p.379/529).","That the Report on the Bill (No. 210, from the House of Commons), intituled An Act respecting the construction of a Canadian National Railway line between bunnybrae and Guysborough, in the province of Nova Scotia be not now adopted, but that it be committed to a Committee of the Whole (p.406/529).","Consideration of the Message from the House of Commons, disagreeing to the amendments, made by the Senate, to the Bill (182), intituled: An Act for the relief of the Depositors of The Home Bank of Canada (p.410/529).","That the Senate doth insist on its amendments to the Bill (182), intituled: An Act for the relief of the Depositors of The Home Bank of Canada (p.411/529).","Second reading of the Bill (209) , intituled: An Act to amend the Canada Temperance Act,and on the proposed amendment thereto (p.429/529)."
"Crothers, Thomas Wilson",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.10.03 - 1921.12.10 ,1921.10.03 , 1921.12.10 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Boyer, Arthur",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1909.06.28 - 1922.01.24 ,1909.06.28 , 1922.01.24 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Beith, Robert",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1907.01.15 - 1922.01.26 ,1907.01.15 , 1922.01.26 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Milne, John",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1915.12.03 - 1922.03.04 ,1915.12.03 , 1922.03.04 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Thompson, Frederick Pemberton",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1902.02.07 - 1922.04.27 ,1902.02.07 , 1922.04.27 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Proudfoot, William",Unionist (Liberal),Ontario,"Borden, Robert Laird",1919.11.06 - 1922.12.03 ,1919.11.06 , 1922.12.03 ,(Death),2,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Godbout, Joseph",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1901.04.04 - 1923.04.01 ,1901.04.04 , 1923.04.01 ,(Death),9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Forget, Amí©dí©e-Emmanuel",Liberal Party of Canada,Alberta,"Laurier, Wilfrid",1911.05.02 - 1923.06.08 ,1911.05.02 , 1923.06.08 ,(Death),2,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
