Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S16S1V01,S16S1V02,S16S2V01,S16S2V02,S16S4V01,S16S4V02,S16S4V03,S16S4V04
Date,,,,,,,,03.24.1926,03.24.1926,03.22.1928,05.08.1928,05.15.1930,05.20.1930,05.30.1930,05.30.1930
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the Bill (An Act respecting Old Age Pensions) be read a second time,"Motion that the Bill (An Act respecting Old Age Pensions) be committed to a Committee of the Whole, presently, with the following instructions",Motion that the Bill (An Act to anebd the Post Office Act (Newspaper Ownership)) be read a second time six months hence,Motion that the Bill (An Act to amend the Criminal Code) be now read a second time,Motion that the Bill (An Act to provide in the province of Ontario for the dissolution and the annulment of Marriage) be read a second time six months hence,"Motion that the Bill (An Act to amend the Export Act) be not now read a third time, but be amended","Motion that the Bill (An Act to amend the Criminal Code) be not now read a third time, but be amended","Motion that the Bill (An Act to amend the Criminal Code) be not now read a third time, but be amended"
"Blain, Richard",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.07.26 - 1926.11.27 ,1917.07.26 , 1926.11.27 ,(Death),9,9,99,99,99,99,99,99
"McHugh, George",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1901.01.21 - 1926.11.28 ,1901.01.21 , 1926.11.28 ,(Death),9,9,99,99,99,99,99,99
"Pardee, Frederick Forsyth",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1922.03.11 - 1927.02.04 ,1922.03.11 , 1927.02.04 ,(Death),9,9,99,99,99,99,99,99
"Montplaisir, Hippolyte",Liberal-Conservative,Quebec,"Macdonald, John Alexander",1891.02.09 - 1927.06.20 ,1891.02.09 , 1927.06.20 ,(Death),1,1,99,99,99,99,99,99
"Mulholland, Robert Alexander",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1918.03.12 - 1927.10.01 ,1918.03.12 , 1927.10.01 ,(Death),1,2,99,99,99,99,99,99
"McCoig, Archibald Blake",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1922.01.04 - 1927.11.21 ,1922.01.04 , 1927.11.21 ,(Death),9,9,99,99,99,99,99,99
"Boyer, Gustave Benjamin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1922.03.11 - 1927.12.02 ,1922.03.11 , 1927.12.02 ,(Death),9,9,99,99,99,99,99,99
"Cloran, Henry Joseph",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.06.30 - 1928.02.08 ,1903.06.30 , 1928.02.08 ,(Death),9,9,99,99,99,99,99,99
"King, George Gerald",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1896.12.18 - 1928.04.28 ,1896.12.18 , 1928.04.28 ,(Death),9,9,9,99,99,99,99,99
"Webster, John",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1918.03.12 - 1928.12.01 ,1918.03.12 , 1928.12.01 ,(Death),1,2,1,2,99,99,99,99
"Ross, William Benjamin",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1929.01.10 ,1912.11.20 , 1929.01.10 ,(Death),2,2,1,2,99,99,99,99
"Watson, Robert",Liberal Party of Canada,Manitoba,"Laurier, Wilfrid",1900.01.29 - 1929.05.19 ,1900.01.29 , 1929.05.19 ,(Death),9,9,9,9,99,99,99,99
"Laflamme, Napolí©on Kemner",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1927.12.21 - 1929.08.10 ,1927.12.21 , 1929.08.10 ,(Death),99,99,1,1,99,99,99,99
"Kemp, Albert Edward",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.11.04 - 1929.08.12 ,1921.11.04 , 1929.08.12 ,(Death),9,9,9,9,99,99,99,99
"Reid, John Dowsley",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.09.22 - 1929.08.26 ,1921.09.22 , 1929.08.26 ,(Death),9,9,1,2,99,99,99,99
"Lavergne, Louis",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1910.10.13 - 1930.01.01 ,1910.10.13 , 1930.01.01 ,(Resignation),1,2,2,9,99,99,99,99
"Prowse, Benjamin Charles",Liberal Party of Canada,Prince Edward Island,"Laurier, Wilfrid",1911.05.05 - 1930.02.22 ,1911.05.05 , 1930.02.22 ,(Death),1,2,1,1,99,99,99,99
"Dessaulles, Georges-Casimir",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1907.03.12 - 1930.04.19 ,1907.03.12 , 1930.04.19 ,(Death),9,9,9,9,99,99,99,99
"Bostock, Hewitt",Liberal Party of Canada,British Columbia,"Laurier, Wilfrid",1904.06.06 - 1930.04.28 ,1904.06.06 , 1930.04.28 ,(Death),9,9,9,9,99,99,99,99
"Turriff, John Gillanders",Liberal Party of Canada,Saskatchewan,"Borden, Robert Laird",1918.09.23 - 1930.11.10 ,1918.09.23 , 1930.11.10 ,(Death),2,1,1,9,9,2,1,1
"Lessard, Prosper-Edmond",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1925.09.05 - 1931.04.11 ,1925.09.05 , 1931.04.11 ,(Death),1,2,2,1,1,2,9,9
"Foster, George Green",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.27 - 1931.05.01 ,1917.07.27 , 1931.05.01 ,(Death),2,2,1,2,9,9,9,9
"Farrell, Edward Matthew",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1910.01.12 - 1931.08.06 ,1910.01.12 , 1931.08.06 ,(Death),1,2,2,1,9,9,9,9
"Crowe, Sanford Johnston",Unionist (Liberal),British Columbia,"Meighen, Arthur",1921.12.01 - 1931.08.23 ,1921.12.01 , 1931.08.23 ,(Death),1,2,1,2,2,2,2,2
"Curry, Nathaniel",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1931.10.23 ,1912.11.20 , 1931.10.23 ,(Death),2,1,1,9,9,9,9,9
"Foster, George Eulas",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.09.22 - 1931.12.30 ,1921.09.22 , 1931.12.30 ,(Death),1,2,9,9,2,2,2,1
"Legris, Joseph Hormisdas",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.02.10 - 1932.03.06 ,1903.02.10 , 1932.03.06 ,(Death),1,1,2,9,9,9,9,9
"McDougald, Wilfrid Laurier",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1926.06.25 - 1932.05.03 ,1926.06.25 , 1932.05.03 ,(Resignation),1,2,9,1,9,9,9,9
"Girroir, Edward Lavin",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1932.05.08 ,1912.11.20 , 1932.05.08 ,(Death),1,2,1,9,9,9,9,9
"Willoughby, Wellington Bartley",Conservative (1867-1942),Saskatchewan,"Borden, Robert Laird",1917.10.23 - 1932.08.01 ,1917.10.23 , 1932.08.01 ,(Death),1,2,9,2,2,2,2,2
"Belcourt, Napolí©on Antoine",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1907.11.22 - 1932.08.07 ,1907.11.22 , 1932.08.07 ,(Death),1,1,2,1,1,2,1,9
"Haydon, Andrew",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1924.03.10 - 1932.11.10 ,1924.03.10 , 1932.11.10 ,(Death),1,2,1,1,1,2,9,9
"Ross, James Hamilton",Liberal Party of Canada,Saskatchewan,"Laurier, Wilfrid",1904.09.30 - 1932.12.14 ,1904.09.30 , 1932.12.14 ,(Death),1,2,9,1,2,9,1,1
"Todd, Irving Randall",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1918.03.07 - 1932.12.27 ,1918.03.07 , 1932.12.27 ,(Death),2,1,9,2,2,2,9,9
"Daniel, John Waterhouse",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1912.03.18 - 1933.01.11 ,1912.03.18 , 1933.01.11 ,(Death),1,2,2,9,2,1,2,2
"Bureau, Jacques",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1925.09.05 - 1933.01.23 ,1925.09.05 , 1933.01.23 ,(Death),1,2,2,1,1,9,9,9
"Paradis, Philippe-Jacques",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1927.12.14 - 1933.06.20 ,1927.12.14 , 1933.06.20 ,(Death),99,99,9,9,1,2,9,9
"Robertson, Gideon Decker",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.01.20 - 1933.08.05 ,1917.01.20 , 1933.08.05 ,(Death),1,2,9,2,9,9,9,9
"Bí©ique, Frí©dí©ric Liguori",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1902.02.07 - 1933.09.12 ,1902.02.07 , 1933.09.12 ,(Death),1,1,9,2,9,2,9,9
"Poirier, Pascal",Liberal-Conservative,New Brunswick,"Macdonald, John Alexander",1885.03.09 - 1933.09.25 ,1885.03.09 , 1933.09.25 ,(Death),1,2,9,9,9,9,9,9
"Fisher, John Henry",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.07.26 - 1933.12.01 ,1917.07.26 , 1933.12.01 ,(Death),9,9,1,2,2,9,2,2
"Tessier, Jules",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.03.12 - 1934.01.06 ,1903.03.12 , 1934.01.06 ,(Death),1,1,9,9,1,2,9,9
"Stanfield, John",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.02.17 - 1934.01.22 ,1921.02.17 , 1934.01.22 ,(Death),1,2,9,2,9,1,9,9
"Forke, Robert",Liberal Progressive,Manitoba,"King, William Lyon Mackenzie",1929.12.30 - 1934.02.02 ,1929.12.30 , 1934.02.02 ,(Death),99,99,99,99,2,2,1,1
"Wilson, Lawrence Alexander",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1930.06.03 - 1934.03.03 ,1930.06.03 , 1934.03.03 ,(Death),99,99,99,99,99,99,99,99
