Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S19S1V01,S19S1V02,S19S2V01,S19S2V02,S19S3V01,S19S4V01,S19S4V02,S19S4V03,S19S4V04,S19S5V01,S19S5V02,S19S5V03
Date,,,,,,,,07.24.1940,08.01.1940,06.04.1941,06.04.1941,07.29.1942,04.13.1943,04.21.1943,04.21.1943,07.07.1943,06.30.1944,07.26.1944,08.02.1944
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Motion that the Senate do not insist upon the amendment to which the Commons has disagreed concerning the Bill (An Act to amend the Farmers' Creditors Arrangement Act, 1934)","Motion that the Bill (An Act to establish an Unemployment Insurance Commission, to provide for Insurance against Unemployment, to establish an Employment Service, and for other purposes related thereto) be not now read a third time, but that it be further amended",Motion that the second amendment proposed to the Bill (An Act to amend the Pension Act) by the Standing Committee on Banking and Commerce be not concurred with,Motion that the first amendment proposed to the Bill (An Act to amend the Pension Act) by the Standing Committee on Banking and Commerce be not concurred with,"Motion that the Bill (An Act to amend The National Resources Mobilization Act, 1840) be read a second time",Motion that the Bill (An Act to enable a married person in certain circumstances to apply to a court of competent jurisdiction for a declaration that the other party to the marriage be presumed dead and for the dissolution of marriage) be read a second time,Motion that the Bill (An Act to amend The Department of Munitions and Supply Act) be read a second time after Easter recess,"Motion that the Bill (An Act to amend The Department of Munitions and Supply Act) be not now read a third time, but be amended",Motion that the readjustment of representation on the basis of the census of 1941 not be made during the the continuance of the hostilities,"Motion that the Bill (An Act to provide regulations enabling Canadian War Service electors to exercise their franchise, and Canadian prisoners of war to vote by proxy, at any general election held during the present war) be read a third time",Motion that the Bill (An Act to amend the Aeronautics Act) be now read a second time,Motion that the Bill (An Act to amend the Aeronautics Act) be amended
"Bourgeois, Charles",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1935.08.15 - 1940.05.15 ,1935.08.15 , 1940.05.15 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99
"Fauteux, Guillaume-Andrí©",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1933.12.30 - 1940.09.10 ,1933.12.30 , 1940.09.10 ,(Death),9,9,99,99,99,99,99,99,99,99,99,99
"Laird, Henry Willoughby",Conservative (1867-1942),Saskatchewan,"Borden, Robert Laird",1917.01.31 - 1940.09.30 ,1917.01.31 , 1940.09.30 ,(Death),9,9,99,99,99,99,99,99,99,99,99,99
"Hughes, James Joseph",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1925.09.05 - 1941.03.05 ,1925.09.05 , 1941.03.05 ,(Death),2,9,99,99,99,99,99,99,99,99,99,99
"Taylor, James Davis",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.10.23 - 1941.05.11 ,1917.10.23 , 1941.05.11 ,(Death),9,9,99,99,99,99,99,99,99,99,99,99
"L'Espí©rance, David Ovide",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.26 - 1941.08.31 ,1917.07.26 , 1941.08.31 ,(Death),9,9,9,9,99,99,99,99,99,99,99,99
"McMeans, Lendrum",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.07.26 - 1941.09.13 ,1917.07.26 , 1941.09.13 ,(Death),9,9,9,9,99,99,99,99,99,99,99,99
"Webster, Lorne Campbell",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1920.01.10 - 1941.09.27 ,1920.01.10 , 1941.09.27 ,(Death),2,1,2,9,99,99,99,99,99,99,99,99
