Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S21S2V01,S21S2V02,S21S4V01,S21S4V02,S21S5V01
Date,,,,,,,,05.16.1950,06.21.1950,03.21.1951,06.29.1951,10.17.1951
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the it be resolved that in the opinion of the Senate maragarine should be added to the list of foods which are exempt from the sales tax,Motion that the amendment made to the Bill (An Act to amend The Canada Grain Act) by the Standing Committee on Banking and Commerce be now concurred in,"Motion that the Bill (An Act for granting to His Majesty certain sums of money for the Public Service of the financial year ending 31st March, 1951) be not now read a third time, but amended",Motion that the Bill (An Act to establish national standards for dairy products and to regulate interprovincial and international trade in dairy products) be read a second time six months hence,Motion that the Rules of the Senate be amended
"Mackenzie, Ian Alistair",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1948.01.19 - 1949.09.02 ,1948.01.19 , 1949.09.02 ,(Death),99,99,99,99,99
"Penny, George Joseph",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1949.08.17 - 1949.12.04 ,1949.08.17 , 1949.12.04 ,(Death),99,99,99,99,99
"Copp, Arthur Bliss",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1925.09.25 - 1949.12.05 ,1925.09.25 , 1949.12.05 ,(Death),99,99,99,99,99
"Sinclair, John Ewen",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1930.06.07 - 1949.12.23 ,1930.06.07 , 1949.12.23 ,(Death),99,99,99,99,99
"St-PíÂre, íŠdouard-Charles",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1950.01.31 ,1940.02.09 , 1950.01.31 ,(Death),99,99,99,99,99
"Lesage, Joseph Arthur",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1950.03.09 ,1944.03.03 , 1950.03.09 ,(Death),99,99,99,99,99
"Lí©ger, Antoine Joseph",Progressive Conservative Party,New Brunswick,"Bennett, Richard Bedford",1935.08.14 - 1950.04.07 ,1935.08.14 , 1950.04.07 ,(Death),99,99,99,99,99
"Jones, George Burpee",Progressive Conservative Party,New Brunswick,"Bennett, Richard Bedford",1935.07.20 - 1950.04.27 ,1935.07.20 , 1950.04.27 ,(Death),99,99,99,99,99
"Mullins, Henry Alfred",Conservative (1867-1942),Manitoba,"Bennett, Richard Bedford",1935.08.14 - 1950.09.05 ,1935.08.14 , 1950.09.05 ,(Resignation),9,9,99,99,99
"Ballantyne, Charles Colquhoun",Progressive Conservative Party,Quebec,"Bennett, Richard Bedford",1932.02.03 - 1950.10.19 ,1932.02.03 , 1950.10.19 ,(Death),9,9,99,99,99
"Ferland, Charles-íŠdouard",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.04.18 - 1951.04.18 ,1945.04.18 , 1951.04.18 ,(Resignation),2,9,2,99,99
"Paquet, EugíÂne",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1935.08.14 - 1951.05.08 ,1935.08.14 , 1951.05.08 ,(Death),9,9,9,99,99
"Moraud, Lucien",Progressive Conservative Party,Quebec,"Bennett, Richard Bedford",1933.12.30 - 1951.05.29 ,1933.12.30 , 1951.05.29 ,(Death),9,9,9,99,99
"Gladstone, Robert William",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1949.09.07 - 1951.06.01 ,1949.09.07 , 1951.06.01 ,(Death),2,2,2,99,99
"Aylesworth, Allen Bristol",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1923.01.11 - 1952.02.13 ,1923.01.11 , 1952.02.13 ,(Death),9,9,9,9,9
"Bourque, Thomas-Jean",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1917.01.20 - 1952.02.16 ,1917.01.20 , 1952.02.16 ,(Death),9,9,9,9,9
"Quinton, Herman William",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1952.04.02 ,1951.01.24 , 1952.04.02 ,(Death),99,99,9,1,9
"Fogo, James Gordon",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1949.01.25 - 1952.07.06 ,1949.01.25 , 1952.07.06 ,(Death),2,9,2,9,9
"Lacasse, Joseph-Henri-Gustave",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.01.10 - 1953.01.18 ,1928.01.10 , 1953.01.18 ,(Death),1,1,9,1,9
"David, Louis-Athanase",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1953.01.26 ,1940.02.09 , 1953.01.26 ,(Death),9,2,9,9,2
"Doone, James Joseph Hayes",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1949.06.25 - 1953.04.06 ,1949.06.25 , 1953.04.06 ,(Death),9,9,9,9,9
"Duff, William",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1936.02.28 - 1953.04.25 ,1936.02.28 , 1953.04.25 ,(Death),9,1,1,9,2
"MacLennan, Donald",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1940.01.29 - 1953.10.19 ,1940.01.29 , 1953.10.19 ,(Death),9,9,9,9,9
"Davis, John Caswell",Liberal Party of Canada,Manitoba,"St-Laurent, Louis Stephen",1949.01.25 - 1953.10.25 ,1949.01.25 , 1953.10.25 ,(Death),9,9,9,1,1
"Burke, Vincent P.",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1950.01.25 - 1953.12.19 ,1950.01.25 , 1953.12.19 ,(Death),1,2,2,9,1
"Dennis, William Henry",Progressive Conservative Party,Nova Scotia,"Bennett, Richard Bedford",1932.02.03 - 1954.01.18 ,1932.02.03 , 1954.01.18 ,(Death),9,9,9,9,9
"Hushion, William James",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.15 - 1954.01.29 ,1940.02.15 , 1954.01.29 ,(Death),9,9,9,9,2
"Jones, John Walter",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1953.05.19 - 1954.03.31 ,1953.05.19 , 1954.03.31 ,(Death),99,99,99,99,99
"Emmerson, Henry Read",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1949.06.25 - 1954.06.21 ,1949.06.25 , 1954.06.21 ,(Death),2,1,1,9,1
"Buchanan, William Ashbury",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1925.09.05 - 1954.07.11 ,1925.09.05 , 1954.07.11 ,(Death),9,2,2,9,9
"Beauregard, Elie",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1954.08.27 ,1940.02.09 , 1954.08.27 ,(Death),9,9,9,9,9
"Hurtubise, Joseph Raoul",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.06.09 - 1955.01.31 ,1945.06.09 , 1955.01.31 ,(Death),2,2,2,2,9
"Fafard, Joseph-Fernand",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.01.29 - 1955.05.14 ,1940.01.29 , 1955.05.14 ,(Death),2,2,2,9,1
"King, James Horace",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1930.06.07 - 1955.07.14 ,1930.06.07 , 1955.07.14 ,(Death),9,9,9,1,9
"Du Tremblay, Pamphile Rí©al Blaise Nugent",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1942.11.19 - 1955.10.06 ,1942.11.19 , 1955.10.06 ,(Death),9,1,9,9,9
"Fallis, Iva Campbell",Progressive Conservative Party,Ontario,"Bennett, Richard Bedford",1935.07.20 - 1956.03.07 ,1935.07.20 , 1956.03.07 ,(Death),2,1,9,1,1
"Calder, James Alexander",Progressive Conservative Party,Saskatchewan,"Meighen, Arthur",1921.09.22 - 1956.07.20 ,1921.09.22 , 1956.07.20 ,(Death),9,9,9,9,1
"Godbout, Joseph Adí©lard",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1949.06.25 - 1956.09.18 ,1949.06.25 , 1956.09.18 ,(Death),2,9,2,2,9
"Stevenson, John James",Liberal Party of Canada,Saskatchewan,"King, William Lyon Mackenzie",1940.01.29 - 1956.09.21 ,1940.01.29 , 1956.09.21 ,(Death),2,2,2,2,1
"Ross, George Henry",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1948.12.01 - 1956.09.26 ,1948.12.01 , 1956.09.26 ,(Death),1,9,9,9,9
"Pirie, Frederick William",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.19 - 1956.10.03 ,1945.04.19 , 1956.10.03 ,(Death),2,9,1,9,9
"Duffus, Joseph James",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.15 - 1957.02.07 ,1940.02.15 , 1957.02.07 ,(Death),2,2,2,2,9
"Daigle, Armand",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1957.03.08 ,1944.03.03 , 1957.03.08 ,(Death),2,2,9,9,1
"McIntyre, James Peter",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1943.02.19 - 1957.04.08 ,1943.02.19 , 1957.04.08 ,(Death),2,9,2,9,1
"McGuire, William Henry",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1926.12.20 - 1957.10.31 ,1926.12.20 , 1957.10.31 ,(Death),9,1,9,1,2
"MacKinnon, James Angus",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1949.05.09 - 1958.04.18 ,1949.05.09 , 1958.04.18 ,(Death),2,9,9,2,9
