Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S24S2V01,S24S3V01,S24S4V01,S24S4V02,S24S4V03,S24S4V04,S24S4V05,S24S4V06,S24S4V07
Date,,,,,,,,04.28.1959,05.31.1960,05.10.1961,05.23.1961,06.14.1961,07.07.1961,07.10.1961,07.12.1961,07.13.1961
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion of the Honourable Senator Wall: That the Standing Committee on Finance be instructed to study the threat of inflation in Canada and that it be empowered to summon persons to produce documents and to report from time to time.,"Motion to amend Article 6 of Bill S-24, intituled ""An Act respecting the Wabush Lake Railway Company Limited and the Company railway Arnaud.""","That the Bill S-16, intituled ""An Act to incorporate the National Mortgage Corporation of Canada,"" be not now read a third time but be referred back to the Standing Committee on Banking and Commerce.","Second reading of Bill S-4, intituledd ""An Act to provide disclosure of finance charges.""","Adoption of the report of the Standing Committee on Banking and Commerce on Bill C-72, intituled ""An Act to amend the Customs Tariff.""","The message on Bill C-72, intituled ""An Act to amend the Customs Tariff"" from the House of Commons to be considered at the next sitting of the Senate.
",Adjournment of this House.,"That the Senate do not insist on the amendment the Senate  made äó†äó†to Bill C-72, intituled  ""Act modifian the Customs Tariff"", which the House of Commons did not agree.","Adoption of the report of the Standing Committee on Banking and Commerce which was referred Bill C-114, intituled ""An Act respecting the Bank of Canada."""
"MacKinnon, James Angus",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1949.05.09 - 1958.04.18 ,1949.05.09 , 1958.04.18 ,(Death),99,99,99,99,99,99,99,99,99
"Hawkins, Charles G.",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1950.05.02 - 1958.08.14 ,1950.05.02 , 1958.08.14 ,(Death),99,99,99,99,99,99,99,99,99
"Marcotte, Arthur",Conservative (1867-1942),Saskatchewan,"Bennett, Richard Bedford",1931.07.06 - 1958.08.18 ,1931.07.06 , 1958.08.18 ,(Death),99,99,99,99,99,99,99,99,99
"Nicol, Jacob",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.07.14 - 1958.09.23 ,1944.07.14 , 1958.09.23 ,(Death),99,99,99,99,99,99,99,99,99
"Howden, John Power",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1945.04.18 - 1959.11.04 ,1945.04.18 , 1959.11.04 ,(Death),9,99,99,99,99,99,99,99,99
"Petten, Ray",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1949.08.17 - 1961.02.16 ,1949.08.17 , 1961.02.16 ,(Death),1,9,99,99,99,99,99,99,99
"Quinn, Felix Patrick",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1935.07.20 - 1961.03.28 ,1935.07.20 , 1961.03.28 ,(Death),2,9,99,99,99,99,99,99,99
"Euler, William Daum",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.05.11 - 1961.07.15 ,1940.05.11 , 1961.07.15 ,(Death),1,9,9,9,9,9,9,9,9
