Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S28S1V01,S28S1V02,S28S1V03,S28S1V04,S28S1V05,S28S1V06,S28S1V07,S28S1V08,S28S2V01,S28S2V02,S28S3V01,S28S3V02,S28S3V03,S28S3V04,S28S3V05,S28S3V06,S28S3V07,S28S3V08
Date,,,,,,,,10.16.1968,11.19.1968,04.22.1969,06.03.1969,06.03.1969,06.10.1969,06.17.1969,06.26.1969,05.12.1970,05.13.1970,12.03.1970,12.03.1970,06.02.1971,06.29.1971,12.16.1971,12.16.1971,12.21.1971,12.31.1971
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the Report concerning Bill S-8 (An Act to amend the Act respecting the Supreme Court of Canada) be referred back to the Standing Committee on Banking and Commerce,"Motion that the Bill S-15 (An Act to amend the Act on Food and Drugs, and the Act on Narcotics, and by way of consequence, The Criminal Code) be not now read a third time, but amended",Motion that the Bill C-165 (An Act to amend the Act on Revenue Taxation and the Act on Inheritance Taxation) be now read a second time,Motion that the debate be adjourned,"Motion that the substitution of Senators on the Standing Committee on Judicial and Constitutional Affairs, be not immediate, but that it be made after the presentation of the Report of the Committee on Bill S-21 (An Act to amend the Criminal Code)","Motion that the Bill C-150 (An Act to amend the Criminal Code, etc.) be now read a second time",Motion that the Bill S-21 (An Act to amend the Criminal Code) be now read a third time,"Motion that the Bill S-24 (An Act to amend the Electoral Act (Age of Voters)) be not now read a third time, but be referred to Committee","Motion that the Bill C-3 (An Act to amend the Criminal Code) be not now read a second time, but be referred to the Supreme Court",Motion that the Bill C-3 (An Act to amend the Criminal Code) be now read a second time,"Motion that the Bill C-181 (An Act to provide for Special Powers for Keeping Public Order in Canada), be not now read a third time, but be amended","Motion that the Bill C-181 (An Act to provide for Special Powers for Keeping Public Order in Canada), be not now read a third time, but be referred back to Committee","Motion that the Senate opposes the Transalaskian Crude Oil Pipeline and the Transport of Crude by Ships, on reasons of safety and efficiency, and that the matters be referred to Committee",Motion that the debate be adjourned,Motion that the Rules of Senate 44. 45 & 78 be suspended for the remaining of the sitting for Bills of public interest,Motion that the Senate adjourn today to the 10th of January 1972,Motion that the Bill C-259 (An Act to amend the Act on Revenue Taxation) be now read a third time,Motion that the debate be adjourned to January the 11th 1972
"Pouliot, Jean-Franí_ois",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1968.06.28 ,1955.07.28 , 1968.06.28 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Thí©riault, Edward Joseph",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1968.04.20 - 1968.12.20 ,1968.04.20 , 1968.12.20 ,(Death),9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Smith, Sydney John",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1957.01.03 - 1968.12.31 ,1957.01.03 , 1968.12.31 ,(Resignation),9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Vaillancourt, Cyrille",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1969.01.03 ,1944.03.03 , 1969.01.03 ,(Resignation),9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"MacKenzie, Norman Archibald MacRae",Independent Liberal,British Columbia,"Pearson, Lester Bowles",1966.02.24 - 1969.01.05 ,1966.02.24 , 1969.01.05 ,(Retirement),2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Beaubien, Arthur-Lucien",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1940.01.29 - 1969.02.01 ,1940.01.29 , 1969.02.01 ,(Resignation),9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"O'Leary, Clement Augustine",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1962.09.25 - 1969.06.12 ,1962.09.25 , 1969.06.12 ,(Death),2,2,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99
"Thorvaldson, Gunnar Solmundur",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1958.01.29 - 1969.08.02 ,1958.01.29 , 1969.08.02 ,(Death),2,2,2,1,1,1,9,1,99,99,99,99,99,99,99,99,99,99
