Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S29S1V01,S29S1V02,S29S1V03,S29S1V04,S29S1V05,S29S1V06,S29S1V07
Date,,,,,,,,11.20.1973,11.31.1973,12.12.1973,12.12.1973,01.11.1974,01.12.1974,01.12.1974
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Second reading of Bill C-2: An Act to amend the Criminal Code,Vote on a decision of the President on his declaration of inadmissibility of an amendment from the Honorable Senator Macnaughton on Bill C-2: An Act to amend the Criminal Code,"Third reading of Bill C-132: An Act to review and appraisal of takeovers of Canadian business by certain persons and those of creation, by certain persons , of new business in Canada with  amendment","Third reading of Bill C-132: An Act to review and appraisal of takeovers of Canadian business by certain persons and those of creation, by certain persons , of new business in Canada with  amendment once again",Vote on the question of the study of the refusal by the House of the amendment by the Senate to Bill C-176 later that day,"Vote that the Senate do not insist regarding his amendment to Bill C-176 An Act to amend the Criminal Code, the Law on Liability of the Crown and the Law on Official Secrets That a message be sent in the House of Commons in consequences with amendment","Vote that the Senate do not insist regarding his amendment to Bill C-176 An Act to amend the Criminal Code, the Law on Liability of the Crown and the Law on Official Secrets That a message be sent in the House of Commons in consequences "
"White, George Stanley",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.09.20 - 1972.11.17 ,1957.09.20 , 1972.11.17 ,(Resignation),99,99,99,99,99,99,99
"Isnor, Gordon Benjamin",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1950.05.02 - 1973.03.17 ,1950.05.02 , 1973.03.17 ,(Death),99,99,99,99,99,99,99
"Kinnear, Mary Elizabeth",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1973.04.03 ,1967.04.06 , 1973.04.03 ,(Retirement),99,99,99,99,99,99,99
"Nichol, John Lang",Liberal Party of Canada,British Columbia,"Pearson, Lester Bowles",1966.02.24 - 1973.04.19 ,1966.02.24 , 1973.04.19 ,(Resignation),99,99,99,99,99,99,99
"Rattenbury, Nelson",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1964.02.14 - 1973.05.27 ,1964.02.14 , 1973.05.27 ,(Death),99,99,99,99,99,99,99
"McLean, Donald Allan",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1968.03.15 - 1973.11.05 ,1968.03.15 , 1973.11.05 ,(Death),99,99,99,99,99,99,99
"Bourque, Romuald",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.07.06 - 1974.08.14 ,1963.07.06 , 1974.08.14 ,(Death),9,9,9,9,9,9,9
"Martin, Paul Joseph James",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1968.04.20 - 1974.10.30 ,1968.04.20 , 1974.10.30 ,(Resignation),1,1,2,2,1,2,1
"Aird, John Black",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1964.11.10 - 1974.11.28 ,1964.11.10 , 1974.11.28 ,(Resignation),9,9,9,9,9,9,9
"Kickham, Thomas Joseph",Liberal Party of Canada,Prince Edward Island,"Pearson, Lester Bowles",1966.07.08 - 1974.12.01 ,1966.07.08 , 1974.12.01 ,(Death),9,9,9,9,9,9,9
"Laing, Arthur",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1972.09.01 - 1975.02.13 ,1972.09.01 , 1975.02.13 ,(Death),9,9,9,9,1,2,9
"Fergusson, Muriel McQueen",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1953.05.19 - 1975.05.23 ,1953.05.19 , 1975.05.23 ,(Resignation),9,9,9,9,9,9,9
"Welch, Frank Corbett",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1962.09.25 - 1975.07.14 ,1962.09.25 , 1975.07.14 ,(Resignation),9,9,9,9,9,9,9
"Gí©linas, Louis-Philippe",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.06.11 - 1975.12.10 ,1963.06.11 , 1975.12.10 ,(Resignation),9,9,9,9,9,9,9
