Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S30S1V01,S30S1V02,S30S1V03,S30S1V04,S30S1V05,S30S1V06,S30S1V07,S30S1V08,S30S1V09,S30S1V10,S30S1V11,S30S1V12,S30S2V01,S30S2V02,S30S2V03,S30S2V04,S30S2V05,S30S2V06,S30S2V07,S30S3V01,S30S3V02,S30S3V03,S30S3V04,S30S3V05,S30S4V01,S30S4V02,S30S4V03,S30S4V04,S30S4V05,S30S4V06,S30S4V07
Date,,,,,,,,12.17.1974,12.18.1974,03.13.1975,06.05.1975,06.18.1975,12.10.1975,12.10.1975,03.16.1976,04.06.1976,06.29.1976,07.13.1976,07.16.1976,02.02.1977,06.01.1977,06.01.1977,06.07.1977,08.03.1977,08.03.1977,08.04.1977,04.11.1978,04.12.1978,04.13.1978,04.20.1978,06.07.1978,12.21.1978,12.22.1978,12.22.1978,12.22.1978,12.22.1978,03.07.1979,03.07.1979
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Vote that the Bill C-42: An Act for granting to Her Majesty certain sums of money to the utility of the fiscal year ending March 31, 1975, be referred to the Standing Senate Committee on National Finance","Vote that the Bill C-42: An Act for granting to Her Majesty certain sums of money to the utility of the fiscal year ending March 31, 1975, be referred to the Standing Senate Committee on National Finance with instruction äó_ (156)",Third reading of Bill C-49 An Act to amend the tax law with amendments,"Vote on adoption of the report of the Standing Senate Committee on Legal and Constitutional Affairs on Bill S-19 An Act to amend the Food and Drugs Act, the Narcotic Control Act and the Criminal Code","Third reading of Bill S-19 An Act to amend the Food and Drugs Act, the Narcotic Control Act and the Criminal Code with amendments","Third reading of Bill C-73: An Act to limit profit margins, prices, dividends and remunerations in Canada with the amendments of the Committee and Senator Macdonald","Third reading of Bill C-73: An Act to limit profit margins, prices, dividends and remunerations in Canada with new amendments","Third reading of Bill C-71 An Act to amend the Criminal Code and the necessary changes to the Act the responsibility of the Crown, the Immigration Act and the Act on the conditional release of prisoners with amendments",Second reading of Bill C-58 An Act to amend the Law of Income Tax,Third reading of Bill C-20 An Act regarding  citizenship with amendments,Second reading of Bill C-68 An Act to amend the Act on health care,Second reading of Bill C-84 An Act to amend the Criminal Code (murder and certain other serious offenses),"Question being put that copies of the letters of the Prime Minister of Canada to the Premiers of the provonces concerning the patriation of the Constitution, with draft resolution attached thereto, dated January 19, 1977, and tabled in the Senate on 1st February, 1977, be printed as an Appprendix to the Debates of the Senate as requested by Honourable Senator Forsey ","Motion that Bill C-309 does not read the second time now, but that the subject be referred to the Standing Senate Committee on Banking and Commerce for study and report",Second reading of Bill C-309: An Act respecting the domestic and industrial use of solar energy with amendment,"Third reading of Bill C-9: An Act to approve, give effect to and declare valid certain agreements between the Grand Council ofthe Crees (of Quebec) ... and the Government of Canada and certain other agreements conex which is part of the Government of Canada with amendment","Vote on adoption of the report of the Standing Senate Committee on Agriculture concerning the Bill C-34, An Act to amend the Act respecting the Canadian Wheat Board through the creation of marketing plans and modify accordingly the Act from method for counting on the Western Grain with amendment","Vote on adoption of the report of the Standing Senate Committee on Agriculture concerning the Bill C-34, An Act to amend the Act respecting the Canadian Wheat Board through the creation of marketing plans and modify accordingly the Act from method for counting on the Western Grain",Third reading of Bill C-24 : An Act regarding immigration to Canada with amendment,"Third reading of Bill C-25: An Act to establish the Administration of the pipeline in the North, to facilitate the planning and construction of a pipeline used to transport natural gas from Alaska and northern Canada, giving effect to the Agreement between Canada and the United States of America on the principles for the pipeline and to amend certain Acts with amendments","Vote for the Bill C-8: An Act to amend the Canada Labour Code, be referred to a plenary committee later this day","Motion that Bill C-8: An Act to amend the Canada Labour Code, be referred to the Standing Senate Committee on Health",Third reading of Bill C-45: An Act to provide for the continuation of normal mail service with amendment,Third reading of Bill C-10: An Act to Amend the Financial Administration Act with amendments,"Vote for that by December 31, 1978, Articles 44, 45 and 78 of the Rules be suspended in regard to bills of public interest","Vote for the study report (Standing Senate Committee on Health, Welfare and Science on the subject of Bill C-14 Amendment Act of 1971 Unemployment Insurance) is sent up at the next sitting of the Senate","Vote for the study report (Standing Senate Committee on Health, Welfare and Science on the subject of Bill C-14 Amendment Act of 1971 Unemployment Insurance) is sent up at the next sitting of the Senate once again",Second reading of Bill C-14: Amendment Act of 1971 Unemployment Insurance,Third reading of Bill C-14: Amendment Act of 1971 Unemployment Insurance,"Vote for the Bill C-2: An Act to amend the Act regarding the Fund health aid may not be read the third time, but sent to the Senate Committee on Health, Welfare and Science to study go deeper over the request of the Government of British Columbia to appear before the committee","Vote for the Bill C-2: An Act to amend the Act respecting the Benefits Fundhealth aid may not be read the third time, but brings an amendment "
"Bourque, Romuald",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.07.06 - 1974.08.14 ,1963.07.06 , 1974.08.14 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Martin, Paul Joseph James",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1968.04.20 - 1974.10.30 ,1968.04.20 , 1974.10.30 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Aird, John Black",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1964.11.10 - 1974.11.28 ,1964.11.10 , 1974.11.28 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Kickham, Thomas Joseph",Liberal Party of Canada,Prince Edward Island,"Pearson, Lester Bowles",1966.07.08 - 1974.12.01 ,1966.07.08 , 1974.12.01 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Laing, Arthur",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1972.09.01 - 1975.02.13 ,1972.09.01 , 1975.02.13 ,(Death),9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Fergusson, Muriel McQueen",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1953.05.19 - 1975.05.23 ,1953.05.19 , 1975.05.23 ,(Resignation),1,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Welch, Frank Corbett",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1962.09.25 - 1975.07.14 ,1962.09.25 , 1975.07.14 ,(Resignation),9,9,9,9,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Gí©linas, Louis-Philippe",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.06.11 - 1975.12.10 ,1963.06.11 , 1975.12.10 ,(Resignation),9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
