Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S31S1V01,S31S1V02
Date,,,,,,,,xxxx,xxxx
Bill,,,,,,,"yay=1,nay=2,paired=3,yes+no=4,yes+paired=5,no+paired=6,yes+no+paired=7,notvote=ENPTY,Abstention=8,Problem=9999",xxxx,xxxx
"Adams,  Willie",Liberal Party of Canada,Northwest Territories,"Trudeau, Pierre Elliott",1977.04.05 - 2009.06.22 ,1977.04.05 , 2009.06.22 ,(Retirement),9999,9999
"Anderson,  Margaret Jean",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1978.03.23 - 1990.08.07 ,1978.03.23 , 1990.08.07 ,(Retirement),9999,9999
"Argue,  Hazen Robert",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1966.02.24 - 1991.10.02 ,1966.02.24 , 1991.10.02 ,(Death),9999,9999
"Asselin,  Martial",Progressive Conservative Party,Quebec,"Trudeau, Pierre Elliott",1972.09.01 - 1990.08.07 ,1972.09.01 , 1990.08.07 ,(Resignation),9999,9999
"Austin,  Jack",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1975.08.19 - 2007.03.02 ,1975.08.19 , 2007.03.02 ,(Retirement),9999,9999
"Balfour,  James",Progressive Conservative Party,Saskatchewan,"Clark, Charles Joseph",1979.09.13 - 1999.12.12 ,1979.09.13 , 1999.12.12 ,(Death),9999,9999
"Barrow,  Augustus Irvine",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1974.05.08 - 1988.02.15 ,1974.05.08 , 1988.02.15 ,(Retirement),9999,9999
"Beaubien,  Louis-Philippe",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1985.03.28 ,1960.11.16 , 1985.03.28 ,(Death),9999,9999
"B_lisle,  Rh_al",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1992.11.03 ,1963.02.04 , 1992.11.03 ,(Death),9999,9999
"Bell (Heath),  Ann Elizabeth Haddon",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 1989.11.29 ,1970.10.07 , 1989.11.29 ,(Death),9999,9999
"Benidickson,  William Moore",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1965.07.07 - 1985.01.04 ,1965.07.07 , 1985.01.04 ,(Death),9999,9999
"Bielish,  Martha Palamarek",Progressive Conservative Party,Alberta,"Clark, Charles Joseph",1979.09.27 - 1990.09.26 ,1979.09.27 , 1990.09.26 ,(Resignation),9999,9999
"Bird,  Florence Bayard",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1978.03.23 - 1983.01.15 ,1978.03.23 , 1983.01.15 ,(Retirement),9999,9999
"Bonnell,  M. Lorne",Liberal Party of Canada,Prince Edward Island,"Trudeau, Pierre Elliott",1971.11.04 - 1998.01.04 ,1971.11.04 , 1998.01.04 ,(Retirement),9999,9999
"Bosa,  Peter",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1977.04.05 - 1998.12.10 ,1977.04.05 , 1998.12.10 ,(Death),9999,9999
"Buckwold,  Sidney Labe",Liberal Party of Canada,Saskatchewan,"Trudeau, Pierre Elliott",1971.11.04 - 1991.11.03 ,1971.11.04 , 1991.11.03 ,(Retirement),9999,9999
"Cameron,  Donald",Independent Liberal,Alberta,"St-Laurent, Louis Stephen",1955.07.28 - 1987.09.19 ,1955.07.28 , 1987.09.19 ,(Resignation),9999,9999
"Charbonneau,  Guy",Progressive Conservative Party,Quebec,"Clark, Charles Joseph",1979.09.27 - 1997.06.21 ,1979.09.27 , 1997.06.21 ,(Retirement),9999,9999
"Choquette,  Lionel Henri",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1958.01.31 - 1981.03.06 ,1958.01.31 , 1981.03.06 ,(Resignation),9999,9999
"Connolly,  John Joseph",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1981.10.31 ,1953.06.12 , 1981.10.31 ,(Resignation),9999,9999
"Cook,  Eric",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1964.02.14 - 1984.07.26 ,1964.02.14 , 1984.07.26 ,(Resignation),9999,9999
"Cottreau,  Ernest G.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1974.05.08 - 1989.01.28 ,1974.05.08 , 1989.01.28 ,(Retirement),9999,9999
"Croll,  David Arnold",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1991.06.11 ,1955.07.28 , 1991.06.11 ,(Death),9999,9999
"Davey,  Keith Douglas",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1966.02.24 - 1996.07.01 ,1966.02.24 , 1996.07.01 ,(Resignation),9999,9999
"de Cotret,  Robert Ren_",Progressive Conservative Party,Ontario,"Clark, Charles Joseph",1979.06.05 - 1980.01.14 ,1979.06.05 , 1980.01.14 ,(Resignation),9999,9999
"Denis,  Azellus",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1964.02.03 - 1991.09.04 ,1964.02.03 , 1991.09.04 ,(Death),9999,9999
"Deschatelets,  Jean-Paul",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.02.24 - 1986.01.10 ,1966.02.24 , 1986.01.10 ,(Resignation),9999,9999
"Desruisseaux,  Paul",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1980.05.01 ,1966.07.08 , 1980.05.01 ,(Retirement),9999,9999
"Donahoe,  Richard Alphonsus",Progressive Conservative Party,Nova Scotia,"Clark, Charles Joseph",1979.09.13 - 1984.09.27 ,1979.09.13 , 1984.09.27 ,(Retirement),9999,9999
"Doody,  C. William",Progressive Conservative Party,Newfoundland and Labrador,"Clark, Charles Joseph",1979.10.03 - 2005.12.27 ,1979.10.03 , 2005.12.27 ,(Death),9999,9999
"Eudes,  Raymond Pierre",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1968.04.08 - 1980.10.25 ,1968.04.08 , 1980.10.25 ,(Death),9999,9999
"Everett,  Douglas Donald",Liberal Party of Canada,Manitoba,"Pearson, Lester Bowles",1966.11.08 - 1994.01.20 ,1966.11.08 , 1994.01.20 ,(Resignation),9999,9999
"Flynn,  Jacques",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1962.11.09 - 1990.08.22 ,1962.11.09 , 1990.08.22 ,(Resignation),9999,9999
"Forsey,  Eugene Alfred",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1970.10.07 - 1979.05.29 ,1970.10.07 , 1979.05.29 ,(Retirement),9999,9999
"Fournier,  Edgar E.",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1962.09.24 - 1983.02.11 ,1962.09.24 , 1983.02.11 ,(Resignation),9999,9999
"Fournier,  Joseph Michel",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1971.12.09 - 1980.09.29 ,1971.12.09 , 1980.09.29 ,(Retirement),9999,9999
"Fournier,  Sarto",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1980.07.23 ,1953.06.12 , 1980.07.23 ,(Death),9999,9999
"Frith,  Royce Herbert",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1977.04.05 - 1994.08.29 ,1977.04.05 , 1994.08.29 ,(Resignation),9999,9999
"Giguère,  Louis de Gonzague",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1968.09.10 - 1986.12.18 ,1968.09.10 , 1986.12.18 ,(Retirement),9999,9999
"Godfrey,  John Morrow",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1973.10.05 - 1987.06.28 ,1973.10.05 , 1987.06.28 ,(Retirement),9999,9999
"Goldenberg,  Carl H.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1971.11.04 - 1982.10.20 ,1971.11.04 , 1982.10.20 ,(Retirement),9999,9999
"Graham,  B. Alasdair",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 2004.05.21 ,1972.04.27 , 2004.05.21 ,(Retirement),9999,9999
"Grosart,  Allister",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.09.24 - 1981.12.13 ,1962.09.24 , 1981.12.13 ,(Resignation),9999,9999
"Guay,  Joseph-Phillippe",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1978.03.23 - 1990.10.04 ,1978.03.23 , 1990.10.04 ,(Retirement),9999,9999
"Haidasz,  Stanley",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1978.03.23 - 1998.03.04 ,1978.03.23 , 1998.03.04 ,(Retirement),9999,9999
"Hastings,  Earl Adams",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1996.05.05 ,1966.02.24 , 1996.05.05 ,(Death),9999,9999
"Hayden,  Salter Adrian",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1983.11.01 ,1940.02.09 , 1983.11.01 ,(Resignation),9999,9999
"Hays,  Harry William",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1982.05.04 ,1966.02.24 , 1982.05.04 ,(Death),9999,9999
"Hicks,  Henry Davies",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 1990.03.05 ,1972.04.27 , 1990.03.05 ,(Retirement),9999,9999
"Inman,  Florence Elsie",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1955.07.28 - 1986.05.31 ,1955.07.28 , 1986.05.31 ,(Death),9999,9999
"Lafond,  Paul C.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1970.10.07 - 1988.05.27 ,1970.10.07 , 1988.05.27 ,(Death),9999,9999
"Laird,  John Keith McBroom",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1982.01.12 ,1967.04.06 , 1982.01.12 ,(Retirement),9999,9999
"Lamontagne,  Maurice",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1967.04.06 - 1983.06.12 ,1967.04.06 , 1983.06.12 ,(Death),9999,9999
"Lang,  Daniel Aiken",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1964.02.14 - 1994.06.13 ,1964.02.14 , 1994.06.13 ,(Resignation),9999,9999
"Langlois,  J. G. L_opold",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1988.10.02 ,1966.07.08 , 1988.10.02 ,(Retirement),9999,9999
"Lapointe,  Louise Marguerite Renaude",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1971.11.10 - 1987.01.03 ,1971.11.10 , 1987.01.03 ,(Retirement),9999,9999
"Lawson,  Edward M.",Independent,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 2004.09.24 ,1970.10.07 , 2004.09.24 ,(Retirement),9999,9999
"Leblanc,  Fernand-E.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.27 - 1992.07.01 ,1979.03.27 , 1992.07.01 ,(Retirement),9999,9999
"Lewis,  Philip Derek",Liberal Party of Canada,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1978.03.23 - 1999.11.28 ,1978.03.23 , 1999.11.28 ,(Retirement),9999,9999
