Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S33S1V01,S33S1V02,S33S1V03,S33S1V04,S33S1V05,S33S2V01,S33S2V02,S33S2V03,S33S2V04,S33S2V05,S33S2V06,S33S2V07,S33S2V08,S33S2V09,S33S2V10,S33S2V11,S33S2V12,S33S2V13,S33S2V14,S33S2V15,S33S2V16,S33S2V17,S33S2V18,S33S2V19,S33S2V20,S33S2V21,S33S2V22,S33S2V23,S33S2V24,S33S2V25,S33S2V26,S33S2V27
Date,,,,,,,,12.11.1984,02.20.1985,02.21.1985,03.26.1986,05.28.1986,02.10.1987,02.11.1987,05.12.1987,06.11.1987,06.17.1987,08.13.1987,08.13.1987,09.03.1987,09.03.1987,09.15.1987,10.14.1987,10.16.1987,11.05.1987,11.19.1987,12.17.1987,04.21.1988,04.21.1988,05.03.1988,05.24.1988,05.25.1988,05.25.1988,05.25.1988,06.07.1988,06.07.1988,06.14.1988,09.15.1988,09.29.1988
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the debate be adjourned,Motion that the Ruling of the Speaker be sustained,Motion that the Standing Senate Committee on National Finance be instructed to report Bill C-11 later this day,Motion that the Senate constitute itself immediately in Committee of the Orders and Customs of the Senate and Privileges of Parliament to examine the actions taken by Hon. Sen. Hí©bert,"Motion that the Eight Report of the Standing Senat Committee on Social Affairs, Science and Technology by referred back ewith amendments",Question whether the Speaker's Ruling should be sustained,Motion that the Senate do resolve itself in the Committee of the Whole to consider the order of reference respecting the agreement on Fisheries and Boundaries between Canada-France,"Motion that the Fourteenth Report of the Standing Senat Committee on Internal Economy, Budgets, and Administration be not now adopted, but be amended",Motion that the Meech Lake Constitutional Accord and texts subsequently agreed to be referred to a Committee of the Whole for the purpose of hearing witnesses and making a report,Motion to provide for a Special Joint Committee to consider and report on the 1987 Constitutional Accord,"Motion that the Bill C-22 (An Act to amend the Patent Act and to provide for certain matters in relation thereto) be not now read third time, but be amended",Motion that the Bill C-22 (An Act to amend the Patent Act and to provide for certain matters in relation thereto) as amended be now read third time,"Motion that Bill C-22 (An Act to amend the Patent Act and to provide fro certain matters in relation thereto) and related Message be sent to Standing Senate Committee on Banking, Trade and Commerce for further consideration and report","Motion that Bill C-22 (An Act to amend the Patent Act and to provide fro certain matters in relation thereto) and related Message dated from August 31st be referred to the Standing Senate Committee on Banking, Trade and Commerce for consideration and report","Motion that the Standing Senat Committee on Banking, Trade and Commerce be instructed to report on Bill C-22 (An Act to amend the Patent Act, etc.) no later than September 23rd",Motion that pool television cameras be permitted in th Senate Chamber for purpose of recording the proceedings of a Committee of the Whole with respect to its hearings on the Meech Lake Constitutional Accord,"Motion that the Bill C-86 (An Act to provide for the resumption and continuation of postal service), be read a second time",Motion to adjourn the Senate,"Motion that the Senate concur in the amendments made by the Commons, and that it do not insist on its own amendments",Motion to amend the motion that a special committee of the Senate be established to examine Canada's health care system and report upon related matters,Motion that the 1867 Constitution be amended,Motion that the 1867 Constitution as amended be amended to provide for a message to the Commons,"Motion that the Twenty-Third Report of the Standing Senate Committee on Banking, Trade and Commerce be adopted","Motion that the motion not to insist on amendments to the Bill C-60 (An Act to amend the Copyright Act and to amend other Acts in consquence thereof) on which the Commons ahs disagreed and to send a Message to the Commons consequently, be referred to the Standing Senate Committee on Banking, Trade and Commerce",Motion that the debate be adjourned,Motion to amend the proposed amendments of the 1867 Constitution,Motion to amend the 1867 Constitution,Whether the Speaker's Ruling should be sustained,Motion that the Standing Senate Committee on National Finance be instructed to divide Bill C-103 into two Bills,Motion that the Standing Senate Committee be authorized to examine the subject-matter of Bill C-129 (An Act to provide for the continuance of Air Canada),Motion that the Bill C-130 (An Act to implement the Free Trade Agreement between Canada and the United States of America) be now read a second time,Motion that the Bill S-15 (An Act to amend the Patent Act) be now read a third time
"Murray, Lowell",Progressive Conservative Party,Ontario,"Clark, Charles Joseph",1979.09.13 - ,1979.09.13 , ,,1,2,1,1,1,1,2,1,2,1,1,8,9,9,1,2,1,9,1,2,2,2,2,2,1,1,2,1,2,1,1,9
"Cools, Anne C.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - ,1984.01.13 , ,,9,1,2,2,9,2,1,2,9,1,2,1,2,1,9,2,9,9,8,9,1,1,1,9,2,2,1,2,1,2,2,1
"Watt, Charlie",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.16 - ,1984.01.16 , ,,9,9,9,9,9,9,9,2,9,2,9,9,9,9,2,9,9,1,9,9,1,1,9,1,2,2,1,9,9,9,9,9
"De Baní©, Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,2,9,2,9,9,2,9,9,9,1,9,9,1,2,9,9,9,1,9,9,1,1,9,9,2,2,1,9,1,9,9,9
"Fairbairn, Joyce",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,2,1,2,2,2,2,1,2,1,1,2,1,9,9,9,1,9,1,8,1,9,9,9,1,2,2,1,2,1,2,2,9
"Kenny, Colin",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,2,1,9,2,9,2,1,2,1,2,9,1,9,9,2,9,8,9,8,2,1,1,1,9,9,9,9,2,9,9,2,1
"Cochrane, Ethel M.",Progressive Conservative Party,Newfoundland and Labrador,"Mulroney, Martin Brian",1986.11.17 - ,1986.11.17 , ,,99,99,99,99,99,1,9,1,2,1,1,8,9,9,1,2,1,9,1,2,2,2,9,9,9,9,9,1,2,1,1,9
"Riley, Daniel Aloysius",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1973.12.21 - 1984.09.13 ,1973.12.21 , 1984.09.13 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
