Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S34S1V01,S34S1V02,S34S1V03,S34S1V04,S34S1V05,S34S1V06,S34S1V07,S34S1V08,S34S2V01,S34S2V02,S34S2V03,S34S2V04,S34S2V05,S34S2V06,S34S2V07,S34S2V08,S34S2V09,S34S2V10,S34S2V11,S34S2V12,S34S2V13,S34S2V14,S34S2V15,S34S2V16,S34S2V17,S34S2V18,S34S2V19,S34S2V20,S34S2V21,S34S2V22,S34S2V23,S34S2V24,S34S2V25,S34S2V26,S34S2V27,S34S2V28,S34S2V29,S34S2V30,S34S2V31,S34S2V32,S34S2V33,S34S2V34,S34S2V35,S34S2V36,S34S2V37,S34S2V38,S34S2V39,S34S2V40,S34S2V41,S34S2V42,S34S2V43,S34S2V44,S34S2V45,S34S2V46,S34S3V01,S34S3V02,S34S3V03,S34S3V04,S34S3V05,S34S3V06,S34S3V07,S34S3V08,S34S3V09,S34S3V10,S34S3V11,S34S3V12,S34S3V13,S34S3V14,S34S3V15,S34S3V16,S34S3V17,S34S3V18,S34S3V19,S34S3V20,S34S3V21,S34S3V22,S34S3V23,S34S3V24,S34S3V25,S34S3V26,S34S3V27,S34S3V28,S34S3V29,S34S3V30,S34S3V31,S34S3V32,S34S3V33,S34S3V34,S34S3V35,S34S3V36,S34S3V37,S34S3V38,S34S3V39,S34S3V40,S34S3V41,S34S3V42,S34S3V43,S34S3V44,S34S3V45,S34S3V46,S34S3V47,S34S3V48,S34S3V49,S34S3V50,S34S3V51,S34S3V52,S34S3V53,S34S3V54,S34S3V55,S34S3V56,S34S3V57,S34S3V58,S34S3V59,S34S3V60,S34S3V61,S34S3V62,S34S3V63,S34S3V64,S34S3V65,S34S3V66,S34S3V67,S34S3V68,S34S3V69,S34S3V70,S34S3V71,S34S3V72,S34S3V73,S34S3V74,S34S3V75,S34S3V76,S34S3V77
Date,,,,,,,,12.27.1988,05.04.1989,05.16.1989,05.17.1989,06.27.1989,02.21.1990,03.20.1990,04.10.1990,04.11.1990,04.11.1990,04.11.1990,05.23.1990,06.26.1990,06.27.1990,10.04.1990,10.18.1990,10.22.1990,10.22.1990,10.25.1990,10.31.1990,11.06.1990,11.07.1990,11.08.1990,11.11.1990,11.13.1990,11.14.1990,11.15.1990,11.20.1990,11.22.1990,11.27.1990,11.29.1990,12.11.1990,12.13.1990,12.13.1990,12.13.1990,01.29.1991,01.30.1991,01.30.1991,01.31.1991,01.31.1991,01.31.1991,01.31.1991,01.31.1991,01.31.1991,01.31.1991,01.31.1991,01.31.1991,01.31.1991,01.31.1991,02.01.1991,03.06.1991,04.17.1991,04.17.1991,04.17.1991,06.18.1991,10.23.1991,10.23.1991,11.21.1911,12.13.1991,12.13.1991,12.16.1991,12.16.1991,03.17.1992,03.18.1992,03.19.1992,03.25.1992,03.26.1992,03.26.1992,03.31.1992,06.03.1992,06.03.1992,06.10.1992,06.22.1992,06.23.1992,06.23.1992,06.23.1992,09.15.1992,09.29.1992,09.29.1992,09.29.1992,09.29.1992,10.15.1992,10.15.1992,12.07.1992,12.08.1992,12.09.1992,12.15.1992,12.15.1992,12.15.1992,12.16.1992,12.17.1992,02.02.1993,02.03.1993,02.03.1993,02.03.1993,02.03.1993,02.03.1993,02.03.1993,02.03.1993,02.03.1993,03.30.1993,04.01.1993,04.01.1993,04.02.1993,04.02.1993,05.06.1993,05.06.1993,05.06.1993,05.06.1993,05.06.1993,05.13.1993,05.13.1993,06.03.1993,06.03.1993,06.10.1993,06.10.1993,06.21.1993,06.21.1993,06.21.1993,06.21.1993,06.22.1993,06.22.1993,06.22.1993,06.22.1993,06.22.1993,06.23.1993,06.23.1993,06.23.1993,06.23.1993,06.23.1993,07.12.1993
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Second reading of Bill C-2: Act implementation of the Free Trade Agreement between Canada and the United States of America,Vote for adjourn the Senate until next Monday,"That the Senate does not insist on his amendment to the Bill C-14, An Act for granting to Her Majesty certain sums of money for the Government of Canada for the year ending March 31, 1990 and that this matter be referred to Standing Senate Committee on national Finance for study and report","Report of the Standing Senate Committee on National Finance on Bill C-14, An Act for granting to Her Majesty certain sums of money for the Government of Canada for the year ending March 31, 1990: vote for the report adopted with amendment",Vote for whether the decision of the Honourable President shall stand,Vote for the adoption of the third and final report (as amended) of the Senate Special Committee on the Draft Bill C-21: An Act to amend the Unemployment Insurance Act and the Department and the Commission employment and Immigration (with eight amendments),"Vote for the adoption of the Fourth Report of the Senate Special Committee on the Draft Bill C-21, An Act to amend the Unemployment Insurance Act and the Ministry and the Committee on Employment and the immigration",Vote for the adjournment of the Senate,Vote for the adjournment of the Senate,Vote for the adjournment of the Senate with amendment,Vote for the adjournment of the Senate,Vote on whether the decision of the Honorable President must be maintained,"Motion to adjourn the Senate in order to investigated as an urgent matter of public interest, including the consequences of the failure of the Meech Lake Accord",Vote to approve the nomination of Bruce Phillips as Commissioner for the Protection of Privacy,Vote for the adjournment of the Senate,"Vote for the Senate do not insist on its amendments to Bill C-28 An Act to amend the Law on Income Tax Act, the fiscal arrangements between the federal and provincial and federal contributions in post-Secondary Education and Health Act, the old Age Security Act, the transfer tax on the income of public utilities, the Law on War Veterans Allowance Act and a related , to which the Commons has disagreed","Vote for the Senate do not insist on its amendments to Bill C-21, An Act to amend the Unemployment Insurance Act and the Ministry and the Committee on Employment and Immigration (amendments 2a-bc, 3a-b, 5a, 6, 7 and 9) and that the Senate concur in the amendments made by the House of Commons to its amendments 4c-d and 8 with amendment","Vote for the Senate do not insist on its amendments to Bill C-21, An Act to amend the Unemployment Insurance Act and the Ministry and the Committee on Employment and Immigration (amendments 2a-bc, 3a-b, 5a, 6, 7 and 9) and that the Senate concur in the amendments made by the House of Commons to its amendments 4c-d and 8.","Vote for the adoption of the Thirteenth Report of the Standing Senate Committee on Banking and Commerce (Bill C-62 An Act to amend the Law on Excise Tax Act, the Criminal Code, the Customs Act, Customs Tariff, the Excise Act, the Law of income Tax Act, the Statistics and the Act on the Court of Canada tax.",Vote whether decision of the President should be maintained,Vote for the Bill C-62 does not read the third time now and that we modified the Appendix,Vote for the Bill C-62 does not read the third time now and that we modified the Appendix once again,"Vote for the Bill C-62 does not read the third time now, but that the bill be amended","Vote for the Senate does not sit next Monday, November 2, in observance of veterans and Canadians killed in action (Memorial Day)","Vote for the Bill C-62 does not read the third time now, but that the bill be amended","Vote for the Bill C-62 does not read the third time now, but that the bill be amended","Vote for the Bill C-62 does not read the third time now, but that the bill be amended","Vote for the Bill C-62 does not read the third time now, but that the bill be amended","Vote for the Bill C-62 does not read the third time now, but that the bill be amended","Vote for the Bill C-62 does not read the third time now, but that the bill be amended","Vote for the Bill C-62 does not read the third time now, but that the bill be amended",Vote for adjournment of the debate,Vote for the decision whether President must be maintained,Vote to see if Senator Guy Charbonneau is not fit to remain president of the Senate,"Third reading of the Bill C-62: An Act to amend the Excise Tax Act, the Criminal Code, the Customs Act, the Customs Tarrif, the Excise Act, the Income Tax Act, the Statistics Act and the Tax Court of Canada Act","Third reading of Bill C-69, An Act to amend certain statutes to enable restraint of governement expenditures",Vote for the amendment of the fourth paragraph of the Special Joint Committee on the process of constitutional amendment,Vote for the amendment of the Special Joint Committee on the process of constitutional amendment,"Vote for the adoption of the Seventh Report of the Standing Senate Committee on Transport and Communications on the Bill C-40 An Act respecting broadcasting and to amend other Acts and for radio-communication, with three amendments","Vote for the adoption of the Eleventh Report of the Standing Senate Committee on Energy, Environment and Natural Resources on Bill C-84 An Act respecting the privatization of national oil company of Canada",Vote for Bill C-43 be not now read and that it amends,Vote for Article 1 of Bill C-43 be amended,Vote for Article 1 of Bill C-43 be amended,Vote for Article 1 of Bill C-43 be amended again,Vote for Article 1 of Bill C-43 be amended again,Vote for Article 1 of Bill C-43 be amended again,Vote for Article 1 of Bill C-43 be amended again,Vote for Article 1 of Bill C-43 be amended again,Third reading of Bill C-43: An Act Respecting Abortion,Vote for the Third Reading of Bill C-40 is not now read and amended,Third reading of Bill C-34: An Act to establish the Canadian Centre for Management and to amend certain Acts,Vote for the Senate Committee on Legal and Constitutional Affairs is responsible for reporting on the motion for appointment of the Commissioner for the Protection of Privacy,Vote for the thirty-eighth report on the appointment deBruce Phillips to the position of Commissioner for the Protection of Privacy be adopted,Vote to approve the appointment of Bruce Phillips as Commissioner for the Protection of Privacy,"Motion for the adoption of the First Report of the Standing Committee on Standing Rules and Orders (recommendations concernin the Rules of the Senate), presented in the Seante on June 11th, 1991.","That the Standing Senate Committee on Banking, Trade and Commerce be authorized to examine the subject-matter of Bill C-28 (An Act respecting insurance compagnies and fraternal benefit societies),C-34 (An Act ti revise and amend the law  governing cooperative credit associations and to provide for related consequential matters), C-4 (An Act to revise and amend the law governing federal trust and loan compagnies and to provide for related and consequential matters) and C-19 (An Act respecting banks and banking), in advance of the Bills coming before the Senate or any matter relating thereto.",The question was put on wether the Speaker's Ruling shall be sustained.,"That the Bill C-8, intituled: An Act to provide dor the dissolution or transfer of certain Crown corporations and to amend certains Acts in consequence thereof be amended as follows: (p.336).",That further debate on the motion (Bill C-18) be adjourned until the next sitting of the Senate.,That further debate on the motion (Bill C-18) be adjourned until the next sitting of the Senate.,"That the Bill C-38, An Act to provide for the continuance of Telesat Canada under the Canada Business Corporations Act and for the disposal of the shares therein of Her Majesty in right of Canada be read the second time.","Motion for the second reading of the Bill C-20, An Act to amend certain statutes to implement the budget tabled in Parliament on February 26, 1991.","That the clause 4 of the Bill C-15, An Act to provide for certain matters respecting official languages, emplyees' pensions and labour relations in connection with the transfert of certain airports be deleted and replaced as follow: (p.605).","That the clause 4 of the Bill C-15, An Act to provide for certain matters respecting official languages, emplyees' pensions and labour relations in connection with the transfert of certain airports be deleted and replaced as follow: (p.611).","Motion for the third reading of the Bill C-15, An Act to provide for certain matters respecting official languages, emplyees' pensions and labour relations in connection with the transfert of certain airports.","That the Standing Senate Committee on Transport and Communications be authorized to examine the subjecht-matter of Bill C-62, An Act respecting telecommunications, in advance of the said Bill coming before the Senate or any matter relating thereto.",The question being put on whether the Speaker's Ruling shall be sustained.,"Motion of the Honourable Seantor Lynch-Staunton: That, pursuant to the provisions of Rule 40, in relation to Bill C-32, An Act to amend the Canada Assistance Plan, not more than six further hours of debate be allotted to the consideration of the said Bill at the third reading stage (p.722).","Motion for the third reading of Bill C-32, An Act to amend the Canada Assistance Plan (with leave of the Seante, Rule 67 (1) was suspended).","That Bill C-53, An Act to provide for the imposition of special economic measures, be notread a third time but that it be amended in clause7 as follows: (p.967).","Motion for the third reading of Bill C-53, An Act to provide for the imposition of special economic measures.","That Bill C-56, An Act respecting the control of government expenditures be not now read the third timebut it be amended as follows: (p.991).","That Bill C-81, An Act to provide for referendums on the Constitution of Canadabe not now be read a third time but that it be amended as follows: (p.1081).","Consideration of the Tenth Report of Standing Senate Committee on Transport and Communications (Bill C-33, An Act respecting the use of foreign ships and non-dutypaid ships in the coastong trade-with certain amenendments) (with leave of the Senate, Rule 67(1)was suspended).","That the Bill C-13,An Act to establish a federal environmental assessment process be not read a third time, but that it be referred back to the Standing Senate Committee on Energy, the Environment and Natural Ressources, in order to correct the inconsistencies that were found to exist between the French and English versions of the Bill (with leave of the Senate, Rule 67(1) was suspended).","Third reading of the  Bill C-13,An Act to establish a federal environmental assessment process be not read a third time, but that it be referred back to the Standing Senate Committee on Energy, the Environment and Natural Ressources (with leave of the Senate, Rule 67(1)was suspended).",Motion that the Senat concur with the Commons in approving the following text of a referendum question,Motion that the debate on Bill C-80 be adjourned until the next sitting of the Senate,Motion that the Bill C-80 be now read a second time,Motion that the debate on Bill C-80 be adjourned until the next sitting of the Senate,Motion that the Bill C-80 be now read a second time,Motion that not more than six hours be allotted to the consideration of the Bill C-80,Motion that the Bill C-80 be read a third time,Motion that the Bill C-86 be now read a second time,Motion that the Bill C-26 be now read a second time,Motion that the Bill C-63 be now read a second time,"Motion that the Bill C-86 be not now read a third time, but be amended",Motion that the Bill C-86 be now read a third time,Motion that no more than eight hours be allotted for the consideration of Bill C-91 at second reading stage,Motion that the Bill C-91 be now read a second time,Motion that the Bill C-26 be now read a third time,"Motion that the Bill C-91 be not now read a third time, but be amended","Motion that the Bill C-63 be not now read a third time, but be referred back","Motion that the Bill C-63 be not now read a third time, but be amended",Motion that the Bill C-63 be now read a third time,"Motion that the Bill C-91 be not now read a third time, but be amended","Motion that the Bill C-91 be not now read a third time, but be amended",Motion that a maximum of six hours be allotted for debate related to the third reading of Bill C-91,"Motion that the Bill C-91 be not now read a third time, but be amended",Motion that the Bill C-91 be now read a third time,Motion that no more than six hours be alloted to the debate related to the second reading of Bill C-113,"Motion that the Bill C-76 be not now read a third time, but be amended","Motion that the Bill C-76 be not now read a third time, but be amended","Motion that the Bill C-113 be not now read a third time, but be referred back to Committee","Motion that the Bill C-113 be not now read a third time, but be referred back to Committee","Motion that the Bill C-114 be not now read a second time, but be amended","Motion that the Bill C-93 be not now read a second time, but that debate be amended",Motion that the Bill C-93 be divided in two Bills when it is read a second time,Motion that the Bill C-93 be not now read a second time,Motion that the Bill C-92 be now read a second time,"Motion that the Bill C-92 be not now read a third time, but referred back to Committee",Motion that the Bill C-92 be now read a third time,"Motion that the Bill C-93 be not now read a third time, but be amended","Motion that the Bill C-93 be not now read a third time, but be amended","Motion that the Bill C-93 be not now read a third time, but be amended",Motion that the Bill C-93 be now read a third time,"Motion that the Bill C-115 be not now read a third time, but be amended","Motion that the Bill C-115 be not now read a third time, but be amended","Motion that the Bill C-115 be not now read a third time, but be amended","Motion that the Bill C-115 be not now read a third time, but be amended","Motion that the Bill C-115 be not now read a third time, but be amended","Motion that the Bill C-115 be not now read a third time, but be amended","Motion that the Bill C-115 be not now read a third time, but be amended","Motion that the Bill C-115 be not now read a third time, but be amended","Motion that the Bill C-115 be not now read a third time, but be amended","Motion that the Bill C-110 be not now read a third time, but be amended",Motion that the Bill C-110 be now read a third time,"Motion that the Bill C-115 be not now read a third time, but be amended",Motion that the Bill C-115 be now read a third time,"Motion that the Fifty-First Report of the Standing Senate Committee on Internal Economy, Budgets and Administration be adopted","Motion that the Fifty-Second Report of the Standing Senate Committee on Internal Economy, Budgets and Administration be adopted"
"Croll, David Arnold",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1991.06.11 ,1955.07.28 , 1991.06.11 ,(Death),9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,2,9,2,1,9,9,9,9,9,9,1,9,1,9,1,8,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Molson, Hartland de Montarville",Independent,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1993.05.31 ,1955.07.28 , 1993.05.31 ,(Resignation),9,9,1,9,9,9,9,2,9,9,9,9,9,9,2,9,2,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,8,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Macdonald, John Michael",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.06.24 - 1997.06.20 ,1960.06.24 , 1997.06.20 ,(Death),9,9,2,1,9,9,2,9,9,9,9,1,1,2,8,9,2,1,2,1,2,2,2,9,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,2,1,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,9,9,9,9,2,1,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Flynn, Jacques",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1962.11.09 - 1990.08.22 ,1962.11.09 , 1990.08.22 ,(Resignation),1,9,2,1,1,9,2,2,1,1,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Bí©lisle, Rhí©al",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1992.11.03 ,1963.02.04 , 1992.11.03 ,(Death),9,9,9,1,9,2,2,2,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,9,2,2,2,2,9,9,9,9,9,9,9,9,9,2,1,9,9,9,1,9,9,2,9,9,1,1,1,8,9,1,1,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Walker, David James",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1989.09.30 ,1963.02.04 , 1989.09.30 ,(Resignation),9,9,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Phillips, Orville H.",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1963.02.05 - 1999.03.24 ,1963.02.05 , 1999.03.24 ,(Resignation),1,2,2,1,1,2,9,2,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,1,2,1,1,1,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,9,9,9,9,9,1,9,9,9,1,2,1,1,1,1,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1
"Denis, Azellus",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1964.02.03 - 1991.09.04 ,1964.02.03 , 1991.09.04 ,(Death),8,9,1,9,2,1,1,1,9,9,9,2,2,1,9,2,1,2,1,9,9,1,1,9,9,1,1,1,1,1,1,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
