Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S35S1V01,S35S1V02,S35S1V03,S35S1V04,S35S1V05,S35S1V06,S35S1V07,S35S1V08,S35S1V09,S35S1V10,S35S1V11,S35S1V12,S35S1V13,S35S1V14,S35S1V15,S35S1V16,S35S2V001,S35S2V002,S35S2V003,S35S2V004,S35S2V005,S35S2V006,S35S2V007,S35S2V008,S35S2V009,S35S2V010,S35S2V011,S35S2V012,S35S2V013,S35S2V014,S35S2V015,S35S2V016,S35S2V017,S35S2V018,S35S2V019,S35S2V020,S35S2V021,S35S2V022,S35S2V023,S35S2V024,S35S2V025,S35S2V026,S35S2V027,S35S2V028,S35S2V029,S35S2V030,S35S2V031,S35S2V032,S35S2V033,S35S2V034,S35S2V035,S35S2V036,S35S2V037,S35S2V038
Date,,,,,,,,05.25.1994,05.25.1994,05.25.1994,07.07.1994,06.22.1995,07.12.1995,07.12.1995,07.12.1995,11.21.1995,11.22.1995,11.22.1995,11.22.1995,12.12.1995,12.12.1995,12.13.1995,02.02.1996,05.08.1996,05.14.1996,05.16.1996,05.16.1996,05.29.1996,05.30.1996,05.30.1996,06.05.1996,06.13.1996,06.18.1996,06.19.1996,06.19.1996,06.19.1996,06.20.1996,06.20.1996,06.20.1996,11.27.1996,11.27.1996,11.27.1996,12.12.1996,12.18.1996,12.18.1996,12.18.1996,12.18.1996,12.18.1996,12.18.1996,02.13.1997,03.05.1997,03.13.1997,03.13.1997,03.13.1997,03.13.1997,04.09.1997,04.16.1997,04.16.1997,04.16.1997,04.16.1997,04.25.1997
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Motion that the Second Report of the Standing Senate Committee on Legal and Constitutional Affairs on Bill C-18 (An Act to suspend the operation of the Electoral Boundaries Readjustment Act) be not now adopted, but be amended",Motion that the Second Report of the Standing Senate Committee on Legal and Constitutional Affairs on Bill C-18 (An Act to suspend the operation of the Electoral Boundaries Readjustment Act) be adopted,Motion that the Bill C-18 (An Act to suspend the operation of the Electoral Boundaries Readjustment Act) as amended be now read a third time,Motion that the Eight Report of the Standing Senate Committee on Legal and Constitutional Affairs be now adopted,Motion that the Senate do not insist on its amendments to the Bill C-69 (An Act to provide for the establishment of electoral boundaries commissions and the readjustment of electoral boundaries) and that a message be sent to the Commons accordingly,"Motion that the Fourteenth Report of the Standing Committee on Legal and Constitutional Affairs be not now adopted, but amended","Motion that the Fourteenth Report of the Standing Committee on Legal and Constitutional Affairs be not now adopted, but amended",Motion that the Fourteenth Report of the Standing Committee on Legal and Constitutional Affairs be now adopted,Motion that it be instructed to the Standing Senate Committee on Legal and Constitutional Affairs to present its final report on Bill C-69 no later than November 22nd 1995,"Motion that the Sixteenth Report of the Standing Senate Committee on Legal and Constitutional Affairs on Bill C-68 (An Act respecting firearms and other weapons, with amendments) be not now adopted, but amended","Motion that the Sixteenth Report of the Standing Senate Committee on Legal and Constitutional Affairs on Bill C-68 (An Act respecting firearms and other weapons, with amendments) be now adopted","Motion that the Bill C-68 (An Act respecting firearms and other weapons, with amendments) be now read a third time",Motion that it be instructed to the Standing Senate Committee on Legal and Constitutional Affairs to present its final report on Bill C-69 no later than December 13th 1995,Motion that it be instructed to the Standing Senate Committee on Legal and Constitutional Affairs to present its final report on Bill C-22 no later than December 13th 1995,"Motion that the Twenty-Sixth Report of the Standing Senate Committee on Banking, Trade and Commerce be now adopted as amended",Motion that the Report of the Special Committee on Bill C-110 (An Act respecting contitutional amendments) of the Senate be adopted,Speaker's ruling sustained,Speaker's ruling sustained,Motions in amendment negatived: Bill C-14,Motion agreed: Bill C-33,Motion adopted: Bill C-28,Motion in amendment negatived: Bill C-28,Motion agreed: Bill C-28,Motion agreed: Bill C-33,Speaker's ruling sustained,Motion agreed: Bill C-22,Motion in amendment negatived: Bill C-28,Motion negatived,Motion negatived,Motion in amendment by the Honourable Senator Murray negatived: Bill C-12,Motion in amendment by the  Senator Phillips  negatived,Motion agreed,Subamendment of Senator Cogger carried on the following division,Motion in amendment of Honourable Senator Doody,Motion as amended,Motion agreed to and bill read third time and passed:  Bill C-61,Motion in subamendment by the Honourable Senator Ghitter negatived: Bill C-45,Motion in amendment by the Honourable Senator Nolin negatived,Motion agreed to and bill read third time and passed,Motion in amendment by the Honourable Senator Prud'homme negatived: Bill C-63,Motion in amendment by the Honourable Senator Lynch-Staunton negatived: Bill C-63,Motion in amendment by the Honourable Senator Murray negatived: Bill C-63 ,Motions in amendment by the Honourable Senator Cools negatived: Bill C-41,Speaker's ruling sustained,Motion in amendment of Senator Cochrane negatived,Motion in amendment No. 5 of Senator Oliver negatived,Motions in amendment Nos. 6 and 7 of Senator Oliver negatived,Motions in amendment of Senator Buchanan negatived,Motion in amendment negatived: Bill C-29,Motion in amendment by the Honourable Senator Kenny negatived: Motion No. 112 ,Motions in amendment by the Honourable Senator Nolin negatived,Motions in amendment by the Honourable Senator Lynch-Staunton negatived,"Motion agreed to on the following division, and bill read third time and passed",Motion for adjournment of debate negatived
"Murray, Lowell",Progressive Conservative Party,Ontario,"Clark, Charles Joseph", 1979.09.13 - , 1979.09.13 , ,,2,1,1,1,1,2,2,1,2,1,1,1,2,2,2,1,2,2,9,9,2,1,2,9,2,2,1,2,2,1,1,2,1,1,1,9,9,9,9,1,1,1,1,2,1,1,1,1,1,1,2,1,1,9
"Cools, Anne C.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott", 1984.01.13 - , 1984.01.13 , ,,1,2,2,2,2,1,1,2,1,1,1,8,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,1,1,1,2,9,9,9,2,2,2,1,1,1,8,1,8,2,2,2,2,1,2
"Watt, Charlie",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott", 1984.01.16 - , 1984.01.16 , ,,1,2,2,9,2,1,1,2,1,1,1,8,1,1,2,1,1,1,2,9,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,9,2,1,2,2,2,2,9,2,2,2,2,2,2,2,2,1,2
"De Baní©, Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott", 1984.06.29 - , 1984.06.29 , ,,9,9,9,9,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,9
"Fairbairn, Joyce",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott", 1984.06.29 - , 1984.06.29 , ,,1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
"Kenny, Colin",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott", 1984.06.29 - , 1984.06.29 , ,,9,9,9,2,2,9,9,9,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,9,1,9,9,9,9,9,9,9,2,2,2,1,2,2,1,2,2,2,9,1,9,9,9,9,2,8,2,2,1,2
"Cochrane, Ethel M.",Progressive Conservative Party,Newfoundland and Labrador,"Mulroney, Martin Brian", 1986.11.17 - , 1986.11.17 , ,,2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,9,2,9,1,9,2,1,2,9,2,2,1,2,2,1,1,2,9,9,9,9,1,1,1,1,1,1,9,9,1,1,1,1,1,2,2,1,1,1
"Comeau, Gerald J.",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian", 1990.08.30 - , 1990.08.30 , ,,2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1,2,2,1,9,2,1,2,1,2,9,1,2,2,1,1,2,1,1,1,9,1,1,1,1,1,1,9,9,1,1,1,1,9,9,9,9,9,9
"Di Nino, Consiglio",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian", 1990.08.30 - , 1990.08.30 , ,,2,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,9,9,2,1,2,1,9,9,1,2,2,1,1,2,1,1,1,9,1,1,8,1,1,1,9,2,1,1,1,1,1,8,1,1,8,9
"Oliver, Donald H.",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian", 1990.09.07 - , 1990.09.07 , ,,2,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,9,9,9,2,9,9,1,2,2,1,2,2,1,1,2,1,1,1,1,9,9,9,1,1,1,9,9,1,1,1,1,1,8,1,1,1,9
"Kinsella, Noí‚l A.",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian", 1990.09.12 - , 1990.09.12 , ,,2,1,1,9,1,2,2,1,2,1,1,2,2,2,1,1,2,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,8,1,1,1,1
"Johnson, Janis G.",Progressive Conservative Party,Manitoba,"Mulroney, Martin Brian", 1990.09.27 - , 1990.09.27 , ,,2,1,1,9,1,9,9,9,2,2,2,1,2,2,2,9,2,9,9,9,2,1,2,9,2,2,1,2,2,1,9,9,9,9,9,9,1,1,1,1,1,1,2,9,1,1,1,1,2,8,2,2,1,9
"Meighen, Michael A.",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian", 1990.09.27 - , 1990.09.27 , ,,9,9,9,1,9,2,2,1,2,1,1,1,2,2,1,1,9,9,1,9,9,1,2,9,2,9,1,2,2,9,9,9,1,1,1,9,9,9,9,1,1,1,9,9,1,1,1,1,9,9,9,9,9,9
"Andreychuk, Raynell",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian", 1993.03.11 - , 1993.03.11 , ,,2,1,1,1,1,2,2,1,2,2,1,8,2,2,1,1,9,2,1,9,9,1,2,1,2,2,1,2,2,1,1,2,1,1,8,1,8,8,8,1,1,1,9,2,1,1,1,1,1,2,2,2,1,1
"Rivest, Jean-Claude",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1993.03.11 - , 1993.03.11 , ,,2,1,1,1,1,2,2,1,2,2,2,1,2,2,1,1,2,2,1,9,2,1,2,1,2,9,1,2,2,1,1,2,1,1,1,9,1,1,1,1,1,1,9,9,1,1,1,1,9,1,1,1,2,1
"Stratton, Terry",Progressive Conservative Party,Manitoba,"Mulroney, Martin Brian", 1993.03.25 - , 1993.03.25 , ,,2,1,1,1,1,2,2,1,2,1,1,2,2,2,9,1,2,2,1,2,9,1,2,1,2,2,1,2,2,1,9,9,1,1,1,9,1,1,8,1,1,1,9,9,1,1,1,1,9,8,1,1,1,9
"Tkachuk, David",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian", 1993.06.08 - , 1993.06.08 , ,,2,1,1,1,9,2,2,1,2,1,1,2,2,2,1,1,2,9,9,9,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,9,1,1,1,1,1,1,1,2,1,1,1,1,1,8,1,1,1,9
"Angus, W. David",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1993.06.10 - , 1993.06.10 , ,,2,1,1,9,9,9,9,9,2,2,1,1,2,2,1,9,2,9,9,9,9,1,2,9,2,9,1,2,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"LeBreton, Marjory",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian", 1993.06.18 - , 1993.06.18 , ,,2,1,1,1,1,2,2,1,2,2,1,1,2,2,9,9,2,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,9,1,1,1,1,1,1,1,2,9,9,9,9,1,8,2,1,1,9
"Nolin, Pierre Claude",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1993.06.18 - , 1993.06.18 , ,,2,1,1,1,1,2,2,1,2,2,1,1,2,2,1,1,2,9,9,9,2,1,2,9,2,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,9,2,1,1,1,1,1,2,1,1,1,9
"St. Germain, Gerry",Progressive Conservative Party,British Columbia,"Mulroney, Martin Brian", 1993.06.23 - , 1993.06.23 , ,,2,1,1,1,1,9,9,9,2,1,1,2,2,2,9,1,2,9,1,2,2,1,2,9,9,9,9,9,9,9,9,9,1,1,1,9,8,8,2,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9
