Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S36S1V001,S36S1V002,S36S1V003,S36S1V004,S36S1V005,S36S1V006,S36S1V007,S36S1V008,S36S1V009,S36S1V010,S36S1V011,S36S1V012,S36S1V013,S36S1V014,S36S1V015,S36S1V016,S36S1V017,S36S1V018,S36S1V019,S36S1V020,S36S1V021,S36S1V022,S36S1V023,S36S1V024,S36S1V025,S36S1V026,S36S1V027,S36S1V028,S36S1V029,S36S1V030,S36S1V031,S36S1V032,S36S1V033,S36S1V034,S36S1V035,S36S1V036,S36S1V037,S36S1V038,S36S1V039,S36S1V040,S36S1V041,S36S1V042,S36S1V043,S36S1V044,S36S1V045,S36S1V046,S36S1V047,S36S1V048,S36S1V049,S36S1V050,S36S1V051,S36S1V052,S36S1V053,S36S1V054,S36S1V055,S36S1V056,S36S1V057,S36S1V058,S36S2V001,S36S2V002,S36S2V003,S36S2V004,S36S2V005,S36S2V006,S36S2V007,S36S2V008,S36S2V009,S36S2V010,S36S2V011,S36S2V012,S36S2V013,S36S2V014,S36S2V015,S36S2V016,S36S2V017,S36S2V018,S36S2V019,S36S2V020,S36S2V021,S36S2V022
Date,,,,,,,,10.07.1997,10.07.1997,12.03.1977,12.10.1997,12.10.1997,12.11.1997,12.11.1997,12.11.1997,12.15.1997,12.18.1997,01.19.1998,05.13.1998,05.27.1998,06.08.1998,06.11.1998,06.17.1998,06.17.1998,06.17.1998,06.18.1998,06.18.1998,06.18.1998,06.18.1998,06.18.1998,06.18.1998,10.29.1998,11.04.1998,11.04.1998,11.19.1998,12.10.1998,12.10.1998,12.10.1998,02.10.1999,03.25.1999,04.21.1999,04.27.1999,05.12.1999,05.12.1999,05.12.1999,05.12.1999,06.07.1999,06.08.1999,06.09.1999,06.14.1999,06.14.1999,06.17.1999,09.08.1999,09.09.1999,09.10.1999,09.13.1999,09.13.1999,09.13.1999,09.13.1999,09.13.1999,09.13.1999,09.14.1999,09.14.1999,09.14.1999,09.14.1999,12.09.1999,04.13.2000,04.13.2000,04.13.2000,04.13.2000,05.10.2000,05.16.2000,05.16.2000,05.18.2000,05.18.2000,05.31.2000,06.22.2000,06.29.2000,06.29.2000,06.29.2000,06.29.2000,06.29.2000,06.29.2000,09.20.2000,09.21.2000,10.17.2000,10.18.2000
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Second Report of Committee Adopted  (nomination of Senators to serve on Select Committees).,"Motion of Senator Simard to adjourn the debate (debate on Linguistic School Boards-Amendment to Section 93 of Constitution-Establishment of Special Joint Committee-motions amended-vote deferred)
)","Motion in amendment (that Bill C-24 be not now read the third time, but that it be amended)",Speaker's ruling sustained,Adjournment motion,Speaker's ruling sustained,"Motion for the second reading of Bill C-16, An Act to amend the Criminal Code and the Interpretation Act",Speaker's ruling sustained,Motion to Amend Section 93 of Constitution Adopted,Changes to School System-Amendment to Term 17 of Constitution-Consideration of Report of Special Committee-Motion in Amendment Withdrawn,"consideration of the fourth report of the Standing Committee on Privileges, Standing Rules and Orders, presented in the Senate earlier this day.",Debate be adjourned,"Motion for the third reading of Bill S-2, An Act to amend the Canadian Transportation Accident Investigation and Safety Board Act and to make a consequential amendment to another Act,","That Bill C-19, An Act to amend the Canada Labour Code (Part I) and the Corporations and Labour Unions Returns Act and to make consequential amendments to other Acts, be not now read the second time but that the subject-matter thereof be referred to the Standing Senate Committee on Social Affairs, Science and Technology",Motion to adjourn debate,"That Bill C-36 be not now read the third time, but that it be amended in clause 29 (Motion in amendment No. 1)",That Bill C-36 be not now read the third time (Motion in amendment No. 2),Motion agreed to and bill read third time and passed (Bill C-36),Commission of Inquiry on the Blood System in Canada-Motion to Comply with Recommendations-Motion in Amendment-Point of Order-Debate Adjourned to Await Speaker's Ruling,Motion in amendment of the Honourable Senator DeWare negatived on the following division,"Bill C-19 be not now read the third time, but that it be amended","Bill C-19 be not now read the third time, but that it be amended",Motion for third reading of Bill C-19 (Motion agreed),Motion agreed to and debate adjourned,Motion in amendment : that the Bill be not now read the third time but that it be amended in clause 25.,"Motion for the third reading of Bill C-37, to amend the Judges Act and to make consequential amendments to other Acts, as amended",Bill C-29 be now read the third time.,"Motion for the third reading of Bill C-29, to establish the Parks Canada Agency and to amend other Acts as a consequence.","Bill to Amend-Third Reading of Bill C-38, to amend the National Parks Act (creation of Tuktut Nogait National Park).",Main motion for third reading of Bill C-38,Motion to Congratulate the Government of Ontario on Recompensing Victims of Hepatitis C in Blood System-Debate Concluded,"Motion for the second reading of Bill C-43, to establish the Canada Customs and Revenue Agency and to amend and repeal other Acts as a consequence.","Third Reading of the Bill C-76, to provide for the resumption and continuation of government services.","Third Reading-Motion in Amendment Negatived on Division-Debate Continued (Bill C-43, to establish the Canada Customs and Revenue Agency and to amend and repeal other Acts as a consequence).","Third reading of Bill C-43, to establish the Canada Customs and Revenue Agency and to amend and repeal other Acts as a consequence",Third reading of Bill C-40.,Motion in amendment number one of Senator Grafstein negatived,Motion in amendment number two of Senator Grafstein negatived,Motion agreed to and bill read third time and passed,Speaker's ruling sustained,"Motion for the adoption of the twelfth report of the Standing Senate Committee on Transport and Communications (Bill C-55, respecting advertising services supplied by foreign periodical publishers, with amendments).",Motion agreed to and debate adjourned.,"Third reading of Bill C-71, to implement certain provisions of the budget tabled in Parliament on February 16, 199","Second reading of Bill S-19, to give further recognition to the war-time service of Canadian merchant navy veterans and to provide for their fair and equitable treatment.","Third reading of Bill C-78, to establish the Public Sector Pension Investment Board, to amend the Public Service Superannuation Act, the Canadian Forces Superannuation Act, the Royal Canadian Mounted Police Superannuation Act, the Defence Services Pension Continuation Act, the Royal Canadian Mounted Police Pension Continuation Act, the Members of Parliament Retiring Allowances Act and the Canada Post Corporation Act and to make a consequential amendment to another Act;","Motion for the adoption of the fifteenth report of the Standing Senate Committee on Social Affairs, Science and Technology (Bill S-10, to amend the Excise Tax Act, with an amendment) presented in the Senate on December 9, 1998.-(Honourable Senator Carstairs","Motion for the third reading of Bill C-78, to establish the Public Sector Pension Investment Board, to amend the Public Service Superannuation Act, the Canadian Forces Superannuation Act, the Royal Canadian Mounted Police Superannuation Act, the Defence Services Pension Continuation Act, the Royal Canadian Mounted Police Pension Continuation Act, the Members of Parliament Retiring Allowances Act and the Canada Post Corporation Act and to make a consequential amendment to another Act",That Bill C-78 be not now read a third time but that it be amended,"Third reading of Bill C-32, respecting pollution prevention and the protection of the environment and human health in order to contribute to sustainable development.",Bill C-32 be read the third time now.,Motion No. 1 in amendment (Senator Cochrane) negatived (Bill C-32).,Motion No. 2 in amendment (Senator Cochrane) negatived (Bill C-32).,Motion in amendment by Senator Spivak negatived (Bill C-32).,Motion agreed to and bill read third time and passed (Bill C-32).,"Motion for third reading of Bill C-78, and the immediate question is the motion in  amendment.",Motion No. 1 in amendment  by Senator Andreychuk negatived (Bill C-78).,Motion No. 2 in amendment by Senator Andreychuk negatived (Bill C-78).,Motion agreed to and bill read third time and passed (Bill C-78).,"Motion for the third reading of Bill C-6, to support and promote electronic commerce by protecting personal information that is collected, used or disclosed in certain circumstances, by providing for the use of electronic means to communicate or record information or transactions and by amending the Canada Evidence Act, the Statutory Instruments Act and the Statute Revision Act","Motion for the third reading of Bill C-9, to give effect to the Nisga'a Final Agreement.",Motion in amendment of the Honourable Senator Sparrow negatived (Bill C-9).,Motion in amendment of the Honourable Senator Sparrow negatived (Bill C-9).,Motion agreed to and bill read third time and passed (Bill C-9).,"Motion for the third reading of Bill C-2, respecting the election of members to the House of Commons, repealing other Acts relating to elections and making consequential amendments to other Acts","That a special committee of the Senate be appointed to consider, after second reading, the Bill C-20, An Act to give effect to the requirement for clarity as set out in the opinion of the Supreme Court of Canada in the Quebec Secession Reference",Motion agreed.,"Motion for the second reading of Bill C-20, An Act to give effect to the requirement for clarity as set out in the opinion of the Supreme Court of Canada in the Quebec Secession Referen",Motion agreed to and bill read second time (Bill C-20).,"Motion for the third reading of Bill C-2, respecting the election of members to the House of Commons, repealing other Acts relating to elections and making consequential amendments to other Acts,","Motion for the second reading of Bill C-19, respecting genocide, crimes against humanity and war crimes and to implement the Rome Statute of the International Criminal Court, and to make consequential amendments to other Acts.",Motion for the third reading of Bill C-20.,Motion in amendment by Senator Banks negatived,Motion in amendment by Senator Joyal negatived,Motion in amendment by Senator Gauthier negatived,Motion in amendment by Senator Watt negatived,Motion for third reading by Senator Hays agreed to,Motion to Establish Special Senate Committee to Examine Conduct of Personnelξin Relation to the Somalia Deployment and the Destruction of Medical Records of Personnel Serving in Croatia Defeated.,"Motion for the third reading of Bill C-37, to amend the Parliament of Canada Act and the Members of Parliament Retiring Allowances Act",Motion to Approve Appointment of George Radwanski Adopted,"Motion for the third reading of Bill C-27, respecting the national parks of Cana"
"Macdonald, John Michael",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.06.24 - 1997.06.20 ,1960.06.24 , 1997.06.20 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Phillips, Orville H.",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1963.02.05 - 1999.03.24 ,1963.02.05 , 1999.03.24 ,(Resignation),9,9,9,2,1,2,1,2,9,9,9,2,1,9,1,1,1,2,1,1,1,1,2,2,9,1,1,1,1,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Thompson, Andrew",Independent,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1998.03.23 ,1967.04.06 , 1998.03.23 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Sparrow, Herbert O.",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1968.02.09 - 2005.01.04 ,1968.02.09 , 2005.01.04 ,(Retirement),9,9,9,1,8,9,9,9,9,2,1,1,9,9,9,2,2,1,9,9,9,9,9,1,9,9,9,2,1,1,9,1,2,2,2,2,2,2,1,1,2,9,9,9,9,2,2,9,2,2,2,2,2,1,2,2,2,1,9,1,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2
"Stanbury, Richard J.",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1968.02.13 - 1998.05.02 ,1968.02.13 , 1998.05.02 ,(Retirement),9,2,9,1,2,1,2,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Petten, William J.",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1968.04.08 - 1998.01.28 ,1968.04.08 , 1998.01.28 ,(Retirement),2,2,2,1,2,1,2,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Molgat, Gildas L.",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1970.10.07 - 2001.02.28 ,1970.10.07 , 2001.02.28 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Lawson, Edward M.",Independent,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 2004.09.24 ,1970.10.07 , 2004.09.24 ,(Retirement),9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,9,9,9,9,9,9,9,2,2,2,9,9,9,1,1,9,2,2,2,2,1,9,2,1,9,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,2,2,2,2,2,1,2,9,1,2
