Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S37S1V01,S37S1V02,S37S1V03,S37S1V04,S37S1V05,S37S1V06,S37S1V07,S37S1V08,S37S1V09,S37S1V10,S37S1V11,S37S1V12,S37S1V13,S37S1V14,S37S1V15,S37S1V16,S37S1V17,S37S1V18,S37S1V19,S37S1V20,S37S1V21,S37S1V22,S37S1V23,S37S1V24,S37S1V25,S37S1V26,S37S1V27,S37S1V28,S37S1V29,S37S1V30,S37S1V31,S37S1V32,S37S1V33,S37S1V34,S37S1V35,S37S1V36,S37S1V37,S37S1V38,S37S1V39,S37S1V40,S37S1V41,S37S1V42,S37S1V43,S37S1V44,S37S1V45,S37S1V46,S37S1V47,S37S1V48,S37S2V01,S37S2V02,S37S2V03,S37S2V04,S37S2V05,S37S2V06,S37S2V07,S37S2V08,S37S2V09,S37S2V10,S37S2V11,S37S2V12,S37S2V13,S37S2V14,S37S2V15,S37S2V16,S37S2V17,S37S2V18,S37S2V19,S37S2V20,S37S2V21,S37S2V22,S37S2V23,S37S2V24,S37S2V25,S37S2V26,S37S2V27,S37S2V28,S37S3V01,S37S3V02,S37S3V03,S37S3V04,S37S3V05,S37S3V06,S37S3V07,S37S3V08,S37S3V09,S37S3V10,S37S3V11,S37S3V12,S37S3V13,S37S3V14,S37S3V15,S37S3V16,S37S3V17,S37S3V18,S37S3V19,S37S3V20,S37S3V21,S37S3V22,S37S3V23,S37S3V24
Date,,,,,,,,2001.04.26,2001.04.26,2001.04.26,2001.05.09,2001.06.14,2001.10.31,2001.10.31,2001.10.31,2001.10.31,2001.11.06,2001.12.04,2001.12.10,2001.12.13,2001.12.13,2001.12.13,2001.12.13,2001.12.13,2001.12.14,2001.12.17,2001.12.17,2001.12.17,2001.12.17,2001.12.17,2001.12.18,2001.12.18,2001.12.18,2001.12.18,2001.12.18,2001.12.18,2001.12.18,2001.12.18,2001.12.18,2001.12.18,2001.12.18,2001.12.18,2001.12.18,2002.03.26,2002.03.27,2002.03.27,2002.04.18,2002.04.23,2002.04.24,2002.04.25,2002.04.25,2002.04.25,2002.06.11,2002.06.12,2002.06.13,2002.10.03,2002.12.03,2002.12.12,2003.06.10,2003.06.19,2003.09.30,2003.10.08,2003.10.08,2003.10.20,2003.10.21,2003.10.21,2003.10.22,2003.10.23,2003.10.23,2003.10.27,2003.10.27,2003.10.27,2003.10.28,2003.10.30,2003.11.03,2003.11.04,2003.11.05,2003.11.05,2003.11.06,2003.11.06,2003.11.06,2003.11.07,2003.11.07,2004.02.11,2004.02.12,2004.02.20,2004.02.20,2004.02.23,2004.02.24,2004.03.30,2004.04.20,2004.04.20,2004.04.21,2004.04.22,2004.04.22,2004.04.27,2004.04.27,2004.04.27,2004.04.27,2004.04.27,2004.04.28,2004.04.28,2004.04.29,2004.05.04,2004.05.04,2004.05.04,2004.05.13
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Federal Law-Civil Law Harmonization, 3rd reading","Federal Law-Civil Law Harmonization, 3rd reading","Federal Law-Civil Law Harmonization, 3rd reading","Bill C-2, Employment Insurance Act and the Employment Insurance (Fishing) Regulations (Amendment to)",Bill C4 - Canada Foundation for Sustainable Development Technology (motion in amendment),"Bill C-11 - Immigration and Refugee Protection Bill, motion in amendment","Bill C-11 - Immigration and Refugee Protection Bill, motion 3rd reading",Motion on the adoption of the second report of the Standing Senate Committee on Defence and Security (budget-release of additional funds),"Motion for the adoption of the fourth report of the Standing Committee on Privileges, Standing Rules and Orders ",Adjournment motion,"Motion for the third reading of Bill C-31, to amend the Export Development Act and to make consequential amendments to other Acts","Motion for the adoption of the tenth report of the Standing Senate Committee on Legal and Constitutional Affairs (Bill C-7, in respect of criminal justice for young persons and to amend and repeal other acts, with amendments)","Motion for the third reading of Bill C-7, An Act in respect of criminal justice for young persons and to amend and repeal other Acts",Motion that debate be adjourned,Motion that debate be adjourned,Motion that debate be adjourned,Motion that debate be adjourned,Motion that debate be adjourned,"Motion for the third reading of Bill C-7, in respect of criminal justice for young persons and to amend and repeal other Acts","Motion for the third reading of Bill C-36, to amend the Criminal Code, the Official Secrets Act, the Canada Evidence Act, the Proceeds of Crime (Money Laundering) Act and other Acts","Motion for the third reading of Bill C-6, to amend the International Boundary Waters Treaty Act","Motion for the second reading of Bill C-45, for granting to Her Majesty certain sums of money for the public service of Canada for the financial year ending March 31, 2002","Motion that the Speaker put all questions necessary to dispose of all stages of the following Bills (C-6, C-7, C-45) now before the Senate","Amendment to the motion for the third reading of Bill C-7, in respect of criminal justice for young persons and to amend and repeal other Acts","Motion for the third reading of Bill C-45, for granting to Her Majesty certain sums of money for the public service of Canada for the financial year ending March 31, 2002","Motion for the third reading of Bill C-7, An Act in respect of criminal justice for young persons and to amend and repeal other Acts, as amended","Motion for the third reading of Bill C-7, in respect of criminal justice for young persons and to amend and repeal other Acts (further amendment)","Motion for the third reading of Bill C-7, in respect of criminal justice for young persons and to amend and repeal other Acts (further amendment)","Motion for the third reading of Bill C-7, in respect of criminal justice for young persons and to amend and repeal other Acts (as amended)","Motion for the third reading of Bill C-6, to amend the International Boundary Waters Treaty (further amendment)","Motion for the third reading of Bill C-6, to amend the International Boundary Waters Treaty (as amended)","Motion for the third reading of Bill C-36, An Act to amend the Criminal Code, the Official Secrets Act, the Canada Evidence Act, the Proceeds of Crime (Money Laundering) Act and other Acts, and to enact measures respecting the registration of charities in order to combat terrorism","Motion that Bill C-36 be not now read the third time, but that it be amended (Andreychuck)","Motion that Bill C-36 be not now read the third time, but that it be amended (Beaudoin)","Motion that Bill C-36 be not now read the third time, but that it be amended (Murray)",Motion that Bill C-36 be now read the third time,Motion that Bill C-49 be not now read a third time but that it be amended,Motion in amendment that the bill C-49  be not now read a third time but that it be amended in clause 5,Motion in amendment that the bill C-49  be not now read a third time but that it be amended in clause 2,Motion in amendment that the Bill C-35 be not now read the third time but that it be amended,Motion in amendment that the Bill C-35 be not now read the third time but that it be amended,Motion that the Bill C-35 be now read the third time,Motion in amendment that the Bill C-35 be not now read a third time but that it be amended in clause 5,Motion in amendment that the Bill C-35 be not now read a third time but that it be amended in clauses 5 & 8,Motion in amendment that the Bill C-35 be not now read a third time but that it be amended,Motion for the adjournment of the debate,"Motion in amendment that Bill C-10, respecting the national marine conservation areas of Canada be not now read for a third time, but that the Bill be referred to committee to hear testimony from further witnesses",Motion in amendment that the Bill C-27 be not now read a third time but that it be amended ,Speaker's ruling,Motion that the Bill C-10A be read the third time,Amendment to the motion that the Senate call on the government to ratify the Kyoto Protocol on Climate Change,"Motion that the question now before the Senate (Bill C-10B, to amend the Criminal Code (cruelty to animals)) be referred to the Standing Senate Committee on Legal and Constitutional Affairs","Motion in amendment that the Bill C-28 (An Act to implement certain provisions of the budget tabled in Parliament on February 18, 2003) be not now read a third time but that it be amended in clause 64",Motion in amendment that the Bill C-25 (to modernize employment and labour relations in the public service and to amend the Financial Administration Act and the Canadian Centre for Management Development Act and to make consequential amendments to other Acts) be not now read a third time but that it be amended in clause 12,"Motion that the motion in amendment be amended (Bill C-25, to modernize employment and labour relations in the public service and to amend the Financial Administration Act and the Canadian Centre for Management Development Act and to make consequential amendments to other Acts)",Motion to adjourn the debate,"Motion that not more than a further six hours of debate be allocated for the consideration for third reading of Bill C-6 (to establish the Canadian Centre for the Independent Resolution of First Nations Claims to provide for the filing, negotiation and resolution of specific claims and to make related amendments to other acts)","Motion in amendment that the Bill C-6, to establish the Canadian Centre for the Independent Resolution of First Nations Specific Claims to provide for the filing, negotiation and resolution of specific claims and to make related amendments to other Acts, as amended, be not now read the third time, but that it be read a third time this day six months hence","Motion in amendment that the Bill C-6, to establish the Canadian Centre for the Independent Resolution of First Nations Specific Claims to provide for the filing, negotiation and resolution of specific claims and to make related amendments to other Acts, as amended, be now read the third time","Motion in subamendment of Bill C-25, to modernize employment and labour relations in the public service and to amend the Financial Administration Act and the Canadian Centre for Management Development Act and to make consequential amendments to other Acts","Motion in amendment of the Honourable Senator Beaudoin, seconded by the Honourable Senator Comeau, that the Bill C-25, to modernize employment and labour relations in the public service and to amend the Financial Administration Act and the Canadian Centre for Management Development Act and to make consequential amendments to other Acts, be not now read a third time but that it be amended in clause 12","Motion that, pursuant to rule 39, not more than a further six hours of debate be allocated for the consideration for second reading of Bill C-34, An Act to amend the Parliament of Canada Act (Ethics Commissioner and Senate Ethics Officer) and other Acts in consequence","Motion for the second reading of Bill C- 34, to amend the Parliament of Canada Act (Ethics Commissioner and Senate Ethics Officer) and other Acts in consequence","Motion that Bill C-34, an act to amend the Parliament of Canada Act, Ethics Commissioner and Senate Ethics Officer, and other acts in consequence, be not now read a third time but that it be referred to the Standing Senate Committee on Legal and Constitutional Affairs","Motion that the Bill C-34 be not now read the third time but that it be referred to the Standing Committee on Rules, Procedures and the Rights of Parliament","Motion in amendment that the Bill C-25, to modernize employment and labour relations in the public service and to amend the Financial Administration Act and the Canadian Centre for Management Development Act and to make consequential amendments to other Acts, be not now read a third time but that it be amended in clause 230, on page 249, in the French version","Motion in amendment that the Bill C-25, to modernize employment and labour relations in the public service and to amend the Financial Administration Act and the Canadian Centre for Management Development Act and to make consequential amendments to other Acts, be not now read a third time but that it be amended by adding a section entitled PROTECTION OF WHISTLEBLOWERS","Motion in amendment that the Bill C-25, to modernize employment and labour relations in the public service and to amend the Financial Administration Act and the Canadian Centre for Management Development Act and to make consequential amendments to other Acts, be not now read a third time but that it be amended in clause 2",Motion to adjourn the debate,"Motion that the motion, together with the message from the House of Commons dated September 29, 2003, regarding Bill C-10B, to amend the Criminal Code (cruelty to animals), be referred to the Standing Senate Committee on Legal and Constitutional Affairs for consideration and report and the debate adjourned",Motion that the debate de adjourned until next sitting,"Motion that the motion, together with the message from the House of Commons dated September 29, 2003, regarding Bill C-10B, An Act to amend the Criminal Code (cruelty to animals), be referred to the Standing Senate Committee on Legal and Constitutional Affairs for consideration and report",Motion that Bill C-49 not now be read the second time but that the subject-matter thereof be referred to the Standing Senate Committee on Legal and Constitutional Affairs; and that the Order to resume debate on the motion for the second reading of the Bill remain on the Order Paper,"Motion for the second reading of Bill C-49, respecting the effective date of the representation order of 2003",Motion that the debate be adjourned,"Motion in amendment that Bill C-34, to amend the Parliament of Canada Act (Ethics Commissioner and Senate Ethics Officer) and other Acts in consequence, be not now read the third time but that it be amended",Motion to adjourn the debate,Motion to adjourn the debate,Motion to adjourn the debate on a motion for an Address in reply to the Speech from the Throne,Motion that Bill C-5 be read the second time,Motion in amendment for an Address to Her Excellency the Governor General in reply to her Speech from the Throne at the Opening of the Third Session of the Thirty-seventh Parliament,Motion in amendment for an Address to Her Excellency the Governor General in reply to her Speech from the Throne at the Opening of the Third Session of the Thirty-seventh Parliament,"Motion in amendment that the Bill  C-4, to amend the Parliament of Canada Act (Ethics Commissioner and Senate Ethics Officer) and other Acts in consequence, be not now read a third time but that it be amended","Motion in subamendment of Bill C-250, to amend the Criminal Code (hate propaganda)",Motion to adjourn the debate on the subamendment,"Motion in subamendment of Bill C-250, to amend the Criminal Code (hate propaganda)",Motion to adjourn the debate,Motion to adjourn the Senate,"Motion that the Senate not now proceed to third reading, but that refer Bill C-7 to the Standing Senate Committee on Legal and Constitutional Affairs for analysis on the constitutionality of Bill","Motion in subamendment of the the Bill C-250, An Act to amend the Criminal Code (hate propaganda)",Motion to dispose of Bill C-250 ,Motion to dispose of Bill C-250 ,"Motion to adjourn the debate for the third reading of Bill C-7, to amend certain Acts of Canada, and to enact measures for implementing the Biological and Toxin Weapons Convention, in order to enhance public safety","Motion in amendment that Bill C-250, to amend the Criminal Code (hate propaganda), be not now read a third time but that it be amended in clause 1","Motion that Bill C-250, to amend the Criminal Code (hate propaganda), be now read a third time","Motion in amendment of the Honourable Senator Nolin, seconded by the Honourable Senator Lynch- Staunton, that the Bill C-7, to amend certain Acts of Canada, and to enact measures for implementing the Biological and Toxin Weapons Convention, in order to enhance public safety, be not now read a third time but that it be amended","Motion in amendment of the Honourable Senator Nolin, seconded by the Honourable Senator Lynch- Staunton, that the Bill C-7, to amend certain Acts of Canada, and to enact measures for implementing the Biological and Toxin Weapons Convention, in order to enhance public safety, be not now read a third time but that it be amended","Motion in amendment of the Honourable Senator Nolin, seconded by the Honourable Senator Lynch- Staunton, that the Bill C-7, to amend certain Acts of Canada, and to enact measures for implementing the Biological and Toxin Weapons Convention, in order to enhance public safety, be not now read a third time but that it be amended","Motion in amendment of the Honourable Senator Nolin, seconded by the Honourable Senator Lynch- Staunton, that the Bill C-7, to amend certain Acts of Canada, and to enact measures for implementing the Biological and Toxin Weapons Convention, in order to enhance public safety, be not now read a third time but that it be amended","Motion in amendment that Bill C-3, to amend the Canada Elections Act and the Income Tax Act, be not now read a third time but that it be amended in clause 27"
"Sparrow, Herbert O.",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1968.02.09 - 2005.01.04 ,1968.02.09 , 2005.01.04 ,(Retirement),1,1,8,9,2,9,9,9,9,9,2,1,1,9,9,9,9,9,2,2,2,1,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,2,2,2,1,2,2,9,2,9,9,8,9,2,8,9,9,9,2,2,2,9,9,9,2,2,2,1,2,1,1,2,2,2,1,1,9,9,9,9,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Lawson, Edward M.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 2004.09.24 ,1970.10.07 , 2004.09.24 ,(Retirement),9,9,9,9,2,1,1,1,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,9,2,9,9,1,9,9,9,9,9,9,9,1,2,1,9,1,9,9,9,9,9,9,9,9,9,2,2,2,1,1,9,9,9,9,9,2,1,1,2,9,2,2,2,9
"Molgat, Gildas L.",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1970.10.07 - 2001.02.28 ,1970.10.07 , 2001.02.28 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Graham, B. Alasdair",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 2004.05.21 ,1972.04.27 , 2004.05.21 ,(Retirement),2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,9,2,2,2,2,1,2,2,2,9,2,2,2,1,2,2,2,2,2,2,1,2,1,2,9,9,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,9,9,9,9,9,2,2,1,1,9,2,1,2,2,2,2,2
"Perrault, Raymond J.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1973.10.05 - 2001.02.06 ,1973.10.05 , 2001.02.06 ,(Retirement),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Austin, Jack",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1975.08.19 - 2007.03.02 ,1975.08.19 , 2007.03.02 ,(Retirement),2,2,1,2,9,9,9,9,9,9,2,2,2,2,2,9,9,9,2,2,2,1,1,2,1,2,2,2,1,2,1,9,2,2,2,1,2,9,9,2,2,1,2,2,2,1,2,2,9,9,9,2,2,2,2,2,1,2,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,2,2,2,2,2,9,9,2,2,1,1,2,2,1,2,2,2,2,2
"Adams, Willie",Liberal Party of Canada,Nunavut,"Trudeau, Pierre Elliott",1977.04.05 - 2009.06.22 ,1977.04.05 , 2009.06.22 ,(Retirement),9,9,9,9,2,2,1,1,8,2,9,8,1,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,2,2,1,1,2,9,2,2,1,2,9,2,1,9,1,2,2,2,9,1,1,2,2,2,2,9,9,9,9,9,9,9,9,1,1,2,1,2,9,1,2,9,9,9,9,2,2,1,1,2,2,1,2,1,9,9,9
"Murray, Lowell",Progressive Conservative Party,Ontario,"Clark, Charles Joseph",1979.09.13 - ,1979.09.13 , ,,2,2,1,1,9,1,2,9,9,1,1,1,1,1,1,1,1,1,1,1,1,2,9,1,8,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,9,1,2,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,1,9,8,8,9,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,2
