Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S38S1V01,S38S1V02,S38S1V03,S38S1V04,S38S1V05,S38S1V06,S38S1V07,S38S1V08,S38S1V09,S38S1V10,S38S1V11,S38S1V12,S38S1V13,S38S1V14,S38S1V15,S38S1V16,S38S1V17,S38S1V18,S38S1V19,S38S1V20,S38S1V21,S38S1V22,S38S1V23,S38S1V24,S38S1V25,S38S1V26
Date,,,,,,,,2005.02.24,2005.03.23,2005.03.23,2005.04.20,2005.05.04,2005.05.10,2005.05.18,2005.05.18,2005.05.18,2005.07.05,2005.07.06,2005.07.06,2005.07.19,2005.07.19,2005.07.19,2005.07.19,2005.07.20,2005.07.20,2005.11.22,2005.11.23,2005.11.23,2005.11.25,2005.11.25,2005.11.25,2005.11.25,2005.11.25
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the motion to appoint Ethics Officer be referred to Committee of the Whole,Motion to adjourn the debate,"Motion in amendment that Bill S-18, An Act to amend the Statistics Act, be not now read a third time but that it be amended in clause 1","Motion that Bill S-18, An Act to amend the Statistics Act, be now read a third time",Motion to adjourn the Senate,"Motion in amendment that Bill C-33, a second Act to implement certain provisions of the budget tabled in Parliament on March 23, 2004, be not now read a third time but that it be amended",Motion to adjourn the debate,"Motion that Bill C-15, to amend the Migratory Birds Convention Act, 1994 and the Canadian Environmental Protection Act, 1999, be not now read a third time but referred back to the Standing Senate Committee on Energy, the Environment, and Natural Resources for clause-by-clause consideration","Motion in amendment that Bill C-15, to amend the Migratory Birds Convention Act, 1994 and the Canadian Environmental Protection Act, 1999, be not now read a third time, but amended","Motion to dispose of the second reading stage of Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes","Motion for the second reading of Bill C-38, respecting certain aspects of legal capacity for marriage for civil purposes","Motion that the Senate of Canada calls upon the Government of Canada to establish a specific timetable that will enable Canada to meet its longstanding commitment to provide 0.7 per cent of its Gross National Income as official international development assistance; and that the Senate of Canada calls upon the Government of Canada to provide funds, within the budgetary process, to achieve this objective at latest by the year 2015, beginning, with an immediate 100 per cent increase in official development assistance in the next fiscal year","Motion that Bill C-38 be not now read a third time, but that it be read a third time this day six months hence",Motion in subamendment that the amendment to Bill C-38 be itself amended,Motion that Bill C-38 be not now read a third time but that it be amended,Motion that Bill C-38 be now read a third time,Motion that Bill C-48 be not now read a third time but that it be amended in clause 2,Motion that Bill C-48 be now read a third time,"Motion that the debate on the second reading of Bill C-259, An Act to amend the Excise Tax Act (elimination of excise tax on jewellery), be ajourned","Motion that, notwithstanding the Order of the Senate of November 2, 2004, when the Senate sits on Wednesday, November 23, 2005, it continue its proceedings beyond 4 p.m. and follow the normal adjournment procedure according to rule 6(1); and that committees of the Senate scheduled to meet on Wednesday, November 23, 2005, be authorized to sit even though the Senate may then be sitting, and that rule 95(4) be suspended in relation thereto","Motion for the second reading of Bill C-55, to establish the Wage Earner Protection Program Act, to amend the Bankruptcy and Insolvency Act and the Companies' Creditors Arrangement Act and to make consequential amendments to other Acts","Motion that Bill C-25, governing the operation of remote sensing space systems, be read the third time six months hence","Motion to adjourn the debate over the third reading of Bill C-11, to establish a procedure for the disclosure of wrongdoings in the public sector, including the protection of persons who disclose the wrongdoings","Motion that, pursuant to rule 38, in relation to: Bill C-57, An Act to amend certain acts in relation to financial institutions; and Bill C-71, An Act respecting the regulation of commercial and industrial undertakings on reserve lands; no later than 2:45 p.m. Friday, November 25, 2005, the Speaker shall interrupt any proceedings before the Senate and all questions necessary to dispose of all remaining stages of the above-mentioned bills shall be put forthwith and successively without further debate, amendment or adjournment and that any votes on any of those questions be not further deferred; and that, if a standing vote is requested, the bells to call in the Senators be sounded for fifteen minutes","Motion that Bill C-71, respecting the regulation of commercial and industrial undertakings on reserve lands, be now read a third time","Motion that Bill C-57, to amend certain Acts in relation to financial institutions, be read the third time now"
"Murray, Lowell",Progressive Conservative Party,Ontario,"Clark, Charles Joseph",1979.09.13 - ,1979.09.13 , ,,2,9,9,1,9,1,1,1,1,9,9,9,9,9,9,9,1,2,9,9,9,9,9,8,9,9
"Cools, Anne C.",Conservative Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - ,1984.01.13 , ,,1,9,1,2,1,1,1,1,9,2,2,9,1,1,1,2,1,2,9,9,9,2,2,8,9,9
"Watt, Charlie",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.16 - ,1984.01.16 , ,,9,9,2,9,2,9,1,1,2,9,9,9,2,2,2,9,2,1,1,9,2,2,9,8,8,1
"De Baní©, Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,2,9,2,9,9,8,2,2,2,9,9,9,9,9,9,9,2,1,9,1,2,2,9,9,1,1
"Fairbairn, Joyce",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,2,2,2,1,2,2,2,2,2,9,9,9,2,2,2,1,2,1,1,1,2,2,2,1,1,1
"Kenny, Colin",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,2,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,9,9,9,1,9,9,9,9,9,9
"Cochrane, Ethel M.",Conservative Party of Canada,Newfoundland and Labrador,"Mulroney, Martin Brian",1986.11.17 - ,1986.11.17 , ,,1,9,9,2,1,9,2,2,2,2,2,1,1,1,1,2,1,2,9,1,1,2,2,1,1,1
"Comeau, Gerald J.",Conservative Party of Canada,Nova Scotia,"Mulroney, Martin Brian",1990.08.30 - ,1990.08.30 , ,,9,1,1,2,1,1,1,1,1,2,2,9,1,1,1,2,1,2,2,1,1,2,2,1,1,1
