Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S39S1V01,S39S1V02,S39S1V03,S39S1V04,S39S1V05,S39S1V06,S39S1V07,S39S1V08,S39S1V09,S39S1V10,S39S1V11,S39S1V12,S39S1V13,S39S1V14,S39S1V15,S39S1V16,S39S1V17,S39S1V18,S39S1V19,S39S1V20,S39S1V21,S39S1V22,S39S1V23,S39S1V24,S39S1V25,S39S1V26,S39S1V27,S39S1V28,S39S1V29,S39S1V30,S39S1V31,S39S1V32,S39S1V33,S39S1V34,S39S2V01,S39S2V02,S39S2V03,S39S2V04,S39S2V05,S39S2V06,S39S2V07,S39S2V08,S39S2V09,S39S2V10,S39S2V11,S39S2V12,S39S2V13,S39S2V14
Date,,,,,,,,10.17.2006,11.09.2006,11.09.2006,11.09.2006,11.09.2006,11.09.2006,11.21.2006,11.21.2006,01.30.2007,02.01.2007,02.06.2007,02.08.2007,02.13.2007,02.15.2007,03.20.2007,03.20.2007,03.20.2007,03.22.2007,05.01.2007,05.10.2007,05.16.2007,05.30.2007,06.05.2007,06.06.2007,06.12.2007,06.18.2007,06.19.2007,06.20.2007,06.22.2007,06.22.2007,06.22.2007,06.22.2007,06.22.2007,06.22.2007,2007.10.30,2007.10.31,2007.11.01,2007.11.01,2007.12.12,2007.12.12,2007.12.12,2007.12.13,2008.02.27,2008.04.01,2008.04.15,2008.05.28,2008.05.28,2008.06.18
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Report of National Security and Defence CommitteeäóîMotion in AmendmentäóîDebate Continued,"Motion for the third reading of Bill C-2, providing for conflict of interest rules, restrictions on election financing and measures respecting administrative transparency, oversight and accountability, as amended",Motion in amendment No.1 of Senator Murray negatived (Bill C-2).,Motion in amendment No. 2 of Senator Murray negatived (Bill C-2).,Motion in amendment No. 3 of Senator Murray negatived (Bill C-2).,Motion in amendment No. 4 of Senator Murray negatived (Bill C-2).,Motion to Authorize Committee to Study Permissibility of Senators' Staff Inquiring into the Travelling Details of Other SenatorsäóîDebate Suspended,Motion to Authorize Committee to Study Permissibility of Senators' Staff Inquiring into the Travelling Details of Other SenatorsäóîMotion in AmendmentäóîDebate Adjourned.,"Motion for the second reading of Bill S-4, to amend the Constitution Act, 1867 (Senate tenure",Motion agreed to and debate adjourned.,Motion agreed to and debate adjourned,Motion agreed to and debate adjourned,Motion agreed to and debate adjourned,Motion agreed to and debate adjourned,"Motion for the second reading of Bill C-288, An Act to ensure Canada meets its global climate change obligations under the Kyoto Protocol",Motion negatived.,Motion agreed to and debate adjourned,"Motion for the third reading of Bill C-16, to amend the Canada Elections","That the Senate do not insist on its amendment to Bill C-16, to amend the Canada Elections Act; and That a Message be sent to the House of Commons to acquaint that House accordin.",BudgetäóîStudy on National Security PolicyäóîReport of Committee Adopted.,"Bill to AmendäóîReport of Special Committee on Subject MatteräóîDebate Continued (subject matter of Bill S-4, to amend the Constitution Act, 1867 (Senate tenure)).","Bill to AmendäóîReport of Special Committee on Subject MatteräóîDebate Continued (subject-matter of Bill S-4, to amend the Constitution Act, 1867 (Senate tenure)).","Motion for the third reading of Bill C-288, to ensure Canada meets its global climate change obligations under the Kyoto Protocol","Motion for the third reading of Bill C-288, to ensure Canada meets its global climate change obligations under the Kyoto Protocol","Motion for the third reading of Bill C-288, An Act to ensure Canada meets its global climate change obligations under the Kyoto Protocol","Motion for the third reading of Bill C-288, to ensure Canada meets its global climate change obligations under the Kyoto Protocol","Motion for the third reading of Bill C-288, to ensure Canada meets its global climate change obligations under the Kyoto Protocol","Motion for the third reading of Bill C-288, to ensure Canada meets its global climate change obligations under the Kyoto Protocol","Motion for the third reading of Bill C-52, to implement certain provisions of the budget tabled in Parliament on March 19, 2007",Motion in amendment negatived,Motion in amendment negatived,Motion agreed to,Motion in amendment negatived,Motion agreed to and bill read third time and passed,"Motion to adjourn the debate relative to the second report of the Committee of Selection (membership of Senate committees), presented in the Senate on October 23, 2007","Motion to ajdourn the debate for the second reading of Bill S-2, An Act to amend the Canada-United States Tax Convention Act, 1984","Motion to adjourn the debate over Bill S-215, An Act to protect heritage lighthouses","Motion for the adoption of the second report of the Committee of Selection (membership of Senate committees), presented in the Senate on October 23, 2007","Motion that the debate concerning the motion in subamendment concerning the Motion Urging Governor General to Fill Vacancies in the Senate, be ajourned until the next sitting",Motion that the Senate now adjourn,Motion to adjourn the debate,"Motion that Bill C-28, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2007 and to implement certain provisions of the economic statement tabled in Parliament on October 30, 2007, be now read the third time","Motion that Bill C-2, An Act to amend the Criminal Code and to make consequential amendments to other Acts, be read the third time now","Motion that Bill S-214, An Act to amend the Income Tax Act and the Excise Tax Act (tax relief for Nunavik), be now read a second time","Motion that Bill S-222, An Act to establish and maintain a national registry of medical devices, be now read a second time","Motion in amendment that Bill S-224, An Act to amend the Parliament of Canada Act (vacancies), be not now read a third time, but that it be amended in clause 1","Motion that Bill S-228, An Act to amend the Canadian Wheat Board Act (board of directors), be read the second time","Motion that the seventh report of the Standing Senate Committee on Foreign Affairs and International Trade entitled ""Overcoming 40 Years Of Failure: A New Road Map For Sub-Saharan Africa"", tabled in the Senate on February 15, 2007, during the First Session of the Thirty-ninth Parliament, be placed on the Orders of the Day for consideration at the next sitting of the Senate"
"Murray, Lowell",Progressive Conservative Party,Ontario,"Clark, Charles Joseph",1979.09.13 - ,1979.09.13 , ,,1,1,1,1,1,1,9,9,1,9,9,1,9,9,9,9,9,2,2,8,1,1,1,2,2,9,2,2,1,1,1,8,1,2,9,9,9,9,9,9,9,1,2,9,2,2,1,9
"Cools, Anne C.",No political alignment,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - ,1984.01.13 , ,,9,1,1,1,1,1,9,9,8,8,8,9,8,1,1,8,8,1,2,1,1,1,8,2,2,2,2,2,1,2,2,9,2,1,1,1,2,2,8,8,8,8,8,9,1,9,9,9
"Watt, Charlie",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.16 - ,1984.01.16 , ,,2,2,2,2,2,2,9,8,1,1,9,9,9,1,2,2,8,9,1,8,1,1,2,2,2,2,2,2,2,8,2,1,2,1,1,1,1,2,9,9,9,8,2,9,1,2,1,1
"De Baní©, Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,9,9,9,1,1,1,1,2,2,9,2,2,2,2,2,2,1,2,1,1,1,1,9,9,9,9,8,9,1,1,9,9,9
"Fairbairn, Joyce",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,1,2,2,2,2,2,2,8,1,1,1,1,1,9,2,2,8,1,1,1,1,1,2,9,2,2,2,2,2,2,2,1,2,1,1,9,1,1,2,2,2,8,8,1,9,2,1,9
"Kenny, Colin",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,1,2,2,2,2,2,2,8,9,9,9,9,9,9,2,2,8,9,2,1,1,1,9,9,9,9,9,2,9,9,9,9,9,9,9,1,9,9,2,2,2,8,9,9,9,2,1,1
"Cochrane, Ethel M.",Conservative Party of Canada,Newfoundland and Labrador,"Mulroney, Martin Brian",1986.11.17 - ,1986.11.17 , ,,2,9,9,9,9,9,1,9,9,2,2,2,9,2,1,1,1,2,1,2,2,2,1,1,9,1,1,1,2,1,1,8,1,2,9,9,1,1,9,9,9,1,1,2,2,1,2,9
"Comeau, Gerald J.",Conservative Party of Canada,Nova Scotia,"Mulroney, Martin Brian",1990.08.30 - ,1990.08.30 , ,,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2
"Di Nino, Consiglio",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1990.08.30 - ,1990.08.30 , ,,9,2,2,2,2,2,1,1,2,2,2,2,2,9,9,9,9,2,1,9,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,9,1,1,9,1,1,1,1,2,2,1,2,1
"Oliver, Donald H.",Conservative Party of Canada,Nova Scotia,"Mulroney, Martin Brian",1990.09.07 - ,1990.09.07 , ,,9,2,2,2,2,2,1,1,2,9,2,2,9,9,1,1,1,2,9,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,9,9,1,1,2,9,1,2,2
"Kinsella, Noí‚l A.",Conservative Party of Canada,New Brunswick,"Mulroney, Martin Brian",1990.09.12 - ,1990.09.12 , ,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9
"Johnson, Janis G.",Conservative Party of Canada,Manitoba,"Mulroney, Martin Brian",1990.09.27 - ,1990.09.27 , ,,9,9,9,9,9,9,1,1,2,9,9,9,2,9,9,9,9,9,1,9,9,2,1,1,1,1,1,1,2,2,2,1,1,2,2,9,9,9,9,9,9,1,1,2,2,1,2,9
"Meighen, Michael A.",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1990.09.27 - ,1990.09.27 , ,,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,1,1,2,1,8,2,2,1,1,1,9,1,1,2,2,2,1,1,2,9,2,9,9,9,9,9,9,1,9,2,1,2,9
"Andreychuk, Raynell",Conservative Party of Canada,Saskatchewan,"Mulroney, Martin Brian",1993.03.11 - ,1993.03.11 , ,,9,2,2,2,2,2,1,1,2,2,2,2,2,9,1,1,1,2,1,9,9,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,9,1,1,1,1,1,9,2,1,2,2
"Rivest, Jean-Claude",Independent,Quebec,"Mulroney, Martin Brian",1993.03.11 - ,1993.03.11 , ,,9,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,2,9
"Stratton, Terry",Conservative Party of Canada,Manitoba,"Mulroney, Martin Brian",1993.03.25 - ,1993.03.25 , ,,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,9,9,1,2,9,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,9,1,1,1,1,1,9,2,1,2,2
"Tkachuk, David",Conservative Party of Canada,Saskatchewan,"Mulroney, Martin Brian",1993.06.08 - ,1993.06.08 , ,,8,2,2,2,2,2,1,1,2,9,2,2,9,9,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,9,1,1,1,1,1,2,2,1,2,9
"Angus, W. David",Conservative Party of Canada,Quebec,"Mulroney, Martin Brian",1993.06.10 - ,1993.06.10 , ,,2,2,2,2,2,2,1,1,2,2,9,9,2,9,9,1,1,2,9,9,2,2,1,1,9,9,1,1,2,2,2,1,1,2,9,2,9,9,9,9,9,1,1,9,2,1,2,9
"LeBreton, Marjory",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1993.06.18 - ,1993.06.18 , ,,2,2,2,2,2,2,1,1,2,2,2,2,2,9,9,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,9,1,2,2
"Nolin, Pierre Claude",Conservative Party of Canada,Quebec,"Mulroney, Martin Brian",1993.06.18 - ,1993.06.18 , ,,2,2,2,2,2,2,1,1,2,2,2,2,2,2,9,9,9,9,1,9,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,9,9,8
"St. Germain, Gerry",Conservative Party of Canada,British Columbia,"Mulroney, Martin Brian",1993.06.23 - ,1993.06.23 , ,,8,2,2,9,9,9,9,9,9,9,2,9,2,2,1,1,1,9,1,9,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,9,9,9,9,9,9,1,1,2,2,1,2,9
"Carstairs, Sharon",Liberal Party of Canada,Manitoba,"Chrí©tien, Joseph Jacques Jean",1994.09.15 - ,1994.09.15 , ,,9,9,9,9,9,9,9,9,1,1,1,1,1,1,2,2,8,1,9,9,1,1,2,9,2,2,2,9,2,2,2,1,2,1,9,9,9,9,9,9,9,8,9,1,9,9,9,2
"Hervieux-Payette, Cí©line",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1995.03.21 - ,1995.03.21 , ,,9,1,2,2,1,2,9,9,1,1,1,1,1,1,2,2,8,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,9,9,9,9,9,8,1,9,2,1,1
"Losier-Cool, Rose-Marie",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean",1995.03.21 - ,1995.03.21 , ,,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,2,8,9,9,9,1,1,2,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1
"Poulin (Charette), Marie-P.",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1995.09.21 - ,1995.09.21 , ,,9,9,9,9,9,9,9,9,1,9,1,1,1,9,9,2,9,1,1,1,9,1,9,9,9,2,2,9,2,2,2,1,2,1,1,1,1,1,9,9,9,9,9,1,9,9,9,9
"Moore, Wilfred P.",Liberal Party of Canada,Nova Scotia,"Chrí©tien, Joseph Jacques Jean",1996.09.26 - ,1996.09.26 , ,,1,1,1,1,1,1,2,8,9,9,9,1,1,1,9,9,9,9,2,1,1,1,9,2,2,2,2,2,1,1,1,2,2,1,1,1,1,9,2,2,2,2,2,1,1,2,1,9
"Pí©pin, Lucie",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1997.04.08 - ,1997.04.08 , ,,9,9,9,9,9,9,9,9,1,1,9,1,1,9,2,2,8,9,1,9,1,1,2,2,9,2,2,2,8,8,8,1,2,1,1,1,1,9,9,9,9,9,8,9,1,2,1,9
"Callbeck, Catherine S.",Liberal Party of Canada,Prince Edward Island,"Chrí©tien, Joseph Jacques Jean",1997.09.22 - ,1997.09.22 , ,,9,9,9,9,9,9,9,9,1,1,9,1,1,9,2,2,8,9,1,1,1,1,2,2,2,2,9,2,1,1,1,2,2,1,1,1,1,9,2,2,2,8,8,1,9,9,9,1
"Robichaud, Fernand",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean",1997.09.22 - ,1997.09.22 , ,,2,2,2,2,2,2,2,8,1,1,1,9,1,1,2,2,9,1,9,9,1,1,2,2,2,2,2,2,1,1,1,2,2,1,1,1,9,1,2,2,2,9,9,1,1,2,1,8
"Joyal, Serge",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1997.11.26 - ,1997.11.26 , ,,1,9,9,9,9,9,2,8,1,1,1,1,1,1,2,2,8,1,8,9,1,1,9,9,2,2,9,2,8,1,1,8,2,1,1,1,1,9,9,9,9,8,2,1,1,2,1,9
"Mahovlich, Frank W.",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1998.06.11 - ,1998.06.11 , ,,9,2,2,2,2,2,2,8,9,9,1,1,1,9,2,2,8,9,8,1,1,1,9,2,2,9,9,9,9,9,9,9,9,9,9,1,1,9,2,9,9,9,8,1,1,2,1,9
"Fraser, Joan",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1998.09.17 - ,1998.09.17 , ,,8,2,2,8,2,2,2,8,1,1,1,1,1,1,2,2,8,1,1,9,1,1,2,9,2,9,2,2,2,2,2,1,2,1,9,9,9,9,2,2,9,8,2,9,1,2,1,2
"Poy, Vivienne",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1998.09.17 - ,1998.09.17 , ,,9,2,2,2,2,2,9,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,2,1,9,9,9,9,9,9,9,8,9,9,9,2,1,9
"Furey, George",Liberal Party of Canada,Newfoundland and Labrador,"Chrí©tien, Joseph Jacques Jean",1999.08.11 - ,1999.08.11 , ,,9,1,2,2,1,2,2,8,1,1,9,9,1,9,2,2,9,1,8,1,9,1,2,2,9,9,9,2,1,1,1,2,2,1,9,9,9,9,2,2,2,2,8,9,9,2,1,9
"Sibbeston, Nick G.",Liberal Party of Canada,Northwest Territories,"Chrí©tien, Joseph Jacques Jean",1999.09.02 - ,1999.09.02 , ,,9,2,2,2,2,2,9,9,9,1,9,9,9,9,2,2,8,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,2,9,9,9,8,8,1,9,2,1,9
