Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S40S1V01,S40S1V02,S40S2V01,S40S2V02,S40S2V03,S40S2V04,S40S2V05,S40S2V06,S40S2V07,S40S2V08,S40S2V09,S40S2V10,S40S2V11,S40S2V12,S40S2V13,S40S2V14,S40S2V15,S40S2V16,S40S2V17,S40S2V18,S40S2V19,S40S2V20,S40S2V21,S40S2V22,S40S2V23,S40S2V24,S40S3V01,S40S3V02,S40S3V03,S40S3V04,S40S3V05,S40S3V06,S40S3V07,S40S3V08,S40S3V09,S40S3V10,S40S3V11,S40S3V12,S40S3V13,S40S3V14,S40S3V15,S40S3V16,S40S3V17,S40S3V18,S40S3V19,S40S3V20,S40S3V21
Date,,,,,,,,2008.12.02,2008.12.03,2009.03.10,2009.03.10,2009.03.12,2009.03.12,2009.03.31,2009.04.22,2009.05.14,2009.06.10,2009.06.16,2009.06.22,2009.09.29,2009.10.06,2009.10.20,2009.10.21,2009.10.29,2009.11.03,2009.12.01,2009.12.09,2009.12.09,2009.12.10,2009.12.10,2009.12.10,2009.12.15,2009.12.15,2010.04.21,2010.06.15,2010.06.22,2010.06.29,2010.06.29,2010.07.06,2010.07.12,2010.07.12,2010.11.16,2010.12.02,2010.12.07,2010.12.08,2010.12.13,2010.12.13,2010.12.13,2010.12.14,03.23.2011,03.23.2011,03.24.2011,03.24.2011,03.24.2011
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the debate be ajourned,Motion to amend the Motion to Refer to Committee of the Whole,"Motion to adjourn the debate on the second reading of Bill S-224, An Act to amend the Canada Elections Act and the Parliament of Canada Act (vacancies)",Motion to adjourn the Senate,"Motion that Bill C-10, An Act to implement certain provisions of the budget tabled in Parliament on January 27, 2009 and related fiscal measures, be not now read a third time but that it be amended","Motion that Bill C-10, An Act to implement certain provisions of the budget tabled in Parliament on January 27, 2009 and related fiscal measures, be now read a third time",Ruling of His Honour the Speaker,"Motion that further debate on the motion for third reading of Bill S-2, An Act to amend the Customs Act, be adjourned to the next sitting of the Senate","Motion to adjourn the debate on the third reading of Bill S-224, An Act to amend the Canada Elections Act and the Parliament of Canada Act (vacancies)","Motion to adjourn the debate relative to Bill S-4, An Act to amend the Criminal Code (identity theft and related misconduct)","Motion that Bill S-227, An Act to amend the Income Tax Act and the Excise Tax Act (tax relief for Nunavik), be now read a second time","Motion that debate on Bill C-15, An Act to amend the Controlled Drugs and Substances Act and to make related and consequential amendments to other Acts, be adjourned to the next sitting of the Senate","Motion that Bill S-226, An Act to amend the Criminal Code (lottery schemes), be now read a second time","Motion that the debate on Bill S-213, An Act to amend the Income Tax Act (carbon offset tax credit), be adjourned","Motion that the eleventh report of the Standing Senate Committee on Legal and Constitutional Affairs (Bill C-25, An Act to amend the Criminal Code (limiting credit for time spent in pre-sentencing custody), with amendments), presented in the Senate on October 8, 2009, be adopted","Motion that Bill C-25, An Act to amend the Criminal Code (limiting credit for time spent in pre-sentencing custody), be not now read a third time but that it be amended in clause 3",Motion to adjourn the debate,Motion that the Standing Senate Committee on National Security and Defence that it adopts a motion to provide that its Subcommittee on Agenda and Procedure may only convene provided that it meets its quorum of three members and that one member from each recognized party is present,"Motion that the debate on the Bill S-201, An Act to amend the Library and Archives of Canada Act (National Portrait Gallery). be amended","Motion that the twelfth report of the Standing Senate Committee on Social Affairs, Science and Technology (Bill C-6, An Act respecting the safety of consumer products, with amendments), presented in the Senate on December 3, 2009, be adopted","Motion to adopt the twelfth report of the Standing Senate Committee on Legal and Constitutional Affairs (Bill C-15, An Act to amend the Controlled Drugs and Substances Act and to make related and consequential amendments to other Acts, with amendments), presented in the Senate on December 3, 2009","Motion that Bill C-6, An Act respecting the safety of consumer products, be not now read for a third time, but the the debate be adjourned",Motion to adjourn the debate,"Motion that Bill C-15, An Act to amend the Controlled Drugs and Substances Act and to make related and consequential amendments to other Acts, be now read for a third time, as amended","Motion that Bill C-6, An Act respecting the safety of consumer products, be not now read a third time but that it be amended",Motion that Bill C-6 be not now read a third time but that it be amended,Motion that Bill C-268 be referred to the Standing Senate Committee on Human Rights,"Motion that it be an instruction to the committee to which Bill C-9, An Act to implement certain provisions of the budget tabled in Parliament on March 4, 2010 and other measures, is referred that it divide the bill into five bills","Motion in amendment that the Bill S-4, An Act respecting family homes situated on First Nation reserves and matrimonial interests or rights in or to structures and lands situated on those reserves, be not now read a third time but that it be amended","Motion that Bill S-6, An Act to amend the Criminal Code and another Act, be now read a third time","Motion that Bill S-4, An Act respecting family homes situated on First Nation reserves and matrimonial interests or rights in or to structures and lands situated on those reserves, be not now read a third time, but that debate be ajourned until the next sitting","Motion that Bill S-4, An Act respecting family homes situated on First Nation reserves and matrimonial interests or rights in or to structures and lands situated on those reserves, be now read a third time, as amended","Motions to dispose of Bill C-9, An Act to implement certain provisions of the budget tabled in Parliament on March 4, 2010 and other measures","Motion that the sixth report of the Standing Senate Committee on National Finance, Bill C-9, An Act to implement certain provisions of the budget tabled in Parliament on March 4, 2010, and other measures, with amendments, presented in the Senate on July 8, 2010, be adopted","Motion that Bill C-311, an Act to ensure Canada assumes its responsibility in preventing dangerous climate change, be read a second time","Motion that further debate concerning the adoption of the sixth report of the Standing Senate Committee on Banking, Trade and Commerce (Bill S-216, An Act to amend the Bankruptcy and Insolvency Act and the Companies' Creditors Arrangement Act in order to protect beneficiaries of long term disability benefits plans, with a recommendation), presented in the Senate on November 25, 2010, be adjourned until the next sitting",Motion that the eleventh report of the Standing Senate Committee on Legal and Constitutional Affairs be not now adopted but that it be amended,"Motion for the adoption of the sixth report of the Standing Senate Committee on Banking, Trade and Commerce (Bill S-216, An Act to amend the Bankruptcy and Insolvency Act and the Companies' Creditors Arrangement Act in order to protect beneficiaries of long term disability benefits plans, with a recommendation), presented in the Senate on November 25, 2010","Motion that Bill C-36, An Act respecting the safety of consumer products, be not now read a third time but that it be amended","Motion that Bill C-36, An Act respecting the safety of consumer products, be not now read a third time but that it be amended","Motion that Bill C-36, An Act respecting the safety of consumer products, be now read a third time","Motion that the debate concerning Bill C-232, An Act to amend the Supreme Court Act (understanding the official languages), de adjourned until next sitting","Motion for the third reading of Bill C-59, An Act to amend the Corrections and Conditional Release Act (accelerated parole review) and to make consequential amendments to other Acts","Motion for the second reading of Bill C-393, An Act to amend the Patent Act (drugs for international humanitarian purposes) and to make a consequential amendment to another Act","Motion for the second reading of Bill C-54, An Act to amend the Criminal Code (sexual offences against children)","Motion for the second reading of Bill C-393, An Act to amend the Patent Act (drugs for international humanitarian purposes) and to make a consequential amendment to another Act",Motion to Call Upon Chinese Government to Release Liu Xiaobo from PrisonäóîDebate Continued
"Murray, Lowell",Progressive Conservative Party,Ontario,"Clark, Charles Joseph",1979.09.13 - ,1979.09.13 , ,,1,9,2,2,1,8,9,9,9,9,9,9,1,9,2,9,9,1,2,8,1,9,9,1,9,9,1,1,9,2,1,9,2,1,9,1,9,2,1,1,1,9,2,2,2,2,1
"Cools, Anne C.",Independent,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - ,1984.01.13 , ,,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,1,1,8,9,1,1,2,2,9,1,1,1,1,8,9,9,9,2,1,2,1,9,2,9,9,9,1,9,9,1,9,1
"Watt, Charlie",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.16 - ,1984.01.16 , ,,1,9,2,2,9,9,2,1,9,1,1,1,9,2,1,1,9,2,2,1,1,2,2,9,1,1,1,1,9,2,1,9,2,1,1,9,1,2,1,1,2,2,2,2,9,9,9
"De Baní©, Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,9,9,2,2,8,1,9,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,2,1,9,9,9,1,9,9,9,9,9,9,2,2,2,2,2,1
"Fairbairn, Joyce",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,9,2,2,2,9,9,2,1,1,9,1,1,1,2,9,1,1,9,2,1,1,2,2,9,1,1,1,9,1,2,1,2,9,1,9,2,9,2,1,1,2,2,2,2,9,9,9
"Kenny, Colin",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,1,9,2,2,9,9,2,9,1,9,1,9,9,2,1,9,9,2,9,1,1,2,2,9,1,1,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,2,9,9,9,9
"Cochrane, Ethel M.",Conservative Party of Canada,Newfoundland and Labrador,"Mulroney, Martin Brian",1986.11.17 - ,1986.11.17 , ,,2,1,9,1,9,9,9,9,1,2,2,2,9,1,2,2,2,9,1,2,2,9,9,9,9,9,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Comeau, Gerald J.",Conservative Party of Canada,Nova Scotia,"Mulroney, Martin Brian",1990.08.30 - ,1990.08.30 , ,,2,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,9,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
